,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Apr 4,,MIL,"L,2-9",36,36,2,9,1,1,0,2,0,0,7,0,0,0,0,0,0,0,0.25,0.25,0.333,0.583,7,14,R,B.Sheets(59)
1,1,2,2,Apr 6,,MIL,"L,2-10",37,32,2,7,1,0,1,2,3,0,5,2,0,0,0,2,0,0,0.235,0.288,0.338,0.626,8,17,L,D.Davis(59)
2,2,3,3,Apr 7,@,SDP,"L,0-1",47,43,0,10,1,0,0,0,4,0,15,0,0,0,0,3,1,0,0.234,0.292,0.306,0.598,11,18,R,J.Peavy(74)
3,3,4,4,Apr 8,@,SDP,"W,3-2",42,37,3,8,1,0,0,2,4,0,7,1,0,0,2,0,0,0,0.23,0.296,0.291,0.587,12,15,R,B.Lawrence(58)
4,4,5,5,Apr 9,@,SDP,"L,3-11",36,33,3,6,1,0,0,3,2,0,6,0,1,0,1,0,0,0,0.221,0.284,0.276,0.561,6,14,R,W.Williams(55)
5,5,6,6,Apr 10,@,SDP,"W,6-3",41,33,6,7,1,0,0,5,6,0,1,1,0,1,1,0,1,0,0.22,0.294,0.271,0.565,8,17,R,T.Redding(48)
6,6,7,7,Apr 11,@,MIL,"L,2-6",39,34,2,8,2,1,0,2,5,0,10,0,0,0,0,1,1,0,0.222,0.3,0.282,0.582,10,11,L,D.Davis(58)
7,7,8,8,Apr 12,@,MIL,"W,4-2",37,34,4,10,3,0,2,4,2,0,7,0,1,0,0,1,1,1,0.23,0.304,0.316,0.619,6,17,R,G.Glover(48)
8,8,9,9,Apr 13,@,MIL,"L,2-6",39,37,2,12,2,0,0,2,2,0,5,0,0,0,0,2,0,0,0.241,0.31,0.323,0.633,10,12,L,C.Capuano(46)
9,9,10,10,Apr 15,,CHC,"W,8-5",37,35,8,13,4,0,3,8,2,0,7,0,0,0,0,0,0,1,0.254,0.319,0.364,0.683,5,15,R,C.Zambrano(43)
10,10,11,11,Apr 16,,CHC,"L,3-4",39,34,3,8,0,0,1,3,5,0,7,0,0,0,0,1,0,0,0.253,0.32,0.361,0.681,9,13,R,R.Dempster(50)
11,11,12,12,Apr 17,,CHC,"L,2-4",34,32,2,6,2,0,0,2,2,0,4,0,0,0,1,1,0,0,0.248,0.314,0.352,0.666,5,13,R,G.Maddux(57)
12,12,13,13,Apr 18,,STL,"L,1-11",31,27,1,2,1,0,0,0,4,0,3,0,0,0,0,1,0,0,0.237,0.306,0.338,0.644,3,13,L,M.Mulder(75)
13,13,14,14,Apr 19,,STL,"L,1-7",33,32,1,5,0,1,1,1,1,0,11,0,0,0,0,0,1,0,0.232,0.298,0.336,0.635,5,14,R,M.Morris(66)
14,14,15,15,Apr 20,@,CIN,"L,4-6",40,38,4,12,2,1,0,4,1,0,10,0,1,0,0,0,0,0,0.238,0.301,0.342,0.643,9,13,R,P.Wilson(56)
