,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 2,,DET,"W,9-5",9.0,12,5,5,0,3,5,0,0,5.0,40,149,106,5.0,2.0,1,0,37,3,0,0,0,0,0,2,6,Dale Scott,"T.Sturtze (99-32), J.Colome (99), D.Creek (99), T.Phelps (99), V.Zambrano (99-W), E.Yan (99)"
1,1,2,2,Apr 3,,DET,"W,2-1",12.0,10,1,1,0,4,5,1,1,2.57,47,141,90,0.0,0.0,0,0,40,2,0,2,2,0,1,4,3,Jim Joyce,"P.Wilson (99-64), V.Zambrano (0), J.Colome (0-W)"
2,2,3,3,Apr 4,,DET,"W,9-2",9.0,6,2,2,0,0,8,2,2,2.4,36,135,81,0.0,0.0,1,0,34,2,0,0,0,0,1,0,3,Chris Guccione,"R.Rupe (99-78-W), S.Kent (99), J.Sosa (99)"
3,3,4,4,Apr 5,@,NYY,"L,0-4",8.0,9,4,4,0,6,5,0,2,2.84,39,140,84,0.0,0.0,0,0,30,1,0,0,0,1,1,2,4,Tony Randazzo,"J.Kennedy (99-35-L), S.Kent (0), D.Creek (2), T.Phelps (2)"
4,4,5,5,Apr 6,@,NYY,"L,0-3",8.0,7,3,3,0,4,6,1,1,2.93,35,151,83,4.0,1.0,0,1,30,1,0,0,0,0,0,0,5,Bruce Froemming,"W.Alvarez (99-39-L), J.Colome (2), D.Creek (0), V.Zambrano (2), E.Yan (3)"
5,5,6,6,Apr 7,@,NYY,"L,2-7",8.0,11,7,7,0,6,3,0,0,3.67,40,147,82,0.0,0.0,3,0,34,3,0,0,0,0,0,1,3,Ed Rapuano,"T.Sturtze (4-29-L), S.Kent (1), J.Sosa (2)"
6,6,7,7,Apr 10,@,BAL,"W,3-2",9.0,6,2,2,0,4,7,1,1,3.43,37,136,79,0.0,0.0,0,0,30,1,0,0,1,1,0,0,4,Kerwin Danley,"P.Wilson (6-66-W), D.Creek (3-H), V.Zambrano (3-H), E.Yan (3-Sv)"
7,7,8,8,Apr 11,@,BAL,"L,6-15",8.0,18,15,13,2,6,7,2,0,4.69,48,166,97,4.0,4.0,2,0,41,3,0,0,0,1,1,1,4,Dana DeMuth,"J.Kennedy (5-44), T.Phelps (5-H), J.Colome (4-BL), S.Kent (3)"
8,8,9,9,Apr 12,,TOR,"L,7-14",9.0,16,14,14,0,9,9,1,0,5.74,52,199,116,5.0,3.0,1,0,42,2,0,0,0,1,0,0,5,Chuck Meriwether,"R.Rupe (7-21-L), T.Phelps (0), D.Creek (1), V.Zambrano (1), J.Sosa (4)"
9,9,10,10,Apr 13,,TOR,"L,4-5",9.0,8,5,3,2,7,7,1,0,5.46,44,162,95,0.0,0.0,0,1,37,1,0,0,0,0,3,0,3,Brian Runge,"T.Sturtze (5-36-L), S.Kent (1), D.Creek (0)"
10,10,11,11,Apr 14,,TOR,"W,5-4",10.0,5,4,4,0,5,10,2,0,5.27,39,151,90,5.0,2.0,1,0,34,1,0,1,0,0,0,0,4,Jim Wolf,"W.Alvarez (7-61), J.Colome (2-BSv), D.Creek (0-BSv), E.Yan (3-W)"
11,11,12,12,Apr 16,@,DET,"L,3-9",8.0,11,9,9,0,5,5,1,0,5.64,38,133,88,2.0,2.0,0,0,32,4,1,0,0,1,1,3,5,Jerry Crawford,"D.James (99-51-L), S.Kent (2), V.Zambrano (3), J.Sosa (3), T.Martin (99)"
12,12,13,13,Apr 17,@,DET,"L,6-7",8.2,15,7,5,2,2,3,2,0,5.6,40,119,75,0.0,0.0,0,1,37,2,1,2,1,0,0,3,3,Mark Barron,"J.Kennedy (5-40), J.Colome (2-BSv), V.Zambrano (0-L)"
13,13,14,14,Apr 18,@,DET,"W,6-4",9.0,11,4,4,0,2,4,0,1,5.49,40,136,94,2.0,1.0,0,0,36,2,1,0,0,1,0,1,4,Brian Gorman,"R.Rupe (5-43-W), D.Creek (3-H), J.Sosa (1-H), E.Yan (3-Sv)"
14,14,15,15,Apr 19,,BAL,"L,5-6",14.0,11,6,3,3,1,7,1,1,5.13,54,212,135,1.0,0.0,0,1,47,4,0,0,4,1,1,2,5,Marty Foster,"T.Sturtze (5-61), S.Kent (2), V.Zambrano (1), E.Yan (0), J.Colome (1-L)"
15,15,16,16,Apr 20,,BAL,"L,3-6",9.0,12,6,6,0,4,2,1,1,5.18,44,156,90,1.0,1.0,1,0,39,6,1,0,0,0,0,0,3,Andy Fletcher,"P.Wilson (9-41-L), J.Sosa (1), T.Martin (3)"
