,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 2,@,BAL,"L,1-2",40,37,1,5,0,0,1,1,2,1,8,0,1,0,0,0,0,0,0.135,0.179,0.216,0.396,6,12,R,P.Hentgen(77)
1,2,2,Apr 4,@,BAL,"W,3-0",36,33,3,5,2,0,2,3,3,1,13,0,0,0,2,0,0,1,0.143,0.2,0.3,0.5,6,10,R,S.Ponson(69)
2,3,3,Apr 5,@,BAL,"L,1-2",36,35,1,7,1,0,0,1,1,0,7,0,0,0,0,0,0,0,0.162,0.207,0.276,0.483,8,11,R,J.Johnson(70)
3,4,4,Apr 6,,TBD,"W,11-4",41,35,11,11,2,0,3,11,5,0,9,0,0,1,1,0,0,0,0.2,0.257,0.364,0.621,6,9,R,R.Rupe(16)
4,5,5,Apr 7,,TBD,"W,6-2",40,36,6,14,5,0,2,6,3,2,3,0,1,0,0,2,0,0,0.239,0.293,0.432,0.725,10,10,R,T.Harper(30)
5,6,6,Apr 8,,TBD,"W,3-0",36,31,3,7,4,0,0,3,5,0,7,0,0,0,0,0,0,0,0.237,0.3,0.42,0.72,9,9,R,A.Lopez(54)
6,7,7,Apr 10,,BAL,"W,10-1",41,36,10,12,3,0,2,10,3,0,7,1,0,1,1,0,1,0,0.251,0.313,0.444,0.758,7,12,R,S.Ponson(24)
7,8,8,Apr 11,,BAL,"L,4-5",41,33,4,10,3,0,0,4,7,1,10,0,0,1,0,2,0,0,0.257,0.327,0.438,0.765,10,13,R,J.Johnson(37)
8,9,9,Apr 12,,BAL,"W,8-2",36,34,8,11,2,1,0,8,2,0,11,0,0,0,0,1,0,0,0.265,0.33,0.439,0.769,4,9,R,J.Mercedes(16)
9,10,10,Apr 13,,NYY,"W,3-2",40,37,3,8,1,0,0,3,2,0,8,1,0,0,0,0,0,0,0.259,0.325,0.418,0.743,8,10,R,O.Hernandez(56)
10,11,11,Apr 14,,NYY,"L,2-3",36,32,2,6,1,0,0,2,4,0,8,0,0,0,0,1,0,0,0.253,0.321,0.401,0.722,7,12,R,R.Clemens(55)
11,12,12,Apr 15,,NYY,"W,5-4",43,36,5,15,3,1,0,5,3,0,3,2,1,1,1,1,0,0,0.267,0.335,0.414,0.749,14,12,L,A.Pettitte(24)
12,13,13,Apr 16,,NYY,"W,4-1",34,33,4,11,2,1,0,3,0,0,6,0,1,0,1,2,0,0,0.272,0.335,0.417,0.752,6,10,R,M.Mussina(55)
13,14,14,Apr 17,@,TBD,"W,10-0",42,37,10,11,2,0,4,10,3,0,6,1,0,1,1,1,1,0,0.274,0.336,0.437,0.774,5,10,R,T.Harper(28)
14,15,15,Apr 18,@,TBD,"W,9-1",45,41,9,15,2,1,2,9,4,0,9,0,0,0,1,1,0,0,0.281,0.343,0.451,0.794,9,12,R,A.Lopez(65)
15,16,16,Apr 19,@,TBD,"W,8-3",40,35,8,8,2,0,1,7,3,0,4,2,0,0,1,0,0,0,0.278,0.342,0.446,0.788,5,9,R,P.Wilson(27)
16,17,17,Apr 20,@,NYY,"L,1-6",33,31,1,6,4,0,0,1,2,0,7,0,0,0,1,2,0,0,0.274,0.337,0.439,0.776,5,9,L,A.Pettitte(76)
17,18,18,Apr 21,@,NYY,"W,8-3",43,35,8,9,2,0,2,8,5,0,7,1,0,2,1,0,1,0,0.273,0.338,0.442,0.779,8,10,R,M.Mussina(35)
18,19,19,Apr 22,@,NYY,"L,3-4",43,40,3,11,1,0,2,3,2,0,16,0,1,0,1,0,0,1,0.273,0.336,0.442,0.778,10,12,L,T.Lilly(60)
19,20,20,Apr 24,,MIN,"W,9-4",41,38,9,14,3,0,2,8,3,1,5,0,0,0,0,0,0,0,0.278,0.34,0.451,0.791,8,11,L,M.Redman(22)
20,21,21,Apr 25,,MIN,"L,4-6",41,38,4,10,5,0,1,4,2,0,3,1,0,0,0,0,1,0,0.277,0.339,0.452,0.791,7,12,R,B.Radke(51)
21,22,22,Apr 26,,MIN,"W,2-0",35,32,2,8,3,0,0,2,3,0,3,0,0,0,0,0,0,0,0.276,0.338,0.448,0.786,9,12,L,E.Milton(60)
22,23,23,Apr 27,,KCR,"W,9-2",39,36,9,12,0,0,3,9,3,0,7,0,0,0,1,1,2,0,0.279,0.34,0.454,0.794,6,9,R,B.Stein(33)
23,24,24,Apr 28,,KCR,"L,2-8",37,33,2,6,0,1,0,2,4,0,5,0,0,0,1,1,0,0,0.275,0.337,0.445,0.783,8,10,R,D.Reichert(53)
24,25,25,Apr 29,,KCR,"L,8-11",51,45,8,14,2,0,3,7,5,1,6,1,0,0,0,1,0,1,0.277,0.34,0.451,0.791,10,12,R,B.Meadows(41)
25,26,26,May 1,@,SEA,"W,2-0",37,37,2,9,2,0,0,2,0,0,5,0,0,0,1,0,0,0,0.275,0.337,0.445,0.782,8,10,L,J.Halama(67)
26,27,27,May 2,@,SEA,"L,1-5",32,31,1,7,1,1,0,1,0,0,6,0,0,1,0,1,0,1,0.274,0.333,0.441,0.774,4,9,R,A.Sele(64)
27,28,28,May 3,@,SEA,"L,3-10",39,37,3,11,0,0,1,2,1,0,7,1,0,0,0,1,0,0,0.275,0.333,0.439,0.772,9,9,L,J.Moyer(51)
28,29,29,May 4,@,OAK,"L,3-7",38,35,3,8,3,0,0,2,3,1,3,0,0,0,1,1,0,0,0.273,0.332,0.434,0.766,8,11,R,G.Heredia(44)
29,30,30,May 5,@,OAK,"W,7-1",43,41,7,14,3,1,2,6,2,0,11,0,0,0,1,1,0,0,0.276,0.333,0.441,0.774,9,10,L,B.Zito(28)
30,31,31,May 6,@,OAK,"W,5-4",41,35,5,9,2,0,2,5,5,1,6,1,0,0,0,0,2,0,0.275,0.334,0.443,0.777,9,9,R,C.Lidle(40)
31,32,32,May 8,,SEA,"W,12-4",44,40,12,14,3,1,4,12,4,1,4,0,0,0,1,0,0,0,0.278,0.337,0.454,0.791,8,10,L,J.Moyer(19)
32,33,33,May 9,,SEA,"L,5-10",41,37,5,11,2,0,3,5,3,0,9,1,0,0,0,1,0,0,0.278,0.338,0.459,0.796,9,12,R,A.Sele(47)
33,34,34,May 10,,SEA,"L,2-5",35,30,2,5,3,0,0,2,3,0,6,0,1,1,1,1,0,0,0.276,0.335,0.454,0.789,6,11,L,J.Halama(57)
34,35,35,May 11,,OAK,"L,6-7",41,36,6,10,5,1,0,6,3,1,9,2,0,0,0,0,0,0,0.276,0.336,0.454,0.79,8,11,R,C.Lidle(54)
35,36,36,May 12,,OAK,"W,9-3",43,41,9,19,5,0,2,9,2,1,7,0,0,0,0,1,0,0,0.282,0.341,0.463,0.804,10,9,R,G.Heredia(12)
36,37,37,May 13,,OAK,"W,5-4",43,38,5,9,0,1,2,5,4,1,8,1,0,0,0,1,1,0,0.28,0.34,0.463,0.803,8,10,L,M.Mulder(61)
37,38,38,May 15,@,MIN,"W,5-2",43,37,5,12,3,0,0,5,5,1,8,0,1,0,1,1,2,1,0.282,0.342,0.461,0.803,11,10,L,M.Redman(39)
38,39,39,May 16,@,MIN,"L,3-4",35,34,3,8,2,0,0,2,1,0,7,0,0,0,0,1,0,0,0.28,0.34,0.457,0.797,5,12,L,J.Romero(59)
39,40,40,May 17,@,MIN,"L,3-5",33,33,3,6,1,0,1,3,0,0,6,0,0,0,0,0,0,0,0.278,0.337,0.454,0.79,3,9,R,B.Radke(69)
40,41,41,May 18,@,KCR,"W,6-3",40,36,6,10,1,1,2,6,4,0,9,0,0,0,1,1,0,0,0.278,0.337,0.455,0.792,7,9,R,B.Stein(31)
41,42,42,May 19,@,KCR,"L,2-6",34,32,2,5,1,1,1,2,1,0,5,1,0,0,0,0,0,0,0.276,0.334,0.453,0.787,5,9,R,D.Reichert(62)
42,43,43,May 20,@,KCR,"W,10-3",42,38,10,13,3,0,5,10,3,1,5,0,0,1,0,1,0,0,0.277,0.336,0.462,0.797,5,11,R,B.Meadows(27)
43,44,44,May 23,@,NYY,"L,3-7",33,28,3,6,1,0,0,3,3,0,5,0,1,1,0,2,0,0,0.276,0.334,0.458,0.793,3,9,L,A.Pettitte(61)
44,45,45,May 24,@,NYY,"L,1-2",33,33,1,6,2,0,0,1,0,0,13,0,0,0,0,0,0,0,0.274,0.332,0.454,0.785,5,9,R,M.Mussina(78)
45,46,46,May 25,,TOR,"W,4-0",37,33,4,9,3,0,0,4,4,0,5,0,0,0,0,0,0,0,0.274,0.332,0.452,0.784,9,9,R,E.Loaiza(50)
46,47,47,May 26,,TOR,"L,0-5",34,32,0,9,1,0,0,0,1,0,3,1,0,0,1,2,0,0,0.274,0.332,0.449,0.781,7,9,L,C.Michalak(70)
47,48,48,May 27,,TOR,"W,4-2",35,33,4,10,3,1,1,4,2,1,7,0,0,0,1,2,2,0,0.275,0.332,0.451,0.783,7,9,R,S.Parris(38)
48,49,49,May 28,,NYY,"L,3-4",37,34,3,9,1,1,0,3,3,0,8,0,0,0,1,3,0,0,0.275,0.332,0.449,0.781,7,11,L,A.Pettitte(49)
49,50,50,May 30,,NYY,"W,3-0",31,27,3,4,2,0,0,3,3,0,11,0,1,0,1,0,0,0,0.273,0.33,0.446,0.776,4,9,R,M.Mussina(72)
50,51,51,May 31,@,TOR,"W,11-5",43,38,11,14,3,0,2,11,3,1,6,1,0,1,0,1,0,0,0.275,0.332,0.449,0.781,5,12,L,C.Michalak(43)
51,52,52,Jun 1,@,TOR,"W,6-4",50,47,6,16,2,1,1,6,2,0,7,1,0,0,0,2,0,0,0.276,0.333,0.45,0.784,11,12,R,S.Parris(34)
52,53,53,Jun 2,@,TOR,"W,2-1",36,33,2,9,2,0,2,2,2,2,5,0,1,0,0,2,0,0,0.276,0.333,0.451,0.784,7,11,R,J.Hamilton(65)
53,54,54,Jun 3,@,TOR,"W,5-4",36,32,5,8,2,0,2,3,2,0,6,1,0,1,0,1,0,1,0.276,0.333,0.452,0.785,4,11,R,C.Carpenter(44)
54,55,55,Jun 4,@,NYY,"L,6-7",43,39,6,12,3,0,3,6,3,0,12,1,0,0,0,0,0,0,0.276,0.333,0.455,0.789,10,12,R,R.Mendoza(41)
55,56,56,Jun 5,,DET,"W,4-3",72,62,4,12,0,0,4,4,6,4,20,3,1,0,0,0,2,0,0.274,0.332,0.453,0.785,17,14,R,C.Holt(59)
56,57,57,Jun 6,,DET,"L,3-7",36,35,3,12,4,0,0,3,1,0,7,0,0,0,0,3,0,0,0.275,0.333,0.453,0.786,6,9,R,D.Mlicki(47)
57,58,58,Jun 7,,DET,"W,8-1",44,34,8,10,1,1,2,8,10,2,5,0,0,0,0,0,0,0,0.275,0.335,0.455,0.79,12,10,R,V.Santos(21)
58,59,59,Jun 8,,PHI,"W,3-2",30,29,3,8,1,0,3,3,0,0,7,1,0,0,0,2,0,0,0.275,0.335,0.457,0.792,3,10,L,R.Wolf(61)
59,60,60,Jun 9,,PHI,"L,2-5",36,33,2,6,3,1,0,2,3,0,3,0,0,0,2,1,0,1,0.274,0.333,0.455,0.789,7,10,L,O.Daal(67)
60,61,61,Jun 10,,PHI,"W,5-4",36,30,5,9,3,0,2,5,6,1,6,0,0,0,0,1,0,0,0.274,0.335,0.457,0.792,7,9,R,R.Person(51)
61,62,62,Jun 12,,FLA,"W,4-2",33,30,4,7,2,0,2,4,3,0,7,0,0,0,0,1,1,0,0.274,0.334,0.458,0.792,5,9,R,R.Dempster(43)
62,63,63,Jun 13,,FLA,"L,2-4",37,36,2,11,1,0,0,2,0,0,6,1,0,0,0,2,1,0,0.274,0.334,0.456,0.79,8,10,R,M.Clement(51)
63,64,64,Jun 14,,FLA,"W,6-4",34,32,6,10,2,0,1,6,1,0,5,0,0,1,0,0,0,0,0.275,0.334,0.456,0.79,4,11,R,C.Smith(47)
64,65,65,Jun 15,@,ATL,"W,9-5",48,41,9,13,2,2,0,8,4,2,10,1,0,2,1,0,1,1,0.276,0.335,0.456,0.791,9,18,R,G.Maddux(54)
65,66,66,Jun 16,@,ATL,"L,0-8",31,29,0,2,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0.273,0.332,0.451,0.784,4,11,R,J.Burkett(85)
66,67,67,Jun 17,@,ATL,"W,4-3",41,31,4,7,3,0,0,4,7,2,10,0,2,1,1,0,0,0,0.272,0.333,0.45,0.782,10,13,L,O.Perez(42)
67,68,68,Jun 19,@,TBD,"W,5-4",40,33,5,7,2,0,2,4,3,0,8,2,1,1,0,0,1,0,0.272,0.332,0.45,0.782,8,9,R,B.Rekar(53)
68,69,69,Jun 20,@,TBD,"W,8-2",40,33,8,9,2,0,1,8,5,0,8,1,0,1,0,0,0,0,0.272,0.333,0.449,0.782,5,10,R,R.Rupe(58)
