,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 28,@,TEX,"W,12-4",46,37,12,13,3,0,3,11,8,0,7,1,0,0,0,2,0,1,0.351,0.478,0.676,1.154,7,11,L,M.Minor(31)
1,2,2,Mar 30,@,TEX,"L,6-8",42,34,6,9,3,0,1,6,7,0,5,0,0,1,0,1,1,0,0.31,0.432,0.563,0.995,9,9,R,E.Volquez(33)
2,3,3,Mar 31,@,TEX,"L,10-11",47,43,10,17,2,0,2,10,3,0,9,0,1,0,0,1,1,0,0.342,0.433,0.57,1.003,10,11,R,L.Lynn(26)
3,4,4,Apr 1,@,ATL,"L,0-8",37,33,0,9,3,0,0,0,4,0,5,0,0,0,1,3,0,0,0.327,0.415,0.524,0.939,10,15,L,S.Newcomb(49)
4,5,5,Apr 3,@,ATL,"L,4-6",41,35,4,12,0,0,1,3,6,0,13,0,0,0,0,1,0,1,0.33,0.42,0.505,0.925,10,15,R,J.Teheran(55)
5,6,6,Apr 4,@,ATL,"L,4-9",37,33,4,6,0,0,2,4,3,0,7,1,0,0,0,0,0,0,0.307,0.398,0.484,0.881,6,15,L,M.Fried(75)
6,7,7,Apr 5,@,MIL,"L,10-13",43,39,10,12,1,0,3,10,2,0,14,2,0,0,0,0,0,0,0.307,0.394,0.496,0.89,6,19,R,B.Woodruff(40)
7,8,8,Apr 6,@,MIL,"W,14-8",49,39,14,12,2,0,4,14,9,0,11,0,0,1,1,0,3,0,0.307,0.399,0.519,0.918,8,16,R,C.Burnes(30)
8,9,9,Apr 7,@,MIL,"L,2-4",36,33,2,6,0,0,1,2,3,0,5,0,0,0,1,1,0,0,0.294,0.385,0.494,0.878,7,15,R,Z.Davies(54)
9,10,10,Apr 8,,PIT,"W,10-0",40,34,10,8,3,0,1,8,4,1,11,1,1,0,3,1,0,0,0.289,0.38,0.486,0.866,6,17,R,J.Taillon(38)
10,11,11,Apr 10,,PIT,"L,2-5",37,34,2,6,1,0,1,2,3,0,15,0,0,0,1,0,1,0,0.279,0.369,0.47,0.838,8,16,R,J.Lyles(71)
11,12,12,Apr 11,,PIT,"W,2-0",32,29,2,5,2,0,0,2,3,0,9,0,0,0,1,0,2,0,0.272,0.361,0.454,0.815,6,14,R,J.Musgrove(65)
12,13,13,Apr 12,,LAA,"W,5-1",35,34,5,10,0,0,4,5,1,0,10,0,0,0,1,1,1,0,0.274,0.358,0.468,0.826,6,10,L,T.Skaggs(39)
13,14,14,Apr 13,,LAA,"L,5-6",43,35,5,9,4,0,0,5,7,0,11,0,0,1,1,0,0,1,0.272,0.359,0.461,0.82,11,17,R,C.Stratton(47)
14,15,15,Apr 15,@,MIA,"W,7-2",44,35,7,8,3,0,1,7,6,1,5,3,0,0,0,1,0,0,0.269,0.361,0.457,0.818,10,12,R,T.Richards(35)
15,16,16,Apr 16,@,MIA,"W,4-0",38,31,4,9,2,0,1,4,5,1,9,1,0,1,0,1,0,0,0.271,0.363,0.457,0.82,7,12,R,P.Lopez(54)
16,17,17,Apr 17,@,MIA,"W,6-0",35,34,6,8,2,0,1,6,1,0,10,0,0,0,0,0,0,0,0.269,0.357,0.453,0.81,2,13,R,S.Alcantara(44)
17,18,18,Apr 19,,ARI,"W,5-1",43,32,5,8,2,1,0,4,9,0,6,2,0,0,0,0,0,0,0.268,0.362,0.449,0.811,14,13,R,M.Kelly(35)
18,19,19,Apr 20,,ARI,"L,0-6",32,29,0,4,1,0,0,0,2,0,6,1,0,0,0,2,0,0,0.262,0.356,0.436,0.793,5,15,R,Z.Greinke(68)
19,20,20,Apr 21,,ARI,"W,2-1",33,29,2,6,2,1,0,2,2,0,7,2,0,0,0,0,0,0,0.26,0.354,0.433,0.787,7,15,L,R.Ray(63)
20,21,21,Apr 23,,LAD,"W,7-2",37,31,7,8,2,0,2,7,6,1,9,0,0,0,0,2,0,0,0.259,0.355,0.436,0.791,6,12,R,K.Maeda(26)
21,22,22,Apr 24,,LAD,"W,7-6",34,30,7,7,3,0,2,7,3,1,3,1,0,0,0,0,0,0,0.258,0.354,0.44,0.794,3,16,R,W.Buehler(48)
22,23,23,Apr 25,,LAD,"L,1-2",36,32,1,7,1,0,1,1,3,0,12,1,0,0,0,1,0,1,0.257,0.352,0.436,0.788,8,16,R,R.Stripling(59)
23,24,24,Apr 26,@,ARI,"L,3-8",37,34,3,8,1,0,2,3,3,0,10,0,0,0,0,1,0,0,0.256,0.35,0.436,0.786,7,15,L,R.Ray(51)
24,25,25,Apr 27,@,ARI,"W,9-1",42,37,9,12,6,0,3,8,4,1,7,1,0,0,0,0,1,0,0.259,0.352,0.449,0.801,6,12,R,Z.Godley(29)
25,26,26,Apr 28,@,ARI,"W,6-5",66,57,6,13,4,0,2,6,5,1,19,3,0,1,1,0,1,1,0.257,0.35,0.446,0.796,15,20,R,L.Weaver(43)
26,27,27,Apr 30,@,SEA,"W,6-5",40,36,6,10,2,0,3,6,3,0,11,1,0,0,0,1,1,0,0.258,0.35,0.452,0.802,7,9,R,F.Hernandez(47)
27,28,28,May 1,@,SEA,"W,11-0",43,34,11,10,3,0,3,11,5,0,8,0,0,4,1,0,0,0,0.259,0.35,0.458,0.808,5,11,L,M.Gonzales(26)
28,29,29,May 3,,STL,"W,4-0",35,29,4,6,1,0,1,4,6,1,12,0,0,0,0,0,0,1,0.257,0.35,0.455,0.805,7,10,R,J.Flaherty(54)
29,30,30,May 4,,STL,"W,6-5",34,29,6,7,0,0,2,6,4,1,10,0,1,0,0,0,0,0,0.257,0.349,0.455,0.804,4,18,R,M.Wacha(37)
30,31,31,May 5,,STL,"W,13-5",39,34,13,12,5,1,2,13,4,0,4,0,0,1,0,1,0,0,0.26,0.351,0.464,0.815,2,14,R,A.Wainwright(33)
31,32,32,May 6,,MIA,"L,5-6",41,31,5,8,1,0,2,5,10,0,9,0,0,0,0,4,0,0,0.26,0.354,0.464,0.818,9,15,R,S.Alcantara(46)
32,33,33,May 7,,MIA,"W,5-2",38,30,5,7,1,1,2,5,5,1,12,1,1,1,0,0,0,0,0.259,0.354,0.466,0.82,7,14,L,C.Smith(64)
33,34,34,May 8,,MIA,"W,3-2",37,33,3,6,0,0,1,2,4,1,6,0,0,0,0,2,0,1,0.257,0.352,0.461,0.812,4,15,R,J.Urena(61)
34,35,35,May 9,,MIA,"W,4-1",36,32,4,8,0,0,2,4,4,0,8,0,0,0,0,0,0,0,0.257,0.351,0.46,0.811,8,11,R,T.Richards(41)
35,36,36,May 10,,MIL,"L,0-7",35,30,0,7,2,0,0,0,4,0,5,0,1,0,0,2,0,1,0.256,0.351,0.456,0.807,8,14,L,G.Gonzalez(65)
36,37,37,May 11,,MIL,"W,2-1",59,48,2,9,2,1,1,2,10,3,13,1,0,0,0,3,0,0,0.254,0.35,0.452,0.802,14,19,R,Z.Davies(61)
37,38,38,May 12,,MIL,"W,4-1",34,31,4,8,1,0,1,4,2,0,6,0,1,0,2,1,0,0,0.254,0.349,0.45,0.799,6,13,R,J.Chacin(57)
38,39,39,May 14,@,CIN,"W,3-1",39,37,3,11,2,0,0,3,1,0,11,0,0,1,0,0,0,0,0.255,0.348,0.447,0.795,9,12,R,T.Roark(44)
39,40,40,May 15,@,CIN,"L,5-6",40,38,5,9,0,0,3,5,1,0,11,0,0,1,0,0,0,0,0.255,0.346,0.448,0.794,5,16,R,S.Gray(52)
40,41,41,May 16,@,CIN,"L,2-4",32,31,2,4,2,0,0,2,1,0,13,0,0,0,0,0,0,0,0.252,0.342,0.442,0.784,3,12,R,L.Castillo(61)
41,42,42,May 17,@,WSN,"W,14-6",52,43,14,18,1,0,6,13,7,0,11,2,0,0,0,2,0,0,0.257,0.347,0.455,0.802,11,17,R,M.Scherzer(52)
42,43,43,May 18,@,WSN,"L,2-5",29,29,2,4,0,0,1,1,0,0,8,0,0,0,0,1,0,0,0.254,0.344,0.451,0.794,0,15,R,S.Strasburg(75)
43,44,44,May 19,@,WSN,"W,6-5",42,32,6,9,3,0,1,6,5,0,7,2,1,2,1,2,0,0,0.255,0.345,0.451,0.796,9,14,R,J.Hellickson(37)
44,45,45,May 20,,PHI,"L,4-5",43,37,4,11,1,2,0,3,4,0,7,0,2,0,0,1,0,0,0.256,0.345,0.451,0.796,9,15,R,J.Arrieta(54)
45,46,46,May 21,,PHI,"W,3-2",43,35,3,10,2,0,0,3,7,1,2,0,1,0,0,0,0,0,0.257,0.347,0.448,0.795,15,16,R,Z.Eflin(54)
46,47,47,May 22,,PHI,"W,8-4",36,30,8,8,2,0,3,8,4,0,7,1,1,0,0,1,0,0,0.257,0.347,0.452,0.799,4,11,L,C.Irvin(25)
47,48,48,May 23,,PHI,"L,7-9",44,36,7,11,2,0,2,6,8,0,12,0,0,0,0,1,0,0,0.258,0.349,0.453,0.802,10,19,R,A.Nola(50)
48,49,49,May 24,,CIN,"L,5-6",38,34,5,8,0,0,3,5,4,0,9,0,0,0,0,0,1,1,0.257,0.348,0.454,0.803,6,16,R,A.DeSclafani(34)
49,50,50,May 25,,CIN,"W,8-6",39,33,8,11,3,0,3,8,3,1,8,1,1,1,0,0,0,0,0.259,0.349,0.459,0.808,7,13,R,T.Mahle(29)
50,51,51,May 26,,CIN,"L,2-10",38,34,2,8,0,0,2,2,3,0,13,1,0,0,1,0,0,0,0.258,0.349,0.458,0.807,9,14,R,T.Roark(63)
51,52,52,May 27,@,HOU,"L,5-6",38,36,5,9,1,0,3,5,2,0,17,0,0,0,0,0,0,0,0.258,0.348,0.459,0.807,6,9,R,G.Cole(69)
52,53,53,May 28,@,HOU,"L,6-9",42,36,6,9,1,0,5,6,6,0,11,0,0,0,0,0,0,0,0.258,0.348,0.464,0.812,9,9,R,C.Martin(40)
53,54,54,May 29,@,HOU,"W,2-1",35,32,2,7,0,0,2,2,3,0,12,0,0,0,0,2,0,0,0.257,0.347,0.463,0.81,6,9,L,W.Miley(65)
54,55,55,May 31,@,STL,"L,1-2",38,33,1,6,1,1,0,1,4,0,6,0,0,1,0,1,0,1,0.256,0.345,0.46,0.805,7,18,R,M.Mikolas(62)
55,56,56,Jun 1,@,STL,"L,4-7",36,34,4,7,1,0,2,4,2,0,14,0,0,0,0,0,0,0,0.255,0.344,0.459,0.803,5,14,R,J.Flaherty(59)
56,57,57,Jun 2,@,STL,"L,1-2",35,27,1,3,0,0,0,1,8,0,9,0,0,0,0,1,0,0,0.253,0.343,0.454,0.797,7,12,R,A.Wainwright(79)
57,58,58,Jun 3,,LAA,"W,8-1",38,34,8,11,2,0,2,8,3,0,7,0,0,1,0,0,0,0,0.254,0.344,0.456,0.8,6,12,R,C.Bedrosian(55)
58,59,59,Jun 4,,COL,"W,6-3",33,31,6,8,2,0,2,6,1,1,8,0,0,1,0,0,0,0,0.254,0.343,0.457,0.799,3,12,R,J.Hoffman(46)
59,60,60,Jun 5,,COL,"W,9-8",36,32,9,10,3,0,1,9,2,0,7,2,0,0,0,1,0,1,0.255,0.343,0.457,0.801,3,17,R,G.Marquez(26)
60,61,61,Jun 6,,COL,"L,1-3",34,32,1,5,1,0,0,1,2,0,12,0,0,0,0,0,1,0,0.254,0.341,0.453,0.795,6,12,R,P.Lambert(73)
