,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 6,@,HOU,"L,0-2",32,29,0,3,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0.103,0.188,0.103,0.291,5,9,L,D.Keuchel(72)
1,2,2,Apr 8,@,HOU,"W,2-0",34,33,2,7,0,0,2,2,0,0,8,0,1,0,0,0,0,0,0.161,0.2,0.258,0.458,5,9,R,S.Feldman(65)
2,3,3,Apr 9,@,HOU,"W,5-1",40,36,5,11,3,1,2,5,3,0,7,0,0,1,0,2,2,0,0.214,0.257,0.388,0.645,8,9,R,A.Wojciechowski(30)
3,4,4,Apr 10,,DET,"L,4-8",37,34,4,10,2,0,0,4,3,0,7,0,0,0,0,2,0,1,0.235,0.282,0.379,0.66,6,11,R,A.Simon(43)
4,5,5,Apr 11,,DET,"L,6-9",40,34,6,8,2,0,0,6,5,0,8,0,0,1,1,1,0,0,0.235,0.291,0.361,0.653,7,11,L,D.Price(58)
5,6,6,Apr 12,,DET,"L,5-8",41,36,5,9,2,0,0,5,3,0,6,1,0,1,1,0,1,0,0.238,0.296,0.351,0.647,9,9,L,K.Lobstein(40)
6,7,7,Apr 14,,CHW,"L,1-4",34,31,1,3,1,0,0,1,3,0,14,0,0,0,2,0,1,0,0.219,0.28,0.322,0.602,6,10,L,J.Quintana(68)
7,8,8,Apr 15,,CHW,"W,4-2",34,30,4,8,3,0,0,4,2,0,9,0,2,0,0,1,1,0,0.224,0.284,0.327,0.611,6,10,L,J.Danks(37)
8,9,9,Apr 17,@,MIN,"L,2-3",45,40,2,8,1,0,1,1,5,1,10,0,0,0,0,0,1,0,0.221,0.284,0.323,0.608,10,10,R,M.Pelfrey(55)
9,10,10,Apr 18,@,MIN,"W,4-2",36,34,4,8,2,0,1,3,1,0,4,0,0,1,0,0,0,0,0.223,0.281,0.329,0.61,5,9,R,P.Hughes(44)
10,11,11,Apr 19,@,MIN,"L,2-7",36,34,2,7,0,0,1,2,2,0,6,0,0,0,1,1,0,0,0.221,0.278,0.326,0.604,7,13,R,T.May(64)
11,12,12,Apr 20,@,CHW,"L,3-4",36,33,3,6,2,0,2,3,3,0,7,0,0,0,0,0,0,0,0.218,0.276,0.334,0.61,6,10,L,J.Danks(50)
12,13,13,Apr 21,@,CHW,"W,6-2",38,31,6,7,1,0,2,6,5,0,7,0,1,1,0,0,1,1,0.218,0.28,0.343,0.622,5,10,R,H.Noesi(49)
13,14,14,Apr 22,@,CHW,"L,0-6",38,34,0,8,1,0,0,0,4,0,6,0,0,0,0,1,0,0,0.22,0.282,0.337,0.619,11,12,R,J.Samardzija(61)
14,15,15,Apr 24,@,DET,"W,13-1",43,38,13,15,4,0,3,13,3,0,3,0,1,1,0,2,0,0,0.233,0.293,0.367,0.66,3,11,R,S.Greene(11)
15,16,16,Apr 25,@,DET,"L,1-4",35,32,1,8,2,0,0,1,2,0,5,0,1,0,0,1,2,0,0.234,0.293,0.364,0.657,7,11,R,A.Simon(59)
16,17,17,Apr 26,@,DET,"L,6-8",39,35,6,10,1,0,1,6,3,0,4,0,0,1,0,0,0,0,0.237,0.296,0.366,0.662,6,10,L,K.Lobstein(55)
17,18,18,Apr 27,,KCR,"L,2-6",35,30,2,4,2,0,1,2,5,0,7,0,0,0,0,1,0,0,0.232,0.294,0.363,0.656,6,12,L,J.Vargas(49)
18,19,19,Apr 28,,KCR,"L,5-11",39,34,5,9,1,0,1,5,4,0,5,1,0,0,0,0,1,2,0.234,0.297,0.364,0.661,7,10,R,J.Guthrie(39)
19,20,20,Apr 29,,KCR,"W,7-5",37,32,7,8,3,0,2,7,5,0,3,0,0,0,0,0,0,0,0.234,0.3,0.372,0.672,6,10,R,Y.Ventura(33)
20,21,21,Apr 30,,TOR,"L,1-5",38,36,1,11,3,0,0,1,2,0,6,0,0,0,0,2,0,0,0.238,0.302,0.373,0.675,10,9,L,D.Norris(50)
21,22,22,May 1,,TOR,"W,9-4",41,36,9,13,2,0,3,9,4,1,4,0,1,0,1,0,0,0,0.244,0.308,0.387,0.695,8,10,L,M.Buehrle(8)
22,23,23,May 2,,TOR,"L,4-11",40,33,4,6,1,0,0,4,6,0,6,0,0,1,2,0,2,1,0.241,0.308,0.379,0.687,9,9,R,A.Sanchez(52)
23,24,24,May 3,,TOR,"W,10-7",41,31,10,13,5,0,1,10,7,1,4,0,1,2,0,2,0,0,0.248,0.316,0.391,0.707,7,10,R,D.Hutchison(24)
24,25,25,May 5,@,KCR,"L,3-5",33,31,3,4,1,0,2,3,2,0,8,0,0,0,0,0,0,0,0.244,0.312,0.389,0.701,3,12,L,J.Vargas(63)
25,26,26,May 6,@,KCR,"W,10-3",44,36,10,13,4,0,1,9,4,0,5,2,1,1,0,1,0,0,0.249,0.317,0.396,0.714,7,10,L,D.Duffy(25)
26,27,27,May 7,@,KCR,"L,4-7",37,31,4,4,0,1,1,4,6,0,8,0,0,0,0,0,1,0,0.244,0.316,0.393,0.708,6,11,R,E.Volquez(40)
27,28,28,May 8,,MIN,"L,3-9",37,34,3,7,1,0,1,3,3,0,1,0,0,0,0,0,0,0,0.243,0.314,0.39,0.704,7,11,R,M.Pelfrey(55)
28,29,29,May 9,,MIN,"L,4-7",41,39,4,13,2,0,1,4,2,0,7,0,0,0,0,0,2,0,0.247,0.316,0.393,0.709,10,13,R,P.Hughes(41)
29,30,30,May 10,,MIN,"W,8-2",40,35,8,13,2,1,1,8,4,0,6,0,0,1,0,0,2,1,0.251,0.32,0.399,0.719,8,10,R,T.May(21)
30,31,31,May 12,,STL,"L,3-8",40,36,3,9,4,0,0,3,4,0,14,0,0,0,0,0,0,0,0.251,0.32,0.398,0.718,10,10,R,L.Lynn(69)
31,32,32,May 13,,STL,"W,2-0",39,29,2,7,1,0,0,2,6,0,3,2,2,0,0,0,0,0,0.251,0.323,0.395,0.717,13,9,R,J.Lackey(47)
32,33,33,May 14,,STL,"L,1-2",37,34,1,8,3,1,1,1,3,0,12,0,0,0,0,0,0,1,0.25,0.322,0.397,0.719,9,12,R,M.Wacha(58)
33,34,34,May 15,@,TEX,"W,8-3",42,36,8,12,4,0,1,8,3,0,3,2,0,1,0,2,1,0,0.253,0.325,0.401,0.726,7,11,L,W.Rodriguez(29)
34,35,35,May 16,@,TEX,"W,10-8",47,39,10,14,4,0,1,10,5,1,11,0,0,3,2,0,2,0,0.256,0.327,0.406,0.733,10,11,R,C.Lewis(35)
35,36,36,May 17,@,TEX,"L,1-5",38,32,1,6,1,0,0,1,5,1,9,1,0,0,0,0,0,1,0.255,0.327,0.401,0.728,10,10,R,N.Martinez(54)
36,37,37,May 18,@,CHW,"L,1-2",36,32,1,4,1,0,0,1,2,0,8,0,1,1,0,0,0,0,0.251,0.323,0.394,0.718,5,10,L,C.Sale(75)
37,38,38,May 19,@,CHW,"W,3-1",39,32,3,9,1,1,1,3,4,1,8,1,1,1,0,1,1,0,0.252,0.324,0.396,0.721,9,10,L,J.Quintana(53)
38,39,39,May 20,@,CHW,"W,4-3",38,29,4,6,1,0,0,4,6,0,8,0,2,1,0,2,3,0,0.251,0.325,0.393,0.717,7,11,L,C.Rodon(59)
39,40,40,May 21,@,CHW,"W,5-2",43,36,5,11,2,0,2,4,6,1,4,0,1,0,0,1,1,0,0.252,0.327,0.396,0.723,11,10,L,J.Danks(35)
40,41,41,May 22,,CIN,"W,7-3",42,34,7,11,2,1,1,7,8,0,2,0,0,0,0,1,0,0,0.254,0.33,0.4,0.73,11,9,R,M.Leake(23)
41,42,42,May 23,,CIN,"W,2-1",31,27,2,4,2,0,0,2,4,1,6,0,0,0,0,1,0,0,0.252,0.329,0.396,0.725,5,12,R,A.DeSclafani(71)
42,43,43,May 24,,CIN,"W,5-2",42,35,5,8,5,0,0,3,7,0,8,0,0,0,3,0,1,0,0.252,0.329,0.396,0.725,13,10,R,R.Iglesias(46)
43,44,44,May 25,,TEX,"L,8-10",42,34,8,8,4,0,2,8,7,1,9,0,0,1,1,0,0,1,0.251,0.33,0.399,0.729,7,11,R,P.Klein(18)
44,45,45,May 26,,TEX,"L,3-4",39,32,3,5,2,0,2,3,5,0,8,1,0,1,1,0,0,0,0.249,0.329,0.399,0.728,9,12,L,W.Rodriguez(49)
45,46,46,May 27,,TEX,"W,12-3",44,40,12,17,3,1,3,12,3,0,6,0,0,1,0,0,1,0,0.254,0.332,0.409,0.741,8,10,R,C.Lewis(-1)
46,47,47,May 28,@,SEA,"W,5-3",40,37,5,10,1,0,1,5,1,0,5,1,1,0,1,0,0,1,0.254,0.332,0.408,0.74,8,11,L,J.Paxton(37)
47,48,48,May 29,@,SEA,"L,1-2",30,29,1,3,0,1,0,1,1,0,9,0,0,0,0,1,0,0,0.251,0.328,0.404,0.732,2,11,R,T.Walker(86)
48,49,49,May 30,@,SEA,"W,4-3",36,30,4,6,1,0,1,4,5,0,5,0,0,1,0,1,0,1,0.25,0.328,0.402,0.73,5,11,L,R.Elias(41)
49,50,50,May 31,@,SEA,"W,6-3",59,50,6,18,4,0,1,6,7,2,7,0,1,1,0,3,1,0,0.254,0.331,0.405,0.736,17,11,L,J.Happ(44)
50,51,51,Jun 2,@,KCR,"W,2-1",36,33,2,6,2,0,1,2,3,0,4,0,0,0,0,0,1,0,0.252,0.33,0.404,0.734,7,11,R,J.Guthrie(61)
51,52,52,Jun 3,@,KCR,"L,2-4",35,35,2,10,2,0,0,2,0,0,4,0,0,0,0,2,0,0,0.253,0.329,0.403,0.732,6,10,L,J.Vargas(51)
52,53,53,Jun 4,@,KCR,"W,6-2",37,33,6,10,3,0,1,6,3,0,6,0,1,0,0,0,2,0,0.254,0.329,0.404,0.734,7,10,R,C.Young(29)
53,54,54,Jun 5,,BAL,"L,2-5",37,33,2,7,1,0,0,2,4,0,6,0,0,0,0,1,0,0,0.253,0.329,0.401,0.73,8,12,R,C.Tillman(53)
54,55,55,Jun 6,,BAL,"W,2-1",36,27,2,7,2,0,0,2,8,0,9,0,1,0,0,2,1,0,0.253,0.33,0.4,0.731,10,10,R,U.Jimenez(50)
55,56,56,Jun 7,,BAL,"L,3-7",40,36,3,9,4,0,0,3,3,0,12,1,0,0,0,0,0,0,0.253,0.33,0.4,0.73,10,10,R,B.Norris(60)
56,57,57,Jun 9,,SEA,"L,2-3",37,35,2,8,0,0,2,2,2,0,3,0,0,0,1,1,0,0,0.253,0.329,0.4,0.729,8,11,L,R.Elias(59)
57,58,58,Jun 10,,SEA,"L,3-9",40,38,3,12,4,0,0,2,2,0,8,0,0,0,0,1,0,0,0.254,0.33,0.4,0.73,10,11,R,T.Walker(56)
58,59,59,Jun 11,,SEA,"W,6-0",35,32,6,10,1,0,1,6,3,0,10,0,0,0,0,2,0,0,0.255,0.33,0.401,0.731,5,10,L,J.Happ(30)
59,60,60,Jun 12,@,DET,"L,0-4",30,30,0,7,1,0,0,0,0,0,8,0,0,0,0,4,0,0,0.255,0.329,0.399,0.728,3,9,L,D.Price(81)
60,61,61,Jun 13,@,DET,"W,5-4",40,32,5,8,1,1,1,5,5,1,4,1,0,2,0,0,0,0,0.254,0.329,0.399,0.729,8,9,R,J.Verlander(53)
61,62,62,Jun 14,@,DET,"L,1-8",36,34,1,8,0,0,1,1,1,0,7,1,0,0,1,1,0,1,0.254,0.329,0.398,0.727,8,12,R,A.Simon(65)
62,63,63,Jun 16,@,CHC,"W,6-0",43,35,6,9,2,0,1,6,8,1,7,0,0,0,0,0,3,1,0.254,0.33,0.398,0.728,10,13,R,J.Arrieta(45)
63,64,64,Jun 17,,CHC,"L,0-17",31,29,0,4,0,0,0,0,2,0,6,0,0,0,0,1,0,0,0.253,0.328,0.395,0.723,4,13,L,T.Wada(73)
64,65,65,Jun 18,,CHC,"W,4-3",34,30,4,8,2,0,0,3,3,1,11,0,0,1,0,1,1,0,0.253,0.328,0.394,0.722,6,10,R,J.Hammel(50)
65,66,66,Jun 19,,TBR,"L,1-4",35,32,1,7,1,0,0,0,3,0,9,0,0,0,0,1,0,0,0.252,0.327,0.392,0.719,7,10,R,N.Karns(55)
66,67,67,Jun 20,,TBR,"L,1-4",36,32,1,6,1,0,0,1,4,0,9,0,0,0,0,1,0,0,0.251,0.327,0.389,0.716,8,10,R,E.Ramirez(58)
67,68,68,Jun 21,,TBR,"W,1-0",31,27,1,3,0,0,0,1,3,2,5,0,0,1,0,1,0,0,0.25,0.325,0.386,0.711,4,9,R,A.Colome(77)
68,69,69,Jun 22,,DET,"L,5-8",37,34,5,9,2,0,2,5,2,0,3,0,1,0,1,2,0,0,0.25,0.325,0.388,0.712,5,10,L,K.Ryan(35)
69,70,70,Jun 23,,DET,"L,3-7",38,37,3,12,4,0,0,2,0,0,8,0,0,1,1,2,0,0,0.251,0.325,0.388,0.713,8,10,L,D.Price(59)
70,71,71,Jun 24,,DET,"W,8-2",43,35,8,13,4,0,1,8,8,1,11,0,0,0,0,0,0,0,0.253,0.327,0.391,0.718,11,10,R,B.Farmer(37)
71,72,72,Jun 26,@,BAL,"L,3-4",39,36,3,10,0,0,3,3,3,0,9,0,0,0,0,1,0,0,0.253,0.327,0.393,0.72,9,11,L,W.Chen(53)
72,73,73,Jun 28 (1),@,BAL,"L,0-4",33,31,0,4,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0.252,0.326,0.39,0.715,6,10,R,U.Jimenez(81)
73,74,74,Jun 28 (2),@,BAL,"L,0-8",34,34,0,8,2,0,0,0,0,0,7,0,0,0,0,1,0,0,0.252,0.325,0.388,0.713,7,11,R,C.Tillman(75)
74,75,75,Jun 29,@,TBR,"W,7-1",43,38,7,13,3,0,1,5,4,2,12,0,1,0,0,1,1,0,0.253,0.326,0.39,0.716,9,10,R,N.Karns(51)
75,76,76,Jun 30,@,TBR,"W,6-2",37,34,6,7,1,0,3,6,3,0,11,0,0,0,1,0,1,1,0.252,0.325,0.391,0.717,4,9,R,E.Ramirez(67)
76,77,77,Jul 1,@,TBR,"W,8-1",39,36,8,10,3,0,1,8,2,0,4,0,0,1,0,0,0,0,0.253,0.325,0.392,0.717,4,10,R,A.Colome(43)
77,78,78,Jul 2,@,TBR,"W,5-4",39,34,5,8,0,0,1,5,3,0,9,0,0,1,0,2,0,0,0.252,0.324,0.391,0.716,4,10,L,M.Moore(38)
78,79,79,Jul 3,@,PIT,"W,5-2",42,33,5,7,1,0,1,5,8,0,6,1,0,0,1,1,0,0,0.252,0.325,0.391,0.716,10,14,R,C.Morton(52)
79,80,80,Jul 4,@,PIT,"L,0-1",30,28,0,3,0,0,0,0,1,0,7,1,0,0,0,2,0,0,0.25,0.324,0.388,0.711,3,11,L,J.Locke(84)
80,81,81,Jul 5,@,PIT,"L,3-5",32,29,3,5,1,0,0,3,1,0,6,1,1,0,0,2,1,0,0.25,0.323,0.386,0.708,2,14,R,G.Cole(64)
81,82,82,Jul 6,,HOU,"L,4-9",38,33,4,10,3,1,0,4,3,0,11,0,0,2,0,2,0,0,0.25,0.323,0.387,0.709,7,11,L,D.Keuchel(49)
82,83,83,Jul 7,,HOU,"W,2-0",33,31,2,8,1,0,1,2,2,0,6,0,0,0,0,1,0,0,0.25,0.323,0.387,0.709,7,9,R,V.Velasquez(56)
83,84,84,Jul 8,,HOU,"W,4-2",33,29,4,5,3,1,0,4,3,0,7,1,0,0,0,0,0,0,0.249,0.322,0.386,0.708,5,9,R,D.Straily(60)
84,85,85,Jul 9,,HOU,"W,3-1",34,32,3,9,2,1,1,3,2,1,4,0,0,0,0,1,0,0,0.25,0.322,0.387,0.71,7,11,L,B.Oberholtzer(43)
85,86,86,Jul 10,,OAK,"W,5-1",39,33,5,8,2,0,0,5,6,0,11,0,0,0,0,0,1,0,0.25,0.323,0.386,0.709,10,9,R,K.Graveman(42)
86,87,87,Jul 11,,OAK,"L,4-5",37,33,4,8,2,1,1,4,2,0,5,1,1,0,0,1,1,0,0.25,0.322,0.387,0.71,6,10,R,C.Bassitt(53)
87,88,88,Jul 12,,OAK,"L,0-2",29,28,0,2,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0.248,0.32,0.384,0.705,2,10,R,S.Gray(88)
88,89,89,Jul 17,@,CIN,"L,1-6",36,34,1,6,3,0,0,1,2,0,3,0,0,0,1,1,0,0,0.247,0.319,0.383,0.702,8,16,R,M.Leake(60)
89,90,90,Jul 18,@,CIN,"W,9-4",43,38,9,11,3,0,3,9,4,0,6,1,0,0,0,0,2,0,0.248,0.32,0.386,0.706,7,11,R,A.DeSclafani(31)
90,91,91,Jul 19,@,CIN,"W,5-3",56,42,5,13,0,0,0,5,10,0,9,0,3,1,1,0,0,0,0.249,0.322,0.385,0.706,18,18,R,J.Cueto(42)
91,92,92,Jul 21,@,MIL,"L,1-8",35,32,1,9,3,0,0,1,3,0,10,0,0,0,0,4,0,0,0.249,0.322,0.384,0.707,7,15,R,M.Garza(62)
92,93,93,Jul 22,@,MIL,"W,7-5",43,37,7,14,3,0,2,7,6,2,5,0,0,0,0,3,1,0,0.25,0.324,0.387,0.711,9,17,R,K.Lohse(27)
93,94,94,Jul 23,,CHW,"L,1-8",32,31,1,4,1,0,0,1,1,0,5,0,0,0,0,0,0,0,0.249,0.322,0.385,0.707,4,10,R,J.Samardzija(73)
94,95,95,Jul 24,,CHW,"L,0-6",31,31,0,7,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0.249,0.321,0.384,0.705,4,9,L,J.Quintana(81)
95,96,96,Jul 25,,CHW,"L,3-10",35,35,3,8,5,0,0,3,0,0,10,0,0,0,0,0,0,0,0.249,0.321,0.384,0.704,5,9,L,C.Sale(62)
96,97,97,Jul 26,,CHW,"L,1-2",34,32,1,6,1,1,0,1,1,0,13,1,0,0,0,1,0,0,0.248,0.32,0.383,0.702,6,11,L,C.Rodon(73)
97,98,98,Jul 27,,KCR,"L,4-9",39,34,4,9,0,0,2,4,5,0,6,0,0,0,0,1,0,0,0.248,0.32,0.383,0.703,8,9,R,E.Volquez(47)
98,99,99,Jul 28,,KCR,"L,1-2",36,32,1,8,1,0,0,0,4,0,7,0,0,0,0,1,6,1,0.248,0.32,0.382,0.703,8,9,R,C.Young(52)
99,100,100,Jul 29,,KCR,"W,12-1",47,41,12,18,3,0,4,12,2,0,7,3,0,1,0,0,0,0,0.251,0.322,0.387,0.71,11,9,R,J.Guthrie(20)
100,101,101,Jul 30,@,OAK,"W,3-1",31,30,3,7,1,0,1,2,1,0,7,0,0,0,0,1,1,3,0.251,0.322,0.387,0.709,1,9,R,C.Bassitt(58)
101,102,102,Jul 31,@,OAK,"W,2-1",37,34,2,8,2,0,0,1,3,0,9,0,0,0,1,1,2,0,0.25,0.322,0.386,0.708,8,10,R,K.Graveman(66)
102,103,103,Aug 1,@,OAK,"L,1-5",33,33,1,5,0,0,1,1,0,0,8,0,0,0,1,0,0,0,0.249,0.32,0.385,0.705,5,9,R,A.Brooks(69)
103,104,104,Aug 2,@,OAK,"L,1-2",38,32,1,6,0,0,0,1,5,0,11,0,0,1,0,3,0,0,0.249,0.32,0.383,0.703,7,9,R,S.Gray(68)
104,105,105,Aug 3,@,LAA,"L,4-5",37,33,4,7,0,0,1,4,3,0,14,0,1,0,0,0,1,0,0.249,0.32,0.382,0.702,6,10,R,G.Richards(62)
105,106,106,Aug 4,@,LAA,"W,2-0",46,43,2,10,2,0,1,2,3,1,13,0,0,0,0,1,1,1,0.248,0.319,0.382,0.701,8,11,R,M.Shoemaker(70)
106,107,107,Aug 5,@,LAA,"L,3-4",35,30,3,5,1,0,2,3,4,1,8,0,1,0,0,0,0,0,0.248,0.319,0.382,0.701,5,12,L,H.Santiago(56)
107,108,108,Aug 7,,MIN,"L,9-10",43,38,9,13,2,0,1,9,3,1,9,0,1,1,1,0,0,0,0.249,0.319,0.383,0.702,7,11,R,M.Pelfrey(22)
108,109,109,Aug 8,,MIN,"W,17-4",51,40,17,19,4,1,2,17,8,0,4,0,1,2,0,0,1,0,0.251,0.322,0.387,0.709,10,12,R,E.Santana(4)
109,110,110,Aug 9,,MIN,"W,8-1",39,35,8,14,5,0,1,8,1,0,5,1,0,2,0,0,0,0,0.252,0.323,0.39,0.712,7,9,R,P.Hughes(14)
110,111,111,Aug 11,,NYY,"W,5-4",66,60,5,17,2,0,0,5,3,1,14,1,1,1,0,1,1,0,0.253,0.323,0.389,0.711,15,12,R,L.Severino(51)
111,112,112,Aug 12,,NYY,"W,2-1",35,30,2,10,0,0,0,2,3,0,4,0,2,0,0,2,0,0,0.254,0.323,0.388,0.711,9,9,L,C.Sabathia(46)
112,113,113,Aug 13,,NYY,"L,6-8",42,36,6,12,3,0,0,5,4,0,9,0,1,1,0,1,1,0,0.254,0.324,0.388,0.712,9,9,R,N.Eovaldi(39)
113,114,114,Aug 14,@,MIN,"W,6-1",40,39,6,14,4,1,1,6,1,0,5,0,0,0,0,0,3,0,0.255,0.324,0.39,0.715,7,9,R,T.May(43)
114,115,115,Aug 15,@,MIN,"L,1-4",35,30,1,4,2,0,0,1,5,0,9,0,0,0,0,1,0,0,0.254,0.324,0.389,0.713,7,10,R,T.Duffey(72)
115,116,116,Aug 16,@,MIN,"L,1-4",36,31,1,6,2,0,0,1,3,0,6,0,1,1,1,0,0,1,0.254,0.323,0.388,0.711,8,10,L,T.Milone(57)
116,117,117,Aug 17,@,BOS,"W,8-2",40,36,8,10,3,0,2,8,3,0,11,0,1,0,1,0,2,1,0.254,0.323,0.389,0.713,5,9,R,M.Barnes(35)
117,118,118,Aug 18,@,BOS,"L,1-9",32,32,1,6,0,0,1,1,0,0,5,0,0,0,0,1,0,0,0.254,0.323,0.388,0.711,4,10,L,E.Rodriguez(71)
118,119,119,Aug 19,@,BOS,"L,4-6",37,33,4,8,1,0,1,3,4,0,7,0,0,0,1,3,0,0,0.254,0.323,0.388,0.711,6,10,R,J.Kelly(60)
119,120,120,Aug 20,@,NYY,"W,3-2",36,33,3,8,2,0,0,3,3,0,7,0,0,0,0,1,0,1,0.254,0.322,0.387,0.71,6,11,R,I.Nova(45)
120,121,121,Aug 21,@,NYY,"W,7-3",42,39,7,12,3,1,1,6,2,0,7,1,0,0,1,1,0,0,0.254,0.323,0.389,0.711,8,10,R,M.Tanaka(46)
121,122,122,Aug 22,@,NYY,"L,2-6",36,32,2,6,1,0,1,2,4,0,9,0,0,0,0,1,0,0,0.254,0.322,0.388,0.71,7,9,R,L.Severino(64)
122,123,123,Aug 23,@,NYY,"W,4-3",42,32,4,9,1,1,2,4,10,1,6,0,0,0,1,3,0,1,0.254,0.324,0.389,0.713,11,11,L,C.Sabathia(39)
123,124,124,Aug 24,@,CHC,"L,1-2",32,28,1,6,0,0,0,1,1,0,6,2,1,0,0,4,1,0,0.253,0.323,0.388,0.711,4,15,L,J.Lester(73)
124,125,125,Aug 25,,MIL,"W,11-6",41,36,11,13,4,1,2,11,4,0,7,0,1,0,2,0,1,0,0.254,0.324,0.391,0.715,6,10,R,W.Peralta(33)
125,126,126,Aug 26,,MIL,"W,6-2",41,33,6,11,2,0,1,4,8,0,8,0,0,0,0,2,5,0,0.255,0.325,0.392,0.717,11,10,R,J.Nelson(28)
