,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 4,@,PIT,"W,9-2",41,36,9,9,2,0,1,7,4,0,8,1,0,0,1,0,2,0,0.25,0.341,0.389,0.73,5,12,L,O.Perez(36)
1,2,2,Apr 6,@,PIT,"W,10-2",46,39,10,13,7,0,2,9,5,1,7,2,0,0,0,0,0,0,0.293,0.391,0.533,0.924,9,14,R,K.Wells(29)
2,3,3,Apr 8,@,CHC,"W,6-3",58,43,6,12,3,0,0,6,12,0,12,2,1,0,0,1,1,2,0.288,0.417,0.466,0.883,16,19,R,K.Wood(55)
3,4,4,Apr 9,@,CHC,"L,0-4",29,27,0,1,0,0,0,0,2,0,6,0,0,0,0,1,0,0,0.241,0.364,0.386,0.75,2,11,R,C.Zambrano(80)
4,5,5,Apr 10,@,CHC,"L,5-6",52,48,5,16,1,0,3,4,3,1,8,0,0,1,2,3,0,2,0.264,0.364,0.425,0.789,11,17,R,G.Maddux(35)
5,6,6,Apr 11,,PIT,"W,6-2",37,32,6,8,1,0,3,5,5,0,6,0,0,0,1,0,0,0,0.262,0.363,0.444,0.807,7,13,R,K.Wells(43)
6,7,7,Apr 12,,PIT,"L,2-4",33,31,2,6,0,1,0,2,1,0,8,0,1,0,1,0,0,1,0.254,0.347,0.422,0.769,4,13,L,M.Redman(59)
7,8,8,Apr 13,,PIT,"W,6-2",34,32,6,9,2,0,2,6,2,0,7,0,0,0,0,1,0,0,0.257,0.345,0.434,0.779,4,14,R,J.Fogg(63)
8,9,9,Apr 15,,STL,"L,0-3",31,29,0,5,1,0,0,0,2,0,4,0,0,0,0,2,0,1,0.249,0.334,0.413,0.748,4,12,R,J.Suppan(74)
9,10,10,Apr 16,,STL,"L,3-5",35,32,3,6,2,0,0,3,3,0,8,0,0,0,0,0,0,0,0.244,0.327,0.398,0.726,5,12,R,C.Carpenter(54)
10,11,11,Apr 17,,STL,"L,2-3",34,31,2,3,2,0,1,1,3,0,5,0,0,0,1,0,0,0,0.232,0.315,0.387,0.702,5,13,R,J.Marquis(74)
11,12,12,Apr 18,,LAD,"L,3-7",33,29,3,3,2,0,0,2,4,0,5,0,0,0,0,1,0,0,0.222,0.308,0.372,0.68,3,13,L,O.Perez(64)
12,13,13,Apr 19,,LAD,"L,6-8",43,36,6,8,2,0,1,6,6,0,5,1,0,0,0,0,0,1,0.222,0.312,0.371,0.682,7,14,R,E.Dessens(45)
13,14,14,Apr 20,@,HOU,"L,1-6",31,30,1,4,0,0,0,1,0,0,8,0,1,0,1,0,0,0,0.217,0.301,0.356,0.657,3,12,R,R.Oswalt(83)
14,15,15,Apr 21,@,HOU,"L,7-8",38,35,7,9,3,0,2,7,2,0,7,1,0,0,0,1,1,0,0.22,0.302,0.367,0.669,4,15,L,A.Pettitte(59)
15,16,16,Apr 22,@,SFG,"W,6-1",42,32,6,9,2,0,1,6,8,0,3,1,1,0,0,3,1,0,0.223,0.312,0.371,0.682,9,10,L,K.Rueter(40)
16,17,17,Apr 23,@,SFG,"L,2-6",40,34,2,8,0,0,1,2,5,0,6,0,1,0,0,0,0,0,0.224,0.313,0.368,0.681,11,16,R,B.Tomko(50)
