,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 5,,SEA,"L,3-5",35,28,3,5,0,0,0,3,7,0,6,0,0,0,1,4,1,0,0.179,0.343,0.179,0.521,5,9,R,F.Hernandez(54)
1,2,2,Apr 6,,SEA,"W,2-1",43,38,2,10,1,0,1,2,4,0,7,1,0,0,0,1,0,0,0.227,0.346,0.288,0.634,12,10,R,I.Snell(62)
2,3,3,Apr 7,,SEA,"W,6-5",41,37,6,14,4,0,1,5,1,0,2,1,0,2,0,0,1,0,0.282,0.361,0.388,0.75,10,12,L,R.Rowland-Smith(37)
3,4,4,Apr 8,,SEA,"W,6-2",40,35,6,11,4,0,0,6,5,1,6,0,0,0,0,0,2,0,0.29,0.371,0.399,0.77,10,10,R,D.Fister(41)
4,5,5,Apr 9,@,LAA,"W,10-4",45,41,10,13,4,0,1,10,3,0,5,1,0,0,2,1,0,0,0.296,0.373,0.419,0.792,8,11,R,M.Palmer(28)
5,6,6,Apr 10,@,LAA,"L,3-4",35,33,3,6,2,0,1,3,2,0,9,0,0,0,0,0,0,0,0.278,0.351,0.406,0.757,5,9,R,J.Weaver(66)
6,7,7,Apr 11,@,LAA,"W,9-4",42,34,9,9,2,0,1,8,6,0,5,0,2,0,1,0,2,1,0.276,0.355,0.407,0.761,6,11,L,J.Saunders(49)
7,8,8,Apr 12,@,SEA,"W,4-0",37,28,4,5,1,0,1,4,7,0,3,0,1,1,0,2,1,0,0.266,0.352,0.398,0.75,6,9,L,R.Rowland-Smith(51)
8,9,9,Apr 13,@,SEA,"L,0-3",32,29,0,3,0,0,0,0,2,0,4,0,1,0,1,2,0,0,0.251,0.335,0.37,0.705,5,9,R,D.Fister(80)
9,10,10,Apr 14,@,SEA,"L,2-4",32,31,2,5,0,0,1,2,1,0,9,0,0,0,0,0,0,1,0.243,0.323,0.359,0.682,3,9,L,J.Vargas(60)
10,11,11,Apr 15,,BAL,"W,6-2",38,32,6,9,6,0,0,6,3,1,7,1,0,2,1,0,2,0,0.246,0.325,0.369,0.693,8,9,R,D.Hernandez(40)
11,12,12,Apr 16,,BAL,"W,4-2",33,32,4,9,0,1,0,4,0,0,10,0,0,1,0,0,1,0,0.249,0.321,0.367,0.688,5,10,R,K.Millwood(49)
12,13,13,Apr 17,,BAL,"W,4-3",39,32,4,8,3,0,0,4,4,1,6,0,2,1,1,0,1,0,0.249,0.321,0.365,0.686,10,11,R,J.Guthrie(58)
13,14,14,Apr 18,,BAL,"L,3-8",37,34,3,10,1,0,0,3,1,0,10,1,0,1,0,1,0,0,0.252,0.321,0.362,0.683,7,11,L,B.Matusz(52)
14,15,15,Apr 20,,NYY,"L,3-7",37,32,3,8,1,0,2,3,5,0,11,0,0,0,0,2,0,0,0.252,0.323,0.369,0.692,7,12,R,J.Vazquez(47)
15,16,16,Apr 21,,NYY,"L,1-3",33,30,1,3,0,0,0,1,2,0,10,1,0,0,0,0,0,0,0.243,0.315,0.354,0.669,5,11,R,P.Hughes(80)
16,17,17,Apr 22,,NYY,"W,4-2",30,23,4,4,0,0,1,4,6,0,5,0,0,1,0,1,1,0,0.24,0.316,0.352,0.668,2,9,L,C.Sabathia(59)
17,18,18,Apr 23,,CLE,"W,10-0",40,37,10,12,2,0,1,10,3,0,2,0,0,0,3,2,0,0,0.246,0.32,0.358,0.678,6,9,R,J.Westbrook(35)
18,19,19,Apr 24,,CLE,"L,1-6",34,33,1,7,0,0,0,1,1,0,4,0,0,0,0,1,0,0,0.244,0.316,0.351,0.666,6,9,R,R.Hernandez(64)
