,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,,MIL,"W,11-9",43,35,11,12,3,1,2,11,6,1,5,0,1,1,2,1,1,0,0.343,0.429,0.657,1.086,8,15,R,B.Sheets(46)
1,2,2,Apr 2,,MIL,"W,7-0",39,35,7,13,5,0,0,6,2,0,7,1,1,0,0,1,0,0,0.357,0.425,0.586,1.011,8,16,L,G.Rusch(22)
2,3,3,Apr 3,,MIL,"W,6-4",42,38,6,13,2,0,2,6,3,1,8,1,0,0,1,0,1,0,0.352,0.418,0.574,0.992,12,15,R,M.Kinney(37)
3,4,4,Apr 4,,HOU,"L,5-6",49,44,5,13,3,0,3,5,4,0,5,1,0,0,0,2,0,3,0.336,0.404,0.572,0.976,8,17,R,B.Moehler(28)
4,5,5,Apr 5,,HOU,"L,1-2",33,31,1,7,2,0,0,1,0,0,4,0,2,0,0,0,0,1,0.317,0.376,0.525,0.901,5,13,R,T.Redding(60)
5,6,6,Apr 8,@,COL,"W,15-12",65,54,15,17,5,0,2,15,9,2,8,2,0,0,0,1,1,0,0.316,0.39,0.523,0.913,11,21,R,A.Cook(21)
6,7,7,Apr 9,@,COL,"L,4-9",37,33,4,8,3,0,1,4,2,0,3,2,0,0,0,2,0,0,0.307,0.382,0.511,0.893,6,14,R,N.Cruz(54)
7,8,8,Apr 10,@,COL,"L,6-7",44,38,6,12,3,0,0,5,6,1,1,0,0,0,2,1,0,0,0.308,0.385,0.497,0.882,11,15,R,S.Chacon(49)
8,9,9,Apr 11,@,HOU,"L,2-3",34,30,2,7,1,0,1,2,4,0,4,0,0,0,0,3,0,0,0.302,0.38,0.485,0.865,5,9,R,B.Moehler(46)
9,10,10,Apr 12,@,HOU,"W,3-0",44,34,3,10,0,0,0,2,8,1,5,1,1,0,0,2,0,0,0.301,0.386,0.468,0.854,14,12,R,T.Redding(49)
10,11,11,Apr 13,@,HOU,"W,11-8",42,38,11,11,2,0,3,10,3,0,9,0,0,1,1,0,0,0,0.3,0.381,0.478,0.859,4,16,R,R.Oswalt(31)
11,12,12,Apr 14,@,MIL,"W,7-5",50,40,7,17,1,0,2,6,5,1,4,2,2,1,1,0,1,1,0.311,0.392,0.489,0.881,16,16,R,T.Ritchie(18)
12,13,13,Apr 15,@,MIL,"L,1-6",35,32,1,6,2,0,1,1,3,0,7,0,0,0,0,0,0,0,0.303,0.384,0.479,0.863,7,13,R,B.Sheets(69)
13,14,14,Apr 16,@,MIL,"W,15-2",48,42,15,16,6,0,4,15,5,0,5,0,0,1,0,0,0,0,0.309,0.388,0.506,0.894,6,14,L,W.Franklin(8)
14,15,15,Apr 18,,ARI,"W,6-3",41,33,6,10,5,0,1,6,8,1,2,0,0,0,0,1,0,0,0.309,0.391,0.508,0.899,11,15,R,E.Dessens(28)
