,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 2,,NYY,"W,7-3",40,36,7,13,2,0,2,6,3,0,10,0,0,1,0,0,1,0,0.361,0.4,0.583,0.983,9,9,R,M.Tanaka(15)
1,2,2,Apr 4,,NYY,"L,0-5",35,32,0,5,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0.265,0.32,0.382,0.702,8,12,L,C.Sabathia(61)
2,3,3,Apr 5,,NYY,"W,4-1",33,31,4,8,0,0,1,4,2,0,10,0,0,0,0,0,2,1,0.263,0.315,0.374,0.689,5,9,R,M.Pineda(35)
3,4,4,Apr 6,,TOR,"L,2-5",34,31,2,8,3,0,0,1,3,0,7,0,0,0,0,4,0,0,0.262,0.317,0.369,0.686,5,10,R,M.Stroman(60)
4,5,5,Apr 7,,TOR,"W,10-8",43,35,10,13,4,0,1,10,7,0,14,0,0,1,0,1,2,0,0.285,0.351,0.412,0.763,9,11,L,F.Liriano(22)
5,6,6,Apr 8,,TOR,"W,3-2",49,39,3,8,1,0,0,3,9,2,9,0,1,0,0,0,2,0,0.27,0.352,0.377,0.729,14,11,R,A.Sanchez(68)
6,7,7,Apr 9,,TOR,"W,7-2",37,32,7,9,0,1,3,7,5,0,8,0,0,0,1,2,0,0,0.271,0.356,0.411,0.767,6,10,R,M.Estrada(36)
7,8,8,Apr 10,@,NYY,"L,1-8",29,29,1,2,1,0,1,1,0,0,12,0,0,0,0,0,0,0,0.249,0.328,0.389,0.716,1,10,R,M.Pineda(82)
8,9,9,Apr 12,@,NYY,"L,4-8",38,35,4,9,2,0,1,3,2,0,11,1,0,0,1,0,0,0,0.25,0.326,0.39,0.716,7,12,L,J.Montgomery(49)
9,10,10,Apr 13,@,NYY,"L,2-3",35,33,2,7,0,0,1,2,2,0,15,0,0,0,0,0,0,0,0.246,0.32,0.381,0.701,6,10,R,L.Severino(69)
10,11,11,Apr 14,@,BOS,"W,10-5",44,39,10,12,3,1,4,10,4,0,6,1,0,0,0,0,0,0,0.253,0.327,0.419,0.746,7,11,R,R.Porcello(18)
11,12,12,Apr 15,@,BOS,"L,1-2",33,28,1,3,0,0,0,1,5,0,15,0,0,0,0,1,0,0,0.243,0.321,0.398,0.718,5,12,L,C.Sale(76)
12,13,13,Apr 16,@,BOS,"L,5-7",36,33,5,7,0,1,2,4,3,0,14,0,0,0,0,1,1,0,0.24,0.318,0.402,0.719,4,11,L,D.Pomeranz(41)
13,14,14,Apr 17,@,BOS,"L,3-4",39,37,3,11,4,0,0,3,2,1,11,0,0,0,0,1,0,0,0.245,0.319,0.402,0.721,9,9,R,S.Wright(49)
14,15,15,Apr 18,,DET,"W,5-1",38,33,5,9,1,0,1,5,5,1,10,0,0,0,0,0,2,0,0.247,0.322,0.402,0.724,9,10,R,M.Fulmer(51)
15,16,16,Apr 19,,DET,"W,8-7",42,39,8,14,4,0,0,7,3,1,8,0,0,0,0,1,0,0,0.255,0.328,0.406,0.734,8,12,R,J.Zimmermann(35)
16,17,17,Apr 20,,DET,"W,8-1",39,34,8,11,2,1,3,7,3,0,7,1,1,0,1,0,0,0,0.259,0.332,0.424,0.755,7,9,L,D.Norris(32)
17,18,18,Apr 21,,HOU,"L,3-6",35,34,3,8,0,0,3,3,1,0,8,0,0,0,0,0,0,1,0.257,0.328,0.428,0.756,5,10,R,M.Fiers(45)
