,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 8,@,DET,"L,4-5",8.2,8,5,5,0,4,11,1,2,5.19,39,157,92,5.0,3.0,0,0,33,1,1,0,0,0,0,0,6,Marvin Hudson,"L.Giolito (99-64), B.Sousa (99), K.Crick (99-H), K.Graveman (99-H), A.Bummer (99-H), L.Hendriks (99-BL)"
1,2,2,Apr 9,@,DET,"W,5-2",9.0,7,2,2,0,5,12,0,0,3.57,36,150,89,2.0,1.0,0,0,31,1,0,0,0,0,0,3,5,Adrian Johnson,"D.Cease (99-64-W), R.López (99), B.Sousa (0-H), J.Ruiz (99-H), A.Bummer (0-Sv)"
2,3,3,Apr 10,@,DET,"W,10-1",9.0,2,1,1,0,4,8,0,0,2.7,32,134,84,0.0,0.0,0,1,28,0,1,0,0,0,0,0,5,John Tumpane,"M.Kopech (99-55), K.Crick (1-W), M.Foster (99), K.Graveman (1), T.Banks (99)"
3,4,4,Apr 12,,SEA,"W,3-2",9.0,7,2,2,0,6,10,1,0,2.52,40,150,90,2.0,0.0,0,0,34,1,0,0,0,0,0,0,6,Phil Cuzzi,"V.Velasquez (99-53), B.Sousa (2), R.López (2-W), A.Bummer (2-H), K.Graveman (1-H), L.Hendriks (3-Sv)"
4,5,5,Apr 13,,SEA,"W,6-4",9.0,8,4,3,1,1,12,1,0,2.62,36,149,102,0.0,0.0,0,0,35,2,0,0,0,0,0,0,5,Cory Blaser,"D.Keuchel (99-48-W), K.Crick (2-H), J.Ruiz (3-H), K.Graveman (0-H), L.Hendriks (0-Sv)"
5,6,6,Apr 14,,SEA,"L,1-5",9.0,7,5,5,0,6,8,3,1,3.02,42,172,99,4.0,1.0,3,0,35,1,0,0,0,0,2,0,6,Mark Ripperger,"J.Lambert (99-47-L), T.Banks (3), M.Foster (3), B.Sousa (1), J.Ruiz (0), A.Severino (99)"
6,7,7,Apr 15,,TBR,"W,3-2",9.0,6,2,2,0,2,13,0,0,2.87,34,141,98,1.0,1.0,1,0,32,2,0,0,0,0,0,0,4,David Rackley,"D.Cease (5-65-W), A.Bummer (2-H), K.Graveman (1-H), L.Hendriks (1-Sv)"
7,8,8,Apr 16,,TBR,"W,3-2",9.0,5,2,1,1,4,12,0,1,2.64,36,159,94,0.0,0.0,2,0,30,1,0,1,0,1,0,0,5,Junior Valentine,"M.Kopech (5-66), R.López (3-BW), J.Ruiz (1-H), B.Sousa (1-H), L.Hendriks (0-Sv)"
8,9,9,Apr 17,,TBR,"L,3-9",9.0,12,9,8,1,5,8,0,1,3.24,45,161,99,2.0,1.0,0,0,39,4,0,0,0,0,0,0,5,Larry Vanover,"V.Velasquez (4-42-L), T.Banks (2), M.Foster (2), A.Severino (2), K.Crick (3)"
9,10,10,Apr 20(1),@,CLE,"L,1-11",8.0,11,11,8,3,3,5,1,0,3.76,40,147,97,2.0,0.0,0,0,37,0,0,0,0,0,3,1,4,,"D.Keuchel (6--2-L), T.Banks (2), M.Foster (2), A.Severino (2)"
10,11,11,Apr 20(2),@,CLE,"L,1-2",8.0,6,2,2,0,3,11,0,0,3.63,33,144,94,4.0,0.0,0,0,30,3,0,0,0,0,0,0,6,,"J.Lambert (5-46-L), R.López (3), B.Sousa (3), K.Crick (2), A.Bummer (4), J.Ruiz (3)"
