,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 4,@,PIT,"W,9-2",9.0,9,2,2,0,0,7,0,0,2.0,36,137,96,0.0,0.0,0,0,36,1,1,0,0,0,0,0,3,Mike Reilly,"B.Sheets (99-59-W), T.Phelps (99), M.Wise (99)"
1,2,2,Apr 6,@,PIT,"W,10-2",9.0,7,2,2,0,3,5,1,2,2.0,37,143,95,2.0,0.0,0,0,32,1,0,0,0,0,0,2,4,Andy Fletcher,"D.Davis (99-59-W), W.Obermueller (99), T.Phelps (1), J.De La Rosa (99)"
2,3,3,Apr 8,@,CHC,"W,6-3",12.0,7,3,3,0,6,12,0,0,2.1,50,198,125,3.0,0.0,0,0,43,2,0,0,1,0,1,0,7,Alfonso Marquez,"C.Capuano (99-50), R.Bottalico (99), M.Wise (3), T.Phelps (1), G.Glover (99), J.De La Rosa (1-W), M.Adams (99-Sv)"
3,4,4,Apr 9,@,CHC,"L,0-4",8.0,8,4,4,0,2,5,1,0,2.61,34,115,76,0.0,0.0,1,0,32,1,0,0,0,0,0,0,2,Rick Reed,"B.Sheets (4-48-L), D.Turnbow (99)"
4,5,5,Apr 10,@,CHC,"L,5-6",11.1,11,6,6,0,7,9,0,2,3.1,52,232,135,2.0,2.0,0,0,43,4,1,2,0,0,0,2,6,Terry Craft,"V.Santos (99-52), T.Phelps (1), R.Bottalico (1-BSv), M.Wise (1), J.De La Rosa (1), D.Turnbow (0-L)"
5,6,6,Apr 11,,PIT,"W,6-2",9.0,8,2,2,0,5,10,0,0,2.93,39,140,95,0.0,0.0,1,0,34,2,1,0,0,0,0,1,3,Mike DiMuro,"D.Davis (4-58-W), M.Wise (0-H), M.Adams (2)"
6,7,7,Apr 12,,PIT,"L,2-4",9.0,10,4,4,0,2,7,2,0,3.07,37,142,88,0.0,0.0,1,1,34,3,0,0,1,0,0,1,4,Tom Hallion,"G.Glover (3-48-L), R.Bottalico (1), T.Phelps (1), D.Turnbow (1)"
7,8,8,Apr 13,,PIT,"W,6-2",9.0,12,2,2,0,2,5,0,0,2.95,39,155,97,0.0,0.0,0,0,37,2,0,0,0,0,0,2,4,Mark Carlson,"C.Capuano (4-46), W.Obermueller (6), J.De La Rosa (2-W), M.Adams (1)"
8,9,9,Apr 15,,STL,"L,0-3",9.0,5,3,2,1,1,9,1,0,2.85,33,138,85,1.0,0.0,0,0,32,0,0,0,0,0,1,0,3,Larry Young,"B.Sheets (5-64-L), R.Bottalico (2), D.Turnbow (2)"
9,10,10,Apr 16,,STL,"L,3-5",9.0,10,5,4,1,6,6,2,0,2.96,44,180,107,2.0,0.0,0,0,36,1,0,1,2,0,1,0,3,Fieldin Culbreth,"D.Davis (4-37-L), W.Obermueller (2), D.Turnbow (0)"
10,11,11,Apr 17,,STL,"L,2-3",9.0,5,3,2,1,1,4,1,0,2.87,33,105,68,0.0,0.0,0,0,32,1,0,0,0,0,0,0,2,Eric Cooper,"V.Santos (6-70), M.Adams (3-L)"
11,12,12,Apr 18,,LAD,"L,3-7",9.0,11,7,7,0,6,8,3,0,3.2,42,155,79,0.0,0.0,1,1,36,2,0,1,0,0,0,1,3,Tony Randazzo,"C.Capuano (4-45-L), M.Wise (6), R.Bottalico (2)"
12,13,13,Apr 19,,LAD,"L,6-8",10.0,11,8,8,0,4,7,2,0,3.53,43,176,106,3.0,2.0,1,1,39,4,0,0,0,0,0,1,5,Ed Montague,"G.Glover (6-53), J.De La Rosa (5), D.Turnbow (2-H), M.Adams (1-BSv), T.Phelps (6-L)"
