,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 1,,ATL,"W,3-2",10.0,7,2,2,0,2,10,1,1,1.8,40,134,93,0.0,0.0,0,0,37,2,0,0,0,0,1,0,5,Bill Miller,"A.Nola (99-60), A.Bradley (99), J.Alvarado (99), H.Neris (99), C.Brogdon (99-W)"
1,2,2,Apr 3,,ATL,"W,4-0",9.0,1,0,0,0,0,14,0,0,0.95,28,113,79,0.0,0.0,0,0,28,0,0,0,0,0,0,0,3,Doug Eddings,"Z.Wheeler (99-85-W), A.Bradley (1), H.Neris (1)"
2,3,3,Apr 4,,ATL,"W,2-1",9.0,4,1,1,0,3,11,1,0,0.96,32,113,72,0.0,0.0,0,0,29,1,0,0,0,0,0,1,3,Brian Knight,"Z.Eflin (99-72), J.Alvarado (2-W), H.Neris (0-Sv)"
3,4,4,Apr 5,,NYM,"W,5-3",9.0,10,3,3,0,4,11,0,0,1.46,40,164,107,3.0,0.0,0,0,36,0,0,0,0,0,1,2,5,Brian O'Nora,"M.Moore (99-44), B.Kintzler (99), S.Coonrod (99), C.Brogdon (3-W), J.Alvarado (0-Sv)"
4,5,5,Apr 6,,NYM,"L,4-8",9.0,5,8,8,0,8,7,2,1,2.74,41,168,92,3.0,3.0,2,0,31,2,0,0,0,1,0,0,4,D.J. Reyburn,"C.Anderson (99-56-L), V.Velasquez (99), B.Kintzler (0), D.Hale (99)"
5,6,6,Apr 7,,NYM,"W,8-2",9.0,11,2,2,0,3,9,0,1,2.62,43,167,112,2.0,0.0,0,0,38,2,1,0,1,0,1,0,5,Ryan Blakney,"A.Nola (5-49), C.Brogdon (1-W), A.Bradley (3), S.Coonrod (1), H.Neris (2)"
6,7,7,Apr 9,@,ATL,"L,1-8",8.0,12,8,7,1,5,7,3,0,3.29,40,161,94,1.0,0.0,0,0,35,3,0,0,0,0,1,1,3,Carlos Torres,"Z.Wheeler (5-38-L), B.Kintzler (2), D.Hale (2)"
7,8,8,Apr 10,@,ATL,"L,4-5",8.0,9,5,5,0,1,6,1,0,3.55,35,113,78,2.0,1.0,0,0,33,4,0,1,1,0,1,1,4,Alfonso Marquez,"Z.Eflin (5-43), A.Bradley (2-L), J.Alvarado (4), S.Coonrod (2)"
8,9,9,Apr 11,@,ATL,"W,7-6",9.0,10,6,6,0,1,7,3,0,3.83,38,133,92,0.0,0.0,0,0,35,3,0,0,1,1,0,0,5,Lance Barrett,"M.Moore (5-34), C.Brogdon (3-H), S.Coonrod (0-BSv), J.Alvarado (0-W), H.Neris (3-Sv)"
9,10,10,Apr 13(1),@,NYM,"L,3-4",7.1,6,4,3,1,6,6,1,2,3.81,35,139,82,0.0,0.0,0,0,27,0,0,0,0,0,0,1,5,Joe West,"C.Anderson (6-48), J.Romero (99), J.Alvarado (1), C.Brogdon (1), H.Neris (1-BL)"
10,11,11,Apr 13(2),@,NYM,"L,0-4",6.0,9,4,4,0,2,8,0,1,3.95,30,124,79,0.0,0.0,0,0,27,3,1,0,0,0,0,0,2,Nic Lentz,"A.Nola (5-47-L), S.Howard (99)"
11,12,12,Apr 14,@,NYM,"L,1-5",8.0,12,5,5,0,2,7,1,2,4.09,39,135,89,3.0,1.0,0,0,34,0,0,0,0,1,0,1,4,Jeremy Riggs,"Z.Wheeler (4-46-L), S.Coonrod (2), J.Romero (0), V.Velasquez (7)"
12,13,13,Apr 16,,STL,"W,9-2",9.0,6,2,2,0,0,7,1,0,3.92,32,120,83,0.0,0.0,0,0,32,1,0,0,0,0,0,1,3,Brian Gorman,"Z.Eflin (5-63-W), C.Brogdon (2), B.Kintzler (6)"
13,14,14,Apr 17,,STL,"L,4-9",9.0,11,9,8,1,8,11,4,0,4.22,45,186,114,5.0,1.0,0,1,37,2,0,1,0,0,1,1,5,Dan Bellino,"M.Moore (5-26-L), J.Romero (2), V.Velasquez (2), D.Hale (7), H.Neris (3)"
14,15,15,Apr 18,,STL,"W,2-0",9.0,2,0,0,0,0,10,0,0,3.93,30,109,73,,,0,0,30,0,0,0,0,0,1,0,1,Lance Barksdale,A.Nola (4-93-W)
15,16,16,Apr 19,,SFG,"L,0-2",9.0,7,2,2,0,1,12,1,1,3.8,36,150,96,0.0,0.0,1,0,34,3,0,0,0,0,0,0,5,CB Bucknor,"C.Anderson (5-49-L), D.Hale (1), S.Coonrod (4), B.Kintzler (2), J.Romero (1)"
16,17,17,Apr 20,,SFG,"L,7-10",9.0,11,10,10,0,4,7,5,0,4.18,40,164,104,0.0,0.0,0,0,35,1,0,0,1,0,0,2,4,Chad Fairchild,"Z.Wheeler (5-46), S.Coonrod (0-H), C.Brogdon (3-BL), R.Rosso (99)"
17,18,18,Apr 21,,SFG,"W,6-5",9.0,11,5,4,1,1,9,1,0,4.17,38,152,101,2.0,0.0,0,0,37,3,0,1,0,0,1,1,5,Adam Hamari,"Z.Eflin (4-57), B.Kintzler (1-BSv), J.Romero (1), S.Howard (7), H.Neris (3-W)"
