,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 7,@,BOS,"L,3-5",8.0,9,5,5,0,4,3,2,0,5.62,36,131,85,0.0,0.0,0,0,32,3,0,0,0,0,0,1,3,Tim Tschida,"J.Shields (99-29-L), L.Cormier (99), J.Nelson (99)"
1,2,2,Apr 8,@,BOS,"W,7-2",9.0,8,2,2,0,3,8,0,1,3.71,38,158,100,3.0,0.0,0,0,34,2,0,0,0,0,0,0,4,Bob Davidson,"S.Kazmir (99-59-W), D.Wheeler (99), J.Howell (99), G.Balfour (99-Sv)"
2,3,3,Apr 9,@,BOS,"W,4-3",9.0,7,3,3,0,5,6,1,0,3.46,40,155,88,1.0,1.0,1,0,35,2,1,0,0,0,1,0,4,Jeff Nelson,"M.Garza (99-67-W), B.Shouse (99-H), J.Nelson (1-H), T.Percival (99-Sv)"
3,4,4,Apr 10,@,BAL,"L,4-5",8.0,11,5,5,0,4,4,0,0,3.97,37,143,90,2.0,0.0,0,0,33,3,0,1,0,0,0,1,3,Brian Knight,"A.Sonnanstine (99-26-L), L.Cormier (2), J.Howell (1)"
4,5,5,Apr 11,@,BAL,"L,0-6",8.0,9,6,6,0,5,6,1,1,4.5,39,145,87,2.0,1.0,1,0,33,2,0,0,0,0,0,0,3,Derryl Cousins,"J.Niemann (99-31-L), B.Shouse (1), J.Nelson (1)"
5,6,6,Apr 12,@,BAL,"W,11-3",9.0,6,3,3,0,4,5,0,0,4.24,36,130,81,3.0,1.0,0,0,32,1,0,0,0,0,0,1,4,Jim Joyce,"J.Shields (4-73-W), D.Wheeler (3), G.Balfour (3), J.Howell (1)"
6,7,7,Apr 13,,NYY,"W,15-5",9.0,9,5,5,0,2,6,1,0,4.35,36,140,90,1.0,1.0,0,0,34,2,0,0,0,0,0,2,3,Tony Randazzo,"S.Kazmir (4-56-W), L.Cormier (2), B.Shouse (1)"
7,8,8,Apr 14,,NYY,"L,2-7",9.0,11,7,7,0,2,10,2,0,4.7,39,157,104,0.0,0.0,0,0,35,3,0,0,0,2,0,0,3,Chris Guccione,"M.Garza (4-66), J.Howell (1-L), D.Wheeler (1)"
8,9,9,Apr 15,,NYY,"L,3-4",9.0,8,4,4,0,3,8,1,0,4.62,38,164,99,4.0,1.0,0,1,35,4,0,1,0,0,1,0,6,Ed Montague,"A.Sonnanstine (4-53), J.Nelson (3-H), G.Balfour (2-H), J.Howell (0-BSv), B.Shouse (1), T.Percival (5-L)"
9,10,10,Apr 16,,CHW,"L,2-3",9.0,14,3,3,0,2,6,1,0,4.45,41,167,104,2.0,0.0,1,0,39,1,1,0,0,0,0,1,3,Brian Gorman,"J.Niemann (4-48-L), L.Cormier (2), G.Balfour (0)"
