,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 29,,COL,"W,8-2",42,36,8,12,2,1,0,8,6,0,11,0,0,0,0,0,2,0,0.333,0.429,0.444,0.873,10,17,R,J.Gray(39)
1,2,2,Mar 30,,COL,"W,9-8",38,32,9,8,1,1,1,9,5,0,9,1,0,0,0,0,1,0,0.294,0.4,0.441,0.841,5,16,L,T.Anderson(18)
2,3,3,Mar 31,,COL,"L,1-2",34,29,1,5,1,0,0,1,5,0,8,0,0,0,1,2,0,0,0.258,0.368,0.371,0.74,6,14,R,G.Marquez(57)
3,4,4,Apr 2,,LAD,"W,8-7",63,53,8,14,4,2,1,8,10,1,11,0,0,0,0,2,0,1,0.26,0.373,0.407,0.78,12,20,L,H.Ryu(36)
4,5,5,Apr 3,,LAD,"W,6-1",38,33,6,8,0,0,3,6,5,0,8,0,0,0,1,0,0,0,0.257,0.367,0.426,0.794,8,13,L,C.Kershaw(61)
5,6,6,Apr 4,,LAD,"W,3-0",29,27,3,7,4,0,0,3,0,0,7,0,1,1,0,1,2,0,0.257,0.354,0.424,0.778,2,12,L,A.Wood(53)
6,7,7,Apr 5,@,STL,"W,3-1",42,34,3,9,3,1,0,3,5,1,9,1,1,1,1,0,0,0,0.258,0.356,0.422,0.778,12,14,R,A.Wainwright(40)
7,8,8,Apr 7,@,STL,"L,3-5",39,31,3,5,2,0,0,3,7,0,12,0,1,0,1,1,0,0,0.247,0.351,0.4,0.751,9,13,R,M.Wacha(51)
8,9,9,Apr 8,@,STL,"W,4-1",35,33,4,7,0,0,2,4,2,0,9,0,0,0,0,0,1,0,0.244,0.342,0.399,0.741,4,15,R,L.Weaver(69)
9,10,10,Apr 9,@,SFG,"W,2-1",32,30,2,5,0,1,0,2,1,0,11,0,0,1,0,0,0,1,0.237,0.329,0.385,0.714,3,12,L,D.Holland(67)
10,11,11,Apr 10,@,SFG,"L,4-5",40,32,4,6,3,0,1,4,7,0,9,1,0,0,0,1,1,0,0.232,0.331,0.384,0.715,9,13,R,T.Beede(46)
