,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 6,@,TBR,"W,6-2",37,34,6,8,2,0,3,6,2,0,11,1,0,0,1,0,0,0,0.235,0.297,0.559,0.856,4,9,R,C.Archer(47)
1,2,2,Apr 7,@,TBR,"W,6-5",37,29,6,6,1,0,1,6,6,0,5,1,0,1,0,3,0,0,0.222,0.324,0.46,0.785,4,10,R,N.Karns(35)
2,3,3,Apr 8,@,TBR,"L,0-2",31,29,0,3,1,0,0,0,1,0,13,1,0,0,0,1,0,0,0.185,0.276,0.359,0.635,4,9,R,J.Odorizzi(77)
3,4,4,Apr 10,,TOR,"L,5-12",38,36,5,13,3,0,2,4,2,0,2,0,0,0,0,3,0,0,0.234,0.308,0.43,0.737,6,9,L,M.Buehrle(47)
4,5,5,Apr 11,,TOR,"W,7-1",39,32,7,9,0,0,3,6,6,2,8,1,0,0,1,2,0,0,0.244,0.33,0.456,0.786,8,9,R,A.Sanchez(33)
5,6,6,Apr 12,,TOR,"L,7-10",39,35,7,8,0,0,2,7,2,0,9,2,0,0,0,1,1,0,0.241,0.326,0.446,0.772,5,10,R,D.Hutchison(25)
6,7,7,Apr 13,,NYY,"L,5-6",38,35,5,11,3,0,1,5,2,0,13,1,0,0,0,0,1,2,0.252,0.332,0.452,0.784,6,11,R,M.Pineda(44)
7,8,8,Apr 14,,NYY,"W,4-3",32,29,4,7,0,1,1,4,1,0,9,0,0,2,2,2,0,0,0.251,0.323,0.448,0.771,4,10,L,C.Sabathia(53)
8,9,9,Apr 15,,NYY,"W,7-5",42,37,7,15,1,1,2,7,4,1,11,0,1,0,0,0,0,0,0.27,0.34,0.473,0.813,11,10,R,N.Eovaldi(49)
9,10,10,Apr 17,@,BOS,"L,2-3",34,32,2,5,1,0,1,1,2,0,8,0,0,0,1,1,1,0,0.259,0.328,0.454,0.782,5,9,R,J.Kelly(54)
10,11,11,Apr 18,@,BOS,"W,4-1",41,39,4,13,1,0,1,4,2,0,8,0,0,0,0,1,0,0,0.267,0.332,0.452,0.784,10,10,R,C.Buchholz(48)
11,12,12,Apr 19,@,BOS,"W,8-3",44,39,8,15,3,0,2,8,3,0,9,1,0,1,0,2,1,0,0.278,0.341,0.468,0.809,9,10,R,R.Porcello(14)
12,13,13,Apr 20,@,BOS,"L,1-7",27,24,1,4,2,1,0,1,3,0,7,0,0,0,0,1,1,0,0.272,0.337,0.46,0.797,5,9,R,J.Masterson(60)
13,14,14,Apr 21,@,TOR,"L,6-13",40,37,6,12,4,0,0,4,2,0,5,0,0,1,1,0,0,0,0.276,0.338,0.458,0.796,7,10,L,M.Buehrle(45)
14,15,15,Apr 22,@,TOR,"L,2-4",36,28,2,5,1,0,1,2,8,0,6,0,0,0,0,2,1,1,0.271,0.339,0.451,0.79,7,11,R,A.Sanchez(53)
15,16,16,Apr 23,@,TOR,"L,6-7",36,35,6,8,1,0,2,6,0,0,9,1,0,0,0,0,0,0,0.268,0.334,0.449,0.783,3,10,R,D.Hutchison(73)
16,17,17,Apr 24,,BOS,"L,5-7",39,33,5,10,1,0,2,5,4,1,10,0,1,1,1,2,1,0,0.27,0.336,0.453,0.789,7,12,R,R.Porcello(49)
17,18,18,Apr 25,,BOS,"W,5-4",41,37,5,11,3,1,2,5,1,0,4,1,0,2,0,0,1,0,0.272,0.335,0.462,0.796,8,10,R,J.Masterson(53)
18,19,19,Apr 26,,BOS,"W,18-7",49,44,18,20,4,1,1,17,4,0,5,0,0,1,1,0,0,0,0.284,0.345,0.475,0.821,7,11,L,W.Miley(19)
19,20,20,Apr 29,,CHW,"W,8-2",36,34,8,11,4,0,2,8,1,0,7,0,0,1,1,1,0,0,0.286,0.345,0.482,0.827,4,10,R,J.Samardzija(21)
20,21,21,May 1,@,TBR,"L,0-2",31,31,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0.279,0.336,0.467,0.803,4,9,R,A.Colome(67)
