,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 6,,MON,"W,4-3",35,33,4,10,1,0,1,4,2,0,11,0,0,0,1,1,0,0,0.303,0.343,0.424,0.767,7,15,R,L.Hernández(61)
1,2,2,Apr 7,,MON,"L,2-3",36,33,2,6,2,0,1,2,3,0,6,0,0,0,1,1,0,0,0.242,0.296,0.379,0.675,7,13,R,C.Vargas(63)
2,3,3,Apr 8,,MON,"W,3-0",35,34,3,11,1,0,1,3,1,0,4,0,0,0,0,1,0,0,0.27,0.311,0.4,0.711,8,11,R,T.Ohka(41)
3,4,4,Apr 9,,PHI,"W,4-3",33,30,4,11,1,0,0,4,1,0,4,0,2,0,0,2,0,0,0.292,0.328,0.4,0.728,5,14,L,E.Milton(49)
4,5,5,Apr 10,,PHI,"W,5-3",36,32,5,11,1,0,3,5,3,0,6,0,1,0,0,1,1,1,0.302,0.343,0.451,0.794,7,12,R,B.Myers(44)
5,6,6,Apr 11,,PHI,"W,3-1",31,26,3,5,1,0,2,3,3,1,5,0,1,1,0,1,0,0,0.287,0.332,0.452,0.784,4,13,R,K.Millwood(52)
6,7,7,Apr 13,@,MON,"W,5-0",38,33,5,8,1,0,2,5,4,0,5,1,0,0,1,0,0,1,0.281,0.333,0.452,0.786,6,11,R,C.Vargas(49)
7,8,8,Apr 14,@,MON,"W,9-0",46,42,9,15,1,0,3,9,3,0,6,0,1,0,1,0,1,0,0.293,0.344,0.475,0.819,10,17,R,T.Ohka(29)
8,9,9,Apr 15,@,MON,"W,3-0",34,31,3,6,0,0,1,3,2,0,3,0,0,1,0,1,0,0,0.282,0.332,0.456,0.788,4,13,R,Z.Day(58)
9,10,10,Apr 16,@,ATL,"L,4-5",38,34,4,7,1,0,0,3,3,0,8,0,0,1,0,0,2,0,0.274,0.325,0.433,0.758,7,13,R,J.Wright(55)
10,11,11,Apr 17,@,ATL,"L,1-4",31,31,1,6,1,0,0,0,0,0,8,0,0,0,0,1,1,0,0.267,0.314,0.415,0.729,3,12,R,R.Ortiz(65)
11,12,12,Apr 18,@,ATL,"L,2-3",37,33,2,7,0,1,1,2,4,0,3,0,0,0,0,4,2,0,0.263,0.313,0.411,0.724,5,14,L,M.Hampton(65)
12,13,13,Apr 20,@,PHI,"W,3-1",40,35,3,7,0,0,0,3,4,0,9,0,1,0,3,0,2,0,0.258,0.31,0.393,0.704,10,12,R,V.Padilla(57)
13,14,14,Apr 21,@,PHI,"W,8-7",57,50,8,15,1,0,4,7,4,0,9,1,1,1,1,0,1,0,0.262,0.315,0.411,0.726,13,20,L,E.Milton(62)
14,15,15,Apr 22,@,PHI,"W,9-7",44,40,9,13,1,0,2,9,2,0,7,1,1,0,1,0,2,0,0.267,0.32,0.418,0.738,8,12,R,B.Myers(28)
15,16,16,Apr 23,,ATL,"L,1-6",35,29,1,4,3,0,0,1,6,0,7,0,0,0,0,1,0,1,0.26,0.318,0.408,0.726,7,16,R,R.Ortiz(61)
16,17,17,Apr 24,,ATL,"W,7-4",38,34,7,13,3,0,1,5,3,0,2,0,0,1,0,0,1,1,0.267,0.324,0.417,0.741,7,15,L,M.Hampton(27)
17,18,18,Apr 25,,ATL,"L,2-7",37,34,2,9,1,1,0,2,3,0,9,0,0,0,0,0,1,1,0.267,0.324,0.414,0.738,8,15,R,J.Thomson(58)
18,19,19,Apr 26,@,COL,"W,6-3",37,36,6,10,1,1,3,6,0,0,5,1,0,0,0,0,0,0,0.268,0.323,0.425,0.747,4,13,R,S.Elarton(35)
