,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,,WSN,"L,7-9",40,35,7,7,0,0,3,7,3,0,18,0,1,1,0,0,0,0,0.2,0.256,0.457,0.714,3,18,R,S.Strasburg(54)
1,2,2,Apr 2,,WSN,"L,1-5",32,29,1,3,1,1,0,1,2,0,13,0,0,1,1,0,0,0,0.156,0.211,0.344,0.555,4,13,L,G.Gonzalez(67)
2,3,3,Apr 3,,WSN,"L,2-8",37,31,2,7,3,0,0,2,4,0,8,0,1,1,0,1,0,0,0.179,0.243,0.337,0.58,8,15,R,T.Roark(54)
3,4,4,Apr 4,,CIN,"W,4-3",33,30,4,6,1,0,2,4,3,0,4,0,0,0,0,0,0,0,0.184,0.25,0.36,0.61,5,13,R,M.Leake(48)
4,5,5,Apr 5,,CIN,"W,6-3",36,30,6,6,1,0,2,6,5,1,10,0,1,0,1,1,0,0,0.187,0.263,0.374,0.637,6,12,R,J.Cueto(65)
5,6,6,Apr 6,,CIN,"L,1-2",32,30,1,4,2,0,0,1,1,0,8,1,0,0,0,0,0,1,0.178,0.251,0.346,0.597,4,14,R,A.Simon(70)
6,7,7,Apr 8,@,ATL,"W,4-0",39,34,4,9,1,0,0,3,4,0,9,0,1,0,0,0,3,0,0.192,0.265,0.338,0.603,8,12,R,A.Harang(69)
7,8,8,Apr 9,@,ATL,"L,3-4",35,33,3,6,1,0,0,3,2,0,9,0,0,0,0,0,0,0,0.19,0.261,0.321,0.582,5,14,R,E.Santana(82)
8,9,9,Apr 10,@,ATL,"W,6-4",42,36,6,9,1,1,0,6,6,0,9,0,0,0,0,0,5,0,0.198,0.273,0.323,0.596,9,14,R,D.Hale(36)
9,10,10,Apr 11,@,LAA,"L,4-5",41,41,4,10,3,0,1,3,0,0,9,0,0,0,0,1,0,1,0.204,0.27,0.331,0.601,4,11,L,T.Skaggs(47)
10,11,11,Apr 12,@,LAA,"W,7-6",57,47,7,11,0,0,2,7,8,0,14,1,1,0,0,0,2,1,0.207,0.282,0.335,0.617,11,9,R,J.Weaver(53)
11,12,12,Apr 13,@,LAA,"L,2-14",34,30,2,6,1,0,0,1,4,0,11,0,0,0,0,2,0,1,0.207,0.283,0.328,0.61,5,14,L,C.Wilson(63)
12,13,13,Apr 14,@,ARI,"W,7-3",45,39,7,13,2,0,0,7,4,0,10,0,1,1,1,0,1,0,0.218,0.292,0.333,0.624,11,13,R,J.Collmenter(42)
13,14,14,Apr 15,@,ARI,"W,9-0",42,38,9,12,1,0,1,8,2,0,10,1,0,1,0,0,0,0,0.226,0.297,0.34,0.636,6,11,R,B.Arroyo(4)
14,15,15,Apr 16,@,ARI,"W,5-2",42,37,5,10,2,0,1,5,4,2,8,0,0,1,1,0,4,0,0.229,0.299,0.344,0.644,10,13,R,B.McCarthy(45)
15,16,16,Apr 18,,ATL,"L,0-6",34,27,0,1,0,0,0,0,6,0,8,0,1,0,0,0,0,0,0.219,0.295,0.329,0.624,7,15,R,A.Harang(76)
16,17,17,Apr 19,,ATL,"L,5-7",43,39,5,12,3,0,0,5,3,0,8,1,0,0,1,0,2,1,0.225,0.3,0.333,0.633,11,13,R,E.Santana(66)
17,18,18,Apr 20,,ATL,"W,4-3",56,49,4,9,0,0,0,4,4,1,11,1,1,1,3,2,1,0,0.222,0.296,0.321,0.618,11,20,R,D.Hale(53)
18,19,19,Apr 21,,STL,"W,2-0",35,30,2,7,1,0,0,2,4,1,8,1,0,0,1,1,1,0,0.223,0.299,0.319,0.617,9,13,L,T.Lyons(55)
19,20,20,Apr 22,,STL,"L,0-3",31,29,0,4,0,0,0,0,2,0,4,0,0,0,0,1,0,1,0.219,0.294,0.311,0.606,4,15,R,A.Wainwright(72)
20,21,21,Apr 23,,STL,"W,3-2",35,29,3,4,0,0,1,3,6,0,14,0,0,0,1,0,0,0,0.216,0.294,0.308,0.602,8,13,R,M.Wacha(53)
21,22,22,Apr 24,,STL,"W,4-1",33,29,4,7,2,1,1,4,2,0,10,1,1,0,1,1,0,0,0.217,0.295,0.315,0.61,5,14,R,L.Lynn(62)
22,23,23,Apr 25,,MIA,"W,4-3",38,34,4,10,2,0,0,4,2,1,6,0,2,0,0,0,3,0,0.22,0.296,0.317,0.613,8,14,R,H.Alvarez(54)
23,24,24,Apr 26,,MIA,"L,6-7",41,35,6,6,1,0,1,5,4,0,11,1,0,1,0,0,1,0,0.218,0.295,0.315,0.61,5,18,R,K.Slowey(34)
24,25,25,Apr 27,,MIA,"W,4-0",35,29,4,6,2,0,1,4,4,0,6,1,1,0,1,1,1,0,0.218,0.296,0.318,0.614,7,10,R,T.Koehler(39)
25,26,26,Apr 29,@,PHI,"W,6-1",39,32,6,9,2,0,0,6,5,0,6,1,1,0,0,2,1,0,0.22,0.3,0.319,0.618,6,12,L,C.Hamels(22)
26,27,27,May 1,@,COL,"L,4-7",35,33,4,7,2,0,1,4,2,0,2,0,0,0,0,0,1,0,0.22,0.298,0.32,0.619,4,14,R,J.Nicasio(72)
27,28,28,May 2,@,COL,"L,3-10",38,34,3,9,1,0,1,2,4,0,6,0,0,0,0,1,0,1,0.221,0.3,0.322,0.622,8,15,L,J.De La Rosa(45)
28,29,29,May 3,@,COL,"L,10-11",49,45,10,17,6,1,0,9,3,1,12,1,0,0,1,0,1,0,0.228,0.306,0.333,0.639,12,16,L,F.Morales(31)
29,30,30,May 4,@,COL,"W,5-1",41,35,5,10,5,0,0,5,6,1,5,0,0,0,0,1,1,0,0.23,0.309,0.336,0.645,9,13,R,J.Chacin(34)
30,31,31,May 5,@,MIA,"L,3-4",34,31,3,6,1,0,2,3,2,0,11,0,0,1,0,0,0,1,0.229,0.306,0.339,0.645,4,15,R,N.Eovaldi(64)
31,32,32,May 6,@,MIA,"L,0-3",31,30,0,6,3,0,0,0,0,0,7,1,0,0,0,2,0,0,0.228,0.304,0.338,0.642,4,13,R,H.Alvarez(82)
32,33,33,May 7,@,MIA,"L,0-1",30,28,0,2,1,0,0,0,1,0,6,0,1,0,0,0,0,0,0.225,0.3,0.332,0.632,3,15,R,T.Koehler(82)
33,34,34,May 9,,PHI,"L,2-3",50,43,2,10,2,0,0,2,5,1,12,1,1,0,1,0,0,0,0.225,0.301,0.33,0.631,15,18,R,R.Hernandez(52)
34,35,35,May 10,,PHI,"L,4-5",39,32,4,7,1,0,1,4,4,0,8,1,1,1,0,0,1,0,0.225,0.301,0.33,0.631,8,17,R,K.Kendrick(46)
35,36,36,May 11,,PHI,"W,5-4",53,46,5,16,5,0,1,5,6,2,13,0,1,0,0,0,2,0,0.229,0.306,0.337,0.643,17,18,L,C.Hamels(66)
36,37,37,May 12,@,NYY,"W,9-7",41,40,9,14,4,0,4,9,1,0,8,0,0,0,0,0,2,1,0.233,0.307,0.35,0.658,5,11,R,H.Kuroda(45)
37,38,38,May 13,@,NYY,"W,12-7",45,36,12,10,3,0,2,12,6,0,7,1,0,2,1,0,0,0,0.234,0.31,0.355,0.665,6,9,L,V.Nuno(25)
38,39,39,May 14,,NYY,"L,0-4",30,30,0,4,1,0,0,0,0,0,8,0,0,0,0,0,1,1,0.232,0.306,0.351,0.657,3,13,R,M.Tanaka(87)
39,40,40,May 15,,NYY,"L,0-1",33,29,0,3,0,0,0,0,3,0,14,0,1,0,0,0,0,0,0.229,0.304,0.346,0.649,6,15,R,C.Whitley(62)
40,41,41,May 16,@,WSN,"L,2-5",38,33,2,7,3,0,0,2,5,0,6,0,0,0,0,1,0,0,0.229,0.304,0.345,0.649,9,15,R,T.Roark(53)
