,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 1,,STL,"W,6-2",9.0,5,2,2,0,1,10,0,0,2.0,31,119,85,0.0,0.0,0,0,30,3,0,0,0,0,0,1,3,Gerry Davis,"I.Kennedy (99-66-W), D.Hernandez (99), B.Ziegler (99)"
1,2,2,Apr 2,,STL,"L,1-6",9.0,10,6,6,0,3,10,3,1,4.0,40,154,95,4.0,0.0,0,0,36,2,0,0,0,0,0,0,5,Dan Iassogna,"T.Cahill (99-52-L), T.Sipp (99), H.Bell (99), J.Collmenter (99), M.Reynolds (99)"
2,3,3,Apr 3,,STL,"W,10-9",16.0,16,9,9,0,4,12,1,1,4.5,69,229,155,4.0,3.0,0,0,60,5,0,1,4,0,0,0,7,Brian Knight,"B.McCarthy (99-26), T.Sipp (0-BSv), B.Ziegler (1), D.Hernandez (1), J.Putz (99), M.Reynolds (0), J.Collmenter (0-W)"
3,4,4,Apr 5,@,MIL,"W,3-1",9.0,7,1,1,0,3,13,1,0,3.77,34,139,90,0.0,0.0,0,0,31,0,0,0,0,0,0,2,4,Chris Conroy,"W.Miley (99-65-W), B.Ziegler (1-H), D.Hernandez (1-H), J.Putz (1-Sv)"
4,5,5,Apr 6,@,MIL,"W,9-2",9.0,10,2,2,0,1,5,0,0,3.46,36,139,89,0.0,0.0,0,0,34,2,0,0,0,1,0,2,4,Sam Holbrook,"P.Corbin (99-49-W), H.Bell (3), M.Reynolds (2), T.Sipp (2)"
5,6,6,Apr 7,@,MIL,"W,8-7",11.0,16,7,7,0,1,12,1,2,3.86,50,179,129,2.0,1.0,1,0,47,3,0,0,0,0,0,1,6,Paul Nauert,"I.Kennedy (5-45), B.Ziegler (1-H), D.Hernandez (1-H), J.Putz (1-BSv), T.Sipp (0-W), H.Bell (0-Sv)"
6,7,7,Apr 8,,PIT,"L,3-5",9.0,5,5,5,0,6,12,1,1,4.0,38,159,92,0.0,0.0,1,0,30,1,1,0,0,1,0,1,4,Bruce Dreckman,"T.Cahill (5-47-L), M.Reynolds (1), B.Ziegler (0), J.Collmenter (4)"
7,8,8,Apr 9,,PIT,"L,5-6",9.0,11,6,4,2,2,8,0,0,4.0,40,144,102,1.0,0.0,2,0,37,3,0,0,1,0,1,1,4,Clint Fagan,"B.McCarthy (5-36-L), T.Sipp (1), H.Bell (1), D.Hernandez (1)"
8,9,9,Apr 10,,PIT,"W,10-2",9.0,5,2,2,0,4,9,0,0,3.8,36,138,84,3.0,0.0,0,0,32,2,0,0,0,0,0,1,3,Gary Darling,"W.Miley (4-58-W), B.Ziegler (1), J.Putz (2)"
9,10,10,Apr 12,,LAD,"W,3-0",9.0,6,0,0,0,5,6,0,1,3.45,37,151,89,0.0,0.0,0,0,31,1,0,0,0,0,0,2,4,Bob Davidson,"P.Corbin (5-67-W), B.Ziegler (1-H), D.Hernandez (2-H), J.Putz (1-Sv)"
10,11,11,Apr 13,,LAD,"L,5-7",9.0,14,7,7,0,5,9,1,0,3.75,44,164,102,3.0,2.0,0,0,39,5,0,1,0,0,0,1,5,Jim Reynolds,"I.Kennedy (5-25-L), M.Reynolds (4), J.Collmenter (4), T.Sipp (3), H.Bell (3)"
11,12,12,Apr 14,,LAD,"W,1-0",9.0,6,0,0,0,1,5,0,0,3.46,32,112,72,2.0,0.0,0,1,30,1,0,0,1,0,0,1,4,James Hoye,"T.Cahill (5-70), T.Sipp (0), B.Ziegler (1), J.Putz (1-W)"
12,13,13,Apr 16,@,NYY,"L,2-4",8.0,12,4,4,0,3,9,1,0,3.53,38,163,98,0.0,0.0,0,0,34,3,0,2,0,1,0,1,4,Tom Hallion,"B.McCarthy (6-34-L), M.Reynolds (2), B.Ziegler (1), H.Bell (2)"
