,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 3,,NYM,"W,4-3",9.0,7,3,3,0,6,9,0,0,3.0,39,177,106,2.0,0.0,0,1,33,1,0,0,0,0,0,0,5,Gerry Davis,"E.Volquez (99-70-W), K.Herrera (99), J.Soria (99), L.Hochevar (99-H), W.Davis (99-Sv)"
1,2,2,Apr 5,,NYM,"L,0-2",9.0,6,2,2,0,5,9,1,0,2.5,38,157,94,2.0,0.0,2,0,33,0,0,0,0,0,0,0,5,Sam Holbrook,"C.Young (99-54-L), D.Duffy (99), L.Hochevar (1), K.Herrera (1), J.Soria (1)"
2,3,3,Apr 8,,MIN,"W,4-3",9.0,6,3,3,0,8,14,1,0,2.67,40,178,109,2.0,1.0,1,0,32,2,1,0,0,0,0,0,5,Vic Carapazza,"Y.Ventura (99-55), L.Hochevar (2-BSv), K.Herrera (2), J.Soria (2-W), W.Davis (4-Sv)"
3,4,4,Apr 9,,MIN,"W,7-0",9.0,7,0,0,0,2,9,0,0,2.0,35,150,93,2.0,0.0,0,1,33,1,0,0,0,0,0,0,3,D.J. Reyburn,"I.Kennedy (99-70-W), D.Duffy (3), C.Wang (99)"
4,5,5,Apr 10,,MIN,"W,4-3",10.0,11,3,3,0,2,14,1,2,2.15,44,161,109,2.0,0.0,1,1,40,0,0,1,0,0,0,0,4,John Hirschbeck,"E.Volquez (6-55), L.Hochevar (1), D.Gee (99), W.Davis (1-W)"
5,6,6,Apr 11,@,HOU,"L,2-8",8.0,14,8,8,0,3,8,1,0,3.17,40,160,109,2.0,0.0,2,0,37,3,2,0,0,0,0,0,3,Adrian Johnson,"C.Young (5-24-L), C.Wang (1), D.Duffy (1)"
6,7,7,Apr 12,@,HOU,"W,3-2",9.0,7,2,2,0,7,14,0,0,3.0,38,179,98,0.0,0.0,0,0,31,2,0,0,0,0,0,2,5,Gary Cederstrom,"K.Medlen (99-50-W), L.Hochevar (1-H), K.Herrera (3-H), J.Soria (3-H), W.Davis (1-Sv)"
7,8,8,Apr 13,@,HOU,"W,4-2",9.0,6,2,2,0,4,11,1,0,2.88,37,135,88,0.0,0.0,0,0,33,2,1,0,0,0,1,1,4,Eric Cooper,"Y.Ventura (4-63), L.Hochevar (0-BW), K.Herrera (0-H), J.Soria (0-Sv)"
8,9,9,Apr 14,@,HOU,"W,6-2",9.0,5,2,2,0,2,9,1,0,2.78,31,124,78,2.0,0.0,0,1,29,1,0,0,0,0,0,1,3,Jim Wolf,"I.Kennedy (4-74-W), D.Duffy (2), W.Davis (1-Sv)"
9,10,10,Apr 15,@,OAK,"W,4-2",9.0,5,2,1,1,5,4,1,0,2.6,37,146,85,0.0,0.0,0,0,32,1,0,0,0,0,1,1,4,Mike DiMuro,"E.Volquez (4-58-W), K.Herrera (1-H), J.Soria (1-H), W.Davis (0-Sv)"
10,11,11,Apr 16,@,OAK,"L,3-5",8.0,10,5,5,0,4,3,2,0,2.85,39,141,89,1.0,0.0,0,0,33,0,0,1,1,1,1,0,3,Quinn Wolcott,"C.Young (4-30-L), D.Gee (5), D.Duffy (1)"
11,12,12,Apr 17,@,OAK,"L,2-3",8.0,4,3,2,1,4,4,0,0,2.8,31,116,66,1.0,1.0,0,0,26,1,1,0,0,1,0,2,3,Brian Gorman,"K.Medlen (4-63), K.Herrera (1-BSv), J.Soria (1-L)"
12,13,13,Apr 19,,DET,"W,8-6",9.0,10,6,6,0,6,11,1,1,3.05,45,184,106,3.0,1.0,0,0,38,1,0,0,0,0,1,0,6,Chris Guccione,"Y.Ventura (5-49-W), L.Hochevar (5), D.Duffy (2), J.Soria (1-H), K.Herrera (1-H), W.Davis (3-Sv)"
13,14,14,Apr 20,,DET,"L,2-3",9.0,9,3,3,0,2,8,0,2,3.05,39,142,92,3.0,0.0,0,0,35,2,0,0,0,0,0,0,4,David Rackley,"I.Kennedy (5-58-L), L.Hochevar (0), J.Soria (0), C.Wang (8)"
14,15,15,Apr 21,,DET,"W,4-0",9.0,5,0,0,0,1,7,0,0,2.84,33,130,88,0.0,0.0,0,0,32,1,0,0,0,0,1,0,3,Larry Vanover,"E.Volquez (5-71-W), K.Herrera (1), D.Duffy (1)"
15,16,16,Apr 22,,BAL,"W,4-2",9.0,5,2,2,0,1,12,1,0,2.79,33,141,96,0.0,0.0,1,0,32,1,0,0,0,0,0,0,4,Doug Eddings,"C.Young (5-65-W), L.Hochevar (1-H), K.Herrera (0-H), W.Davis (2-Sv)"
16,17,17,Apr 23,,BAL,"L,3-8",9.0,14,8,8,0,4,8,1,0,3.1,43,158,100,2.0,2.0,0,1,39,2,0,0,0,0,0,0,3,Laz Diaz,"K.Medlen (5-14-L), D.Gee (6), C.Wang (2)"
