,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 8,,MIA,"W,6-5",10.0,9,5,5,0,3,6,2,0,4.5,42,156,101,4.0,1.0,0,0,39,0,0,0,0,0,1,1,7,Alfonso Márquez,"L.Webb (99-60), D.Leone (99-H), T.Rogers (99-H), J.McGee (99-H), C.Doval (99-BSv), J.Brebbia (99), J.Alvarez (99-W)"
1,2,2,Apr 9,,MIA,"L,1-2",9.0,5,2,2,0,3,14,0,0,3.32,35,137,92,1.0,0.0,0,0,32,2,0,0,0,0,1,1,5,Lance Barrett,"C.Rodón (99-67), J.Brebbia (0), J.McGee (0-L), C.Doval (0), J.Alvarez (0)"
2,3,3,Apr 10,,MIA,"W,3-2",9.0,11,2,2,0,1,9,0,1,2.89,37,129,93,3.0,0.0,0,0,34,1,0,0,0,1,0,1,5,Ramon De Jesus,"A.DeSclafani (99-41), J.García (99-W), Z.Littell (99-H), T.Rogers (1-H), D.Leone (1-Sv)"
3,4,4,Apr 11,,SDP,"L,2-4",9.0,10,4,4,0,4,11,1,1,3.16,42,170,104,2.0,0.0,0,0,37,1,0,0,0,0,0,0,7,Greg Gibson,"A.Wood (99-50), Z.Littell (0), D.Leone (0), T.Rogers (0-L), C.Doval (1), J.Alvarez (1), S.Long (99)"
4,5,5,Apr 12,,SDP,"W,13-2",9.0,5,2,2,0,6,14,0,0,2.93,36,152,87,0.0,0.0,1,0,30,2,0,0,0,0,0,2,4,Chris Guccione,"A.Cobb (99-59-W), J.García (1), T.Beede (99), Y.Marte (99)"
5,6,6,Apr 13,,SDP,"W,2-1",9.0,5,1,1,0,1,9,0,1,2.62,34,115,85,0.0,0.0,0,0,32,2,1,0,0,0,0,0,2,Rob Drake,"L.Webb (4-77-W), C.Doval (1-Sv)"
6,7,7,Apr 15,@,CLE,"W,4-1",9.0,3,1,1,0,2,10,0,1,2.39,32,116,76,0.0,0.0,0,0,28,2,0,0,0,1,0,1,3,Paul Emmel,"C.Rodón (5-76-W), T.Rogers (3-H), C.Doval (1-Sv)"
7,8,8,Apr 16,@,CLE,"W,4-2",9.0,8,2,2,0,3,7,0,0,2.34,37,129,80,2.0,0.0,1,0,33,2,1,0,0,1,0,0,7,James Hoye,"A.DeSclafani (5-50), J.Alvarez (4), J.Brebbia (6), J.García (3), D.Leone (4-W), T.Rogers (0-H), J.McGee (6-Sv)"
8,9,9,Apr 17,@,CLE,"W,8-1",9.0,6,1,1,0,3,6,0,0,2.2,34,148,98,2.0,0.0,0,0,31,1,0,0,0,0,0,1,4,Bruce Dreckman,"A.Wood (5-62-W), Z.Littell (5), T.Beede (4), S.Long (5)"
9,10,10,Apr 19(1),@,NYM,"L,4-5",9.1,8,5,3,2,3,9,0,0,2.27,39,139,91,1.0,1.0,2,0,35,3,0,0,1,0,0,0,7,Tripp Gibson,"A.Cobb (6-41), D.Leone (2), J.Alvarez (2), J.McGee (2), T.Rogers (2), C.Doval (3), J.García (2-L)"
10,11,11,Apr 19(2),@,NYM,"L,1-3",8.0,8,3,3,0,3,7,0,0,2.36,34,150,97,1.0,0.0,0,0,31,2,0,0,0,0,0,1,5,Ramon De Jesus,"L.Webb (5-35-L), S.Long (1), Z.Littell (1), J.Brebbia (2), Y.Marte (6)"
11,12,12,Apr 20,@,NYM,"W,5-2",9.0,9,2,2,0,4,11,0,0,2.33,39,166,111,2.0,1.0,0,1,35,1,0,0,0,0,0,0,5,,"C.Rodón (4-67-W), J.Brebbia (0), D.Leone (0), T.Rogers (0), J.McGee (0-Sv)"
12,13,13,Apr 21,@,NYM,"L,2-6",8.0,12,6,6,0,4,6,2,0,2.63,39,136,85,0.0,0.0,0,1,34,1,0,0,0,1,0,0,3,Alfonso Márquez,"A.DeSclafani (4-32-L), Y.Marte (1), T.Beede (3)"
13,14,14,Apr 22,@,WSN,"W,7-1",9.0,6,1,1,0,1,6,1,0,2.51,31,112,77,0.0,0.0,0,0,30,2,0,0,0,0,0,2,4,Cory Blaser,"S.Long (2-53), J.Junis (99-W), Y.Marte (0), J.García (2)"
14,15,15,Apr 23,@,WSN,"W,5-2",9.0,7,2,2,0,1,9,1,0,2.48,35,134,87,0.0,0.0,0,0,33,1,0,0,1,0,1,1,5,Mark Ripperger,"A.Wood (5-55-W), D.Leone (2-H), J.Brebbia (2-H), T.Rogers (2-H), C.Doval (3-Sv)"
15,16,16,Apr 24,@,WSN,"W,12-3",9.0,7,3,3,0,1,7,1,1,2.51,35,122,83,1.0,0.0,1,0,33,2,0,0,0,0,0,1,4,Tom Hallion,"L.Webb (4-53-W), J.Alvarez (4-H), T.Rogers (0-H), Z.Littell (4)"
16,17,17,Apr 25,@,MIL,"W,4-2",9.0,5,2,1,1,1,9,1,0,2.42,33,130,84,0.0,0.0,0,0,32,0,0,0,0,0,0,0,8,Andy Fletcher,"S.Long (2-52), D.Leone (1), J.Brebbia (1), Z.Littell (0), J.Alvarez (0), Y.Marte (2), J.McGee (4-BW), C.Doval (1-Sv)"
