,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,,SDP,"W,14-3",44,36,14,14,4,0,4,12,5,2,5,2,0,1,0,0,0,0,0.389,0.477,0.833,1.311,6,14,R,J.Chacin(8)
1,2,2,Apr 4,,SDP,"L,0-4",30,28,0,5,0,0,0,0,2,0,5,0,0,0,0,4,0,0,0.297,0.378,0.547,0.925,3,14,L,C.Richard(75)
2,3,3,Apr 5,,SDP,"W,3-1",34,30,3,6,3,0,1,2,3,0,12,1,0,0,1,1,1,0,0.266,0.352,0.5,0.852,7,14,R,T.Cahill(53)
3,4,4,Apr 6,,SDP,"W,10-2",44,32,10,8,2,0,2,8,11,0,5,1,0,0,0,0,3,0,0.262,0.382,0.5,0.882,10,13,R,J.Weaver(40)
4,5,5,Apr 7,@,COL,"L,1-2",34,30,1,5,2,0,0,1,3,0,11,0,1,0,0,1,0,0,0.244,0.357,0.449,0.805,6,16,L,K.Freeland(64)
5,6,6,Apr 8,@,COL,"L,2-4",35,32,2,7,2,0,1,2,3,0,7,0,0,0,0,1,0,1,0.239,0.345,0.436,0.782,6,14,R,J.Gray(54)
6,7,7,Apr 9,@,COL,"W,10-6",46,40,10,15,3,1,1,9,5,0,8,0,1,0,1,1,1,0,0.263,0.362,0.461,0.823,9,16,L,T.Anderson(36)
7,8,8,Apr 10,@,CHC,"L,2-3",37,32,2,6,1,0,0,1,3,0,10,1,0,0,1,1,0,1,0.254,0.352,0.431,0.783,8,19,L,J.Lester(66)
8,9,9,Apr 12,@,CHC,"W,2-0",38,32,2,5,1,0,1,1,6,0,14,0,0,0,0,1,0,0,0.243,0.345,0.414,0.76,9,16,R,J.Lackey(67)
9,10,10,Apr 13,@,CHC,"L,0-4",36,32,0,6,2,0,0,0,4,0,5,0,0,0,0,0,0,0,0.238,0.339,0.398,0.737,9,17,L,B.Anderson(59)
10,11,11,Apr 14,,ARI,"W,7-1",40,34,7,13,2,0,1,7,4,0,4,0,1,1,0,1,0,0,0.251,0.348,0.411,0.758,9,10,R,Z.Greinke(28)
11,12,12,Apr 15,,ARI,"W,8-4",42,34,8,11,4,0,2,7,4,1,7,2,0,2,1,0,2,0,0.258,0.353,0.429,0.782,10,16,L,P.Corbin(38)
12,13,13,Apr 16,,ARI,"L,1-3",34,31,1,5,1,0,0,1,3,0,9,0,0,0,0,1,0,0,0.251,0.345,0.411,0.756,6,15,R,T.Walker(61)
13,14,14,Apr 17,,ARI,"L,2-4",36,30,2,5,1,0,1,2,4,0,15,0,1,1,1,0,0,1,0.245,0.339,0.404,0.743,7,15,L,R.Ray(66)
14,15,15,Apr 18,,COL,"L,3-4",42,34,3,9,0,0,0,3,5,0,7,2,1,0,0,1,0,0,0.246,0.343,0.394,0.737,12,16,L,K.Freeland(49)
15,16,16,Apr 19,,COL,"W,4-2",34,31,4,7,3,1,1,4,2,0,7,0,1,0,1,0,0,0,0.245,0.339,0.4,0.739,6,14,L,T.Anderson(47)
16,17,17,Apr 21,@,ARI,"L,5-13",37,35,5,9,3,0,2,5,1,0,7,1,0,0,0,1,0,0,0.246,0.336,0.407,0.743,5,18,R,T.Walker(44)
17,18,18,Apr 22,@,ARI,"L,5-11",40,35,5,11,2,0,1,5,5,0,9,0,0,0,0,3,0,0,0.25,0.34,0.41,0.75,8,15,L,R.Ray(34)
18,19,19,Apr 23,@,ARI,"W,6-2",39,34,6,9,4,0,1,5,5,0,5,0,0,0,0,1,0,0,0.251,0.341,0.413,0.754,6,13,R,S.Miller(40)
19,20,20,Apr 24,@,SFG,"L,1-2",31,29,1,4,0,0,0,1,2,0,6,0,0,0,0,0,0,1,0.246,0.335,0.401,0.736,3,13,R,M.Cain(70)
20,21,21,Apr 25,@,SFG,"W,2-1",37,32,2,7,1,0,0,2,4,1,7,0,1,0,0,1,1,0,0.245,0.334,0.394,0.728,8,13,L,T.Blach(52)
21,22,22,Apr 26,@,SFG,"L,3-4",41,39,3,9,1,0,1,3,2,0,6,0,0,0,0,0,0,0,0.244,0.33,0.391,0.721,8,14,R,J.Cueto(49)
22,23,23,Apr 27,@,SFG,"W,5-1",42,33,5,5,0,0,1,5,7,1,11,0,1,1,0,0,0,0,0.24,0.329,0.384,0.713,7,18,L,M.Moore(74)
23,24,24,Apr 28,,PHI,"W,5-3",37,33,5,10,2,0,0,4,3,0,5,0,0,1,1,0,0,0,0.242,0.33,0.383,0.713,8,13,R,J.Eickhoff(31)
24,25,25,Apr 29,,PHI,"W,6-5",39,37,6,11,1,0,5,6,1,0,7,1,0,0,0,0,0,0,0.245,0.33,0.399,0.729,7,15,R,Z.Eflin(65)
25,26,26,Apr 30,,PHI,"W,5-3",36,34,5,13,4,0,2,5,2,0,8,0,0,0,0,3,0,0,0.25,0.333,0.41,0.743,7,16,R,N.Pivetta(45)
26,27,27,May 1,,SFG,"L,3-4",34,33,3,6,1,0,0,3,1,0,8,0,0,0,0,0,0,0,0.248,0.329,0.402,0.731,4,12,R,J.Cueto(58)
27,28,28,May 2,,SFG,"W,13-5",43,32,13,11,2,1,1,13,9,0,5,1,0,1,0,1,1,0,0.251,0.335,0.408,0.743,6,15,L,M.Moore(10)
28,29,29,May 3,,SFG,"L,1-4",38,37,1,6,0,0,0,1,0,0,13,1,0,0,1,1,0,2,0.248,0.33,0.399,0.729,4,17,R,J.Samardzija(85)
29,30,30,May 5,@,SDP,"W,8-2",43,39,8,14,1,0,2,8,3,0,10,1,0,0,0,2,1,0,0.252,0.333,0.404,0.737,8,17,R,J.Chacin(56)
30,31,31,May 6,@,SDP,"W,10-2",42,31,10,8,2,0,1,8,9,0,9,1,1,0,0,3,1,0,0.252,0.337,0.404,0.741,5,14,L,C.Richard(32)
31,32,32,May 8,,PIT,"W,12-1",43,39,12,15,3,0,2,12,4,0,7,0,0,0,1,1,0,0,0.257,0.341,0.412,0.753,7,13,R,T.Williams(18)
32,33,33,May 9,,PIT,"W,4-3",45,41,4,13,3,0,1,4,2,0,8,1,1,0,0,1,1,0,0.259,0.342,0.414,0.756,12,19,R,I.Nova(51)
33,34,34,May 10,,PIT,"W,5-2",33,29,5,8,3,0,1,5,4,0,6,0,0,0,0,1,0,0,0.26,0.342,0.416,0.758,4,11,R,C.Kuhl(41)
34,35,35,May 11,@,COL,"L,7-10",43,40,7,14,5,1,1,6,3,0,11,0,0,0,0,1,0,0,0.263,0.344,0.422,0.766,9,16,R,J.Hoffman(50)
35,36,36,May 12,@,COL,"W,6-2",37,33,6,9,4,1,1,6,4,0,9,0,0,0,0,1,0,1,0.263,0.344,0.425,0.769,4,14,R,T.Chatwood(33)
36,37,37,May 13,@,COL,"W,4-0",37,32,4,7,4,0,1,4,4,0,12,0,1,0,0,1,1,0,0.262,0.343,0.426,0.769,6,15,L,T.Anderson(53)
37,38,38,May 14,@,COL,"L,6-9",44,38,6,12,1,0,2,6,6,0,10,0,0,0,0,0,0,0,0.263,0.345,0.428,0.773,11,16,R,A.Senzatela(39)
38,39,39,May 15,@,SFG,"L,4-8",37,33,4,8,3,0,0,3,4,0,9,0,0,0,0,1,0,0,0.263,0.345,0.426,0.77,6,14,R,M.Cain(62)
39,40,40,May 16,@,SFG,"L,1-2",34,32,1,7,1,0,1,1,2,0,5,0,0,0,0,2,0,0,0.262,0.343,0.424,0.766,6,15,L,T.Blach(65)
40,41,41,May 17,@,SFG,"W,6-1",38,35,6,9,4,0,0,5,2,0,9,0,1,0,0,0,1,0,0.262,0.342,0.422,0.764,5,13,R,J.Cueto(41)
41,42,42,May 18,,MIA,"W,7-2",40,28,7,11,1,0,1,7,9,1,5,1,1,1,0,2,2,1,0.264,0.346,0.425,0.771,9,15,R,E.Volquez(37)
42,43,43,May 19,,MIA,"W,7-2",36,31,7,8,2,0,3,7,4,0,8,1,0,0,0,1,0,0,0.264,0.347,0.429,0.775,5,12,L,J.Nicolino(29)
43,44,44,May 20,,MIA,"L,6-10",38,34,6,7,2,0,3,5,4,0,10,0,0,0,0,0,0,0,0.263,0.345,0.431,0.776,5,17,R,D.Straily(54)
44,45,45,May 21,,MIA,"W,6-3",39,34,6,12,6,0,1,6,2,0,7,2,1,0,0,1,0,0,0.265,0.347,0.435,0.782,9,15,R,V.Worley(39)
45,46,46,May 23,,STL,"W,2-1",46,41,2,3,1,0,1,2,5,0,19,0,0,0,0,0,0,0,0.26,0.343,0.428,0.771,6,16,R,L.Lynn(82)
46,47,47,May 24,,STL,"L,1-6",30,29,1,4,2,0,0,1,0,0,6,0,0,1,0,1,0,0,0.258,0.339,0.424,0.763,2,15,R,M.Leake(75)
47,48,48,May 25,,STL,"W,7-3",35,33,7,11,3,0,1,6,2,0,10,0,0,0,0,1,1,0,0.259,0.34,0.426,0.766,4,11,R,M.Wacha(27)
48,49,49,May 26,,CHC,"W,4-0",31,27,4,5,1,0,2,4,3,0,12,1,0,0,0,2,1,0,0.258,0.339,0.426,0.765,3,13,R,J.Arrieta(54)
49,50,50,May 27,,CHC,"W,5-0",37,31,5,6,1,0,1,5,6,0,11,0,0,0,1,0,1,0,0.257,0.339,0.424,0.763,8,11,R,J.Lackey(36)
50,51,51,May 28,,CHC,"W,9-4",39,34,9,11,0,0,4,9,5,0,10,0,0,0,0,1,1,0,0.258,0.34,0.429,0.769,6,16,L,J.Lester(23)
51,52,52,May 29,@,STL,"W,5-1",36,32,5,9,1,0,3,5,2,0,8,0,1,1,0,2,0,0,0.258,0.34,0.432,0.772,4,15,R,M.Leake(54)
52,53,53,May 30,@,STL,"W,9-4",47,36,9,11,2,1,0,8,8,0,11,1,0,2,0,0,1,0,0.259,0.342,0.432,0.774,11,18,R,M.Wacha(36)
53,54,54,May 31,@,STL,"L,1-2",34,30,1,5,1,0,0,1,3,0,11,0,0,1,0,1,0,0,0.258,0.34,0.428,0.768,6,12,R,C.Martinez(76)
54,55,55,Jun 1,@,STL,"L,0-2",34,30,0,5,1,0,0,0,4,0,9,0,0,0,0,2,0,0,0.256,0.339,0.424,0.763,7,16,R,A.Wainwright(68)
55,56,56,Jun 2,@,MIL,"W,2-1",45,42,2,8,2,0,2,2,3,2,16,0,0,0,0,2,1,0,0.255,0.337,0.423,0.76,7,15,R,J.Nelson(83)
56,57,57,Jun 3,@,MIL,"W,10-8",45,38,10,10,2,0,1,8,7,1,5,0,0,0,1,0,7,0,0.255,0.337,0.423,0.76,8,17,R,M.Garza(48)
57,58,58,Jun 4,@,MIL,"L,0-3",33,30,0,3,0,0,0,0,3,0,11,0,0,0,1,1,0,0,0.253,0.335,0.418,0.753,6,15,R,Z.Davies(71)
58,59,59,Jun 5,,WSN,"L,2-4",36,33,2,6,3,0,0,2,3,0,11,0,0,0,0,0,0,0,0.252,0.334,0.415,0.749,7,13,L,G.Gonzalez(59)
59,60,60,Jun 6,,WSN,"L,1-2",35,33,1,4,1,0,0,1,2,0,17,0,0,0,1,0,1,0,0.249,0.331,0.411,0.742,7,13,R,M.Scherzer(81)
60,61,61,Jun 7,,WSN,"W,2-1",30,29,2,3,1,0,1,2,1,1,11,0,0,0,2,0,0,1,0.247,0.329,0.409,0.737,4,11,R,S.Strasburg(67)
61,62,62,Jun 9,,CIN,"W,7-2",38,32,7,9,1,0,2,6,5,1,6,1,0,0,0,1,0,0,0.248,0.33,0.41,0.74,7,11,L,A.Garrett(42)
62,63,63,Jun 10,,CIN,"W,5-4",38,34,5,10,5,0,1,5,1,1,4,0,2,1,1,0,0,0,0.249,0.329,0.412,0.741,7,15,R,A.Wojciechowski(40)
63,64,64,Jun 11,,CIN,"W,9-7",40,34,9,10,1,0,4,9,5,0,6,1,0,0,1,1,0,0,0.249,0.331,0.416,0.747,7,17,R,T.Adleman(49)
64,65,65,Jun 13,@,CLE,"W,7-5",44,38,7,12,1,0,3,6,6,0,10,0,0,0,0,0,2,0,0.25,0.332,0.419,0.751,10,10,R,T.Bauer(51)
65,66,66,Jun 14,@,CLE,"W,6-4",40,35,6,9,2,0,1,5,4,0,11,1,0,0,0,0,3,1,0.251,0.332,0.419,0.751,7,10,R,C.Kluber(70)
66,67,67,Jun 15,@,CLE,"L,5-12",40,35,5,9,3,0,2,5,4,0,11,1,0,0,0,0,0,0,0.251,0.333,0.42,0.753,8,11,R,J.Tomlin(42)
67,68,68,Jun 16,@,CIN,"W,3-1",40,32,3,7,2,0,1,3,7,0,7,1,0,0,0,0,0,1,0.25,0.333,0.42,0.753,10,11,R,T.Adleman(54)
68,69,69,Jun 17,@,CIN,"W,10-2",45,39,10,12,3,0,4,10,5,0,9,0,0,1,2,1,0,0,0.251,0.334,0.424,0.758,8,14,R,A.Wojciechowski(29)
69,70,70,Jun 18,@,CIN,"W,8-7",42,37,8,10,4,0,2,8,5,0,8,0,0,0,0,0,0,0,0.251,0.334,0.426,0.76,7,16,R,B.Arroyo(28)
70,71,71,Jun 19,,NYM,"W,10-6",44,41,10,17,1,0,4,10,3,0,12,0,0,0,0,0,1,0,0.254,0.336,0.431,0.768,10,12,R,Z.Wheeler(14)
71,72,72,Jun 20,,NYM,"W,12-0",46,38,12,13,3,0,5,12,7,1,7,1,0,0,1,0,0,0,0.256,0.338,0.437,0.776,10,13,R,R.Gsellman(14)
72,73,73,Jun 21,,NYM,"W,8-2",37,31,8,7,2,0,3,8,5,2,9,0,0,1,1,0,1,0,0.255,0.338,0.439,0.777,5,15,R,T.Pill(43)
73,74,74,Jun 22,,NYM,"W,6-3",38,29,6,6,1,0,3,6,9,1,10,0,0,0,1,1,3,1,0.255,0.339,0.44,0.779,8,16,L,S.Matz(57)
74,75,75,Jun 23,,COL,"W,6-1",39,32,6,11,2,1,1,6,5,0,5,0,0,2,0,1,0,0,0.256,0.34,0.442,0.782,9,15,L,K.Freeland(32)
75,76,76,Jun 24,,COL,"W,4-0",39,29,4,6,2,0,1,3,10,0,8,0,0,0,0,1,0,0,0.255,0.341,0.441,0.782,11,14,R,T.Chatwood(33)
76,77,77,Jun 25,,COL,"W,12-6",43,36,12,13,5,0,3,7,7,0,10,0,0,0,0,0,2,0,0.257,0.343,0.446,0.788,7,17,L,T.Anderson(30)
77,78,78,Jun 26,,LAA,"L,0-4",34,31,0,5,3,0,0,0,3,0,8,0,0,0,0,1,0,0,0.256,0.341,0.443,0.785,7,12,R,R.Nolasco(66)
78,79,79,Jun 27,,LAA,"W,4-0",31,27,4,4,2,0,1,4,4,0,7,0,0,0,0,0,0,1,0.255,0.341,0.442,0.783,3,11,R,J.Chavez(57)
79,80,80,Jun 28,@,LAA,"L,2-3",35,30,2,4,0,0,2,2,5,0,6,0,0,0,0,1,0,0,0.253,0.34,0.441,0.781,6,9,R,A.Meyer(69)
