,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 29,,CHC,"L,3-5",38,33,3,7,1,0,1,3,3,0,4,0,1,1,2,1,0,0,0.212,0.27,0.333,0.604,8,15,R,J.Lieber(63)
1,2,2,Mar 30,@,CHC,"W,5-1",48,37,5,6,2,0,1,5,8,0,5,1,1,1,0,0,1,0,0.186,0.298,0.314,0.612,10,17,R,K.Farnsworth(59)
2,3,3,Apr 3,,SDP,"W,2-1",30,26,2,4,1,0,1,2,2,0,7,1,0,1,0,1,0,0,0.177,0.281,0.313,0.593,4,12,L,S.Hitchcock(65)
3,4,4,Apr 5,,SDP,"L,0-4",38,34,0,7,3,0,0,0,4,0,10,0,0,0,0,0,0,0,0.185,0.283,0.308,0.591,11,17,R,W.Williams(65)
4,5,5,Apr 6,,SDP,"L,5-8",42,36,5,8,1,0,1,5,5,0,8,1,0,0,1,0,0,0,0.193,0.294,0.313,0.607,10,19,R,M.Clement(64)
5,6,6,Apr 7,,LAD,"W,2-1",34,25,2,2,1,0,0,2,8,0,6,1,0,0,0,0,0,0,0.178,0.298,0.288,0.586,8,12,R,D.Dreifort(50)
6,7,7,Apr 8,,LAD,"L,5-6",47,42,5,11,2,0,2,5,4,0,10,0,0,0,1,0,2,0,0.193,0.303,0.318,0.621,12,18,R,K.Brown(46)
7,8,8,Apr 10,@,PHI,"L,7-9",36,34,7,9,6,0,0,6,2,0,7,0,0,0,0,1,3,0,0.202,0.303,0.333,0.637,2,14,R,P.Byrd(18)
8,9,9,Apr 12,@,PHI,"L,5-8",38,33,5,7,2,0,1,5,4,0,8,0,0,1,0,0,1,0,0.203,0.302,0.337,0.638,6,16,R,R.Person(67)
9,10,10,Apr 13,@,PHI,"W,2-1",42,33,2,8,1,0,0,2,8,0,7,0,0,1,0,0,1,1,0.207,0.31,0.33,0.641,13,16,L,R.Wolf(64)
10,11,11,Apr 14,@,PIT,"W,8-5",59,48,8,20,3,1,3,8,9,1,7,0,1,1,0,1,0,2,0.234,0.335,0.378,0.713,15,17,R,J.Schmidt(39)
11,12,12,Apr 15,@,PIT,"L,0-2",33,31,0,5,0,0,0,0,1,0,7,1,0,0,1,1,2,1,0.228,0.326,0.362,0.688,6,10,L,J.Anderson(76)
12,13,13,Apr 16,@,PIT,"W,12-9",48,41,12,15,7,0,2,12,5,2,5,1,0,1,1,0,1,0,0.241,0.336,0.391,0.727,9,17,R,K.Benson(31)
13,14,14,Apr 18,,MIL,"W,10-7",43,33,10,11,4,0,1,10,8,1,8,0,0,2,0,0,2,0,0.247,0.344,0.401,0.746,9,15,R,J.Navarro(8)
14,15,15,Apr 19,,MIL,"W,3-1",37,28,3,8,0,0,0,3,6,3,3,0,2,1,0,0,1,1,0.249,0.348,0.395,0.743,10,14,R,J.Bere(40)
15,16,16,Apr 20,,MIL,"W,5-4",37,35,5,7,1,0,3,4,2,1,9,0,0,0,0,0,1,0,0.246,0.342,0.401,0.742,4,17,R,S.Woodard(57)
16,17,17,Apr 22 (1),,CHC,"W,8-3",41,33,8,12,3,0,0,8,6,2,3,1,1,0,0,2,1,0,0.253,0.349,0.404,0.753,9,14,R,J.Lieber(47)
17,18,18,Apr 22 (2),,CHC,"W,7-6",37,28,7,10,3,0,1,6,7,0,6,0,1,1,1,3,0,1,0.257,0.356,0.411,0.767,6,15,R,K.Farnsworth(25)
18,19,19,Apr 23,,CHC,"W,15-8",45,43,15,18,4,0,3,14,2,0,9,0,0,0,1,0,0,0,0.268,0.361,0.432,0.793,6,16,R,K.Tapani(3)
19,20,20,Apr 24,,LAD,"W,1-0",36,32,1,8,3,0,0,1,4,0,2,0,0,0,0,2,0,0,0.267,0.36,0.428,0.787,10,15,R,D.Dreifort(61)
20,21,21,Apr 25,,CIN,"W,6-5",40,31,6,8,3,0,3,6,9,2,7,0,0,0,0,1,0,0,0.267,0.363,0.437,0.8,10,14,R,R.Bell(36)
21,22,22,Apr 26,,CIN,"L,1-12",35,30,1,4,2,1,0,1,4,0,10,0,0,1,0,0,0,0,0.261,0.357,0.43,0.788,7,15,L,D.Neagle(78)
22,23,23,Apr 27,,CIN,"L,1-2",49,39,1,6,1,0,1,1,9,0,5,1,0,0,0,2,0,1,0.256,0.356,0.422,0.777,12,16,R,S.Parris(64)
23,24,24,Apr 28,@,COL,"L,5-12",41,37,5,12,2,0,0,4,3,0,4,1,0,0,0,1,0,1,0.259,0.357,0.42,0.777,9,17,R,P.Astacio(30)
24,25,25,Apr 29,@,COL,"W,13-6",50,43,13,23,6,2,0,12,4,0,4,0,2,1,1,3,0,0,0.273,0.367,0.437,0.804,10,15,R,M.Yoshii(19)
25,26,26,Apr 30,@,COL,"W,14-11",50,39,14,15,2,0,4,12,8,1,7,0,1,2,0,0,1,0,0.278,0.372,0.45,0.822,9,15,L,B.Bohanon(39)
26,27,27,May 1,@,SFG,"L,3-10",35,29,3,7,0,0,1,3,5,0,4,0,0,1,0,3,1,0,0.277,0.371,0.447,0.818,5,16,L,S.Estes(54)
27,28,28,May 2,@,SFG,"L,1-7",37,34,1,8,2,0,0,1,3,0,5,0,0,0,0,1,0,0,0.275,0.368,0.442,0.81,9,14,R,L.Hernández(69)
28,29,29,May 3,@,SFG,"L,5-8",44,41,5,14,2,1,1,5,2,0,9,0,1,0,0,4,2,1,0.278,0.368,0.444,0.813,6,18,R,R.Ortiz(50)
29,30,30,May 4,@,SFG,"L,2-7",37,31,2,4,1,0,1,2,5,0,5,0,1,0,1,0,1,0,0.273,0.365,0.439,0.804,8,15,L,K.Rueter(61)
30,31,31,May 5,@,FLA,"W,4-1",38,29,4,5,1,0,1,4,7,0,7,0,1,1,1,2,0,0,0.271,0.364,0.435,0.799,7,14,L,J.Sanchez(62)
31,32,32,May 6,@,FLA,"L,1-9",34,31,1,8,1,0,1,1,3,0,6,0,0,0,0,2,0,2,0.27,0.363,0.434,0.797,6,15,R,A.Fernandez(59)
32,33,33,May 7,@,FLA,"L,0-3",32,28,0,1,1,0,0,0,4,0,8,0,0,0,1,0,0,0,0.264,0.358,0.425,0.783,5,12,R,R.Dempster(89)
33,34,34,May 9,@,PIT,"W,2-0",36,32,2,8,0,0,2,2,4,0,6,0,0,0,0,3,0,0,0.264,0.357,0.425,0.782,7,11,R,K.Benson(60)
34,35,35,May 10,@,PIT,"L,9-13",46,38,9,13,3,0,2,8,6,1,8,1,0,1,0,0,1,1,0.266,0.36,0.43,0.79,10,17,R,T.Ritchie(29)
35,36,36,May 11,@,PIT,"W,3-2",38,31,3,6,2,0,1,3,6,1,8,0,0,1,1,0,1,1,0.265,0.358,0.428,0.787,8,11,L,J.Anderson(51)
36,37,37,May 12,,FLA,"L,4-6",42,37,4,10,2,0,2,4,5,0,13,0,0,0,0,0,1,0,0.265,0.358,0.43,0.788,11,17,R,R.Dempster(36)
37,38,38,May 13,,FLA,"L,6-7",42,37,6,12,2,0,2,6,5,0,6,0,0,0,0,1,1,1,0.267,0.36,0.433,0.793,9,19,R,V.Núñez(39)
38,39,39,May 14,,FLA,"W,5-1",31,29,5,5,1,0,1,5,2,1,6,0,0,0,1,1,1,0,0.264,0.357,0.431,0.787,2,9,R,B.Penny(53)
39,40,40,May 16,,COL,"L,3-4",44,40,3,12,4,0,2,3,3,0,7,0,1,0,0,2,0,1,0.265,0.357,0.434,0.791,8,17,R,M.Yoshii(51)
40,41,41,May 17,,COL,"W,4-2",40,32,4,10,2,0,0,4,6,0,6,1,1,0,0,1,0,0,0.267,0.359,0.433,0.791,12,12,R,R.Arrojo(49)
41,42,42,May 19,,ARI,"W,4-3",34,31,4,8,2,0,1,4,3,1,11,0,0,0,1,1,0,1,0.266,0.358,0.432,0.79,6,15,R,T.Stottlemyre(48)
42,43,43,May 20,,ARI,"W,8-7",37,35,8,11,0,0,1,8,0,0,7,0,1,1,3,1,0,0,0.268,0.357,0.432,0.788,5,20,L,O.Daal(25)
43,44,44,May 21,,ARI,"W,7-6",38,33,7,10,5,0,4,7,4,1,15,0,1,0,0,0,1,0,0.268,0.357,0.44,0.797,7,15,L,R.Johnson(49)
44,45,45,May 22,@,SDP,"L,0-1",35,32,0,5,0,0,0,0,2,1,6,0,1,0,2,0,0,0,0.266,0.354,0.434,0.789,8,14,R,M.Clement(81)
45,46,46,May 23,@,SDP,"W,5-3",38,36,5,6,1,0,3,5,2,0,11,0,0,0,1,0,1,1,0.264,0.351,0.434,0.786,3,16,R,S.Spencer(66)
46,47,47,May 24,@,SDP,"L,4-5",37,34,4,7,1,0,1,4,3,0,7,0,0,0,2,1,0,0,0.262,0.35,0.432,0.782,6,16,R,B.Meadows(47)
47,48,48,May 26,@,STL,"W,5-2",44,32,5,9,3,0,0,5,9,0,5,0,1,2,0,0,1,1,0.263,0.351,0.431,0.782,12,11,R,P.Hentgen(55)
48,49,49,May 27,@,STL,"W,12-8",51,40,12,15,3,0,4,12,7,0,6,0,3,1,2,0,0,0,0.266,0.354,0.439,0.792,12,18,R,A.Benes(22)
49,50,50,May 28,@,STL,"W,6-2",39,37,6,11,3,0,3,6,2,0,7,0,0,0,0,1,0,0,0.266,0.354,0.442,0.796,6,13,R,D.Kile(48)
50,51,51,May 29,@,LAD,"L,1-4",39,30,1,4,1,0,0,1,8,0,6,0,1,0,0,0,0,0,0.264,0.353,0.438,0.791,11,14,R,C.Park(73)
51,52,52,May 30,@,LAD,"W,10-5",48,39,10,13,3,0,1,10,8,0,10,0,1,0,0,0,1,0,0.265,0.355,0.439,0.794,11,19,R,E.Gagne(41)
52,53,53,May 31,@,LAD,"L,3-4",36,33,3,8,1,0,2,3,3,0,6,0,0,0,0,1,0,0,0.265,0.354,0.439,0.793,6,15,R,K.Brown(66)
53,54,54,Jun 2,,TBD,"W,5-3",32,29,5,5,1,0,3,5,2,0,5,1,0,0,0,0,0,0,0.264,0.353,0.44,0.793,3,13,R,A.Lopez(56)
54,55,55,Jun 3,,TBD,"W,1-0",31,29,1,6,3,0,0,1,2,0,7,0,0,0,0,0,1,0,0.263,0.351,0.438,0.79,6,14,R,S.Trachsel(65)
55,56,56,Jun 4,,TBD,"L,5-15",38,32,5,9,2,1,1,5,3,0,5,2,0,1,0,2,0,0,0.263,0.351,0.439,0.791,6,17,R,E.Yan(42)
56,57,57,Jun 5,,BAL,"L,2-4",36,32,2,6,0,0,0,2,3,0,6,0,1,0,0,0,0,0,0.262,0.35,0.435,0.785,7,13,R,M.Mussina(53)
57,58,58,Jun 7,,BAL,"W,11-3",42,33,11,12,2,2,2,11,6,0,8,1,0,2,0,1,0,0,0.263,0.352,0.44,0.792,7,18,R,S.Erickson(35)
58,59,59,Jun 8,,BAL,"W,8-7",44,37,8,11,2,0,3,8,6,0,7,0,0,1,0,0,0,1,0.264,0.353,0.443,0.796,8,19,R,J.Johnson(31)
59,60,60,Jun 9,@,NYY,"W,12-2",46,43,12,15,2,0,3,12,3,0,7,0,0,0,1,1,1,0,0.266,0.353,0.446,0.8,7,16,R,R.Clemens(14)
60,61,61,Jun 10,@,NYY,"L,5-13",41,35,5,8,2,0,2,5,4,1,4,1,1,0,1,0,0,0,0.265,0.353,0.447,0.799,9,11,L,A.Pettitte(41)
61,62,62,Jun 13,@,CHC,"L,3-4",38,31,3,5,2,0,0,3,5,0,8,1,0,1,1,1,0,0,0.264,0.352,0.443,0.795,8,14,R,K.Tapani(56)
62,63,63,Jun 14,@,CHC,"W,10-8",46,42,10,14,5,0,4,10,3,1,6,0,0,1,2,0,0,0,0.265,0.352,0.449,0.801,9,18,L,S.Downs(48)
63,64,64,Jun 16,@,MIL,"W,7-1",44,40,7,15,3,0,2,7,2,0,4,1,1,0,2,2,1,0,0.267,0.353,0.452,0.805,10,10,R,J.Haynes(36)
64,65,65,Jun 17,@,MIL,"L,2-3",38,34,2,9,0,0,0,2,4,2,5,0,0,0,0,1,0,1,0.267,0.353,0.449,0.802,9,15,R,J.Snyder(54)
65,66,66,Jun 18,@,MIL,"W,7-3",40,35,7,10,2,0,2,7,2,1,8,0,1,2,1,0,1,0,0.267,0.352,0.45,0.802,6,13,R,J.Bere(40)
66,67,67,Jun 20,,PHI,"L,2-3",37,36,2,7,1,0,1,2,1,0,7,0,0,0,0,0,0,1,0.266,0.351,0.448,0.798,5,15,R,P.Byrd(56)
67,68,68,Jun 21,,PHI,"L,5-10",38,37,5,10,1,0,1,5,1,0,9,0,0,0,0,0,1,0,0.266,0.35,0.447,0.796,6,16,R,C.Schilling(57)
68,69,69,Jun 22,,PHI,"W,5-4",33,31,5,7,3,0,3,5,2,0,6,0,0,0,0,0,0,0,0.266,0.349,0.449,0.798,4,13,R,C.Politte(48)
69,70,70,Jun 23,,PIT,"W,12-2",42,37,12,14,3,0,1,11,5,2,5,0,0,0,1,0,0,0,0.267,0.35,0.45,0.801,6,16,R,B.Arroyo(2)
70,71,71,Jun 24,,PIT,"W,10-8",43,37,10,12,5,0,2,9,6,1,6,0,0,0,1,0,0,1,0.268,0.351,0.453,0.804,9,17,R,J.Silva(46)
71,72,72,Jun 25,,PIT,"W,9-0",38,34,9,12,4,0,1,9,3,0,8,0,0,1,0,0,1,1,0.269,0.352,0.454,0.806,5,13,R,K.Benson(37)
72,73,73,Jun 26,,FLA,"W,10-5",42,34,10,12,1,0,5,10,6,0,2,2,0,0,0,2,1,0,0.271,0.354,0.459,0.813,8,18,R,R.Cornelius(32)
73,74,74,Jun 27,,FLA,"W,5-2",34,27,5,7,3,0,0,5,6,0,1,0,0,1,0,1,0,1,0.27,0.354,0.458,0.812,5,11,L,J.Sanchez(37)
74,75,75,Jun 28,,FLA,"W,6-5",41,35,6,13,3,0,0,5,6,1,6,0,0,0,1,1,0,1,0.272,0.356,0.458,0.814,11,17,R,B.Penny(37)
75,76,76,Jun 29,,ATL,"L,4-6",37,34,4,7,0,0,0,4,3,0,8,0,0,0,2,2,0,0,0.271,0.355,0.455,0.81,6,16,R,J.Burkett(46)
76,77,77,Jun 30,,ATL,"W,11-8",41,35,11,12,1,0,1,11,6,0,6,0,0,0,0,1,0,0,0.272,0.356,0.455,0.811,6,14,R,K.Millwood(65)
77,78,78,Jul 1,,ATL,"W,9-1",40,37,9,11,3,0,3,8,3,0,9,0,0,0,1,0,0,0,0.272,0.356,0.457,0.813,7,12,R,G.Maddux(15)
78,79,79,Jul 2,,ATL,"L,2-10",33,30,2,5,0,0,2,2,3,0,4,0,0,0,1,2,0,0,0.271,0.354,0.456,0.811,4,14,L,T.Glavine(62)
