,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 5,,ATL,"L,1-4",32,31,1,4,2,0,0,1,1,0,6,0,0,0,0,0,0,0,0.129,0.156,0.194,0.35,4,15,R,D.Lowe(82)
1,2,2,Apr 7,,ATL,"L,0-4",38,34,0,6,1,0,0,0,4,0,3,0,0,0,1,0,0,0,0.154,0.214,0.2,0.414,11,15,R,J.Jurrjens(60)
2,3,3,Apr 8,,ATL,"W,12-11",47,34,12,11,3,1,1,12,10,0,6,1,1,1,1,0,0,0,0.212,0.319,0.323,0.642,11,19,R,J.Vazquez(51)
3,4,4,Apr 10,@,COL,"L,3-10",35,31,3,7,2,0,1,3,3,0,3,0,0,1,1,3,0,0,0.215,0.311,0.338,0.65,5,15,R,J.Marquis(59)
4,5,5,Apr 11,@,COL,"W,8-4",47,41,8,15,3,1,1,8,5,1,6,0,1,0,0,0,1,0,0.251,0.34,0.392,0.732,12,13,L,J.De La Rosa(33)
5,6,6,Apr 12,@,COL,"W,7-5",38,36,7,13,3,0,2,7,1,0,4,0,1,0,0,2,1,1,0.271,0.346,0.43,0.776,4,17,R,A.Cook(47)
6,7,7,Apr 13,@,WSN,"W,9-8",43,36,9,10,3,0,3,9,3,0,7,2,0,2,2,1,0,0,0.272,0.347,0.457,0.803,7,14,R,D.Cabrera(45)
7,8,8,Apr 16,@,WSN,"L,2-8",34,29,2,5,1,0,0,2,2,0,3,0,2,1,0,0,0,0,0.261,0.333,0.43,0.763,5,14,R,S.Martis(54)
8,9,9,Apr 17,,SDP,"L,7-8",43,38,7,14,3,1,1,7,4,0,5,0,1,0,0,1,3,0,0.274,0.345,0.448,0.793,9,15,R,C.Young(15)
9,10,10,Apr 18,,SDP,"L,5-8",38,35,5,8,2,0,3,5,1,0,7,0,0,2,2,0,0,0,0.27,0.334,0.458,0.792,6,17,R,S.Hill(55)
10,11,11,Apr 19,,SDP,"W,5-4",32,32,5,9,1,1,3,5,0,0,5,0,0,0,1,2,0,0,0.271,0.33,0.475,0.805,3,14,R,J.Geer(63)
11,12,12,Apr 21,,MIL,"W,11-4",46,37,11,13,4,0,1,9,9,0,8,0,0,0,0,0,1,0,0.278,0.345,0.481,0.825,11,13,L,M.Parra(29)
12,13,13,Apr 22,,MIL,"L,1-3",36,34,1,8,0,0,1,1,2,0,4,0,0,0,0,1,1,0,0.275,0.34,0.469,0.809,8,17,R,B.Looper(60)
13,14,14,Apr 23,,MIL,"L,1-6",33,27,1,2,0,0,1,1,3,0,4,2,1,0,0,1,0,0,0.263,0.333,0.453,0.785,5,17,R,D.Bush(72)
