,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,@,BAL,"W,6-2",38,36,6,10,2,0,1,6,1,0,3,1,0,0,1,1,1,1,0.278,0.316,0.417,0.732,5,10,R,J.Guthrie(29)
1,2,2,Apr 2,@,BAL,"L,6-9",41,34,6,7,2,0,2,5,7,1,7,0,0,0,0,1,2,0,0.243,0.329,0.429,0.758,8,10,R,D.Cabrera(23)
2,3,3,Apr 4,@,NYY,"W,13-4",45,41,13,15,3,0,2,13,4,0,11,0,0,0,1,1,2,1,0.288,0.363,0.486,0.849,5,10,R,I.Kennedy(23)
3,4,4,Apr 5,@,NYY,"W,6-3",39,34,6,9,1,0,2,6,2,0,8,2,0,1,1,0,1,1,0.283,0.356,0.483,0.839,6,10,L,A.Pettitte(36)
4,5,5,Apr 6,@,NYY,"L,0-2",32,30,0,4,0,0,0,0,2,0,9,0,0,0,1,0,0,1,0.257,0.328,0.423,0.751,5,9,R,C.Wang(68)
5,6,6,Apr 7,@,NYY,"L,1-6",34,31,1,3,1,0,1,1,2,0,5,1,0,0,1,0,1,0,0.233,0.306,0.393,0.699,6,9,R,M.Mussina(66)
6,7,7,Apr 8,,SEA,"L,5-6",39,33,5,6,1,0,2,3,5,0,9,1,0,0,0,0,3,0,0.226,0.306,0.393,0.699,7,12,L,E.Bedard(47)
7,8,8,Apr 9,,SEA,"L,1-7",35,32,1,8,4,0,0,1,1,0,4,0,1,1,1,1,0,0,0.229,0.301,0.391,0.692,7,11,L,J.Washburn(62)
8,9,9,Apr 10,,SEA,"W,7-0",40,34,7,10,1,0,1,7,5,1,7,1,0,0,0,0,1,0,0.236,0.313,0.393,0.706,9,10,R,M.Batista(41)
9,10,10,Apr 11,,BAL,"W,10-5",44,37,10,15,2,0,2,10,6,0,7,1,0,0,1,0,1,1,0.254,0.334,0.418,0.752,10,9,R,J.Guthrie(52)
10,11,11,Apr 12,,BAL,"L,2-3",37,33,2,7,0,0,1,2,4,0,6,0,0,0,1,1,0,1,0.251,0.331,0.408,0.739,8,10,R,D.Cabrera(61)
11,12,12,Apr 13,,BAL,"W,6-2",34,29,6,6,0,0,1,6,5,0,6,0,0,0,0,0,1,0,0.248,0.33,0.401,0.731,4,10,L,B.Burres(30)
12,13,13,Apr 14,,NYY,"L,7-8",40,36,7,11,2,0,3,7,2,0,7,1,0,1,0,0,2,1,0.252,0.332,0.418,0.75,6,9,R,I.Kennedy(46)
13,14,14,Apr 15,,NYY,"L,3-5",39,36,3,10,0,0,0,3,3,0,7,0,0,0,0,1,0,0,0.254,0.332,0.408,0.74,9,10,L,A.Pettitte(49)
14,15,15,Apr 16,@,MIN,"L,5-6",38,35,5,10,1,0,3,5,3,0,5,0,0,0,1,1,1,2,0.256,0.333,0.419,0.752,6,9,R,L.Hernández(39)
15,16,16,Apr 17,@,MIN,"W,7-3",39,36,7,11,1,0,1,7,3,1,5,0,0,0,1,0,0,1,0.26,0.334,0.419,0.753,5,10,R,B.Bonser(20)
16,17,17,Apr 18,,CHW,"L,2-9",37,33,2,7,2,0,0,2,3,0,6,1,0,0,0,2,0,0,0.257,0.332,0.41,0.743,8,11,R,J.Vazquez(56)
17,18,18,Apr 19,,CHW,"W,5-0",34,30,5,12,1,1,0,5,2,0,6,1,0,1,0,3,1,1,0.264,0.338,0.415,0.752,5,10,L,M.Buehrle(36)
18,19,19,Apr 20,,CHW,"L,0-6",31,31,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.257,0.329,0.401,0.73,4,9,L,J.Danks(79)
19,20,20,Apr 22,,TOR,"W,6-4",36,34,6,12,1,1,2,6,2,0,11,0,0,0,0,1,1,1,0.262,0.332,0.412,0.743,6,9,R,J.Litsch(26)
20,21,21,Apr 23,,TOR,"W,5-3",32,30,5,9,1,1,0,5,1,0,4,0,0,1,0,2,0,0,0.264,0.331,0.411,0.742,3,10,R,R.Halladay(47)
21,22,22,Apr 24,,TOR,"W,5-3",39,30,5,8,1,1,0,5,7,0,10,0,1,1,1,0,3,1,0.264,0.334,0.41,0.743,10,9,R,D.McGowan(35)
22,23,23,Apr 25,,BOS,"W,5-4",49,39,5,11,0,2,0,4,8,1,4,1,0,1,1,0,3,1,0.265,0.338,0.408,0.746,14,11,R,T.Wakefield(42)
23,24,24,Apr 26,,BOS,"W,2-1",29,27,2,3,1,0,1,2,2,0,9,0,0,0,0,0,0,0,0.26,0.333,0.403,0.736,3,10,R,C.Buchholz(75)
24,25,25,Apr 27,,BOS,"W,3-0",30,28,3,5,2,0,1,2,1,0,15,1,0,0,0,0,2,0,0.257,0.329,0.402,0.731,3,9,R,J.Beckett(75)
25,26,26,Apr 29,@,BAL,"L,4-7",40,34,4,8,1,0,1,4,6,0,9,0,0,0,0,0,0,0,0.256,0.33,0.4,0.73,9,10,L,G.Olson(59)
26,27,27,Apr 30,@,BAL,"W,8-1",44,34,8,9,0,0,1,8,7,0,4,1,1,1,1,1,0,0,0.256,0.333,0.398,0.731,9,9,R,M.Albers(53)
27,28,28,May 1,@,BAL,"W,4-2",41,36,4,9,1,0,1,4,5,0,7,0,0,0,0,0,2,0,0.256,0.333,0.397,0.73,10,11,L,B.Burres(49)
28,29,29,May 2,@,BOS,"L,3-7",38,32,3,7,2,0,0,2,5,0,8,0,0,1,1,0,0,0,0.255,0.333,0.393,0.725,8,10,R,C.Buchholz(56)
29,30,30,May 3,@,BOS,"L,4-12",36,34,4,8,1,0,2,4,2,0,5,0,0,0,0,0,0,0,0.254,0.331,0.394,0.725,5,10,R,J.Beckett(56)
30,31,31,May 4,@,BOS,"L,3-7",38,35,3,8,0,1,1,3,3,0,7,0,0,0,1,1,0,0,0.253,0.33,0.394,0.723,8,10,L,J.Lester(62)
31,32,32,May 6,@,TOR,"W,5-4",38,34,5,9,2,0,1,5,3,0,14,0,0,1,0,0,2,0,0.254,0.329,0.394,0.723,6,9,R,A.Burnett(43)
32,33,33,May 7,@,TOR,"L,2-6",31,30,2,4,1,0,0,2,1,0,10,0,0,0,0,0,1,0,0.25,0.325,0.388,0.713,2,9,R,S.Marcum(76)
33,34,34,May 8,@,TOR,"W,8-3",52,49,8,13,1,0,3,8,2,1,8,0,0,1,0,1,1,1,0.251,0.323,0.391,0.715,5,12,R,J.Litsch(57)
34,35,35,May 9,,LAA,"W,2-0",32,29,2,6,1,0,1,2,3,0,2,0,0,0,0,2,0,0,0.25,0.322,0.39,0.713,5,10,R,J.Garland(73)
35,36,36,May 10,,LAA,"W,2-0",32,26,2,7,1,0,0,2,4,0,5,0,1,1,0,1,1,1,0.25,0.323,0.389,0.712,6,10,L,J.Saunders(59)
36,37,37,May 11,,LAA,"W,8-5",39,37,8,15,2,0,1,7,1,0,9,0,0,1,0,1,3,0,0.255,0.326,0.393,0.719,7,9,R,E.Santana(37)
37,38,38,May 12,,NYY,"W,7-1",41,36,7,13,1,1,0,7,4,0,7,0,1,0,0,0,2,0,0.258,0.328,0.395,0.723,10,10,L,A.Pettitte(29)
38,39,39,May 13,,NYY,"W,2-1",43,37,2,11,1,0,0,2,5,0,3,0,1,0,0,3,1,0,0.259,0.33,0.393,0.722,11,11,R,C.Wang(58)
39,40,40,May 14,,NYY,"L,1-2",33,31,1,7,1,0,0,1,2,0,8,0,0,0,0,1,0,0,0.258,0.329,0.389,0.718,5,9,R,M.Mussina(62)
40,41,41,May 15,,NYY,"W,5-2",31,27,5,5,2,0,2,5,1,0,7,1,0,2,0,0,0,0,0.257,0.327,0.391,0.718,2,10,R,I.Kennedy(39)
41,42,42,May 16,@,STL,"W,3-1",40,37,3,12,3,0,0,3,2,0,5,0,1,0,1,2,0,0,0.259,0.327,0.392,0.719,10,11,R,B.Looper(39)
42,43,43,May 17,@,STL,"L,8-9",48,41,8,18,2,0,1,8,5,0,6,0,1,1,0,0,1,3,0.264,0.332,0.396,0.729,10,17,R,A.Wainwright(30)
43,44,44,May 18,@,STL,"L,4-5",36,36,4,11,7,0,1,3,0,0,7,0,0,0,0,1,2,0,0.265,0.332,0.401,0.732,5,17,R,K.Lohse(51)
44,45,45,May 19,@,OAK,"W,7-6",54,49,7,11,5,0,2,7,5,1,15,0,0,0,0,0,2,1,0.264,0.33,0.402,0.733,8,11,R,J.Blanton(48)
45,46,46,May 20,@,OAK,"W,3-2",38,33,3,7,2,0,0,3,5,1,8,0,0,0,1,1,2,1,0.262,0.33,0.4,0.73,8,11,L,G.Smith(59)
