,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 5,,TOR,"W,5-4",34,31,5,6,2,0,1,5,2,1,7,1,0,0,1,1,0,0,0.194,0.265,0.355,0.62,4,12,R,S.Marcum(66)
1,2,2,Apr 7,,TOR,"L,4-7",36,33,4,5,1,0,2,3,3,0,9,0,0,0,1,0,0,0,0.172,0.243,0.359,0.602,5,11,L,B.Tallet(57)
2,3,3,Apr 8,,TOR,"L,1-3",35,31,1,5,2,0,0,0,4,0,9,0,0,0,0,0,0,0,0.168,0.248,0.316,0.563,7,12,L,R.Romero(65)
3,4,4,Apr 9,,SEA,"W,6-2",36,35,6,12,2,0,1,6,1,0,8,0,0,0,0,0,0,0,0.215,0.277,0.362,0.638,6,10,L,J.Vargas(36)
4,5,5,Apr 10,,SEA,"L,3-4",37,32,3,7,0,1,1,2,3,0,7,1,1,0,0,1,0,0,0.216,0.282,0.364,0.647,7,11,R,F.Hernandez(57)
5,6,6,Apr 11,,SEA,"W,9-2",45,35,9,16,2,1,1,9,4,0,2,1,0,3,0,1,0,0,0.259,0.323,0.416,0.739,12,9,R,I.Snell(23)
6,7,7,Apr 12,@,CLE,"W,4-2",43,36,4,8,1,1,1,3,5,0,5,1,1,0,0,2,3,0,0.253,0.324,0.412,0.736,9,11,R,R.Hernandez(64)
7,8,8,Apr 14,@,CLE,"W,6-2",43,41,6,15,3,0,1,6,1,0,13,0,1,0,1,0,2,1,0.27,0.332,0.427,0.759,10,9,R,J.Masterson(51)
8,9,9,Apr 15,@,CLE,"L,2-3",31,29,2,4,0,0,1,2,1,0,4,0,1,0,0,1,0,0,0.257,0.317,0.409,0.727,2,10,L,D.Huff(74)
9,10,10,Apr 16,@,NYY,"L,1-5",22,20,1,3,1,0,0,1,0,0,9,1,0,1,0,0,0,0,0.251,0.309,0.396,0.705,3,9,L,C.Sabathia(71)
10,11,11,Apr 17,@,NYY,"L,3-7",37,34,3,8,1,0,1,3,3,0,10,0,0,0,0,1,1,0,0.249,0.308,0.392,0.7,7,10,R,A.Burnett(70)
11,12,12,Apr 18,@,NYY,"L,2-5",33,29,2,4,1,0,0,2,3,0,6,0,1,0,0,1,0,0,0.241,0.301,0.376,0.677,4,11,L,A.Pettitte(67)
12,13,13,Apr 20,@,BOS,"L,6-7",44,34,6,8,2,0,0,5,9,1,5,1,0,0,0,0,9,0,0.24,0.311,0.369,0.68,11,11,R,T.Wakefield(32)
13,14,14,Apr 21,@,BOS,"L,7-8",47,40,7,8,2,1,1,7,5,0,10,0,1,1,0,1,3,0,0.237,0.309,0.37,0.678,4,10,R,J.Beckett(34)
14,15,15,Apr 22,@,BOS,"W,3-0",35,33,3,7,3,0,0,3,2,1,11,0,0,0,0,1,2,0,0.235,0.305,0.365,0.671,5,9,R,C.Buchholz(59)
15,16,16,Apr 23,,DET,"W,5-4",37,27,5,6,1,0,1,4,7,1,8,1,2,0,0,0,0,2,0.235,0.311,0.365,0.676,7,12,R,M.Scherzer(58)
16,17,17,Apr 24,,DET,"L,4-8",39,35,4,11,2,0,0,4,3,0,6,0,1,0,1,2,0,0,0.24,0.315,0.366,0.68,8,9,L,B.Thomas(26)
17,18,18,Apr 25,,DET,"W,8-4",41,33,8,11,1,0,1,8,7,0,10,1,0,0,0,1,0,1,0.245,0.324,0.371,0.695,9,9,R,R.Porcello(19)
18,19,19,Apr 26,,DET,"L,6-8",39,38,6,11,2,0,1,5,1,0,6,0,0,0,0,0,0,0,0.248,0.323,0.374,0.697,6,12,R,J.Bonderman(43)
19,20,20,Apr 27,,CHW,"W,4-2",31,29,4,7,3,0,1,4,1,0,3,0,0,1,1,1,0,1,0.247,0.32,0.377,0.697,3,10,L,M.Buehrle(48)
20,21,21,Apr 28,,CHW,"W,6-5",39,30,6,7,2,0,1,6,9,2,9,0,0,0,0,0,2,1,0.247,0.325,0.378,0.703,9,10,R,J.Peavy(39)
21,22,22,Apr 29,,CHW,"L,5-7",37,37,5,9,3,1,1,4,0,0,9,0,0,0,1,1,0,0,0.247,0.321,0.382,0.703,5,11,R,G.Floyd(64)
22,23,23,Apr 30,@,SEA,"W,2-0",42,40,2,5,0,0,0,1,2,1,13,0,0,0,0,0,0,0,0.24,0.313,0.369,0.682,4,11,L,C.Lee(79)
23,24,24,May 1,@,SEA,"W,6-3",43,38,6,13,1,0,1,6,5,0,8,0,0,0,0,1,0,1,0.245,0.318,0.373,0.691,10,9,R,F.Hernandez(28)
24,25,25,May 2,@,SEA,"W,3-1",42,38,3,8,0,0,0,2,2,1,5,0,1,1,0,0,1,0,0.243,0.315,0.365,0.68,6,18,R,D.Fister(79)
25,26,26,May 3,@,OAK,"W,4-2",38,38,4,13,2,0,1,4,0,0,4,0,0,0,0,1,0,0,0.248,0.316,0.37,0.686,7,11,L,D.Braden(46)
26,27,27,May 4,@,OAK,"L,6-7",38,33,6,8,0,0,1,6,5,0,7,0,0,0,0,1,3,1,0.248,0.317,0.369,0.686,5,10,R,V.Mazzaro(39)
27,28,28,May 5,@,OAK,"L,1-4",34,31,1,7,1,0,0,1,3,0,5,0,0,0,1,3,0,1,0.247,0.316,0.365,0.681,6,9,R,T.Cahill(56)
28,29,29,May 6,,KCR,"W,13-12",42,38,13,15,4,0,4,13,3,0,7,0,0,1,0,0,2,0,0.253,0.321,0.382,0.703,5,9,R,K.Davies(7)
