,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 2,,ARI,"L,6-8",9.0,12,8,8,0,5,5,0,0,8.0,43,152,91,1.0,0.0,0,0,37,3,0,2,0,1,0,0,5,Tim McClelland,"A.Cook (99-34), M.Corpas (99-H), L.Hawkins (99-BL), J.Affeldt (99), R.Ramirez (99)"
1,2,2,Apr 3,,ARI,"W,4-3",11.0,11,3,3,0,3,8,0,2,4.95,47,179,108,0.0,0.0,1,0,42,1,0,0,0,0,0,1,6,Fieldin Culbreth,"J.Francis (99-52), M.Corpas (0), L.Hawkins (0), B.Fuentes (99), R.Ramirez (0), B.Kim (99-W)"
2,3,3,Apr 4,,ARI,"W,11-4",9.0,10,4,3,1,0,7,1,0,4.34,37,119,76,0.0,0.0,0,0,36,2,0,0,0,1,1,1,4,Paul Schrieber,"R.Lopez (99-64-W), L.Hawkins (0-H), J.Affeldt (1), T.Buchholz (99)"
3,4,4,Apr 6,@,SDP,"W,4-3",9.0,8,3,3,0,0,11,2,1,4.03,36,139,90,2.0,0.0,0,0,35,1,0,0,0,0,0,0,4,Jerry Crawford,"J.Hirsh (99-66-W), M.Corpas (2-H), L.Hawkins (1-H), B.Fuentes (2-Sv)"
4,5,5,Apr 7,@,SDP,"L,2-3",8.1,10,3,3,0,2,5,1,2,3.88,39,132,77,2.0,1.0,1,0,33,1,0,1,1,1,0,0,4,Bill Hohn,"J.Fogg (99-55), J.Affeldt (2-BSv), R.Ramirez (3), M.Corpas (0-L)"
5,6,6,Apr 8,@,SDP,"L,1-2",9.1,7,2,2,0,0,5,1,0,3.56,34,119,80,0.0,0.0,0,0,34,2,1,0,0,0,0,1,2,Brian O'Nora,"A.Cook (5-77), L.Hawkins (1-L)"
6,7,7,Apr 9,@,LAD,"W,6-3",9.0,7,3,3,0,4,7,1,0,3.48,38,152,93,1.0,0.0,0,0,33,2,0,0,0,1,1,1,4,Paul Emmel,"J.Francis (5-59-W), R.Ramirez (1-H), M.Corpas (1-H), B.Fuentes (2)"
7,8,8,Apr 10,@,LAD,"L,1-2",8.0,6,2,2,0,3,2,0,0,3.34,30,100,64,0.0,0.0,1,1,26,1,0,1,0,1,0,1,2,Dale Scott,"R.Lopez (5-58), B.Kim (6-L)"
8,9,9,Apr 11,@,LAD,"L,0-3",8.0,7,3,3,0,2,4,0,0,3.35,32,118,74,0.0,0.0,2,0,30,0,0,0,0,0,0,1,4,Chris Guccione,"J.Hirsh (4-44-L), J.Affeldt (3), T.Buchholz (6), B.Fuentes (1)"
9,10,10,Apr 13,@,ARI,"W,6-3",9.0,5,3,3,0,2,5,1,0,3.31,32,119,73,1.0,0.0,0,0,30,1,0,0,0,0,0,2,5,Brian Knight,"J.Fogg (5-45), J.Affeldt (1-W), M.Corpas (3-H), L.Hawkins (4-H), B.Fuentes (1-Sv)"
