,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Mar 31,@,TOR,"W,8-4",9.0,9,4,4,0,3,10,0,1,4.0,40,159,98,5.0,4.0,0,0,35,3,0,0,0,1,0,0,5,Joe West,"R.Clemens (99-70-W), J.Contreras (99), C.Hammond (99), J.Anderson (99), J.Acevedo (99)"
1,2,2,Apr 1,@,TOR,"W,10-1",9.0,8,1,1,0,3,10,0,0,2.5,37,136,83,0.0,0.0,0,0,34,2,0,0,0,0,0,1,2,Jeff Kellogg,"A.Pettitte (99-71-W), A.Osuna (99)"
2,3,3,Apr 2,@,TOR,"W,9-7",9.0,11,7,7,0,0,12,1,0,4.0,37,127,88,1.0,0.0,0,1,36,6,0,0,0,1,0,0,4,Bill Miller,"M.Mussina (99-50-W), J.Contreras (1), C.Hammond (1-H), J.Acevedo (1-Sv)"
3,4,4,Apr 4,@,TBD,"W,12-2",9.0,9,2,2,0,0,5,0,1,3.5,37,112,81,0.0,0.0,0,1,36,1,0,0,0,0,1,0,2,Marvin Hudson,"D.Wells (99-68-W), S.Hitchcock (99)"
4,5,5,Apr 5,@,TBD,"L,5-6",8.1,14,6,6,0,3,6,0,1,4.06,40,153,96,1.0,0.0,1,1,35,5,0,1,0,1,0,1,3,Dana DeMuth,"J.Weaver (99-51), C.Hammond (2-BSv), A.Osuna (3-L)"
5,6,6,Apr 6,@,TBD,"W,10-5",9.0,11,5,5,0,3,8,1,0,4.22,40,147,96,0.0,0.0,0,0,36,2,0,0,0,1,1,1,3,Jerry Layne,"R.Clemens (5-52-W), J.Contreras (3), J.Acevedo (3)"
6,7,7,Apr 8,,MIN,"W,7-3",9.0,5,3,3,0,4,6,0,0,4.04,35,132,82,2.0,0.0,0,0,30,2,0,0,0,1,1,2,3,Gary Cederstrom,"A.Pettitte (6-46-W), A.Osuna (2-H), J.Anderson (7)"
7,8,8,Apr 9,,MIN,"W,2-1",9.0,7,1,0,1,2,9,0,0,3.53,34,130,93,0.0,0.0,0,1,32,1,0,0,0,0,0,1,2,Mark Wegner,"M.Mussina (6-74-W), J.Acevedo (2-Sv)"
8,9,9,Apr 10,,MIN,"W,2-0",9.0,3,0,0,0,0,6,0,2,3.14,32,96,72,,,0,0,30,1,0,0,0,0,1,1,1,Tim Welke,D.Wells (5-87-W)
9,10,10,Apr 12,,TBD,"W,5-4",9.0,9,4,4,0,0,8,0,0,3.22,37,128,89,1.0,1.0,0,0,36,4,0,0,0,1,1,0,3,Brian Gorman,"J.Weaver (6-48), C.Hammond (6-BSv), A.Osuna (3-W)"
10,11,11,Apr 13,,TBD,"L,1-2",9.0,10,2,2,0,3,6,0,0,3.11,37,140,88,0.0,0.0,0,2,32,2,0,0,1,1,1,2,3,Bruce Dreckman,"R.Clemens (6-62), C.Hammond (0), J.Acevedo (3-L)"
11,12,12,Apr 14,,TOR,"W,10-9",9.0,16,9,9,0,8,7,0,1,3.61,48,196,113,11.0,5.0,0,0,38,3,0,1,0,1,0,3,6,John Hirschbeck,"A.Pettitte (5-28), J.Anderson (5), J.Contreras (7-W), A.Osuna (1-H), J.Acevedo (0-H), C.Hammond (0-Sv)"
12,13,13,Apr 15,,TOR,"W,5-0",9.0,3,0,0,0,3,10,0,0,3.33,30,129,87,0.0,0.0,0,0,27,0,0,0,0,0,0,3,2,Wally Bell,"M.Mussina (5-83-W), J.Anderson (0)"
13,14,14,Apr 16,,TOR,"L,6-7",9.0,17,7,7,0,1,11,2,0,3.59,45,174,117,2.0,0.0,0,0,44,3,0,1,0,0,0,0,4,Kerwin Danley,"D.Wells (5-32), S.Hitchcock (11-L), A.Osuna (1), J.Acevedo (1)"
14,15,15,Apr 17,,TOR,"W,4-0",9.0,5,0,0,0,3,6,0,0,3.35,34,136,86,0.0,0.0,0,0,31,2,0,0,0,0,1,2,2,Bill Welke,"J.Weaver (4-76-W), C.Hammond (2)"
15,16,16,Apr 18,@,MIN,"W,11-4",9.0,9,4,4,0,5,10,0,0,3.39,40,147,89,3.0,1.0,2,0,35,3,0,0,0,0,0,1,4,Mike DiMuro,"R.Clemens (4-63-W), J.Anderson (2), J.Contreras (3), A.Osuna (1)"
16,17,17,Apr 19,@,MIN,"W,4-2",9.0,9,2,2,0,2,11,0,0,3.31,38,124,81,5.0,0.0,2,0,36,1,0,0,0,0,0,0,4,Andy Fletcher,"A.Pettitte (4-63-W), A.Osuna (0), C.Hammond (1-H), J.Acevedo (2-Sv)"
17,18,18,Apr 20,@,MIN,"W,8-2",9.0,6,2,2,0,3,9,0,0,3.24,34,123,78,0.0,0.0,0,0,31,1,0,0,0,0,0,1,3,Joe Brinkman,"M.Mussina (4-64-W), J.Anderson (1), R.Choate (99)"
18,19,19,Apr 21,@,MIN,"W,15-1",9.0,7,1,1,0,1,3,1,0,3.12,34,103,68,,,0,0,33,1,0,0,0,0,0,0,1,Derryl Cousins,D.Wells (4-71-W)
19,20,20,Apr 22,@,ANA,"W,8-3",9.0,10,3,3,0,3,3,0,0,3.11,39,169,116,2.0,0.0,0,0,35,2,0,0,0,1,1,2,4,Tony Randazzo,"J.Weaver (4-43-W), A.Osuna (2), C.Hammond (2), J.Acevedo (2)"
