,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 8,,OAK,"W,9-5",9.0,6,5,4,1,0,11,2,1,4.0,35,115,85,2.0,1.0,0,0,34,1,0,0,0,0,1,0,5,Dan Iassogna,"A.Nola (99-55-W), J.Familia (99-H), B.Hand (99-H), S.Domínguez (99-H), C.Knebel (99)"
1,2,2,Apr 9,,OAK,"W,4-2",9.0,5,2,1,1,1,12,0,0,2.5,31,115,77,0.0,0.0,0,0,30,1,0,0,0,0,0,2,3,Scott Barry,"K.Gibson (99-83-W), J.Alvarado (99), C.Knebel (0-Sv)"
2,3,3,Apr 10,,OAK,"L,1-4",9.0,9,4,4,0,3,8,1,1,3.0,39,144,93,1.0,0.0,0,0,35,2,0,0,0,0,0,0,4,Ben May,"Z.Eflin (99-59), B.Falter (99-L), C.Brogdon (99), D.Jones (99)"
3,4,4,Apr 11,,NYM,"W,5-4",9.0,7,4,4,0,3,6,0,0,3.25,37,141,85,3.0,1.0,1,0,33,0,0,0,1,0,2,2,4,Ryan Blakney,"R.Suárez (99-36), N.Nelson (99), S.Domínguez (2-W), B.Hand (2-Sv)"
4,5,5,Apr 12,,NYM,"L,0-2",9.0,3,2,2,0,3,8,1,2,3.0,34,136,83,1.0,1.0,1,1,29,0,0,0,0,0,0,0,4,Marvin Hudson,"Z.Wheeler (99-58-L), C.Sánchez (99), C.Brogdon (1), J.Familia (3)"
5,6,6,Apr 13,,NYM,"L,6-9",9.0,9,9,9,0,6,10,2,3,4.0,43,176,105,6.0,2.0,0,0,33,3,1,0,0,1,0,2,6,Adrian Johnson,"A.Nola (4-44-L), S.Domínguez (1), D.Jones (2), C.Brogdon (0), J.Alvarado (3), B.Falter (2)"
6,7,7,Apr 14,@,MIA,"L,3-4",8.0,6,4,4,0,5,8,1,0,4.06,34,148,94,2.0,0.0,0,0,29,1,1,0,0,0,0,1,5,Alan Porter,"K.Gibson (4-41-L), A.Bellatti (99), J.Norwood (99), B.Hand (2), C.Knebel (4)"
7,8,8,Apr 15,@,MIA,"L,1-7",8.0,11,7,7,0,4,8,0,1,4.5,39,156,91,0.0,0.0,1,0,32,4,2,0,0,2,0,0,4,Quinn Wolcott,"Z.Eflin (4-37-L), N.Nelson (3), A.Bellatti (0), J.Familia (2)"
8,9,9,Apr 16,@,MIA,"W,10-3",9.0,8,3,3,0,4,7,2,0,4.33,37,129,86,0.0,0.0,0,0,33,2,0,0,0,0,0,2,4,Jeremie Rehak,"R.Suárez (4-48-W), S.Domínguez (2), J.Norwood (1), B.Falter (2)"
9,10,10,Apr 17,@,MIA,"L,3-11",8.0,13,11,11,0,6,8,0,4,5.07,48,167,103,4.0,3.0,0,0,37,1,2,1,0,1,1,0,4,Mark Wegner,"Z.Wheeler (4-15-L), C.Sánchez (4), B.Hand (2), J.Alvarado (3)"
10,11,11,Apr 18,@,COL,"L,1-4",8.0,9,4,4,0,3,5,1,0,5.02,34,126,83,1.0,1.0,0,1,30,4,0,0,1,0,0,0,4,,"A.Nola (4-51-L), J.Alvarado (0), J.Norwood (1), C.Knebel (3)"
11,12,12,Apr 19,@,COL,"L,5-6",8.0,8,6,6,0,4,6,1,0,5.16,36,142,86,2.0,2.0,0,0,30,0,0,0,1,1,0,0,4,Paul Emmel,"K.Gibson (4-49), S.Domínguez (2-L), J.Familia (3-BSv), A.Bellatti (3)"
12,13,13,Apr 20,@,COL,"W,9-6",9.0,11,6,4,2,2,9,0,1,5.06,41,145,94,1.0,0.0,0,0,37,4,0,0,0,1,1,1,5,,"Z.Eflin (4-46), B.Hand (2-W), J.Familia (0), J.Alvarado (1-H), C.Knebel (1-Sv)"
13,14,14,Apr 22,,MIL,"W,4-2",9.0,5,2,2,0,5,11,0,0,4.83,37,163,103,1.0,0.0,1,0,30,1,0,0,0,2,0,0,5,Jim Wolf,"R.Suárez (5-53), S.Domínguez (2), J.Alvarado (1), N.Nelson (6-W), C.Knebel (1-Sv)"
14,15,15,Apr 23,,MIL,"L,3-5",9.0,9,5,5,0,1,9,1,0,4.85,36,144,95,1.0,0.0,2,1,35,1,0,0,0,0,0,0,5,D.J. Reyburn,"Z.Wheeler (5-42-L), C.Sánchez (5), J.Norwood (4), A.Bellatti (3), B.Hand (2)"
15,16,16,Apr 24,,MIL,"L,0-1",9.0,3,1,1,0,1,10,0,0,4.6,30,113,77,0.0,0.0,0,0,28,1,0,0,0,1,0,0,3,Angel Hernandez,"A.Nola (5-83), J.Familia (3), C.Knebel (1-L)"
16,17,17,Apr 25,,COL,"W,8-2",9.0,5,2,2,0,2,5,2,1,4.44,32,129,84,3.0,0.0,0,0,29,1,0,0,0,0,0,3,5,CB Bucknor,"K.Gibson (5-57-W), S.Domínguez (2-H), J.Familia (0-H), J.Norwood (1), B.Falter (8)"
17,18,18,Apr 26,,COL,"W,10-3",9.0,6,3,3,0,3,6,2,1,4.36,37,157,102,0.0,0.0,0,0,33,2,0,0,0,0,0,0,4,Stu Scheurwater,"Z.Eflin (5-66-W), N.Nelson (3), A.Bellatti (2), D.Jones (12)"
