,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 2,@,LAD,"W,9-2",9.0,5,2,2,0,3,3,0,0,2.0,33,135,83,0.0,0.0,2,1,29,1,0,0,1,0,0,1,2,Tim Welke,"L.Hernández (99-66-W), A.Fultz (99)"
1,2,2,Apr 3,@,LAD,"W,12-0",9.0,4,0,0,0,1,4,0,0,1.0,32,122,78,0.0,0.0,0,0,31,2,0,0,0,0,0,0,3,Gary Cederstrom,"R.Ortiz (99-72-W), J.Christiansen (99), T.Worrell (99)"
2,3,3,Apr 4,@,LAD,"W,3-0",9.0,3,0,0,0,2,6,0,0,0.67,32,133,91,0.0,0.0,0,0,28,1,0,0,2,0,1,1,3,Brian O'Nora,"R.Jensen (99-74-W), F.Rodriguez (99-H), R.Nen (99-Sv)"
3,4,4,Apr 5,,SDP,"W,3-1",10.0,7,1,1,0,3,4,0,0,0.73,39,146,93,1.0,0.0,0,0,36,0,0,0,0,0,0,1,4,Laz Diaz,"K.Rueter (99-63), F.Rodriguez (0), J.Christiansen (1), T.Worrell (1-W)"
4,5,5,Apr 6,,SDP,"W,4-1",9.0,8,1,1,0,4,4,0,0,0.78,36,142,90,0.0,0.0,1,1,32,1,0,0,0,0,0,0,4,Randy Marsh,"K.Ainsworth (99-50), A.Fultz (3-W), T.Worrell (0-H), R.Nen (1-Sv)"
5,6,6,Apr 7,,SDP,"W,10-1",9.0,4,1,1,0,1,5,0,0,0.82,31,109,71,,,0,0,30,0,1,0,0,0,0,1,1,Larry Vanover,L.Hernández (4-79-W)
6,7,7,Apr 9,,LAD,"L,0-3",9.0,10,3,3,0,2,4,1,0,1.12,38,143,87,0.0,0.0,0,0,35,2,0,0,1,0,1,2,3,Steve Rippley,"R.Ortiz (5-54-L), T.Worrell (2), J.Witasick (99)"
7,8,8,Apr 10,,LAD,"W,2-1",9.0,8,1,1,0,2,7,0,0,1.11,36,120,82,2.0,0.0,2,0,34,2,0,0,0,0,0,0,3,Gary Darling,"R.Jensen (5-68), F.Rodriguez (4-H), R.Nen (3-BW)"
8,9,9,Apr 11,,LAD,"L,3-4",9.0,10,4,4,0,0,3,2,0,1.43,36,122,77,0.0,0.0,0,0,35,2,0,0,1,0,0,1,3,Paul Emmel,"K.Rueter (5-54-L), J.Christiansen (5), T.Worrell (1)"
9,10,10,Apr 12,,MIL,"W,5-1",9.0,5,1,0,1,1,5,0,1,1.29,34,128,75,0.0,0.0,0,0,32,0,1,0,0,0,1,1,3,Mark Wegner,"K.Ainsworth (5-69-W), F.Rodriguez (1), T.Worrell (0)"
10,11,11,Apr 13,,MIL,"W,3-2",9.0,9,2,2,0,3,4,0,0,1.35,37,133,89,0.0,0.0,1,0,33,3,0,0,1,0,1,2,3,Bill Welke,"L.Hernández (5-51-W), F.Rodriguez (0-H), R.Nen (2-Sv)"
11,12,12,Apr 14,,MIL,"L,3-4",9.0,8,4,4,0,8,5,1,0,1.57,42,178,104,1.0,0.0,1,0,33,2,0,1,1,0,1,1,5,Rick Reed,"R.Ortiz (4-54), T.Worrell (1), F.Rodriguez (0-BL), J.Witasick (4), J.Christiansen (2)"
12,13,13,Apr 15,@,SDP,"L,3-4",8.0,10,4,4,0,5,7,1,0,1.77,39,171,102,4.0,2.0,0,0,34,1,0,0,0,0,0,0,5,Richard Shulock,"R.Jensen (4-49), J.Witasick (0), A.Fultz (8-H), T.Worrell (0-BSv), J.Christiansen (0-L)"
13,14,14,Apr 16,@,SDP,"W,5-1",9.0,6,1,1,0,1,5,0,0,1.71,34,144,91,0.0,0.0,0,0,33,1,0,0,0,0,1,1,3,Mike Everitt,"K.Rueter (4-75-W), F.Rodriguez (1), R.Nen (2)"
14,15,15,Apr 17,@,SDP,"L,3-5",8.0,11,5,5,0,4,4,1,0,1.95,36,142,83,1.0,1.0,1,1,30,2,0,0,1,1,0,1,4,Doug Eddings,"K.Ainsworth (4-42-L), A.Fultz (1), J.Christiansen (1), T.Worrell (1)"
