,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,,PHI,"L,5-8",36,33,5,7,0,1,1,4,2,0,4,0,1,0,0,0,3,0,0.212,0.257,0.364,0.621,4,19,R,K.Millwood(57)
1,2,2,Apr 2,,PHI,"L,2-8",34,29,2,5,1,1,0,1,5,0,4,0,0,0,0,1,0,1,0.194,0.275,0.323,0.598,5,15,L,R.Wolf(62)
2,3,3,Apr 3,,PHI,"W,8-3",38,34,8,11,1,1,3,8,1,0,5,2,1,0,0,0,3,0,0.24,0.311,0.448,0.759,6,14,R,V.Padilla(52)
3,4,4,Apr 4,@,ATL,"L,7-12",43,39,7,13,0,0,4,7,4,0,5,0,0,0,0,0,2,0,0.267,0.336,0.504,0.839,9,15,R,J.Marquis(45)
4,5,5,Apr 5,@,ATL,"W,17-1",54,50,17,23,5,1,3,16,3,2,9,1,0,0,1,2,2,0,0.319,0.379,0.578,0.958,10,17,R,G.Maddux(8)
5,6,6,Apr 6,@,ATL,"L,4-13",38,34,4,8,2,0,0,3,2,0,1,0,1,1,2,0,1,1,0.306,0.363,0.534,0.897,7,14,L,H.Ramirez(44)
6,7,7,Apr 7,@,ATL,"L,0-3",34,29,0,5,3,0,0,0,5,0,5,0,0,0,0,1,0,2,0.29,0.354,0.504,0.858,7,12,R,R.Ortiz(71)
7,8,8,Apr 8,,NYM,"L,2-4",40,32,2,7,0,0,0,2,7,0,5,0,0,1,0,1,1,0,0.282,0.354,0.471,0.825,11,14,L,A.Leiter(53)
8,9,9,Apr 9,,NYM,"W,3-2",39,35,3,11,1,0,1,3,4,0,5,0,0,0,0,0,2,1,0.286,0.357,0.467,0.824,10,13,R,S.Trachsel(57)
9,10,10,Apr 10,,NYM,"W,4-3",37,33,4,10,1,1,0,4,4,1,3,0,0,0,0,1,2,1,0.287,0.359,0.46,0.819,7,16,L,T.Glavine(63)
10,11,11,Apr 11,,ATL,"W,7-4",35,31,7,8,1,1,2,7,2,2,5,2,0,0,0,1,1,0,0.285,0.358,0.467,0.825,4,14,L,H.Ramirez(24)
11,12,12,Apr 12,,ATL,"W,12-5",42,40,12,15,2,1,2,11,1,0,4,0,1,0,1,0,1,0,0.294,0.361,0.482,0.843,6,13,R,R.Ortiz(21)
12,13,13,Apr 13,,ATL,"L,1-7",31,31,1,4,0,0,1,1,0,0,8,0,0,0,0,0,1,0,0.282,0.346,0.464,0.811,3,12,R,G.Maddux(67)
13,14,14,Apr 14,@,PHI,"L,2-5",33,28,2,6,2,0,0,2,4,0,7,0,1,0,0,3,0,0,0.278,0.344,0.454,0.798,4,14,R,V.Padilla(58)
14,15,15,Apr 15,@,PHI,"L,3-4",44,38,3,10,3,0,0,3,6,0,7,0,0,0,1,0,1,0,0.277,0.346,0.446,0.791,14,14,R,J.Roa(61)
15,16,16,Apr 16,@,PHI,"W,3-1",37,33,3,8,2,0,0,3,3,1,4,0,1,0,0,0,3,0,0.275,0.343,0.437,0.78,7,13,R,B.Myers(52)
16,17,17,Apr 17,@,PHI,"W,7-3",42,35,7,8,3,2,0,7,6,0,13,0,1,0,0,0,5,0,0.272,0.343,0.437,0.78,8,13,R,K.Millwood(20)
17,18,18,Apr 18,@,NYM,"L,3-6",38,34,3,9,1,0,0,3,4,1,11,0,0,0,0,2,6,0,0.272,0.343,0.429,0.772,8,13,L,A.Leiter(53)
18,19,19,Apr 19,@,NYM,"W,6-5",40,35,6,10,3,0,0,5,5,0,5,0,0,0,1,0,4,2,0.273,0.345,0.426,0.771,7,13,R,S.Trachsel(38)
19,20,20,Apr 20,@,NYM,"L,4-7",38,35,4,10,1,0,2,4,2,1,1,0,1,0,1,1,1,1,0.273,0.344,0.429,0.773,7,14,L,T.Glavine(48)
20,21,21,Apr 22,,MIL,"W,4-2",33,30,4,6,1,1,1,4,2,0,6,1,0,0,1,1,2,0,0.27,0.341,0.428,0.768,5,12,L,W.Franklin(59)
21,22,22,Apr 23,,MIL,"W,5-4",49,48,5,17,3,1,0,5,1,0,9,0,0,0,0,1,1,0,0.275,0.342,0.43,0.772,11,17,L,G.Rusch(50)
22,23,23,Apr 24,,MIL,"W,4-2",33,31,4,9,2,1,1,4,2,0,6,0,0,0,0,1,0,1,0.276,0.342,0.433,0.775,5,9,R,T.Ritchie(35)
23,24,24,Apr 25,,STL,"L,2-9",36,34,2,9,0,0,1,2,1,0,3,0,0,1,0,1,0,0,0.276,0.34,0.43,0.769,7,17,R,B.Tomko(63)
24,25,25,Apr 26,,STL,"W,5-3",34,32,5,9,0,0,1,5,2,0,1,0,0,0,0,0,0,1,0.276,0.339,0.428,0.767,5,14,R,J.Simontacchi(55)
25,26,26,Apr 27,,STL,"L,6-7",87,66,6,13,3,0,3,6,16,4,15,2,3,0,0,1,1,1,0.27,0.341,0.424,0.766,21,22,R,G.Stephenson(69)
26,27,27,Apr 28,@,ARI,"L,1-7",35,33,1,6,4,0,0,1,2,0,7,0,0,0,0,0,2,0,0.267,0.338,0.42,0.758,7,12,R,E.Dessens(66)
27,28,28,Apr 29,@,ARI,"W,7-5",40,37,7,10,2,2,3,7,3,0,12,0,0,0,1,0,3,0,0.267,0.337,0.429,0.767,6,14,R,B.Kim(40)
28,29,29,Apr 30,@,ARI,"L,3-7",38,36,3,10,1,0,1,3,2,0,7,0,0,0,0,0,0,1,0.268,0.337,0.428,0.765,8,18,R,M.Batista(65)
29,30,30,May 1,@,ARI,"W,4-3",33,29,4,8,3,1,1,4,3,0,2,0,0,1,0,3,1,1,0.268,0.336,0.431,0.768,2,13,R,A.Good(52)
30,31,31,May 2,@,HOU,"L,3-4",37,33,3,7,3,0,2,3,3,0,4,0,1,0,1,0,3,1,0.266,0.335,0.433,0.768,7,13,R,S.Linebrink(45)
31,32,32,May 3,@,HOU,"L,2-5",37,34,2,9,1,0,2,2,3,0,2,0,0,0,0,2,0,0,0.266,0.334,0.434,0.769,8,16,R,T.Redding(48)
32,33,33,May 4,@,HOU,"L,2-5",36,33,2,10,2,0,1,2,2,0,8,0,1,0,0,1,0,1,0.267,0.335,0.435,0.769,7,14,R,R.Oswalt(54)
33,34,34,May 6,,SFG,"L,2-4",32,29,2,3,1,0,1,2,2,0,13,0,0,1,0,0,0,0,0.263,0.33,0.43,0.76,3,14,R,J.Schmidt(65)
34,35,35,May 7,,SFG,"L,2-3",39,34,2,9,2,0,0,2,5,0,6,0,0,0,0,1,1,1,0.263,0.331,0.427,0.758,10,18,L,D.Moss(59)
35,36,36,May 8,,SFG,"L,2-3",34,28,2,6,2,0,0,2,3,0,8,0,2,1,0,2,1,0,0.262,0.33,0.424,0.754,5,12,R,K.Ainsworth(65)
36,37,37,May 9,,COL,"W,5-4",33,31,5,7,2,0,2,4,2,1,3,0,0,0,1,0,2,1,0.261,0.329,0.425,0.754,4,14,L,D.Oliver(51)
37,38,38,May 10,,COL,"L,4-5",39,34,4,13,4,0,0,3,4,0,4,0,0,1,0,3,0,0,0.264,0.332,0.427,0.759,8,17,R,J.Jennings(53)
38,39,39,May 11,,COL,"W,7-2",40,30,7,8,0,0,2,6,7,0,3,2,0,1,0,1,4,0,0.264,0.334,0.428,0.762,9,12,R,A.Cook(43)
39,40,40,May 12,@,SDP,"W,6-1",41,37,6,10,2,0,1,6,4,1,5,0,0,0,0,0,1,0,0.265,0.334,0.428,0.762,8,16,R,C.Condrey(34)
40,41,41,May 13,@,SDP,"L,5-6",43,35,5,9,2,0,3,5,6,1,4,0,1,1,0,0,1,0,0.264,0.335,0.431,0.766,8,14,R,B.Lawrence(47)
41,42,42,May 14,@,SDP,"W,10-3",47,41,10,17,1,2,3,10,6,0,9,0,0,0,0,1,2,1,0.269,0.339,0.44,0.779,10,14,L,M.Bynum(21)
42,43,43,May 16,@,LAD,"L,1-2",36,34,1,8,2,0,0,1,1,0,9,0,1,0,0,0,2,0,0.268,0.338,0.437,0.774,8,11,R,D.Dreifort(69)
43,44,44,May 17,@,LAD,"L,1-4",31,29,1,3,1,0,1,1,2,0,10,0,0,0,0,0,2,1,0.265,0.334,0.433,0.767,3,13,L,O.Perez(78)
44,45,45,May 18,@,LAD,"L,1-2",36,31,1,7,2,0,0,1,4,0,8,0,1,0,0,1,0,1,0.264,0.334,0.43,0.764,8,14,R,H.Nomo(64)
45,46,46,May 20,@,MON,"L,4-6",35,34,4,8,3,0,2,3,1,0,4,0,0,0,0,0,0,1,0.263,0.332,0.432,0.764,4,15,R,J.Vazquez(55)
46,47,47,May 21,@,MON,"L,2-7",36,33,2,8,3,0,1,2,1,0,5,1,0,1,0,1,2,0,0.263,0.331,0.432,0.763,7,15,R,C.Vargas(56)
47,48,48,May 22,@,MON,"L,2-8",34,32,2,7,2,0,0,2,1,0,4,1,0,0,0,1,0,1,0.262,0.33,0.429,0.759,5,15,R,L.Hernández(68)
48,49,49,May 23,@,CIN,"W,8-4",45,38,8,12,3,0,2,7,7,0,7,0,0,0,1,2,0,0,0.263,0.332,0.432,0.764,10,12,R,J.Austin(20)
49,50,50,May 24,@,CIN,"W,5-4",40,36,5,11,2,0,1,5,3,2,7,0,1,0,0,0,0,1,0.264,0.333,0.432,0.765,8,17,R,P.Wilson(47)
50,51,51,May 25,@,CIN,"W,6-2",41,40,6,15,7,1,2,6,0,0,5,0,0,1,1,1,0,0,0.267,0.334,0.439,0.772,8,11,R,D.Graves(40)
51,52,52,May 26,,MON,"W,5-1",33,31,5,10,1,1,2,5,1,0,8,1,0,0,0,0,0,3,0.268,0.334,0.442,0.776,4,9,R,C.Vargas(31)
52,53,53,May 28 (1),,MON,"W,4-3",38,35,4,12,3,0,0,4,1,0,6,1,1,0,0,0,1,0,0.269,0.335,0.442,0.777,10,12,R,L.Hernández(39)
53,54,54,May 28 (2),,MON,"W,6-0",34,30,6,9,1,1,0,5,3,0,1,0,0,1,0,2,1,0,0.27,0.335,0.441,0.776,4,12,R,Z.Day(27)
54,55,55,May 29,,MON,"L,2-3",35,34,2,8,0,0,1,2,1,0,4,0,0,0,0,0,1,1,0.269,0.334,0.439,0.773,6,14,R,T.Ohka(51)
55,56,56,May 30,,CIN,"L,3-4",39,35,3,6,2,0,0,2,2,0,9,0,2,0,1,2,0,1,0.267,0.332,0.435,0.767,3,14,R,P.Wilson(63)
56,57,57,May 31,,CIN,"W,3-2",34,29,3,9,4,1,1,3,3,1,0,0,2,0,0,2,1,0,0.268,0.332,0.438,0.77,7,12,R,D.Graves(46)
57,58,58,Jun 1,,CIN,"L,6-9",40,37,6,10,1,0,0,6,3,0,5,0,0,0,1,1,1,0,0.268,0.332,0.435,0.768,7,16,R,J.Riedling(23)
58,59,59,Jun 3,,OAK,"W,13-2",46,43,13,18,4,1,2,12,3,1,5,0,0,0,2,1,0,0,0.271,0.335,0.441,0.776,9,15,L,M.Mulder(5)
59,60,60,Jun 4,,OAK,"L,5-6",41,34,5,8,0,0,0,4,5,0,6,2,0,0,1,1,2,0,0.27,0.335,0.437,0.773,9,17,R,T.Hudson(42)
60,61,61,Jun 5,,OAK,"W,2-0",32,29,2,7,3,0,0,2,3,0,9,0,0,0,0,0,0,0,0.27,0.335,0.436,0.771,6,12,L,T.Lilly(66)
61,62,62,Jun 6,,ANA,"W,4-1",28,26,4,3,0,0,2,4,2,0,5,0,0,0,1,0,0,2,0.268,0.333,0.435,0.768,0,11,R,K.Appier(58)
62,63,63,Jun 7,,ANA,"L,2-9",32,31,2,5,2,0,1,2,1,0,5,0,0,0,1,2,0,0,0.267,0.331,0.433,0.765,3,15,R,A.Sele(64)
63,64,64,Jun 8,,ANA,"L,5-8",35,33,5,6,1,0,1,5,2,0,7,0,0,0,0,0,0,0,0.265,0.33,0.431,0.761,3,12,R,R.Ortiz(41)
64,65,65,Jun 10,@,MIL,"W,12-4",43,39,12,13,3,0,2,10,2,0,8,1,1,0,1,1,1,0,0.267,0.331,0.434,0.764,4,14,R,B.Sheets(57)
65,66,66,Jun 11,@,MIL,"W,6-5",42,35,6,9,3,1,2,5,7,1,7,0,0,0,0,1,3,0,0.266,0.331,0.436,0.767,9,11,L,W.Franklin(33)
66,67,67,Jun 12,@,MIL,"L,5-6",39,37,5,12,0,0,1,5,1,1,4,0,1,0,1,2,1,0,0.267,0.332,0.435,0.767,7,12,R,M.Kinney(49)
67,68,68,Jun 13,@,TEX,"W,8-0",46,40,8,16,5,1,1,8,4,0,3,0,2,0,0,0,1,1,0.27,0.334,0.439,0.773,11,11,L,T.Mounce(24)
68,69,69,Jun 14,@,TEX,"L,2-13",37,35,2,9,3,0,0,2,1,0,3,0,0,1,0,0,1,0,0.269,0.333,0.438,0.771,8,14,R,I.Valdez(53)
69,70,70,Jun 15,@,TEX,"W,10-4",44,40,10,15,4,0,2,10,3,0,3,1,0,0,0,0,0,0,0.271,0.334,0.441,0.775,7,9,R,J.Thomson(11)
70,71,71,Jun 16,,NYM,"W,1-0",32,28,1,6,1,0,1,1,4,1,4,0,0,0,0,2,1,0,0.271,0.334,0.44,0.774,7,9,L,T.Glavine(66)
71,72,72,Jun 17,,NYM,"L,0-5",27,27,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0.268,0.331,0.435,0.767,0,12,R,J.Seo(76)
