,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,,SEA,"W,3-0",30,27,3,6,0,0,2,3,1,0,6,0,0,1,0,1,1,0,0.222,0.241,0.444,0.686,3,10,R,F.Hernandez(55)
1,2,2,Apr 4,,SEA,"W,2-1",29,26,2,5,0,0,2,2,3,0,3,0,0,0,1,2,0,2,0.208,0.259,0.434,0.693,3,10,R,H.Iwakuma(55)
2,3,3,Apr 5,,SEA,"W,5-3",55,51,5,13,4,0,1,5,3,0,9,0,1,0,1,2,0,0,0.231,0.277,0.413,0.69,12,11,L,J.Paxton(72)
3,4,4,Apr 6,,SEA,"L,2-4",36,32,2,6,0,0,2,2,3,1,10,1,0,0,1,1,0,0,0.221,0.277,0.404,0.681,7,11,L,A.Miranda(50)
4,5,5,Apr 7,,KCR,"L,1-5",33,30,1,6,1,0,0,1,3,0,8,0,0,0,0,3,0,0,0.217,0.276,0.373,0.65,5,10,L,J.Vargas(61)
5,6,6,Apr 8,,KCR,"L,3-7",35,32,3,9,1,0,1,3,2,0,4,1,0,0,0,2,0,1,0.227,0.287,0.379,0.666,5,10,L,D.Duffy(54)
6,7,7,Apr 9,,KCR,"W,5-4",51,41,5,12,0,0,3,5,8,2,7,1,1,0,0,2,1,1,0.238,0.312,0.402,0.714,11,12,R,N.Karns(54)
7,8,8,Apr 10,@,SEA,"L,0-6",35,32,0,6,1,0,0,0,3,0,10,0,0,0,0,0,0,0,0.232,0.306,0.38,0.686,8,9,L,J.Paxton(75)
8,9,9,Apr 11,@,SEA,"W,7-5",42,39,7,14,2,0,1,7,3,0,10,0,0,0,0,1,1,1,0.248,0.318,0.394,0.711,8,11,L,A.Miranda(42)
9,10,10,Apr 12,@,SEA,"W,10-5",46,39,10,16,3,0,0,9,6,2,4,0,0,1,0,2,0,0,0.266,0.337,0.404,0.741,9,10,R,Y.Gallardo(35)
10,11,11,Apr 14,@,OAK,"W,7-2",44,37,7,10,3,0,1,5,4,0,3,2,0,1,2,0,2,0,0.267,0.339,0.407,0.746,10,10,R,K.Graveman(51)
11,12,12,Apr 15,@,OAK,"W,10-6",44,32,10,8,0,0,1,7,8,0,9,2,1,1,1,1,5,0,0.266,0.347,0.402,0.749,7,14,L,S.Manaea(62)
12,13,13,Apr 17,,LAA,"W,3-0",32,29,3,9,2,0,0,3,2,0,5,0,0,1,0,1,0,1,0.268,0.346,0.4,0.747,5,10,R,J.Chavez(60)
13,14,14,Apr 18,,LAA,"L,2-5",36,35,2,11,1,0,2,2,1,0,7,0,0,0,0,2,0,0,0.272,0.346,0.409,0.754,7,10,R,R.Nolasco(51)
14,15,15,Apr 19,,LAA,"W,5-1",33,29,5,9,2,1,1,5,2,0,9,1,1,0,0,2,1,0,0.274,0.347,0.417,0.764,4,10,R,J.Ramirez(52)
15,16,16,Apr 20,,LAA,"W,2-1",29,27,2,3,1,0,2,2,2,0,8,0,0,0,0,0,0,0,0.266,0.339,0.414,0.753,3,10,R,M.Shoemaker(68)
16,17,17,Apr 21,@,TBR,"W,6-3",39,35,6,11,3,0,1,5,3,0,9,0,0,1,1,1,0,0,0.269,0.34,0.419,0.759,6,10,R,A.Cobb(44)
17,18,18,Apr 22,@,TBR,"L,3-6",34,29,3,4,0,0,2,3,5,0,6,0,0,0,0,2,1,0,0.262,0.336,0.415,0.752,4,10,L,B.Snell(48)
18,19,19,Apr 23,@,TBR,"W,6-4",43,37,6,12,0,0,2,6,5,0,5,0,0,1,0,3,0,0,0.266,0.34,0.419,0.759,7,13,R,M.Andriese(45)
19,20,20,Apr 25,@,CLE,"W,4-2",38,36,4,11,2,0,0,4,1,0,8,1,0,0,1,2,0,0,0.268,0.34,0.416,0.756,7,12,R,J.Tomlin(50)
20,21,21,Apr 26,@,CLE,"L,6-7",40,36,6,8,2,0,2,6,3,0,13,1,0,0,2,1,0,0,0.266,0.338,0.418,0.756,7,9,R,T.Bauer(50)
21,22,22,Apr 27,@,CLE,"L,3-4",40,36,3,11,3,0,1,3,4,0,11,0,0,0,0,0,0,2,0.268,0.34,0.42,0.76,10,11,R,C.Kluber(55)
