,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,,WSN,"L,6-11",36,32,6,8,3,0,2,6,2,0,8,0,1,1,0,1,0,0,0.25,0.286,0.531,0.817,3,17,L,M.Chico(47)
1,2,2,Apr 2,,WSN,"L,0-1",30,27,0,1,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0.153,0.215,0.305,0.52,3,12,R,T.Redding(74)
2,3,3,Apr 3,,WSN,"W,8-7",50,41,8,16,2,0,1,8,7,4,7,1,1,0,0,2,0,0,0.25,0.333,0.39,0.723,14,21,R,J.Bergmann(39)
3,4,4,Apr 4,@,CIN,"W,8-4",40,34,8,10,3,0,3,8,3,0,9,0,2,1,0,0,1,0,0.261,0.336,0.455,0.791,5,13,R,J.Fogg(28)
4,5,5,Apr 5,@,CIN,"L,3-4",36,32,3,7,2,1,1,3,4,0,6,0,0,0,0,1,1,1,0.253,0.33,0.452,0.782,6,14,R,A.Harang(60)
5,6,6,Apr 6,@,CIN,"L,2-8",36,33,2,7,2,0,0,2,2,0,10,0,1,0,0,0,1,0,0.246,0.318,0.422,0.74,7,13,R,E.Volquez(60)
6,7,7,Apr 7,@,CIN,"W,5-3",39,36,5,10,2,0,4,5,1,0,8,1,1,0,0,0,0,0,0.251,0.318,0.46,0.778,7,13,R,B.Arroyo(37)
7,8,8,Apr 8,@,NYM,"W,5-2",45,34,5,8,1,0,0,4,7,1,2,3,1,0,1,1,0,0,0.249,0.331,0.435,0.766,13,16,L,O.Perez(62)
8,9,9,Apr 9,@,NYM,"L,2-8",38,35,2,8,2,0,0,2,3,0,6,0,0,0,1,1,0,0,0.247,0.327,0.418,0.744,9,15,R,M.Pelfrey(50)
9,10,10,Apr 10,@,NYM,"L,3-4",52,42,3,9,2,0,2,3,9,0,8,0,1,0,1,1,0,1,0.243,0.33,0.416,0.746,13,19,R,J.Maine(54)
10,11,11,Apr 11,,CHC,"W,5-3",34,33,5,10,3,0,1,5,1,0,6,0,0,0,0,0,1,1,0.248,0.329,0.422,0.752,5,12,R,C.Zambrano(39)
11,12,12,Apr 12,,CHC,"W,7-1",39,35,7,11,4,1,2,6,4,0,5,0,0,0,1,1,0,0,0.254,0.334,0.442,0.776,8,13,L,T.Lilly(30)
12,13,13,Apr 13,,CHC,"L,5-6",50,36,5,10,1,0,2,5,8,2,5,2,2,2,0,0,3,0,0.256,0.342,0.444,0.786,15,18,R,J.Marquis(48)
13,14,14,Apr 15,,HOU,"W,4-3",34,31,4,7,1,0,2,4,2,0,7,1,0,0,0,2,1,0,0.254,0.339,0.445,0.784,5,14,R,S.Chacon(77)
14,15,15,Apr 16,,HOU,"L,1-2",35,33,1,6,1,0,0,1,2,0,9,0,0,0,0,0,0,0,0.249,0.332,0.43,0.762,7,15,R,R.Oswalt(65)
15,16,16,Apr 17,,HOU,"W,10-2",44,40,10,16,3,0,4,10,4,1,7,0,0,0,2,1,0,0,0.26,0.341,0.455,0.796,10,13,R,B.Backe(17)
16,17,17,Apr 18,,NYM,"L,4-6",33,33,4,5,0,0,2,4,0,0,11,0,0,0,1,0,0,0,0.254,0.331,0.448,0.779,2,14,L,J.Santana(67)
