,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 3,@,LAD,"W,3-2",9.0,5,2,2,0,6,13,0,1,2.0,37,173,104,0.0,0.0,0,2,29,1,0,0,1,0,0,0,3,Wally Bell,"R.Johnson (99-67-W), B.Kim (99-H), M.Mantei (99-Sv)"
1,2,2,Apr 4,@,LAD,"W,7-2",9.0,5,2,1,1,1,13,1,0,1.5,34,130,88,0.0,0.0,0,0,33,0,0,0,0,0,1,0,3,Marty Foster,"C.Schilling (99-74-W), M.Morgan (99), G.Swindell (99)"
2,3,3,Apr 5,@,LAD,"L,5-7",8.0,8,7,6,1,3,1,2,0,3.12,34,109,75,0.0,0.0,1,0,28,1,1,0,2,1,0,1,3,Lance Barksdale,"B.Anderson (99-26-L), M.Batista (99), R.Springer (99)"
3,4,4,Apr 6,,STL,"L,9-12",9.0,18,12,12,0,2,2,2,0,5.4,45,153,95,1.0,1.0,0,0,42,2,2,0,1,0,0,2,4,Greg Gibson,"A.Reynoso (99-18-L), M.Morgan (1), M.Batista (0), R.Springer (0)"
4,5,5,Apr 7,,STL,"L,4-8",9.0,11,8,8,0,8,10,1,1,5.93,46,180,103,1.0,0.0,2,1,36,2,0,0,0,1,1,1,4,Dana DeMuth,"B.Witt (99-28-L), R.Springer (0), B.Kim (3), G.Swindell (2)"
5,6,6,Apr 8,,STL,"L,4-9",9.0,13,9,9,0,2,8,3,2,6.45,41,159,98,0.0,0.0,1,1,36,1,0,0,1,0,0,2,4,Charlie Reliford,"R.Johnson (4-13-L), M.Batista (1), G.Swindell (0), M.Mantei (4)"
6,7,7,Apr 10,,LAD,"W,2-0",9.0,2,0,0,0,0,10,0,0,5.52,29,93,73,,,0,0,29,0,0,0,0,0,0,0,1,Hunter Wendelstedt,C.Schilling (5-93-W)
7,8,8,Apr 11,,LAD,"L,5-11",9.0,11,11,9,2,3,4,4,0,5.96,42,155,97,3.0,3.0,1,0,38,1,0,0,1,0,1,0,6,Scott Higgins,"B.Anderson (5-17-L), M.Batista (2), R.Springer (3), M.Morgan (4), B.Kim (3), M.Mantei (2)"
8,9,9,Apr 12,,LAD,"L,4-5",9.0,12,5,5,0,1,2,2,0,5.85,37,127,81,2.0,0.0,1,0,35,1,0,0,0,1,0,2,4,Randy Marsh,"A.Reynoso (5-26-L), M.Batista (0), G.Swindell (3), B.Kim (0)"
9,10,10,Apr 13,@,COL,"W,7-3",9.0,7,3,3,0,2,17,1,1,5.56,37,163,109,0.0,0.0,2,0,34,0,0,0,0,0,1,0,3,Tony Randazzo,"R.Johnson (4-67-W), G.Swindell (0), M.Mantei (1)"
10,11,11,Apr 14,@,COL,"L,8-9",8.0,14,9,9,0,2,2,2,0,5.94,38,113,78,2.0,0.0,1,0,35,5,0,0,0,1,0,0,4,Ed Montague,"M.Morgan (2-27), T.Brohawn (99), B.Kim (1-L), G.Swindell (0)"
