,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 1,@,PHI,"L,2-3",9.2,9,3,2,1,4,13,0,1,1.86,43,151,101,0.0,0.0,1,0,36,2,0,1,1,1,0,0,6,Bill Miller,"M.Fried (99-53), T.Matzek (99), A.Minter (99), C.Martin (99), W.Smith (99), N.Jones (99-L)"
1,2,2,Apr 3,@,PHI,"L,0-4",8.0,8,4,4,0,4,10,0,2,3.06,36,144,90,2.0,0.0,0,0,30,3,0,1,0,0,0,1,5,Doug Eddings,"C.Morton (99-46-L), S.Newcomb (99), L.Jackson (99), H.Ynoa (99), J.Tomlin (99)"
2,3,3,Apr 4,@,PHI,"L,1-2",8.0,8,2,2,0,3,13,1,0,2.81,34,135,87,3.0,0.0,1,0,30,0,0,1,1,0,0,1,5,Brian Knight,"I.Anderson (99-60), T.Matzek (2), A.Minter (2), C.Martin (2-L), G.Dayton (99)"
3,4,4,Apr 6,@,WSN,"L,5-6",8.0,10,6,4,2,4,9,1,1,3.21,39,154,104,3.0,0.0,0,0,34,1,0,0,0,0,1,0,5,Alfonso Marquez,"D.Smyly (99-59), T.Matzek (1-H), J.Tomlin (2-H), A.Minter (1-BSv), W.Smith (4-L)"
4,5,5,Apr 7(1),@,WSN,"W,7-6",7.0,9,6,6,0,4,8,1,1,3.98,34,129,80,0.0,0.0,0,0,28,3,0,0,0,1,0,1,5,Lance Barrett,"M.Fried (5-22), J.Tomlin (0-W), N.Jones (5-H), A.Minter (0-H), W.Smith (0-Sv)"
5,6,6,Apr 7(2),@,WSN,"W,2-0",7.0,2,0,0,0,3,8,0,0,3.4,25,105,65,0.0,0.0,2,0,22,1,0,1,0,0,0,1,3,Brennan Miller,"H.Ynoa (3-67), L.Jackson (3-W), S.Newcomb (3-Sv)"
6,7,7,Apr 9,,PHI,"W,8-1",9.0,6,1,1,0,2,10,0,0,3.02,34,127,82,0.0,0.0,0,0,32,0,0,0,0,0,0,1,4,Carlos Torres,"C.Morton (5-66-W), T.Matzek (2), N.Jones (1), L.Jackson (1)"
7,8,8,Apr 10,,PHI,"W,5-4",9.0,6,4,4,0,2,12,2,0,3.15,35,146,92,0.0,0.0,0,0,33,0,0,0,0,0,0,0,4,Alfonso Marquez,"I.Anderson (5-47), S.Newcomb (2-W), T.Matzek (0-H), W.Smith (2-Sv)"
8,9,9,Apr 11,,PHI,"L,6-7",9.0,8,7,7,0,0,6,3,0,3.62,35,150,96,0.0,0.0,1,0,33,3,0,0,0,2,0,0,5,Lance Barrett,"D.Smyly (4-40), N.Jones (1), J.Tomlin (3), A.Minter (3), W.Smith (0-L)"
9,10,10,Apr 12,,MIA,"L,3-5",10.0,8,5,4,1,6,11,1,0,3.61,43,184,111,2.0,2.0,0,1,37,4,0,0,0,0,0,0,6,Tim Timmons,"H.Ynoa (4-71), L.Jackson (2-H), A.Minter (0-H), N.Jones (0-BSv), W.Smith (0), J.Webb (99-L)"
