,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 2,@,KCR,"L,1-7",8.0,12,7,7,0,2,8,1,1,7.88,38,146,95,2.0,0.0,0,0,35,2,2,0,0,0,0,1,6,Tim Tschida,"C.Schilling (99-29-L), J.Lopez (99), H.Okajima (99), B.Donnelly (99), J.Pineiro (99), J.Romero (99)"
1,2,2,Apr 4,@,KCR,"W,7-1",9.0,3,1,1,0,4,8,0,0,4.24,36,152,81,1.0,0.0,0,0,31,2,0,0,0,1,3,1,5,Jim Joyce,"J.Beckett (99-60-W), J.Lopez (1-H), K.Snyder (99-H), J.Romero (1), J.Pineiro (1)"
2,3,3,Apr 5,@,KCR,"W,4-1",9.0,7,1,1,0,1,12,1,0,3.12,33,136,95,0.0,0.0,0,1,32,1,0,0,0,0,0,1,3,Jeff Nelson,"D.Matsuzaka (99-70-W), J.Romero (0-H), J.Papelbon (99-Sv)"
3,4,4,Apr 6,@,TEX,"L,0-2",8.0,3,2,1,1,3,5,0,1,2.65,32,128,83,0.0,0.0,2,0,28,0,0,0,0,0,1,0,3,Rob Drake,"T.Wakefield (99-62-L), H.Okajima (3), K.Snyder (1)"
4,5,5,Apr 7,@,TEX,"L,4-8",8.0,14,8,8,0,7,4,1,0,3.86,44,179,103,3.0,1.0,0,0,37,2,1,0,0,0,0,1,7,Tim McClelland,"J.Tavarez (99-32-L), J.Lopez (2), K.Snyder (0), J.Romero (1), B.Donnelly (4), H.Okajima (0), J.Pineiro (2)"
5,6,6,Apr 8,@,TEX,"W,3-2",9.0,5,2,2,0,3,9,1,0,3.53,34,132,87,5.0,1.0,0,0,31,0,0,0,0,0,0,0,4,Fieldin Culbreth,"C.Schilling (5-70-W), J.Pineiro (0), J.Lopez (0-H), J.Papelbon (2-Sv)"
6,7,7,Apr 10,,SEA,"W,14-3",9.0,4,3,3,0,1,11,0,1,3.45,33,123,84,1.0,0.0,0,0,31,2,0,0,0,0,0,0,4,Phil Cuzzi,"J.Beckett (5-77-W), B.Donnelly (2), H.Okajima (2), M.Timlin (99)"
7,8,8,Apr 11,,SEA,"L,0-3",9.0,9,3,3,0,2,4,0,1,3.39,39,128,81,0.0,0.0,0,0,35,3,0,0,0,1,1,1,3,Jerry Crawford,"D.Matsuzaka (5-52-L), J.Romero (3), J.Pineiro (2)"
8,9,9,Apr 13,,LAA,"W,10-1",9.0,5,1,1,0,2,4,0,1,3.12,34,102,69,3.0,0.0,1,0,31,2,0,0,0,0,0,0,4,Alfonso Marquez,"T.Wakefield (6-64-W), B.Donnelly (2-H), J.Papelbon (4-H), M.Timlin (2)"
9,10,10,Apr 14,,LAA,"W,8-0",9.0,5,0,0,0,1,4,0,0,2.79,33,117,78,0.0,0.0,1,0,32,1,0,0,0,0,0,0,2,Tim Timmons,"C.Schilling (5-77-W), B.Donnelly (0)"
10,11,11,Apr 16,,LAA,"W,7-2",9.0,8,2,2,0,1,7,2,1,2.72,36,134,91,0.0,0.0,1,0,34,1,0,0,0,0,0,0,4,Rick Reed,"J.Beckett (5-60-W), H.Okajima (5), J.Romero (4), K.Snyder (8)"
11,12,12,Apr 17,@,TOR,"L,1-2",8.0,3,2,2,0,3,13,0,0,2.68,30,127,83,0.0,0.0,0,0,27,0,0,0,0,0,0,0,3,Ed Montague,"D.Matsuzaka (5-65-L), H.Okajima (0), J.Pineiro (5)"
12,13,13,Apr 18,@,TOR,"W,4-1",9.0,5,1,1,0,4,8,0,0,2.55,36,129,81,0.0,0.0,0,0,32,2,0,0,0,0,0,0,3,Bill Miller,"T.Wakefield (4-66-W), B.Donnelly (3-H), J.Papelbon (4-Sv)"
13,14,14,Apr 19,@,TOR,"W,5-3",9.0,8,3,3,0,4,7,2,0,2.58,37,144,92,1.0,0.0,0,0,33,4,0,2,0,0,0,2,5,Marvin Hudson,"J.Tavarez (11-48), J.Pineiro (1), J.Romero (2), M.Timlin (5-W), J.Papelbon (0-Sv)"
14,15,15,Apr 20,,NYY,"W,7-6",9.0,11,6,6,0,3,7,2,0,2.82,41,147,95,2.0,0.0,0,0,37,2,0,0,1,0,0,0,4,Randy Marsh,"C.Schilling (5-45), J.Romero (0), K.Snyder (3-W), H.Okajima (2-Sv)"
