,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 3,@,PHI,"W,13-5",9.0,14,5,5,0,1,8,2,0,5.0,42,161,104,2.0,2.0,0,0,40,6,0,0,0,1,0,0,5,Jerry Crawford,"C.Carpenter (99-36-W), R.Flores (99), J.Hancock (99), A.Wainwright (99), B.Thompson (99)"
1,2,2,Apr 5,@,PHI,"W,4-3",9.0,8,3,3,0,2,1,1,0,4.0,35,127,81,0.0,0.0,0,0,31,2,0,0,1,1,0,2,3,Chuck Meriwether,"M.Mulder (99-52), B.Thompson (1-W), J.Isringhausen (99-Sv)"
2,3,3,Apr 6,@,PHI,"W,4-2",9.0,5,2,2,0,4,9,0,0,3.33,35,141,85,4.0,0.0,0,0,31,3,0,0,0,0,0,1,5,Brian O'Nora,"J.Marquis (99-52-W), R.Rincon (99-H), J.Hancock (2-H), R.Flores (2-H), J.Isringhausen (0-Sv)"
3,4,4,Apr 7,@,CHC,"L,1-5",8.0,9,5,4,1,3,2,1,0,3.6,34,107,64,0.0,0.0,0,0,31,2,1,1,0,0,2,3,3,Ron Kulpa,"J.Suppan (99-32-L), B.Looper (99), A.Wainwright (3)"
4,5,5,Apr 8,@,CHC,"L,2-3",8.0,7,3,3,0,4,10,2,0,3.56,35,144,87,0.0,0.0,1,0,31,1,0,0,0,0,0,0,4,Dale Scott,"C.Carpenter (4-72), J.Hancock (1-BSv), R.Flores (1), B.Thompson (2-L)"
5,6,6,Apr 9,@,CHC,"L,4-8",8.0,12,8,8,0,3,4,2,0,4.41,37,150,90,4.0,2.0,0,0,34,1,0,0,0,0,0,2,5,Terry Craft,"S.Ponson (99-42), A.Wainwright (1-H), R.Rincon (2-H), J.Isringhausen (2-BL), J.Hancock (0)"
6,7,7,Apr 10,,MIL,"W,6-4",9.0,10,4,4,0,2,5,1,1,4.35,36,123,81,2.0,1.0,0,0,33,2,0,0,0,0,0,4,3,Ron Kulpa,"M.Mulder (4-64-W), B.Looper (2), J.Isringhausen (0-Sv)"
7,8,8,Apr 12,,MIL,"W,8-3",9.0,9,3,3,0,1,8,1,1,4.17,38,156,90,0.0,0.0,0,0,36,1,0,0,0,0,2,1,4,Brian Runge,"J.Marquis (5-51-W), B.Looper (1), B.Thompson (3), J.Hancock (2)"
8,9,9,Apr 13,,MIL,"L,3-4",11.0,8,4,2,2,4,6,1,0,3.83,45,180,119,3.0,0.0,2,1,40,1,0,0,0,1,1,0,6,Bruce Froemming,"J.Suppan (5-54), A.Wainwright (3), B.Thompson (0), R.Flores (4), J.Isringhausen (2-L), R.Rincon (3)"
9,10,10,Apr 14,,CIN,"L,0-1",9.0,5,1,1,0,3,6,0,0,3.54,35,129,82,0.0,0.0,1,0,31,3,0,1,1,0,0,0,2,Jeff Nelson,"C.Carpenter (5-73-L), R.Flores (0)"
10,11,11,Apr 15,,CIN,"W,9-3",9.0,7,3,3,0,2,7,1,1,3.49,35,149,91,3.0,1.0,0,0,32,4,0,0,0,0,0,1,5,Tim Timmons,"S.Ponson (5-58-W), B.Thompson (1), B.Looper (2), R.Rincon (1), J.Hancock (2)"
11,12,12,Apr 16,,CIN,"W,8-7",9.0,12,7,6,1,5,6,3,0,3.7,45,162,96,2.0,2.0,0,0,40,3,0,1,0,0,1,0,5,Joe Brinkman,"M.Mulder (5-35), B.Thompson (0-H), A.Wainwright (2-H), R.Flores (1-H), B.Looper (0-BW)"
12,13,13,Apr 17,@,PIT,"W,2-1",9.0,4,1,1,0,1,4,0,0,3.49,32,108,66,0.0,0.0,0,0,31,2,0,0,0,0,0,0,2,Charlie Reliford,"J.Marquis (4-73-W), J.Isringhausen (3-Sv)"
13,14,14,Apr 18,@,PIT,"L,4-12",8.0,15,12,12,0,7,4,3,0,4.14,44,160,98,2.0,2.0,1,0,37,6,0,0,0,0,0,1,4,Larry Vanover,"J.Suppan (4-6-L), J.Hancock (2), R.Rincon (2), B.Thompson (1)"
14,15,15,Apr 19,@,PIT,"W,4-0",9.0,2,0,0,0,2,7,0,1,3.86,31,128,83,0.0,0.0,0,0,28,0,0,0,0,0,0,0,2,Greg Gibson,"C.Carpenter (4-83-W), J.Isringhausen (1)"
15,16,16,Apr 21,,CHC,"W,9-3",9.0,7,3,3,0,1,5,1,0,3.8,34,111,79,0.0,0.0,0,0,33,1,0,0,0,0,0,0,2,Mike Everitt,"M.Mulder (4-64-W), B.Looper (4)"
16,17,17,Apr 22,,CHC,"W,4-1",9.0,6,1,1,0,4,3,0,0,3.64,35,151,88,0.0,0.0,1,0,30,0,0,0,1,0,1,2,4,Alfonso Marquez,"S.Ponson (6-47-W), A.Wainwright (5-H), B.Looper (0-H), J.Isringhausen (2-Sv)"
17,18,18,Apr 23,,CHC,"L,3-7",9.0,9,7,4,3,2,3,2,1,3.66,39,111,68,2.0,2.0,0,0,33,2,1,0,3,0,2,2,4,Larry Young,"J.Marquis (5-36-L), B.Thompson (4), J.Hancock (4), R.Flores (6)"
18,19,19,Apr 24,,PIT,"W,7-2",9.0,10,2,2,0,1,7,1,2,3.57,39,139,91,0.0,0.0,0,1,36,1,0,0,0,0,0,0,3,Mike Reilly,"C.Carpenter (4-50-W), A.Wainwright (1), J.Hancock (0)"
19,20,20,Apr 25,,PIT,"W,6-3",9.0,4,3,0,3,1,4,0,2,3.39,34,142,92,0.0,0.0,0,0,30,0,0,0,1,0,1,1,3,Jeff Kellogg,"J.Suppan (6-66-W), B.Looper (2-H), J.Isringhausen (2-Sv)"
20,21,21,Apr 26,,PIT,"W,4-3",9.0,6,3,3,0,5,2,2,0,3.37,34,120,69,1.0,0.0,0,0,27,0,0,0,2,0,0,4,3,Jerry Meals,"M.Mulder (4-57), B.Looper (0-H), J.Isringhausen (0-BW)"
21,22,22,Apr 27,,WSN,"W,6-2",9.0,6,2,2,0,2,5,0,0,3.31,33,117,74,1.0,0.0,0,1,31,3,0,0,0,0,0,1,3,Marty Foster,"S.Ponson (4-58-W), B.Thompson (3-H), J.Hancock (2)"
22,23,23,Apr 28,,WSN,"L,3-8",9.0,10,8,8,0,4,4,2,1,3.51,42,145,87,1.0,0.0,0,0,35,2,0,0,2,0,1,1,4,Bob Davidson,"J.Marquis (4-22-L), J.Hancock (0), R.Flores (4), B.Thompson (0)"
23,24,24,Apr 29,,WSN,"W,2-1",9.0,9,1,1,0,3,4,1,0,3.41,39,142,89,0.0,0.0,0,0,36,0,0,0,0,0,0,0,3,Bill Welke,"C.Carpenter (4-58), B.Looper (2-W), J.Isringhausen (2-Sv)"
24,25,25,Apr 30,,WSN,"W,9-2",9.0,6,2,2,0,3,6,1,1,3.35,36,137,87,0.0,0.0,0,0,32,0,0,0,0,0,0,1,3,Tim McClelland,"J.Suppan (4-55-W), A.Wainwright (5), B.Thompson (1)"
25,26,26,May 1,@,CIN,"L,1-6",8.0,12,6,6,0,3,9,1,0,3.47,39,144,87,2.0,2.0,0,0,36,4,0,0,0,0,0,0,3,Gary Darling,"M.Mulder (4-30-L), J.Hancock (2), R.Flores (2)"
26,27,27,May 2,@,CIN,"L,2-3",8.1,9,3,3,0,3,3,2,1,3.46,36,130,83,2.0,0.0,0,1,30,0,0,0,2,0,0,0,4,Larry Poncino,"S.Ponson (4-52), B.Looper (2), R.Flores (0), B.Falkenborg (99-L)"
27,28,28,May 3,@,HOU,"L,4-5",8.0,10,5,5,0,5,5,0,0,3.53,39,160,96,1.0,1.0,0,0,33,3,1,1,0,1,0,0,3,Chad Fairchild,"J.Marquis (4-32-L), B.Thompson (2), B.Falkenborg (0)"
28,29,29,May 4,@,HOU,"L,3-4",8.0,6,4,4,0,2,7,1,1,3.56,31,128,76,0.0,0.0,0,0,28,2,0,0,0,0,0,2,2,James Hoye,"C.Carpenter (4-46-L), A.Wainwright (3)"
29,30,30,May 5,@,FLA,"W,7-2",9.0,6,2,2,0,3,4,0,0,3.51,36,126,79,2.0,1.0,0,0,33,0,1,0,0,0,0,0,2,Chris Guccione,"J.Suppan (4-66-W), J.Hancock (3)"
30,31,31,May 6,@,FLA,"W,7-6",9.0,11,6,6,0,5,3,1,0,3.59,41,138,86,2.0,2.0,1,0,36,4,0,0,0,0,0,2,4,Jeff Nelson,"M.Mulder (4-46-W), A.Wainwright (1), B.Looper (3), J.Isringhausen (6-Sv)"
