,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Mar 28,,NYM,"L,0-2",9.0,5,2,2,0,3,12,1,0,2.0,34,135,94,3.0,1.0,0,1,31,0,0,0,0,0,0,0,4,Bill Miller,"M.Scherzer (99-76-L), J.Miller (99), M.Grace (99), K.Barraclough (99)"
1,2,2,Mar 30,,NYM,"L,8-11",9.0,14,11,11,0,5,11,0,0,6.5,46,188,116,4.0,3.0,0,0,40,4,1,0,1,0,0,0,6,Doug Eddings,"S.Strasburg (99-48), T.Sipp (99), T.Rosenthal (99-L), K.Barraclough (1), M.Grace (1), W.Suero (99)"
2,3,3,Mar 31,,NYM,"W,6-5",9.0,13,5,5,0,2,8,0,0,6.0,41,152,93,4.0,3.0,2,0,39,2,0,0,0,0,0,1,5,Carlos Torres,"P.Corbin (99-52), J.Miller (2-H), T.Sipp (0-H), T.Rosenthal (0), S.Doolittle (99-BW)"
3,4,4,Apr 2,,PHI,"L,2-8",9.0,14,8,7,1,4,12,2,0,6.25,45,179,116,2.0,2.0,0,0,41,5,0,3,0,0,0,0,5,Paul Emmel,"M.Scherzer (4-55-L), W.Suero (2), M.Grace (2), K.Barraclough (2), J.Hellickson (99)"
4,5,5,Apr 3,,PHI,"W,9-8",9.0,10,8,8,0,7,8,0,0,6.6,44,173,104,4.0,3.0,0,0,37,3,0,2,0,0,0,0,7,Bruce Dreckman,"A.Sanchez (99-37), M.Grace (0), J.Miller (2-H), T.Sipp (2-H), T.Rosenthal (2), K.Barraclough (0-BSv), S.Doolittle (2-W)"
5,6,6,Apr 4,@,NYM,"W,4-0",9.0,4,0,0,0,2,14,0,0,5.5,34,146,93,3.0,0.0,0,0,32,0,0,0,0,0,2,1,5,Pat Hoberg,"S.Strasburg (4-76-W), M.Grace (0-H), J.Miller (0-H), T.Sipp (0-H), S.Doolittle (0)"
6,7,7,Apr 6,@,NYM,"L,5-6",8.0,11,6,6,0,2,10,5,1,5.66,35,130,81,2.0,0.0,1,2,32,2,0,0,0,0,0,1,5,Gerry Davis,"P.Corbin (5-56), K.Barraclough (2), J.Miller (1-BSv), T.Sipp (1-L), W.Suero (3)"
7,8,8,Apr 7,@,NYM,"W,12-9",9.0,11,9,9,0,2,11,2,4,6.08,42,173,110,4.0,2.0,0,0,36,3,0,0,0,0,0,1,6,Brian Knight,"M.Scherzer (4-48-W), M.Grace (2), T.Rosenthal (3), W.Suero (0), J.Ross (99), S.Doolittle (2)"
8,9,9,Apr 8,@,PHI,"L,3-4",8.0,10,4,4,0,2,7,3,0,5.92,35,116,73,3.0,0.0,0,1,33,0,0,0,0,0,1,1,5,Jim Reynolds,"A.Sanchez (4-47-L), W.Suero (0), K.Barraclough (1), T.Sipp (1), J.Miller (1)"
9,10,10,Apr 9,@,PHI,"W,10-6",10.0,9,6,6,0,5,9,2,0,5.87,44,160,99,1.0,0.0,0,0,39,0,1,1,0,0,0,0,5,Alan Porter,"S.Strasburg (4-25), J.Ross (1), M.Grace (1), K.Barraclough (0), S.Doolittle (1-W)"
