,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 6,,COL,"L,2-6",33,29,2,3,0,0,2,2,4,0,5,0,0,0,0,1,0,0,0.103,0.212,0.31,0.522,4,16,L,S.Estes(70)
1,2,2,Apr 7,,COL,"W,9-5",42,35,9,12,3,2,1,9,7,1,3,0,0,0,0,1,0,0,0.234,0.347,0.484,0.831,9,13,R,J.Jennings(15)
2,3,3,Apr 8,,COL,"W,6-5",40,38,6,8,1,0,3,6,1,0,3,0,1,0,0,0,0,0,0.225,0.307,0.48,0.787,3,17,L,J.Kennedy(53)
3,4,4,Apr 9,,STL,"L,6-13",37,35,6,11,3,0,2,6,1,0,5,0,0,1,0,1,0,0,0.248,0.311,0.504,0.815,4,15,R,C.Carpenter(40)
4,5,5,Apr 10,,STL,"L,2-10",31,28,2,5,2,0,0,2,1,0,1,0,1,1,0,2,0,0,0.236,0.293,0.461,0.753,2,15,R,M.Morris(69)
5,6,6,Apr 11,,STL,"L,5-6",41,33,5,8,0,0,0,4,6,1,3,0,2,0,0,0,0,0,0.237,0.305,0.424,0.729,9,15,R,J.Marquis(61)
6,7,7,Apr 12,@,COL,"L,4-7",41,36,4,9,3,1,0,4,5,2,8,0,0,0,0,0,0,0,0.239,0.31,0.419,0.729,10,12,R,J.Jennings(47)
7,8,8,Apr 14,@,COL,"L,4-14",38,35,4,9,1,0,3,4,3,0,6,0,0,0,0,1,0,0,0.242,0.311,0.435,0.746,7,13,L,J.Kennedy(55)
8,9,9,Apr 15,@,COL,"W,11-10",40,32,11,9,2,1,2,10,5,0,6,0,1,2,0,2,1,0,0.246,0.317,0.452,0.768,2,16,R,S.Elarton(13)
9,10,10,Apr 16,@,SDP,"W,5-0",39,32,5,7,3,0,0,5,5,0,8,1,0,1,0,0,1,0,0.243,0.318,0.438,0.757,7,9,R,J.Peavy(53)
