,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,,MIN,"L,1-3",31,30,1,4,0,0,0,1,1,0,4,0,0,0,0,0,0,1,0.133,0.161,0.133,0.295,3,10,R,B.Radke(66)
1,2,2,Apr 2,,MIN,"L,1-8",31,30,1,3,0,0,1,1,1,0,6,0,0,0,0,0,0,0,0.117,0.145,0.167,0.312,3,9,R,J.Mays(63)
2,3,3,Apr 3,,MIN,"L,0-3",30,30,0,3,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0.111,0.13,0.156,0.286,3,9,R,K.Lohse(83)
3,4,4,Apr 4,@,CHW,"L,2-5",32,28,2,3,1,0,1,2,4,0,9,0,0,0,0,1,0,1,0.11,0.153,0.178,0.331,3,9,R,E.Loaiza(62)
4,5,5,Apr 5,@,CHW,"L,0-7",30,29,0,3,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0.109,0.149,0.163,0.313,3,9,L,M.Buehrle(79)
5,6,6,Apr 6,@,CHW,"L,2-10",37,33,2,8,1,0,0,2,3,0,5,0,1,0,0,1,0,0,0.133,0.179,0.183,0.362,8,11,L,J.Stewart(52)
6,7,7,Apr 9,,KCR,"L,6-9",39,29,6,6,1,1,0,6,8,0,12,1,0,1,0,0,0,1,0.144,0.214,0.201,0.415,6,9,L,J.Affeldt(44)
7,8,8,Apr 10,,KCR,"L,2-4",40,33,2,6,0,0,0,0,6,0,7,0,1,0,3,1,0,0,0.149,0.228,0.198,0.426,11,12,R,M.Asencio(51)
8,9,9,Apr 11,,CHW,"L,0-5",30,29,0,2,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0.14,0.215,0.185,0.399,3,9,R,E.Loaiza(81)
9,10,10,Apr 12,,CHW,"W,4-3",37,29,4,8,3,0,1,4,5,0,8,1,1,1,0,0,1,0,0.153,0.234,0.213,0.447,9,11,L,J.Stewart(40)
