,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 6,,COL,"L,3-5",35,31,3,5,2,0,2,3,4,0,4,0,0,0,0,1,0,0,0.161,0.257,0.419,0.676,5,14,R,J.Guthrie(55)
1,2,2,Apr 7,,COL,"W,7-3",36,33,7,10,3,1,2,6,2,0,6,0,1,0,2,2,1,0,0.234,0.3,0.531,0.831,5,14,L,J.Moyer(44)
2,3,3,Apr 8,,COL,"W,3-2",33,32,3,8,2,1,0,2,1,0,5,0,0,0,1,0,0,1,0.24,0.291,0.479,0.77,6,14,R,J.Nicasio(66)
3,4,4,Apr 9,,ATL,"W,8-3",39,35,8,11,2,0,1,8,3,0,6,0,0,1,2,1,0,0,0.26,0.31,0.473,0.783,7,14,R,B.Beachy(49)
4,5,5,Apr 10,,ATL,"L,4-6",43,38,4,12,1,0,0,4,5,1,12,0,0,0,0,1,3,0,0.272,0.33,0.444,0.774,12,16,R,T.Hanson(52)
5,6,6,Apr 11,,ATL,"L,3-6",40,35,3,10,0,0,1,3,5,0,11,0,0,0,1,1,0,0,0.275,0.338,0.431,0.769,10,17,R,R.Delgado(53)
6,7,7,Apr 13,@,MIA,"L,4-5",46,40,4,7,0,0,1,4,6,0,7,0,0,0,2,2,3,0,0.258,0.328,0.402,0.73,9,17,R,R.Nolasco(51)
7,8,8,Apr 14,@,MIA,"W,5-4",42,33,5,8,2,0,0,4,7,0,7,0,1,0,1,0,0,0,0.256,0.334,0.39,0.724,10,14,R,C.Zambrano(58)
8,9,9,Apr 15,@,MIA,"L,4-5",50,41,4,10,4,0,0,4,7,2,11,1,1,0,2,1,1,1,0.255,0.339,0.384,0.723,13,16,R,A.Sanchez(56)
9,10,10,Apr 16,@,WSN,"L,3-6",39,36,3,10,2,1,0,3,2,0,10,0,1,0,0,0,1,0,0.257,0.337,0.384,0.721,9,13,R,S.Strasburg(56)
10,11,11,Apr 17,@,WSN,"L,0-1",33,29,0,4,1,0,0,0,3,0,9,0,1,0,0,0,0,1,0.248,0.328,0.368,0.696,6,12,L,G.Gonzalez(79)
11,12,12,Apr 18,@,WSN,"L,2-3",32,31,2,6,2,0,0,2,0,0,4,1,0,0,0,1,1,0,0.244,0.32,0.36,0.68,3,14,R,J.Zimmermann(68)
12,13,13,Apr 19,@,WSN,"W,11-4",44,44,11,17,2,3,0,11,0,0,8,0,0,0,0,0,0,0,0.258,0.326,0.38,0.706,6,13,R,E.Jackson(38)
13,14,14,Apr 20,,LAD,"L,1-3",37,29,1,5,0,0,0,1,7,1,11,1,0,0,0,1,2,1,0.253,0.328,0.368,0.695,9,16,L,T.Lilly(59)
14,15,15,Apr 21,,LAD,"L,1-5",35,30,1,4,1,0,0,1,5,1,10,0,0,0,0,1,0,0,0.246,0.324,0.356,0.679,7,15,L,C.Kershaw(78)
15,16,16,Apr 22,,LAD,"W,12-0",45,39,12,12,1,1,2,11,5,0,6,1,0,0,2,0,0,0,0.25,0.329,0.369,0.698,9,14,R,C.Billingsley(22)
16,17,17,Apr 23,@,MIL,"L,5-6",43,40,5,13,1,1,1,5,3,0,15,0,0,0,0,0,1,0,0.255,0.332,0.376,0.708,11,16,R,Z.Greinke(55)
17,18,18,Apr 24,@,MIL,"L,6-9",43,37,6,10,1,0,1,6,5,0,4,0,0,1,1,0,1,0,0.256,0.333,0.376,0.709,10,15,L,R.Wolf(56)
18,19,19,Apr 25,@,MIL,"W,7-5",46,40,7,14,3,0,0,6,4,0,10,1,1,0,0,0,1,0,0.262,0.338,0.379,0.717,12,16,R,S.Marcum(40)
19,20,20,Apr 27,@,CIN,"W,6-4",39,36,6,9,3,1,0,6,2,0,7,0,1,0,1,0,2,0,0.261,0.336,0.379,0.715,6,15,R,M.Leake(30)
20,21,21,Apr 28,@,CIN,"L,0-6",35,31,0,6,1,0,0,0,3,0,5,1,0,0,0,1,0,0,0.258,0.334,0.373,0.707,8,13,R,J.Cueto(69)
21,22,22,Apr 29,@,CIN,"L,5-6",38,36,5,11,2,0,2,5,1,0,6,0,1,0,0,0,0,1,0.26,0.333,0.38,0.713,6,14,R,M.Latos(37)
22,23,23,Apr 30,,NYM,"W,4-3",32,29,4,5,0,0,1,4,2,0,9,0,1,0,2,0,1,1,0.257,0.33,0.376,0.706,4,17,R,R.Dickey(58)
23,24,24,May 1,,NYM,"W,6-3",38,29,6,10,1,0,2,6,8,0,2,0,1,0,0,2,0,2,0.26,0.336,0.384,0.72,8,13,L,J.Niese(26)
24,25,25,May 2,,NYM,"W,8-1",40,37,8,15,2,0,2,8,2,0,4,0,1,0,0,1,1,0,0.266,0.34,0.394,0.734,8,13,R,C.Schwinden(29)
25,26,26,May 4,,STL,"W,5-4",38,32,5,8,1,0,1,5,4,0,3,0,2,0,2,0,3,0,0.266,0.34,0.393,0.733,9,14,R,K.Lohse(39)
26,27,27,May 5,,STL,"W,8-2",34,29,8,6,3,0,2,8,4,0,4,0,0,1,0,0,1,0,0.264,0.338,0.397,0.735,2,14,L,J.Garcia(38)
27,28,28,May 6,,STL,"L,1-8",34,33,1,8,0,0,0,0,1,0,7,0,0,0,0,2,0,0,0.263,0.336,0.392,0.728,6,15,R,A.Wainwright(65)
28,29,29,May 7,,MIA,"L,0-4",29,26,0,3,0,0,0,0,1,0,9,2,0,0,0,3,0,0,0.259,0.332,0.384,0.717,2,11,R,C.Zambrano(89)
29,30,30,May 8,,MIA,"W,3-2",34,32,3,7,1,0,0,1,2,0,8,0,0,0,1,0,0,0,0.258,0.33,0.38,0.711,7,15,R,A.Sanchez(69)
30,31,31,May 9,,MIA,"L,3-5",45,42,3,8,2,1,1,2,3,0,11,0,0,0,0,1,0,1,0.255,0.327,0.379,0.706,6,21,R,J.Johnson(65)
31,32,32,May 11,@,PIT,"W,1-0",31,29,1,4,1,0,0,0,2,0,8,0,0,0,0,1,0,0,0.252,0.324,0.374,0.698,3,13,R,J.McDonald(76)
32,33,33,May 12,@,PIT,"L,2-5",36,35,2,9,2,0,0,2,1,1,2,0,0,0,1,1,0,0,0.252,0.322,0.372,0.694,7,15,R,C.Morton(51)
33,34,34,May 13,@,PIT,"L,2-3",43,41,2,6,1,0,0,2,2,0,6,0,0,0,1,1,0,0,0.249,0.318,0.365,0.683,5,16,R,A.Burnett(66)
34,35,35,May 14,@,PHI,"L,1-5",35,34,1,7,0,0,1,1,1,0,12,0,0,0,0,0,1,0,0.248,0.316,0.363,0.678,7,14,R,J.Blanton(67)
35,36,36,May 15,@,PHI,"L,3-4",38,37,3,9,2,0,1,2,1,0,13,0,0,0,0,2,1,1,0.247,0.314,0.363,0.677,5,17,L,C.Lee(77)
36,37,37,May 16,,MIL,"W,8-3",35,30,8,8,1,0,1,7,3,0,5,0,1,1,1,1,2,0,0.248,0.314,0.364,0.679,3,11,L,R.Wolf(20)
37,38,38,May 17,,MIL,"W,4-0",40,37,4,13,2,0,1,4,2,0,7,1,0,0,0,0,2,0,0.251,0.317,0.368,0.684,12,14,R,S.Marcum(39)
38,39,39,May 18,,TEX,"L,1-4",36,30,1,4,0,0,0,1,5,0,9,1,0,0,0,1,2,0,0.248,0.316,0.362,0.678,8,14,R,N.Feliz(55)
39,40,40,May 19,,TEX,"W,6-5",35,31,6,7,2,0,3,6,4,0,9,0,0,0,0,0,1,0,0.248,0.316,0.367,0.683,5,17,L,D.Holland(41)
40,41,41,May 20,,TEX,"L,1-6",33,32,1,5,2,0,1,1,1,0,6,0,0,0,0,0,0,0,0.246,0.313,0.366,0.679,5,15,R,C.Lewis(75)
41,42,42,May 21,,CHC,"W,8-4",35,31,8,8,0,0,3,8,4,0,5,0,0,0,0,1,1,0,0.246,0.313,0.37,0.684,3,14,R,M.Garza(21)
42,43,43,May 22,,CHC,"W,2-1",31,28,2,4,2,0,1,2,3,0,5,0,0,0,0,0,0,0,0.244,0.312,0.369,0.681,5,13,L,T.Wood(58)
43,44,44,May 23,,CHC,"W,5-1",38,33,5,9,1,1,0,5,4,1,5,1,0,0,0,0,0,0,0.244,0.313,0.369,0.682,9,14,R,J.Samardzija(54)
44,45,45,May 25,@,LAD,"W,3-1",39,31,3,7,5,0,1,2,6,0,8,0,1,0,0,1,0,1,0.244,0.314,0.371,0.685,9,16,L,C.Kershaw(60)
45,46,46,May 26,@,LAD,"L,3-6",40,34,3,7,3,0,0,3,6,0,9,0,0,0,0,0,0,0,0.243,0.314,0.37,0.684,10,17,R,C.Billingsley(54)
46,47,47,May 27,@,LAD,"L,1-5",31,28,1,2,0,1,0,1,2,0,10,0,1,0,0,0,0,0,0.24,0.311,0.366,0.677,3,13,L,C.Capuano(75)
47,48,48,May 28 (1),@,COL,"L,7-9",39,37,7,12,1,1,1,6,1,0,8,1,0,0,0,1,1,0,0.242,0.312,0.368,0.681,5,15,R,J.Nicasio(36)
48,49,49,May 28 (2),@,COL,"L,6-7",45,42,6,14,1,0,3,6,1,0,6,1,1,0,0,1,0,0,0.244,0.313,0.374,0.687,9,19,R,A.White(24)
