,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 28,@,NYY,"L,2-7",35,34,2,8,1,0,0,2,1,0,9,0,0,0,0,0,0,0,0.235,0.257,0.265,0.522,6,12,R,M.Tanaka(56)
1,2,2,Mar 30,@,NYY,"W,5-3",37,36,5,9,2,0,0,4,1,0,9,0,0,0,1,1,2,0,0.243,0.264,0.286,0.55,5,10,L,J.Paxton(59)
2,3,3,Mar 31,@,NYY,"W,7-5",41,34,7,8,1,0,3,7,7,0,11,0,0,0,0,1,1,0,0.24,0.301,0.365,0.666,7,10,L,J.Happ(38)
3,4,4,Apr 1,@,TOR,"W,6-5",38,32,6,6,0,0,2,5,3,0,12,2,0,1,0,0,0,0,0.228,0.298,0.368,0.666,5,10,R,S.Reid-Foley(33)
4,5,5,Apr 2,@,TOR,"W,2-1",36,34,2,10,3,1,0,2,2,1,8,0,0,0,0,2,0,0,0.241,0.305,0.382,0.687,7,10,R,M.Stroman(47)
5,6,6,Apr 3,@,TOR,"L,3-5",33,31,3,6,1,0,1,3,1,0,10,1,0,0,0,0,0,1,0.234,0.295,0.373,0.669,3,11,R,M.Shoemaker(80)
6,7,7,Apr 4,,NYY,"L,4-8",39,35,4,10,1,0,1,2,4,0,12,0,0,0,0,1,0,0,0.242,0.305,0.377,0.682,8,11,L,J.Paxton(43)
7,8,8,Apr 6,,NYY,"L,4-6",42,36,4,8,2,0,1,4,3,0,9,2,0,1,1,0,1,0,0.239,0.306,0.375,0.681,11,12,L,J.Happ(48)
8,9,9,Apr 7,,NYY,"L,3-15",36,33,3,5,1,0,0,1,3,0,6,0,0,0,1,0,0,0,0.23,0.297,0.354,0.651,6,11,R,D.German(61)
9,10,10,Apr 8,,OAK,"W,12-4",42,37,12,15,1,3,2,11,3,0,5,0,1,1,0,0,0,0,0.249,0.312,0.398,0.71,6,9,R,M.Estrada(22)
10,11,11,Apr 9,,OAK,"L,2-13",33,32,2,7,1,0,0,2,1,0,6,0,0,0,0,0,1,1,0.246,0.307,0.385,0.692,4,10,L,B.Anderson(55)
