,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 29,@,NYM,"W,5-3",45,33,5,12,1,0,2,5,10,0,5,1,1,0,0,4,1,0,0.364,0.523,0.576,1.098,13,14,L,M.Hampton(43)
1,2,2,Mar 30,,NYM,"L,1-5",44,36,1,5,0,0,0,0,6,1,9,0,2,0,2,2,0,0,0.246,0.395,0.348,0.743,10,20,R,R.Reed(74)
2,3,3,Apr 3,@,STL,"L,1-7",32,27,1,3,1,0,0,1,3,0,7,1,0,1,0,1,0,1,0.208,0.347,0.292,0.639,4,15,R,D.Kile(66)
3,4,4,Apr 5,@,STL,"L,4-10",38,33,4,9,3,0,0,2,2,0,3,2,1,0,0,2,0,0,0.225,0.348,0.31,0.658,7,17,R,P.Hentgen(46)
4,5,5,Apr 6,@,STL,"L,3-13",35,32,3,6,1,0,1,3,2,0,6,1,0,0,0,0,0,0,0.217,0.332,0.311,0.642,5,16,R,G.Stephenson(61)
5,6,6,Apr 7,@,CIN,"W,10-6",41,34,10,8,2,0,3,10,4,0,13,0,1,2,1,0,0,0,0.221,0.326,0.354,0.68,4,14,R,P.Harnisch(29)
6,7,7,Apr 8,@,CIN,"L,3-4",41,36,3,4,2,0,0,1,4,1,13,0,1,0,1,0,1,1,0.203,0.307,0.325,0.632,5,19,R,R.Bell(70)
7,8,8,Apr 9,@,CIN,"L,7-8",55,43,7,13,4,0,3,7,10,2,9,0,2,0,1,0,0,0,0.219,0.328,0.369,0.697,15,17,L,D.Neagle(27)
8,9,9,Apr 10,,ATL,"W,4-3",36,32,4,10,0,0,1,4,3,0,7,0,1,0,0,1,0,1,0.229,0.332,0.373,0.705,7,14,R,K.Millwood(70)
9,10,10,Apr 12,,ATL,"W,11-4",41,34,11,12,2,0,4,10,4,2,14,0,2,1,1,0,0,0,0.241,0.34,0.412,0.752,6,11,L,T.Mulholland(20)
10,11,11,Apr 13,,ATL,"W,3-2",36,32,3,7,2,0,1,3,1,1,9,1,2,0,1,0,1,0,0.239,0.334,0.409,0.743,7,13,R,G.Maddux(65)
11,12,12,Apr 14,,FLA,"L,4-9",36,32,4,8,1,0,1,4,3,0,3,1,0,0,0,1,0,0,0.24,0.334,0.406,0.74,5,16,R,A.Fernandez(46)
12,13,13,Apr 15,,FLA,"W,4-2",34,30,4,6,1,0,0,2,3,0,9,0,0,1,1,0,1,0,0.237,0.329,0.394,0.723,6,14,R,R.Dempster(62)
13,14,14,Apr 16,,FLA,"L,5-6",47,39,5,10,1,0,1,4,6,0,8,1,1,0,1,1,2,0,0.239,0.333,0.391,0.724,12,14,R,V.Núñez(26)
14,15,15,Apr 17,,FLA,"L,5-6",38,31,5,6,2,0,1,5,6,1,10,0,1,0,1,1,1,1,0.236,0.332,0.389,0.721,6,12,L,J.Sanchez(49)
15,16,16,Apr 18,@,MON,"L,3-4",36,33,3,7,1,0,2,3,3,1,10,0,0,0,0,1,0,1,0.235,0.329,0.391,0.72,6,13,R,J.Vazquez(48)
16,17,17,Apr 19,@,MON,"L,3-7",36,32,3,7,1,0,2,3,3,0,7,1,0,0,0,2,0,0,0.234,0.328,0.394,0.721,6,14,R,C.Pavano(57)
