,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 6,,PIT,"W,5-2",32,29,5,5,0,0,2,4,3,0,8,0,0,0,0,0,1,0,0.172,0.25,0.379,0.629,3,14,L,F.Liriano(69)
1,2,2,Apr 8,,PIT,"W,5-4",47,42,5,11,1,0,1,4,3,0,14,1,1,0,1,1,4,0,0.225,0.295,0.366,0.661,10,17,R,G.Cole(49)
2,3,3,Apr 9,,PIT,"W,3-2",33,31,3,6,1,0,1,2,2,1,9,0,0,0,1,1,2,0,0.216,0.279,0.353,0.632,5,14,R,A.Burnett(58)
3,4,4,Apr 10,,STL,"W,5-4",31,26,5,4,0,0,2,5,4,1,3,0,0,1,0,1,2,0,0.203,0.275,0.359,0.634,2,14,R,J.Lackey(47)
4,5,5,Apr 11,,STL,"L,1-4",34,32,1,6,1,0,1,1,1,0,6,0,1,0,0,0,1,0,0.2,0.263,0.35,0.613,6,12,R,M.Wacha(60)
5,6,6,Apr 12,,STL,"L,5-7",53,43,5,11,1,0,2,5,8,0,17,1,1,0,0,0,0,0,0.212,0.291,0.365,0.655,15,19,R,C.Martinez(62)
6,7,7,Apr 13,@,CHC,"L,6-7",42,42,6,13,4,1,0,6,0,0,7,0,0,0,0,0,1,0,0.229,0.294,0.38,0.673,6,15,L,J.Lester(32)
7,8,8,Apr 14,@,CHC,"W,3-2",35,33,3,7,2,0,0,3,2,0,8,0,0,0,0,0,1,0,0.227,0.289,0.367,0.656,5,13,R,J.Arrieta(52)
8,9,9,Apr 15,@,CHC,"L,0-5",33,30,0,4,0,0,0,0,3,0,8,0,0,0,0,1,0,0,0.218,0.282,0.344,0.626,6,15,L,T.Wood(76)
9,10,10,Apr 17,@,STL,"L,1-6",37,33,1,6,1,0,1,1,2,0,7,1,1,0,1,0,0,0,0.214,0.279,0.34,0.619,9,11,R,M.Wacha(66)
10,11,11,Apr 18,@,STL,"L,2-5",38,35,2,9,0,0,1,2,3,0,5,0,0,0,0,1,0,0,0.218,0.282,0.34,0.623,9,15,R,C.Martinez(64)
11,12,12,Apr 19,@,STL,"L,1-2",37,35,1,8,1,0,0,1,2,0,5,0,0,0,0,0,1,0,0.219,0.281,0.333,0.615,9,10,R,A.Wainwright(66)
12,13,13,Apr 20,@,MIL,"W,6-1",39,33,6,9,0,1,2,6,5,0,6,0,0,1,0,1,1,0,0.223,0.287,0.347,0.634,6,11,R,W.Peralta(39)
13,14,14,Apr 21,@,MIL,"W,16-10",49,41,16,13,0,0,5,16,6,0,8,1,0,1,2,0,2,0,0.231,0.299,0.375,0.674,6,16,R,M.Fiers(27)
14,15,15,Apr 22,@,MIL,"W,2-1",31,28,2,4,0,0,0,1,3,0,6,0,0,0,0,3,1,0,0.226,0.295,0.363,0.657,2,11,R,J.Nelson(75)
15,16,16,Apr 23,@,MIL,"L,2-4",30,29,2,4,1,0,1,2,1,0,8,0,0,0,0,1,0,1,0.221,0.288,0.358,0.646,1,12,R,K.Lohse(66)
16,17,17,Apr 24,,CHC,"L,3-7",44,38,3,8,3,0,0,3,4,1,16,0,1,1,0,1,3,0,0.221,0.288,0.353,0.641,8,15,L,J.Lester(59)
17,18,18,Apr 26,,CHC,"L,2-5",36,33,2,6,1,1,1,2,3,0,9,0,0,0,0,0,1,0,0.219,0.286,0.354,0.639,7,15,R,J.Arrieta(59)
18,19,19,Apr 27,,MIL,"W,9-6",42,30,9,9,2,1,1,7,9,1,5,1,1,1,0,1,2,0,0.222,0.296,0.362,0.658,9,11,R,J.Nelson(13)
19,20,20,Apr 28,,MIL,"W,4-2",33,30,4,7,0,0,3,4,3,0,6,0,0,0,0,0,0,0,0.223,0.296,0.37,0.666,5,10,R,K.Lohse(51)
20,21,21,Apr 29,,MIL,"L,3-8",34,32,3,7,0,0,3,3,2,0,6,0,0,0,0,1,0,0,0.223,0.295,0.376,0.671,4,14,R,M.Garza(58)
21,22,22,Apr 30,@,ATL,"W,5-1",40,36,5,9,3,0,4,5,4,1,11,0,0,0,0,0,0,0,0.224,0.296,0.39,0.686,8,10,R,S.Miller(61)
22,23,23,May 1,@,ATL,"L,3-4",37,33,3,8,1,0,0,3,3,0,6,0,0,1,0,1,5,0,0.225,0.296,0.385,0.681,7,15,R,M.Foltynewicz(44)
23,24,24,May 2,@,ATL,"W,8-4",40,38,8,12,0,2,3,8,2,0,3,0,0,0,0,1,1,0,0.229,0.299,0.398,0.696,5,13,L,E.Stults(32)
24,25,25,May 3,@,ATL,"L,0-5",34,30,0,4,0,0,0,0,3,0,11,1,0,0,0,1,0,0,0.226,0.296,0.388,0.685,7,13,R,J.Teheran(70)
25,26,26,May 5,@,PIT,"W,7-1",40,36,7,12,1,0,2,6,3,0,6,0,1,0,0,1,1,1,0.23,0.3,0.394,0.694,6,13,L,J.Locke(50)
26,27,27,May 6,@,PIT,"W,3-0",37,35,3,10,1,1,1,3,2,1,7,0,0,0,0,2,2,0,0.232,0.301,0.396,0.697,7,12,R,G.Cole(41)
27,28,28,May 7,@,PIT,"L,2-7",36,33,2,9,0,1,1,2,2,0,6,1,0,0,0,2,1,0,0.234,0.302,0.397,0.699,7,14,R,A.Burnett(57)
28,29,29,May 9 (1),@,CHW,"W,10-4",48,36,10,13,2,0,1,10,8,0,7,2,1,1,1,0,3,0,0.238,0.31,0.401,0.711,11,9,R,H.Noesi(50)
29,30,30,May 9 (2),@,CHW,"L,2-8",35,29,2,6,0,0,0,2,6,0,11,0,0,0,0,2,1,0,0.237,0.311,0.396,0.707,6,10,L,C.Rodon(60)
