,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,,TEX,"W,5-2",35,28,5,6,1,0,0,4,7,1,5,0,0,0,1,1,0,2,0.214,0.371,0.25,0.621,6,9,R,K.Millwood(61)
1,2,2,Apr 1,,TEX,"L,4-5",46,40,4,12,2,0,0,3,5,2,6,0,1,0,2,0,1,0,0.265,0.375,0.309,0.684,15,12,R,V.Padilla(53)
2,3,3,Apr 2,,TEX,"W,4-1",33,31,4,7,2,0,2,4,2,0,3,0,0,0,0,0,1,0,0.253,0.345,0.364,0.709,5,9,R,J.Jennings(40)
3,4,4,Apr 4,@,BAL,"L,4-7",35,32,4,7,2,0,2,4,3,0,3,0,0,0,0,1,1,1,0.244,0.331,0.389,0.72,4,11,R,S.Trachsel(52)
4,5,5,Apr 5,@,BAL,"L,4-6",36,32,4,6,0,0,2,4,3,0,7,1,0,0,0,1,0,0,0.233,0.321,0.387,0.707,5,9,L,A.Loewen(41)
5,6,6,Apr 6,@,BAL,"L,2-3",35,32,2,7,1,0,1,2,3,0,3,0,0,0,0,1,0,1,0.231,0.315,0.379,0.695,6,9,R,J.Guthrie(57)
6,7,7,Apr 7,@,BAL,"L,4-5",38,32,4,6,2,0,2,3,5,2,6,0,1,0,0,0,0,0,0.225,0.313,0.388,0.7,7,10,R,D.Cabrera(47)
7,8,8,Apr 8,@,TBR,"W,6-5",43,37,6,13,1,0,0,6,5,2,5,0,0,1,0,2,0,0,0.242,0.328,0.386,0.714,10,9,R,M.Garza(33)
8,9,9,Apr 9,@,TBR,"W,7-1",41,35,7,9,2,0,2,7,4,0,4,0,1,1,2,1,1,0,0.244,0.327,0.398,0.725,7,9,R,A.Sonnanstine(43)
9,10,10,Apr 10,@,TBR,"L,0-7",32,28,0,3,0,0,0,0,4,0,7,0,0,0,0,2,1,0,0.232,0.318,0.373,0.691,5,12,R,E.Jackson(80)
10,11,11,Apr 11,,LAA,"W,8-5",39,31,8,9,4,1,2,8,6,1,4,0,2,0,0,0,0,0,0.237,0.326,0.399,0.725,7,10,R,J.Weaver(40)
11,12,12,Apr 12,,LAA,"W,8-3",41,38,8,15,2,1,2,7,2,2,4,0,1,0,1,1,0,0,0.253,0.335,0.424,0.759,9,9,R,J.Garland(24)
12,13,13,Apr 13,,LAA,"L,5-10",40,36,5,10,1,0,0,5,4,0,2,0,0,0,2,3,1,0,0.255,0.336,0.414,0.75,8,10,L,J.Saunders(46)
13,14,14,Apr 14,,KCR,"L,1-5",30,29,1,5,0,0,0,1,1,0,4,0,0,0,0,2,0,0,0.249,0.328,0.399,0.727,2,9,R,Z.Greinke(76)
14,15,15,Apr 15,,KCR,"W,11-6",42,31,11,13,6,0,0,11,6,0,9,0,0,5,0,0,2,1,0.26,0.338,0.413,0.75,7,10,L,J.Bale(27)
15,16,16,Apr 16,@,OAK,"W,4-2",38,38,4,12,3,0,0,4,0,0,3,0,0,0,0,0,0,1,0.264,0.336,0.411,0.747,7,10,R,J.Blanton(44)
16,17,17,Apr 17,@,OAK,"W,8-1",43,37,8,9,0,0,0,8,6,0,2,0,0,0,0,0,2,0,0.263,0.337,0.4,0.737,8,10,L,L.DiNardo(25)
17,18,18,Apr 18,@,LAA,"L,4-5",33,33,4,7,1,0,2,4,0,0,2,0,0,0,0,0,0,0,0.26,0.331,0.402,0.733,2,9,L,J.Saunders(56)
18,19,19,Apr 19,@,LAA,"L,1-4",30,30,1,4,1,0,1,1,0,0,8,0,0,0,0,1,0,0,0.254,0.322,0.395,0.718,2,11,R,E.Santana(80)
19,20,20,Apr 20,@,LAA,"W,4-2",38,36,4,9,2,1,1,4,2,0,5,0,0,0,0,0,0,0,0.254,0.321,0.398,0.719,7,10,R,D.Moseley(33)
20,21,21,Apr 22,,BAL,"W,4-2",33,29,4,5,1,1,0,3,4,1,6,0,0,0,0,0,0,0,0.25,0.319,0.393,0.712,5,10,R,J.Guthrie(56)
21,22,22,Apr 23,,BAL,"L,2-3",33,32,2,6,1,0,0,2,0,0,6,0,0,1,0,0,1,0,0.248,0.313,0.385,0.698,4,9,R,D.Cabrera(69)
22,23,23,Apr 24,,BAL,"L,7-8",38,32,7,10,2,0,2,7,4,0,3,0,0,2,0,2,2,1,0.25,0.316,0.393,0.708,4,11,L,A.Loewen(28)
23,24,24,Apr 25,,OAK,"L,3-4",40,32,3,8,1,0,0,3,4,0,6,1,0,3,1,1,1,0,0.25,0.316,0.388,0.704,10,13,L,D.Eveland(46)
24,25,25,Apr 26,,OAK,"W,5-3",35,33,5,11,5,0,0,5,2,1,3,0,0,0,0,1,0,0,0.254,0.318,0.392,0.71,6,10,R,J.Duchscherer(49)
25,26,26,Apr 27,,OAK,"L,2-4",37,34,2,8,2,0,1,2,3,0,6,0,0,0,0,1,0,0,0.253,0.317,0.392,0.709,8,9,R,J.Blanton(54)
26,27,27,Apr 29,@,CLE,"W,7-2",48,42,7,15,4,0,1,7,6,0,3,0,0,0,2,2,2,0,0.258,0.323,0.398,0.721,14,11,R,R.Hernandez(50)
27,28,28,Apr 30,@,CLE,"L,3-8",36,35,3,9,0,0,1,3,1,0,5,0,0,0,0,1,0,0,0.258,0.321,0.396,0.717,6,10,L,C.Lee(47)
28,29,29,May 1,@,CLE,"L,2-3",40,39,2,9,0,0,1,1,1,0,5,0,0,0,0,1,2,2,0.257,0.319,0.392,0.711,5,11,R,P.Byrd(74)
29,30,30,May 2,@,NYY,"L,1-5",32,30,1,4,1,0,0,1,2,0,8,0,0,0,0,1,3,0,0.253,0.315,0.385,0.701,4,11,R,C.Wang(65)
30,31,31,May 3,@,NYY,"L,1-6",36,34,1,8,0,0,0,1,2,0,7,0,0,0,1,2,2,0,0.252,0.314,0.381,0.694,8,9,R,M.Mussina(59)
31,32,32,May 4,@,NYY,"L,2-8",34,34,2,7,0,0,1,2,0,0,5,0,0,0,0,0,1,0,0.251,0.311,0.378,0.689,5,10,R,D.Rasner(58)
32,33,33,May 5,,TEX,"W,7-3",35,34,7,10,3,0,2,7,1,0,6,0,0,0,0,0,0,0,0.252,0.311,0.383,0.694,4,9,R,K.Millwood(14)
33,34,34,May 6,,TEX,"L,1-10",36,34,1,7,3,0,0,1,1,0,4,1,0,0,0,0,1,0,0.251,0.309,0.381,0.69,8,11,R,S.Ponson(60)
34,35,35,May 7,,TEX,"L,0-2",33,28,0,2,0,0,0,0,4,0,9,1,0,0,0,1,0,0,0.247,0.307,0.373,0.68,6,10,R,V.Padilla(79)
35,36,36,May 8,,TEX,"L,0-5",33,29,0,4,1,0,0,0,4,0,6,0,0,0,0,2,0,0,0.244,0.305,0.368,0.673,6,10,L,K.Gabbard(54)
36,37,37,May 9,,CHW,"L,2-4",36,34,2,7,0,0,1,1,2,0,5,0,0,0,0,0,2,0,0.243,0.304,0.366,0.67,7,9,R,J.Contreras(63)
37,38,38,May 10,,CHW,"L,4-8",36,33,4,9,1,1,1,4,2,0,7,0,0,1,0,1,2,0,0.244,0.304,0.369,0.672,5,9,R,J.Vazquez(46)
38,39,39,May 11,,CHW,"W,6-3",39,33,6,13,5,0,1,6,4,0,2,1,1,0,0,3,1,0,0.247,0.308,0.375,0.684,9,9,R,G.Floyd(21)
39,40,40,May 12,@,TEX,"L,12-13",47,45,12,15,5,0,3,10,1,0,6,0,0,1,1,0,0,0,0.25,0.309,0.385,0.694,5,9,R,V.Padilla(36)
40,41,41,May 13,@,TEX,"L,2-5",37,33,2,7,2,0,0,2,3,0,5,0,0,1,0,0,0,0,0.249,0.308,0.382,0.69,8,9,L,K.Gabbard(51)
41,42,42,May 14,@,TEX,"W,4-3",48,46,4,10,4,1,0,4,1,0,6,0,1,0,1,0,0,0,0.248,0.306,0.381,0.687,8,11,R,S.Feldman(61)
42,43,43,May 16,,SDP,"L,4-6",39,35,4,9,3,0,1,4,4,1,10,0,0,0,0,1,3,0,0.249,0.307,0.382,0.689,8,11,R,C.Young(47)
43,44,44,May 17,,SDP,"W,4-2",34,32,4,9,2,0,1,4,1,0,6,1,0,0,0,1,1,0,0.249,0.307,0.383,0.69,6,9,L,R.Wolf(51)
44,45,45,May 18,,SDP,"W,3-2",32,28,3,5,1,0,0,3,4,1,5,0,0,0,0,1,2,0,0.248,0.307,0.38,0.686,5,11,L,S.Estes(65)
45,46,46,May 20,@,DET,"L,8-12",42,37,8,13,2,0,1,7,4,0,8,0,0,1,0,1,1,1,0.25,0.309,0.382,0.691,7,12,R,J.Verlander(66)
46,47,47,May 21,@,DET,"L,4-9",39,34,4,8,1,0,2,4,5,0,4,0,0,0,0,1,0,0,0.25,0.309,0.384,0.693,8,9,L,K.Rogers(35)
47,48,48,May 22,@,DET,"L,2-9",37,34,2,8,1,0,0,1,2,0,3,1,0,0,0,1,0,0,0.25,0.309,0.381,0.69,8,11,R,J.Bonderman(48)
48,49,49,May 23,@,NYY,"L,2-13",37,35,2,9,3,0,0,2,2,0,12,0,0,0,0,0,0,0,0.25,0.309,0.38,0.689,8,12,L,A.Pettitte(57)
49,50,50,May 24,@,NYY,"L,6-12",41,39,6,12,2,0,3,6,2,0,6,0,0,0,0,0,0,0,0.251,0.31,0.385,0.695,8,9,R,M.Mussina(40)
50,51,51,May 25,@,NYY,"L,5-6",40,36,5,9,1,0,1,5,4,0,6,0,0,0,1,1,0,0,0.251,0.31,0.385,0.695,8,9,R,C.Wang(37)
51,52,52,May 26,,BOS,"L,3-5",38,35,3,8,1,0,0,2,1,0,7,1,1,0,1,0,0,0,0.251,0.309,0.382,0.691,8,10,R,B.Colon(66)
52,53,53,May 27,,BOS,"W,4-3",38,33,4,8,3,0,0,4,3,1,3,0,2,0,1,0,2,0,0.251,0.309,0.381,0.691,8,10,R,D.Matsuzaka(46)
53,54,54,May 28,,BOS,"W,1-0",29,29,1,5,1,0,1,1,0,0,8,0,0,0,0,0,1,1,0.249,0.307,0.38,0.687,4,9,R,T.Wakefield(76)
54,55,55,May 30,,DET,"L,4-7",33,31,4,5,2,0,2,4,2,0,3,0,0,0,1,2,1,0,0.248,0.306,0.381,0.687,2,9,L,N.Robertson(45)
55,56,56,May 31,,DET,"W,5-0",38,34,5,10,1,0,1,4,4,0,1,0,0,0,0,0,1,0,0.249,0.307,0.381,0.688,9,9,R,J.Verlander(44)
56,57,57,Jun 1,,DET,"L,5-7",44,39,5,15,1,0,2,5,2,1,6,1,1,1,0,0,0,0,0.252,0.309,0.385,0.694,12,9,R,J.Bonderman(46)
57,58,58,Jun 2,,LAA,"L,2-4",33,32,2,6,1,1,1,2,1,0,3,0,0,0,0,1,0,0,0.251,0.308,0.385,0.693,4,9,R,E.Santana(61)
58,59,59,Jun 3,,LAA,"L,4-5",36,35,4,6,2,0,1,2,1,0,9,0,0,0,2,0,0,0,0.249,0.306,0.384,0.689,5,11,L,J.Saunders(59)
