,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 2,@,ARI,"L,5-6",41,34,5,11,2,1,2,5,5,0,7,0,0,2,0,0,2,1,0.324,0.39,0.618,1.008,9,15,R,Z.Greinke(53)
1,2,2,Apr 4,@,ARI,"W,8-4",48,43,8,15,5,0,1,8,4,0,12,0,0,1,2,0,0,0,0.338,0.393,0.571,0.965,13,15,L,P.Corbin(37)
2,3,3,Apr 5,@,ARI,"L,6-8",39,36,6,10,0,2,1,5,2,0,11,0,0,1,0,0,1,0,0.319,0.367,0.54,0.907,6,15,R,T.Walker(48)
3,4,4,Apr 6,@,ARI,"L,3-9",36,31,3,4,2,0,1,3,5,0,7,0,0,0,1,0,1,0,0.278,0.341,0.486,0.828,6,13,L,R.Ray(54)
4,5,5,Apr 7,@,SDP,"L,6-7",35,33,6,8,2,0,2,5,2,0,8,0,0,0,0,2,0,0,0.271,0.332,0.486,0.818,2,17,R,L.Perdomo(36)
5,6,6,Apr 8,@,SDP,"L,1-2",33,32,1,5,2,0,0,1,1,0,7,0,0,0,0,0,0,0,0.254,0.31,0.445,0.755,5,10,R,J.Chacin(72)
6,7,7,Apr 9,@,SDP,"W,5-3",39,35,5,8,1,0,2,4,4,0,5,0,0,0,0,0,1,0,0.25,0.31,0.443,0.753,7,12,L,C.Richard(44)
7,8,8,Apr 10,,ARI,"W,4-1",36,29,4,6,3,0,0,2,4,0,5,1,1,1,0,0,0,0,0.245,0.31,0.429,0.739,8,13,R,T.Walker(45)
8,9,9,Apr 11,,ARI,"L,3-4",43,36,3,10,3,0,0,3,6,0,11,1,0,0,0,1,1,0,0.249,0.321,0.421,0.742,13,15,L,R.Ray(69)
9,10,10,Apr 12,,ARI,"W,6-2",40,35,6,9,3,1,0,6,5,1,7,0,0,0,2,0,0,0,0.25,0.324,0.419,0.743,10,15,R,S.Miller(45)
10,11,11,Apr 13,,COL,"L,1-3",33,29,1,5,0,0,0,1,3,0,5,0,0,1,0,2,0,0,0.244,0.318,0.399,0.717,5,13,R,J.Gray(56)
11,12,12,Apr 14,,COL,"W,8-2",38,36,8,11,0,0,2,7,2,0,6,0,0,0,0,0,0,0,0.249,0.32,0.406,0.725,6,13,L,T.Anderson(36)
12,13,13,Apr 15,,COL,"L,0-5",30,29,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0.237,0.306,0.384,0.69,3,15,R,T.Chatwood(86)
13,14,14,Apr 16,,COL,"L,3-4",33,31,3,7,3,1,0,3,0,0,6,0,0,2,0,1,0,0,0.237,0.3,0.384,0.684,3,13,R,A.Senzatela(54)
14,15,15,Apr 18,@,KCR,"W,2-1",45,42,2,11,2,0,0,2,3,0,10,0,0,0,0,1,1,0,0.239,0.301,0.378,0.679,10,10,R,J.Hammel(58)
15,16,16,Apr 19,@,KCR,"L,0-2",31,30,0,4,1,0,0,0,1,0,10,0,0,0,0,1,0,0,0.233,0.294,0.366,0.66,4,10,L,J.Vargas(78)
16,17,17,Apr 21,@,COL,"L,5-6",41,37,5,11,1,0,1,5,4,0,4,0,0,0,0,1,1,0,0.237,0.298,0.369,0.667,9,15,R,T.Chatwood(41)
17,18,18,Apr 22,@,COL,"L,3-12",35,32,3,7,2,0,1,3,1,0,6,1,1,0,0,1,0,0,0.236,0.297,0.369,0.666,5,15,R,A.Senzatela(68)
18,19,19,Apr 23,@,COL,"L,0-8",35,32,0,6,1,0,0,0,3,0,3,0,0,0,0,1,0,0,0.234,0.295,0.361,0.656,8,14,L,K.Freeland(67)
19,20,20,Apr 24,,LAD,"W,2-1",33,29,2,8,1,0,0,2,3,0,5,0,0,1,0,0,0,1,0.235,0.296,0.359,0.656,7,15,L,H.Ryu(60)
20,21,21,Apr 25,,LAD,"L,1-2",36,35,1,8,1,0,0,1,1,0,9,0,0,0,0,0,1,0,0.235,0.294,0.354,0.648,8,17,L,C.Kershaw(67)
21,22,22,Apr 26,,LAD,"W,4-3",37,32,4,6,0,0,2,4,3,0,7,0,1,1,0,1,1,0,0.233,0.292,0.355,0.647,5,17,L,A.Wood(74)
22,23,23,Apr 27,,LAD,"L,1-5",38,34,1,7,0,0,0,1,4,1,8,0,0,0,0,3,1,0,0.232,0.292,0.348,0.641,7,17,L,J.Urias(57)
23,24,24,Apr 28,,SDP,"W,4-3",35,32,4,8,1,0,1,3,1,0,7,1,0,1,1,0,0,0,0.233,0.292,0.35,0.641,7,13,R,L.Perdomo(57)
24,25,25,Apr 29,,SDP,"L,4-12",39,35,4,8,1,0,0,4,4,0,11,0,0,0,0,0,0,0,0.232,0.293,0.346,0.638,8,16,R,J.Chacin(49)
25,26,26,Apr 30,,SDP,"L,2-5",45,42,2,8,3,0,0,2,1,0,9,1,0,1,0,1,0,0,0.23,0.289,0.342,0.631,7,17,L,C.Richard(50)
26,27,27,May 1,@,LAD,"W,4-3",34,33,4,8,1,0,2,4,1,0,8,0,0,0,0,2,0,0,0.231,0.289,0.346,0.634,3,12,L,C.Kershaw(47)
27,28,28,May 2,@,LAD,"L,5-13",40,39,5,12,2,0,0,4,1,0,14,0,0,0,0,0,0,0,0.234,0.29,0.346,0.636,8,16,L,A.Wood(42)
28,29,29,May 3,@,LAD,"W,4-1",50,39,4,11,3,0,0,4,8,1,10,0,2,1,0,2,0,0,0.236,0.295,0.347,0.641,13,15,L,J.Urias(56)
29,30,30,May 5,@,CIN,"L,3-13",35,33,3,7,3,0,1,3,2,0,8,0,0,0,1,2,0,0,0.235,0.293,0.348,0.642,5,17,R,B.Arroyo(51)
30,31,31,May 6,@,CIN,"L,2-14",36,30,2,5,2,0,0,2,5,0,4,0,0,1,1,1,0,0,0.233,0.293,0.345,0.638,7,16,L,A.Garrett(52)
31,32,32,May 7,@,CIN,"L,0-4",32,30,0,4,2,0,0,0,1,0,5,1,0,0,0,1,0,0,0.23,0.29,0.341,0.631,5,11,R,S.Feldman(83)
32,33,33,May 8,@,NYM,"L,3-4",35,32,3,5,1,0,2,3,3,0,14,0,0,0,0,0,0,0,0.228,0.288,0.342,0.63,5,16,R,J.deGrom(60)
33,34,34,May 9,@,NYM,"L,1-6",33,28,1,2,0,0,1,1,4,0,5,1,0,0,0,1,0,0,0.224,0.286,0.338,0.624,5,11,R,Z.Wheeler(64)
34,35,35,May 10,@,NYM,"W,6-5",43,38,6,11,1,0,1,6,4,0,8,0,0,1,1,0,0,0,0.227,0.288,0.34,0.628,10,17,L,T.Milone(50)
35,36,36,May 11,,CIN,"L,2-3",38,37,2,11,2,0,2,2,1,0,6,0,0,0,0,1,0,0,0.229,0.289,0.345,0.634,9,15,R,B.Arroyo(54)
36,37,37,May 12,,CIN,"W,3-2",58,55,3,12,2,0,2,3,1,0,9,0,2,0,0,1,0,1,0.228,0.287,0.346,0.633,6,20,R,S.Feldman(56)
37,38,38,May 13,,CIN,"W,3-1",31,29,3,6,0,0,2,3,2,0,5,0,0,0,0,1,3,0,0.228,0.286,0.347,0.634,4,13,R,L.Bonilla(61)
38,39,39,May 14,,CIN,"W,8-3",39,33,8,9,2,1,1,8,4,0,5,1,0,1,1,0,2,0,0.229,0.288,0.351,0.639,7,13,R,T.Adleman(31)
39,40,40,May 15,,LAD,"W,8-4",37,33,8,10,2,0,1,8,2,0,8,0,1,1,1,0,2,0,0.231,0.289,0.353,0.643,5,15,R,B.McCarthy(33)
40,41,41,May 16,,LAD,"W,2-1",33,31,2,11,0,0,1,2,0,0,9,1,1,0,0,1,2,2,0.233,0.291,0.355,0.647,7,12,L,R.Hill(57)
41,42,42,May 17,,LAD,"L,1-6",30,30,1,4,0,0,1,1,0,0,7,0,0,0,0,1,0,0,0.231,0.288,0.353,0.641,2,14,L,C.Kershaw(76)
42,43,43,May 19,@,STL,"W,6-5",45,37,6,13,2,0,0,6,6,2,7,0,2,0,1,1,1,1,0.234,0.292,0.354,0.646,12,17,R,M.Wacha(66)
43,44,44,May 20,@,STL,"W,3-1",45,43,3,7,1,0,0,3,1,0,8,0,0,1,0,2,0,0,0.232,0.289,0.349,0.639,3,16,R,C.Martinez(87)
44,45,45,May 21,@,STL,"L,3-8",37,34,3,7,2,0,2,3,3,0,11,0,0,0,0,0,0,0,0.232,0.289,0.351,0.64,7,14,R,A.Wainwright(62)
45,46,46,May 22,@,CHC,"W,6-4",40,35,6,9,4,0,3,6,3,0,9,2,0,0,0,1,2,0,0.232,0.29,0.358,0.648,7,13,R,J.Lackey(37)
46,47,47,May 23,@,CHC,"L,1-4",29,29,1,4,2,0,0,1,0,0,10,0,0,0,0,1,0,1,0.231,0.288,0.355,0.642,1,12,L,J.Lester(85)
47,48,48,May 24,@,CHC,"L,4-5",38,35,4,8,1,0,2,4,3,0,7,0,0,0,0,0,1,0,0.231,0.288,0.356,0.644,7,14,R,K.Hendricks(64)
48,49,49,May 25,@,CHC,"L,1-5",33,30,1,5,3,0,0,1,3,0,1,0,0,0,0,1,2,0,0.229,0.287,0.355,0.642,5,11,R,E.Butler(54)
49,50,50,May 26,,ATL,"L,0-2",34,31,0,4,0,0,0,0,3,1,7,0,0,0,0,0,1,0,0.228,0.285,0.351,0.636,7,12,L,J.Garcia(69)
50,51,51,May 27,,ATL,"W,6-3",35,31,6,9,1,0,2,6,4,0,6,0,0,0,0,2,1,0,0.229,0.287,0.354,0.641,5,12,R,M.Foltynewicz(31)
51,52,52,May 28,,ATL,"W,7-1",35,28,7,6,0,1,0,6,5,0,3,0,1,1,0,0,0,0,0.228,0.288,0.353,0.64,4,13,R,R.Dickey(31)
52,53,53,May 29,,WSN,"L,0-3",36,33,0,8,1,0,0,0,2,0,9,1,0,0,0,0,0,2,0.229,0.288,0.351,0.639,9,15,R,T.Roark(70)
53,54,54,May 30,,WSN,"L,3-6",40,36,3,9,2,0,0,3,4,0,10,0,0,0,0,0,0,0,0.229,0.289,0.35,0.639,10,17,L,G.Gonzalez(48)
