,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,@,BAL,"L,6-9",34,31,6,7,1,0,2,5,1,0,2,0,1,1,0,0,0,1,0.226,0.242,0.452,0.694,1,11,R,R.Lopez(42)
1,2,2,Apr 5,@,BAL,"L,6-16",43,36,6,13,4,0,1,6,5,0,4,1,0,1,0,3,0,0,0.299,0.355,0.507,0.863,10,11,L,E.Bedard(38)
2,3,3,Apr 6,@,BAL,"W,2-0",36,29,2,5,1,0,0,2,6,0,5,0,0,1,0,2,0,0,0.26,0.339,0.417,0.756,7,10,R,K.Benson(61)
3,4,4,Apr 7,@,TOR,"W,9-8",38,38,9,12,1,0,4,9,0,0,8,0,0,0,0,1,1,0,0.276,0.333,0.485,0.818,2,11,L,S.Downs(47)
4,5,5,Apr 8,@,TOR,"L,4-8",39,32,4,7,1,0,0,2,6,0,8,0,1,0,1,0,0,1,0.265,0.335,0.44,0.775,8,9,L,T.Lilly(31)
5,6,6,Apr 9,@,TOR,"W,5-2",36,33,5,8,2,0,1,4,2,2,5,1,0,0,0,2,0,0,0.261,0.33,0.432,0.763,4,11,R,R.Halladay(44)
6,7,7,Apr 10,,BAL,"L,3-6",38,35,3,8,1,1,1,3,3,0,9,0,0,0,2,1,0,1,0.256,0.324,0.427,0.752,8,12,L,E.Bedard(72)
7,8,8,Apr 11,,BAL,"L,4-8",39,33,4,7,0,0,1,4,5,0,7,0,0,1,0,0,1,0,0.251,0.322,0.412,0.734,8,11,R,K.Benson(65)
8,9,9,Apr 12,,BAL,"W,7-4",42,29,7,9,0,0,2,6,11,0,12,0,2,0,1,1,1,2,0.257,0.343,0.422,0.765,11,10,R,D.Cabrera(58)
9,10,10,Apr 13,,BAL,"L,5-6",33,32,5,6,1,0,4,5,1,0,5,0,0,0,0,0,0,1,0.25,0.332,0.439,0.771,1,9,L,B.Chen(52)
10,11,11,Apr 14,,KCR,"W,7-2",38,29,7,6,2,0,0,4,7,0,5,1,1,0,1,1,0,0,0.246,0.336,0.426,0.762,7,10,R,S.Elarton(51)
11,12,12,Apr 15,,KCR,"W,6-3",38,29,6,8,4,0,0,6,8,0,10,0,0,1,0,1,1,0,0.249,0.343,0.425,0.768,8,10,R,M.Wood(47)
12,13,13,Apr 16,,KCR,"W,9-5",39,33,9,14,2,1,3,9,5,0,3,0,1,0,0,1,1,1,0.263,0.355,0.456,0.811,6,10,L,M.Redman(41)
13,14,14,Apr 18,@,BOS,"L,4-7",41,37,4,11,4,0,1,4,4,0,8,0,0,0,0,0,0,1,0.265,0.356,0.458,0.814,10,10,R,M.Clement(53)
14,15,15,Apr 19,@,BOS,"L,1-9",35,34,1,7,4,0,0,1,1,0,12,0,0,0,0,0,0,0,0.261,0.348,0.449,0.797,7,10,R,C.Schilling(62)
15,16,16,Apr 20,@,BOS,"W,5-1",35,33,5,7,3,0,2,4,2,0,2,0,0,0,0,0,1,0,0.258,0.343,0.451,0.794,3,10,R,T.Wakefield(64)
16,17,17,Apr 21,@,TEX,"L,7-13",42,37,7,10,4,0,2,7,4,0,11,1,0,0,0,0,1,0,0.259,0.344,0.457,0.801,8,11,R,K.Loe(23)
