,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Mar 29,@,NYM,"W,5-3",9.0,7,3,3,0,3,4,1,0,3.0,38,135,82,0.0,0.0,0,0,33,1,0,0,1,1,2,1,3,Randy Marsh,"J.Lieber (99-63-W), B.Williams (99), R.Aguilera (99-Sv)"
1,2,2,Mar 30,,NYM,"L,1-5",11.0,6,5,5,0,8,5,1,1,3.6,48,196,103,3.0,0.0,1,0,37,2,0,0,1,1,0,0,7,Angel Hernandez,"K.Farnsworth (99-59), M.Karchner (99), M.Guthrie (99), B.Williams (0), F.Heredia (99), R.Aguilera (0), D.Young (99-L)"
2,3,3,Apr 3,@,STL,"L,1-7",8.0,10,7,7,0,7,6,3,0,4.82,41,162,85,4.0,0.0,3,0,34,1,1,0,0,0,0,0,5,Steve Rippley,"K.Tapani (99-31-L), D.Young (3), M.Karchner (3), A.Lorraine (99), F.Heredia (3)"
3,4,4,Apr 5,@,STL,"L,4-10",8.0,12,10,9,1,4,6,2,0,6.0,41,150,91,5.0,3.0,0,0,34,6,1,0,2,1,2,0,6,Tim Tschida,"J.Lieber (6-39-L), M.Guthrie (5), B.Williams (5), F.Heredia (1), M.Karchner (1), D.Young (1)"
4,5,5,Apr 6,@,STL,"L,3-13",8.0,11,13,13,0,6,8,4,1,7.57,42,168,88,3.0,3.0,0,0,35,1,0,0,0,0,0,0,5,Chuck Meriwether,"K.Farnsworth (6-14-L), D.Young (0), B.Williams (0), F.Heredia (0), R.Aguilera (6)"
5,6,6,Apr 7,@,CIN,"W,10-6",9.0,8,6,6,0,5,5,2,0,7.3,40,134,81,5.0,1.0,0,0,34,1,0,0,0,1,0,0,4,Jim Reynolds,"A.Lorraine (3-52-W), M.Karchner (1), M.Guthrie (1-H), R.Aguilera (0-Sv)"
6,7,7,Apr 8,@,CIN,"L,3-4",10.2,11,4,4,0,4,11,2,1,6.64,46,201,122,6.0,1.0,2,1,40,1,0,1,1,0,0,1,6,John Hirschbeck,"K.Tapani (4-48), B.Williams (1), F.Heredia (1), R.Aguilera (0), M.Guthrie (0-L), M.Karchner (0)"
7,8,8,Apr 9,@,CIN,"L,7-8",10.1,9,8,6,2,9,7,2,0,6.45,51,190,108,7.0,3.0,0,1,39,3,0,1,1,2,3,0,6,Charlie Williams,"S.Downs (99-49), F.Heredia (0-H), B.Williams (0), D.Garibay (99-H), R.Aguilera (0-BSv), M.Karchner (0-L)"
8,9,9,Apr 10,,ATL,"W,4-3",9.0,7,3,3,0,0,4,2,0,6.07,34,92,64,0.0,0.0,0,0,32,2,0,0,2,0,0,0,2,Larry Young,"J.Lieber (4-60), M.Guthrie (1-W)"
9,10,10,Apr 12,,ATL,"W,11-4",9.0,6,4,4,0,4,10,2,1,5.87,41,148,95,0.0,0.0,2,0,35,0,0,0,1,0,3,0,2,Greg Bonin,"K.Farnsworth (5-53-W), F.Heredia (2)"
