,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 1,@,PHI,"L,4-5",8.1,10,5,4,1,3,0,0,0,4.32,36,130,78,0.0,0.0,1,1,32,1,0,0,0,1,0,1,3,Jerry Layne,"B.Myers (99-62), W.Lopez (99-H), B.Lyon (99-BL)"
1,2,2,Apr 2,@,PHI,"L,4-9",8.0,14,9,9,0,2,9,0,1,7.16,42,147,100,1.0,1.0,0,0,38,3,0,0,1,0,1,0,5,Bob Davidson,"W.Rodriguez (99-20-L), E.Del Rosario (99), M.Melancon (99), A.Rodriguez (99), J.Fulchino (99)"
2,3,3,Apr 3,@,PHI,"L,3-7",8.0,13,7,7,0,5,8,2,0,7.4,42,162,99,2.0,2.0,0,0,36,3,0,0,1,0,0,0,6,Hunter Wendelstedt,"B.Norris (99-36-L), F.Abad (99), A.Rodriguez (0), E.Del Rosario (0), M.Melancon (0), J.Fulchino (0)"
3,4,4,Apr 5,@,CIN,"L,2-8",8.0,10,8,8,0,5,5,0,1,7.79,40,149,90,0.0,0.0,2,0,33,1,0,0,0,1,0,0,5,Andy Fletcher,"J.Happ (99-17-L), A.Rodriguez (1), W.Lopez (3), J.Fulchino (1), B.Lyon (3)"
4,5,5,Apr 6,@,CIN,"L,4-12",8.0,14,12,8,4,3,5,0,0,8.03,44,141,89,4.0,2.0,3,0,41,3,0,0,0,0,4,2,4,Tim Welke,"N.Figueroa (99-15-L), F.Abad (2), M.Melancon (2), E.Del Rosario (2)"
5,6,6,Apr 7,@,CIN,"W,3-2",9.0,10,2,2,0,4,4,1,0,6.93,40,155,94,1.0,0.0,0,0,36,1,0,1,0,0,0,1,4,Jim Reynolds,"B.Myers (5-54), M.Melancon (0), F.Abad (0-W), B.Lyon (1-Sv)"
6,7,7,Apr 8,,FLA,"L,3-4",9.0,14,4,4,0,0,2,1,1,6.48,39,108,74,0.0,0.0,0,1,38,3,0,0,0,0,0,1,3,Jim Wolf,"W.Rodriguez (5-59), W.Lopez (2-BL), J.Fulchino (2)"
7,8,8,Apr 9,,FLA,"L,5-7",9.0,10,7,6,1,2,8,1,0,6.42,39,142,92,1.0,0.0,0,0,37,6,0,0,0,0,1,0,4,Derryl Cousins,"B.Norris (5-50), F.Abad (1-L), W.Lopez (0), E.Del Rosario (2)"
8,9,9,Apr 10,,FLA,"W,7-1",9.0,4,1,1,0,4,7,0,2,5.78,35,137,79,3.0,0.0,1,0,29,2,0,0,0,0,0,1,4,Jim Joyce,"J.Happ (4-68-W), M.Melancon (2), A.Rodriguez (4), J.Fulchino (1)"
9,10,10,Apr 11,,CHC,"L,4-5",9.0,8,5,5,0,6,7,0,0,5.7,40,171,107,0.0,0.0,1,0,34,1,1,0,0,0,0,0,6,Gary Darling,"N.Figueroa (4-27-L), E.Del Rosario (1), W.Lopez (1), F.Abad (1), M.Melancon (0), B.Lyon (3)"
10,11,11,Apr 12,,CHC,"W,11-2",9.0,11,2,2,0,1,8,1,0,5.34,39,145,97,0.0,0.0,0,0,38,3,0,0,0,0,0,0,3,Bruce Dreckman,"B.Myers (4-62-W), J.Fulchino (1), A.Rodriguez (1)"
