,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 4,,MIL,"L,2-9",9.0,9,9,8,1,4,8,1,1,8.0,41,165,105,2.0,2.0,2,0,36,2,0,0,0,0,1,0,3,Mike Reilly,"O.Perez (99-36-L), R.White (99), R.Vogelsong (99)"
1,2,2,Apr 6,,MIL,"L,2-10",9.0,13,10,10,0,5,7,2,2,9.0,46,165,106,0.0,0.0,0,0,39,7,0,1,0,0,0,0,5,Andy Fletcher,"K.Wells (99-29-L), J.Grabow (99), B.Meadows (99), M.Gonzalez (99), S.Torres (99)"
2,3,3,Apr 7,@,SDP,"L,0-1",11.1,9,1,1,0,5,6,0,0,5.83,45,182,107,0.0,0.0,0,0,37,1,0,1,3,0,0,3,6,Dan Iassogna,"M.Redman (99-66), S.Torres (0), M.Gonzalez (0), B.Meadows (0), J.Grabow (0), R.White (2-L)"
3,4,4,Apr 8,@,SDP,"W,3-2",9.0,6,2,2,0,3,8,1,0,4.93,36,155,103,3.0,0.0,0,0,33,3,1,0,0,0,0,0,4,Dale Scott,"J.Fogg (99-65-W), S.Torres (0-H), M.Gonzalez (0-H), J.Mesa (99-Sv)"
4,5,5,Apr 9,@,SDP,"L,3-11",8.0,13,11,11,0,8,6,2,0,6.22,44,168,101,0.0,0.0,1,0,35,0,2,0,0,1,0,1,4,Tim Tschida,"O.Perez (4-29-L), R.White (1), B.Meadows (1), R.Vogelsong (4)"
5,6,6,Apr 10,@,SDP,"W,6-3",9.0,7,3,3,0,8,5,0,1,5.69,41,165,87,7.0,2.0,0,0,31,0,0,0,1,0,1,2,7,Ron Kulpa,"D.Williams (99-57-W), R.White (0-H), S.Torres (1), M.Gonzalez (1), B.Meadows (0-H), J.Grabow (2-H), J.Mesa (1-Sv)"
6,7,7,Apr 11,@,MIL,"L,2-6",8.0,8,6,5,1,5,6,3,0,5.68,37,128,76,1.0,1.0,0,0,32,1,0,0,0,0,1,0,2,Mike DiMuro,"K.Wells (4-43-L), R.Vogelsong (1)"
7,8,8,Apr 12,@,MIL,"W,4-2",9.0,6,2,2,0,1,8,0,0,5.23,33,114,72,2.0,0.0,0,1,31,0,1,0,1,0,1,0,6,Tom Hallion,"M.Redman (4-59-W), S.Torres (1-H), J.Grabow (1-H), B.Meadows (1-H), M.Gonzalez (1-H), J.Mesa (1-Sv)"
8,9,9,Apr 13,@,MIL,"L,2-6",8.0,9,6,6,0,2,7,2,0,5.38,34,135,79,2.0,2.0,0,0,32,2,0,0,0,0,0,1,3,Mark Carlson,"J.Fogg (4-63), R.White (2-L), M.Gonzalez (0)"
9,10,10,Apr 15,,CHC,"W,8-5",9.0,7,5,5,0,4,7,2,1,5.34,37,126,78,0.0,0.0,0,1,30,1,1,0,1,1,0,1,4,Ed Montague,"O.Perez (5-40), B.Meadows (2), S.Torres (2-W), J.Mesa (2-Sv)"
10,11,11,Apr 16,,CHC,"L,3-4",9.0,7,4,4,0,4,7,1,0,5.22,37,136,88,1.0,0.0,1,0,32,2,1,0,1,0,0,0,3,Jerry Layne,"K.Wells (4-47-L), S.Torres (0), M.Gonzalez (2)"
11,12,12,Apr 17,,CHC,"L,2-4",9.0,7,4,3,1,4,3,0,0,5.03,37,132,78,4.0,2.0,0,0,31,1,0,0,1,1,2,2,3,Paul Emmel,"M.Redman (4-51-L), S.Torres (0), J.Grabow (4)"
12,13,13,Apr 18,,STL,"L,1-11",9.0,13,11,11,0,5,7,1,1,5.49,46,172,108,3.0,3.0,0,0,40,3,1,1,0,0,0,0,4,Randy Marsh,"D.Williams (7-56-L), R.White (4), B.Meadows (2), R.Vogelsong (6)"
13,14,14,Apr 19,,STL,"L,1-7",9.0,14,7,3,4,5,5,1,0,5.31,47,171,103,0.0,0.0,0,0,42,4,0,0,0,0,2,1,4,Larry Vanover,"J.Fogg (5-35-L), J.Grabow (1), B.Meadows (0), R.Vogelsong (0)"
14,15,15,Apr 20,@,CIN,"L,4-6",8.0,11,6,6,0,6,2,4,0,5.4,39,145,79,0.0,0.0,0,1,31,3,0,0,2,0,0,0,3,Laz Diaz,"O.Perez (4-34), R.White (1), S.Torres (2-L)"
15,16,16,Apr 21,@,CIN,"W,4-2",9.0,6,2,2,0,7,9,0,0,5.19,38,170,101,2.0,0.0,0,0,31,4,0,1,0,0,0,2,5,Bob Davidson,"K.Wells (4-53-W), J.Grabow (1-H), B.Meadows (1-H), M.Gonzalez (4-H), J.Mesa (5-Sv)"
