,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 3,@,BAL,"L,6-9",8.0,14,9,9,0,5,4,4,0,10.12,41,169,102,2.0,1.0,1,0,36,2,1,0,0,0,0,1,4,Ed Montague,"S.Kazmir (99-23-L), J.Childers (99), R.Lugo (99), S.Camp (99)"
1,2,2,Apr 5,@,BAL,"L,6-16",8.0,16,16,15,1,9,4,3,0,13.5,50,176,99,5.0,3.0,0,0,39,5,0,0,0,1,0,0,6,Jerry Layne,"S.McClung (99-17-L), J.Colome (99), B.Meadows (99), T.Harper (99), R.Lugo (1), D.Miceli (99)"
2,3,3,Apr 6,@,BAL,"W,2-0",9.0,3,0,0,0,1,5,0,0,8.64,31,106,69,,,0,0,30,1,0,0,0,0,1,1,1,Mark Wegner,M.Hendrickson (99-85-W)
3,4,4,Apr 7,@,TOR,"W,9-8",9.0,13,8,8,0,2,3,4,3,8.47,42,152,98,3.0,0.0,1,0,36,1,0,0,1,0,0,2,4,Phil Cuzzi,"C.Fossum (99-28), S.Dunn (99-W), S.Camp (3-H), D.Miceli (1-Sv)"
4,5,5,Apr 8,@,TOR,"L,4-8",8.0,13,8,8,0,5,6,1,2,8.57,43,152,95,2.0,0.0,0,0,35,4,0,0,0,1,0,0,4,Jerry Crawford,"D.Waechter (99-37), J.Childers (4-L), T.Harper (2), R.Lugo (2)"
5,6,6,Apr 9,@,TOR,"W,5-2",9.0,12,2,2,0,1,6,0,0,7.41,38,122,84,2.0,0.0,0,0,37,2,0,1,0,0,0,2,2,Chuck Meriwether,"S.Kazmir (5-57-W), D.Miceli (1-Sv)"
6,7,7,Apr 10,,BAL,"L,3-6",9.0,12,6,6,0,3,4,1,1,7.2,41,141,93,0.0,0.0,1,0,37,1,0,0,0,0,0,2,3,Ed Hickox,"S.McClung (4-33-L), S.Dunn (2), R.Lugo (1)"
7,8,8,Apr 11,,BAL,"L,4-8",9.0,11,8,8,0,2,7,1,0,7.3,39,149,90,2.0,1.0,1,0,37,3,0,0,0,0,1,1,4,Gary Darling,"J.Hammel (99-18-L), B.Meadows (5), J.Childers (2), S.Camp (3)"
8,9,9,Apr 12,,BAL,"W,7-4",9.0,5,4,4,0,6,3,2,0,6.92,38,134,73,1.0,0.0,0,0,32,2,0,0,0,0,1,0,3,Larry Poncino,"C.Fossum (4-56), S.Camp (0-W), D.Miceli (2-Sv)"
9,10,10,Apr 13,,BAL,"L,5-6",9.0,12,6,6,0,1,2,1,0,6.83,40,144,93,3.0,0.0,0,0,38,2,0,0,0,1,0,0,4,Bruce Dreckman,"D.Waechter (4-57), S.Dunn (2-H), S.Camp (0-H), D.Miceli (0-BL)"
10,11,11,Apr 14,,KCR,"W,7-2",9.0,4,2,2,0,4,8,0,0,6.38,33,118,73,0.0,0.0,1,1,28,2,1,0,0,1,0,0,2,Randy Marsh,"S.Kazmir (4-58), T.Harper (5-W)"
11,12,12,Apr 15,,KCR,"W,6-3",9.0,9,3,3,0,3,5,0,0,6.09,36,121,79,0.0,0.0,0,0,31,2,0,0,0,2,0,3,2,Angel Hernandez,"S.McClung (4-48-W), S.Camp (1-Sv)"
12,13,13,Apr 16,,KCR,"W,9-5",9.0,9,5,5,0,6,5,1,2,6.0,42,159,95,3.0,0.0,0,0,34,0,1,0,0,0,0,2,5,Chad Fairchild,"J.Hammel (4-48), B.Meadows (4-W), S.Dunn (2-H), S.Camp (0-H), D.Miceli (2)"
13,14,14,Apr 18,@,BOS,"L,4-7",8.0,11,7,7,0,4,3,0,0,6.12,39,157,91,5.0,5.0,0,0,34,5,0,0,1,0,0,0,5,Dale Scott,"C.Fossum (5-52), S.Dunn (1-BSv), S.Camp (1), R.Lugo (7-L), C.Orvella (99)"
14,15,15,Apr 19,@,BOS,"L,1-9",8.0,9,9,6,3,6,5,1,0,6.16,40,155,90,1.0,1.0,0,0,32,1,0,1,0,2,2,1,4,Dan Iassogna,"D.Waechter (5-21-L), J.Childers (7), R.Lugo (0), D.Miceli (2)"
15,16,16,Apr 20,@,BOS,"W,5-1",9.0,6,1,1,0,1,9,1,0,5.83,35,139,94,5.0,0.0,0,0,34,1,0,0,0,0,1,0,3,James Hoye,"S.Kazmir (5-63-W), T.Harper (5-H), D.Miceli (0-Sv)"
16,17,17,Apr 21,@,TEX,"L,7-13",8.0,18,13,10,3,3,7,2,2,6.12,46,172,108,3.0,3.0,0,0,41,4,0,0,0,0,1,2,4,Bill Miller,"S.McClung (5-8-L), S.Dunn (2), J.Childers (1), R.Lugo (1)"
17,18,18,Apr 22,@,TEX,"L,5-6",8.1,6,6,5,1,6,10,1,0,6.08,38,138,73,2.0,1.0,0,0,30,2,1,0,1,1,0,0,3,Gerry Davis,"E.Jackson (99-52), C.Orvella (3-L), S.Camp (3)"
18,19,19,Apr 23,@,TEX,"L,3-8",8.0,14,8,8,0,1,6,4,0,6.23,39,144,94,0.0,0.0,0,0,38,4,0,0,0,0,1,1,4,Brian Gorman,"C.Fossum (4-12-L), D.Waechter (3), S.Camp (0), D.Miceli (2)"
19,20,20,Apr 25,@,NYY,"L,1-9",8.0,13,9,8,1,6,3,1,0,6.36,42,162,91,2.0,2.0,0,0,34,5,0,0,0,2,1,1,4,Tim Timmons,"S.Kazmir (4-36-L), S.Dunn (3), R.Lugo (3), B.Meadows (8)"
20,21,21,Apr 26,@,NYY,"W,4-2",10.0,6,2,2,0,14,8,1,0,6.1,48,206,101,4.0,0.0,5,0,32,0,0,1,2,0,0,1,5,Derryl Cousins,"S.McClung (4-51), T.Harper (5), C.Orvella (3-W), D.Miceli (2-H), S.Camp (2-Sv)"
21,22,22,Apr 27,@,NYY,"L,1-4",8.0,5,4,1,3,3,6,0,1,5.89,33,124,76,0.0,0.0,0,0,29,2,0,0,0,0,1,1,2,Chris Guccione,"M.Hendrickson (20-60-L), R.Lugo (1)"
22,23,23,Apr 28,,BOS,"W,5-2",9.0,7,2,2,0,9,4,0,2,5.72,43,166,83,5.0,0.0,0,0,32,2,1,0,0,0,0,2,5,Bruce Froemming,"C.Fossum (4-63-W), C.Orvella (1), S.Camp (1), D.Miceli (1-H), T.Walker (9-Sv)"
23,24,24,Apr 29,,BOS,"L,6-9",9.0,10,9,9,0,7,6,1,1,5.86,45,175,103,7.0,4.0,0,0,35,2,1,0,0,2,0,0,5,Mike Winters,"D.Waechter (5-49), T.Harper (2-BSv), R.Lugo (1), T.Walker (0-BL), D.Miceli (0)"
24,25,25,Apr 30,,BOS,"W,5-4",9.0,7,4,3,1,2,11,3,1,5.74,38,156,98,1.0,0.0,2,0,34,3,0,0,0,1,1,0,4,Brian Runge,"S.Kazmir (4-70-W), C.Orvella (1-H), T.Walker (0), S.Camp (1-Sv)"
25,26,26,May 1,,TEX,"L,0-3",9.0,6,3,3,0,4,3,1,0,5.63,35,132,86,1.0,1.0,0,0,30,2,1,0,0,1,0,1,3,Wally Bell,"S.McClung (4-60-L), R.Lugo (1), B.Meadows (5)"
26,27,27,May 2,,TEX,"L,5-7",9.0,11,7,7,0,3,5,3,0,5.68,39,133,83,0.0,0.0,0,1,35,4,0,0,1,0,0,1,3,Mark Carlson,"M.Hendrickson (4-32-L), T.Harper (2), D.Miceli (2)"
27,28,28,May 3,,NYY,"L,2-4",10.0,9,4,4,0,6,5,0,1,5.6,42,162,94,4.0,4.0,0,1,35,2,0,0,0,0,0,3,5,Ed Hickox,"C.Fossum (4-55), C.Orvella (2-BSv), S.Camp (2), T.Walker (2-L), R.Lugo (1)"
28,29,29,May 4,,NYY,"L,5-10",9.0,10,10,9,1,6,4,2,1,5.72,45,150,84,6.0,3.0,0,0,37,2,0,1,1,0,1,0,6,Doug Eddings,"D.Waechter (4-39), B.Meadows (2), C.Orvella (0-BL), S.Camp (0), D.Miceli (1), R.Lugo (0)"
29,30,30,May 5,@,OAK,"W,3-1",9.0,11,1,1,0,4,7,0,0,5.56,41,175,109,5.0,0.0,0,0,36,3,0,0,0,1,0,1,4,Chuck Meriwether,"S.Kazmir (4-49-W), T.Harper (2-H), S.Camp (0-H), T.Walker (1-Sv)"
30,31,31,May 6,@,OAK,"L,2-3",8.2,9,3,2,1,4,4,0,0,5.45,37,146,94,3.0,1.0,1,0,32,3,0,0,0,1,1,1,4,Brian O'Nora,"S.McClung (4-48), B.Meadows (1), C.Orvella (1-L), T.Walker (0)"
