,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 6,@,FLA,"L,6-12",8.0,12,12,11,1,4,6,4,0,12.38,42,170,93,3.0,3.0,3,0,36,4,0,0,2,0,2,0,5,Gerry Davis,"J.Lannan (99-24-L), J.Tavarez (99), W.Ledezma (99), S.Shell (99), M.Hinckley (99)"
1,2,2,Apr 7,@,FLA,"L,3-8",8.0,9,8,8,0,5,8,2,0,10.69,38,128,78,0.0,0.0,1,0,33,1,2,0,0,0,1,1,4,Brian Gorman,"S.Olsen (99-10-L), J.Tavarez (0), J.Beimel (99), J.Hanrahan (99)"
2,3,3,Apr 8,@,FLA,"L,4-6",8.0,10,6,6,0,4,4,0,1,9.38,37,126,75,3.0,1.0,1,0,30,1,0,1,2,0,0,2,4,CB Bucknor,"D.Cabrera (99-40-L), M.Hinckley (1), S.Rivera (99), J.Beimel (0)"
3,4,4,Apr 10,@,ATL,"L,5-6",9.1,14,6,6,0,5,7,1,1,8.37,46,152,94,3.0,0.0,0,0,38,4,0,1,1,1,0,1,7,Mike Reilly,"S.Martis (99-37), W.Ledezma (3), J.Tavarez (2), S.Shell (3), M.Hinckley (1), S.Rivera (1), J.Beimel (1-L)"
4,5,5,Apr 11,@,ATL,"L,3-5",8.0,11,5,5,0,4,4,1,1,7.84,39,131,77,1.0,0.0,0,0,34,3,0,0,0,0,0,1,4,Chuck Meriwether,"J.Lannan (4-38-L), M.Hinckley (0), J.Tavarez (0), J.Hanrahan (3)"
5,6,6,Apr 12,@,ATL,"L,5-8",8.0,11,8,8,0,3,6,0,0,8.03,36,129,77,1.0,1.0,1,0,33,3,2,0,0,0,0,1,4,Eric Cooper,"S.Olsen (4-35-L), S.Shell (1), S.Rivera (1), W.Ledezma (1)"
6,7,7,Apr 13,,PHI,"L,8-9",9.0,10,9,6,3,3,7,3,2,7.71,43,164,102,1.0,0.0,0,0,36,3,0,0,0,2,2,1,6,Bill Miller,"D.Cabrera (4-45), J.Tavarez (1), M.Hinckley (1), S.Rivera (0-L), W.Ledezma (0), J.Beimel (2)"
7,8,8,Apr 16,,PHI,"W,8-2",9.0,5,2,2,0,2,3,0,0,6.95,34,124,73,0.0,0.0,0,0,29,1,0,0,2,1,0,0,4,Adrian Johnson,"S.Martis (5-54-W), M.Hinckley (2-H), J.Beimel (2-H), J.Hanrahan (4)"
8,9,9,Apr 17,,FLA,"L,2-3",10.0,10,3,3,0,2,11,2,2,6.4,43,182,115,1.0,0.0,0,1,39,2,0,0,0,0,1,1,6,Tim Timmons,"J.Lannan (5-70), J.Tavarez (3-H), M.Hinckley (0-H), J.Beimel (0-H), J.Hanrahan (0-BSv), S.Rivera (3-L)"
9,10,10,Apr 18,,FLA,"L,6-9",11.0,11,9,7,2,3,11,3,0,6.32,50,200,131,2.0,2.0,1,0,47,2,0,0,0,0,3,0,5,Rob Drake,"S.Olsen (5-59), J.Beimel (0-H), J.Hanrahan (0-BSv), J.Tavarez (0-L), W.Ledezma (4)"
10,11,11,Apr 19,,FLA,"L,4-7",9.0,9,7,7,0,10,3,1,0,6.38,44,197,103,2.0,1.0,0,0,34,5,0,1,0,0,1,2,4,Jeff Kellogg,"D.Cabrera (5-49), S.Shell (6-H), M.Hinckley (1-BSv), S.Rivera (1-BL)"
11,12,12,Apr 20,,ATL,"W,3-2",9.0,6,2,2,0,3,4,1,0,6.01,33,102,68,0.0,0.0,0,0,30,2,1,0,0,0,0,2,5,Jim Wolf,"J.Zimmermann (99-54-W), K.Wells (99-H), J.Beimel (1-H), G.Mock (99-H), J.Hanrahan (1-Sv)"
12,13,13,Apr 21,,ATL,"W,4-3",9.0,9,3,2,1,5,3,0,0,5.7,38,126,74,1.0,0.0,0,0,32,3,0,1,1,0,0,1,4,Gary Cederstrom,"S.Martis (4-48-W), M.Hinckley (1-H), J.Tavarez (2-H), J.Hanrahan (0-Sv)"
13,14,14,Apr 22,,ATL,"L,0-1",9.0,6,1,1,0,5,5,0,0,5.36,38,132,80,5.0,1.0,1,0,33,1,0,1,0,0,0,0,4,Brian O'Nora,"J.Lannan (4-69), G.Mock (1-L), M.Hinckley (0), J.Tavarez (0)"
14,15,15,Apr 24,@,NYM,"L,3-4",8.0,11,4,3,1,7,4,0,0,5.24,41,154,88,3.0,0.0,0,0,33,3,2,2,1,0,1,1,3,Mike Everitt,"S.Olsen (5-46-L), J.Bergmann (99), K.Wells (3)"
15,16,16,Apr 25,@,NYM,"L,2-8",8.0,9,8,3,5,5,5,0,0,5.13,40,159,88,5.0,2.0,2,0,34,0,0,0,1,0,2,0,5,Gerry Davis,"D.Cabrera (5-30-L), J.Bergmann (0), S.Rivera (5), J.Tavarez (2), J.Hanrahan (3)"
16,17,17,Apr 26,@,NYM,"W,8-1",9.0,6,1,1,0,3,8,0,1,4.88,34,141,83,1.0,0.0,1,1,30,0,1,0,0,0,0,2,4,Brian Gorman,"J.Zimmermann (5-55-W), M.Hinckley (3), G.Mock (3), K.Wells (1)"
17,18,18,Apr 27,@,PHI,"L,11-13",8.0,14,13,13,0,6,7,2,1,5.38,43,154,88,4.0,2.0,0,0,35,5,0,0,0,1,0,1,6,Hunter Wendelstedt,"S.Martis (5-22), J.Tavarez (1-BSv), M.Hinckley (0), K.Wells (0), G.Mock (0), J.Hanrahan (1-BL)"
