,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,,CLE,"L,0-6",33,31,0,5,1,0,0,0,2,0,5,0,0,0,0,1,0,0,0.161,0.212,0.194,0.406,6,9,R,B.Colon(80)
1,2,2,Apr 2,,CLE,"W,7-5",36,32,7,8,3,1,0,6,4,1,7,0,0,0,1,0,4,0,0.206,0.275,0.302,0.577,5,10,L,C.Sabathia(46)
2,3,3,Apr 3,,CLE,"L,5-6",41,36,5,11,2,0,0,5,4,0,5,0,0,1,1,2,0,0,0.242,0.309,0.323,0.632,9,10,R,R.Drese(39)
3,4,4,Apr 5,@,TEX,"W,3-1",34,32,3,6,2,0,1,3,2,0,3,0,0,0,0,0,0,0,0.229,0.292,0.328,0.62,4,10,R,I.Valdez(66)
4,5,5,Apr 6,@,TEX,"W,6-3",42,36,6,9,3,0,2,6,5,1,6,1,0,0,1,0,0,1,0.234,0.306,0.365,0.672,9,10,R,H.Irabu(47)
5,6,6,Apr 8,,SEA,"L,4-5",38,33,4,7,1,0,0,3,5,1,7,0,0,0,0,1,1,0,0.23,0.308,0.345,0.653,7,12,R,P.Abbott(44)
6,7,7,Apr 9,,SEA,"L,1-5",32,29,1,4,1,0,0,1,1,0,7,0,1,1,0,0,0,0,0.218,0.29,0.323,0.613,4,10,L,J.Halama(63)
7,8,8,Apr 10,,SEA,"L,1-8",32,31,1,5,1,0,0,1,0,0,3,1,0,0,0,1,0,0,0.212,0.279,0.308,0.586,4,11,R,J.Baldwin(64)
8,9,9,Apr 11,,SEA,"L,4-8",37,35,4,10,1,0,0,4,0,0,4,0,0,2,1,1,2,0,0.22,0.278,0.308,0.586,6,9,R,F.Garcia(44)
9,10,10,Apr 12,,OAK,"L,1-5",34,33,1,9,2,0,0,1,1,0,6,0,0,0,0,2,0,1,0.226,0.279,0.311,0.59,6,9,R,T.Hudson(59)
10,11,11,Apr 13,,OAK,"L,2-7",34,31,2,4,0,0,1,2,2,0,3,1,0,0,0,0,0,0,0.217,0.273,0.304,0.577,5,11,R,E.Hiljus(52)
11,12,12,Apr 14,,OAK,"W,4-1",32,31,4,8,2,0,1,4,1,0,5,0,0,0,0,0,1,1,0.221,0.274,0.313,0.586,4,9,L,B.Zito(45)
