,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 3,@,PHI,"W,13-5",46,40,13,17,4,1,3,13,3,1,4,0,1,2,1,2,0,0,0.425,0.444,0.8,1.244,6,15,R,J.Lieber(12)
1,2,2,Apr 5,@,PHI,"W,4-3",44,35,4,9,0,0,2,4,9,0,5,0,0,0,0,1,2,0,0.347,0.427,0.627,1.054,13,12,R,B.Myers(42)
2,3,3,Apr 6,@,PHI,"W,4-2",42,38,4,10,1,0,0,4,2,0,8,2,0,0,2,1,2,0,0.319,0.397,0.513,0.91,11,14,R,C.Lidle(45)
3,4,4,Apr 7,@,CHC,"L,1-5",31,29,1,4,1,0,1,1,2,0,5,0,0,0,0,1,1,0,0.282,0.358,0.465,0.823,3,13,R,G.Maddux(60)
4,5,5,Apr 8,@,CHC,"L,2-3",38,33,2,5,1,0,0,1,5,1,8,0,0,0,2,0,1,1,0.257,0.34,0.411,0.751,9,15,R,C.Zambrano(61)
5,6,6,Apr 9,@,CHC,"L,4-8",36,32,4,9,1,0,1,4,2,0,6,1,1,0,0,1,1,1,0.261,0.34,0.411,0.751,5,17,L,S.Marshall(40)
6,7,7,Apr 10,,MIL,"W,6-4",40,31,6,8,2,0,2,6,6,1,2,1,1,1,1,0,0,0,0.261,0.347,0.424,0.771,10,11,R,T.Ohka(32)
7,8,8,Apr 12,,MIL,"W,8-3",34,30,8,7,1,0,0,7,2,0,4,1,0,1,0,0,1,0,0.257,0.341,0.407,0.748,2,12,R,D.Bush(28)
8,9,9,Apr 13,,MIL,"L,3-4",45,40,3,8,1,1,0,3,3,0,6,0,1,1,1,0,1,0,0.25,0.33,0.39,0.719,9,19,L,D.Davis(53)
9,10,10,Apr 14,,CIN,"L,0-1",34,29,0,5,1,0,0,0,3,0,7,0,2,0,0,1,1,0,0.243,0.323,0.374,0.697,7,13,R,A.Harang(72)
10,11,11,Apr 15,,CIN,"W,9-3",40,34,9,11,3,0,3,9,5,0,5,0,1,0,1,0,0,0,0.251,0.331,0.402,0.733,7,14,L,D.Williams(22)
11,12,12,Apr 16,,CIN,"W,8-7",39,35,8,13,1,1,4,8,4,1,3,0,0,0,0,1,1,1,0.261,0.34,0.436,0.776,7,17,R,B.Arroyo(35)
12,13,13,Apr 17,@,PIT,"W,2-1",38,35,2,8,2,0,1,2,2,0,6,1,0,0,1,0,1,0,0.259,0.336,0.431,0.767,9,11,L,P.Maholm(52)
