,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Mar 31,@,ARI,"W,9-8",41,38,9,12,3,0,2,9,2,0,6,0,1,0,0,0,0,0,0.316,0.35,0.553,0.903,5,16,R,B.McCarthy(45)
1,2,2,Apr 1,@,ARI,"L,4-5",36,34,4,7,2,0,1,4,2,0,9,0,0,0,0,0,0,0,0.264,0.303,0.458,0.761,5,15,L,W.Miley(53)
2,3,3,Apr 2,@,ARI,"W,2-0",37,32,2,6,1,0,0,2,4,0,6,0,1,0,0,0,1,0,0.24,0.295,0.385,0.679,8,13,R,T.Cahill(56)
3,4,4,Apr 3,@,ARI,"W,8-5",41,34,8,9,3,0,3,8,5,1,5,0,1,1,0,0,1,0,0.246,0.309,0.442,0.751,6,18,R,B.Arroyo(46)
4,5,5,Apr 4,@,LAD,"W,8-4",39,35,8,8,3,0,0,8,4,1,12,0,0,0,1,0,0,1,0.243,0.309,0.416,0.725,4,15,L,H.Ryu(11)
5,6,6,Apr 5,@,LAD,"W,7-2",42,35,7,11,3,0,3,7,6,0,5,0,1,0,0,2,0,0,0.255,0.328,0.457,0.784,8,14,L,P.Maholm(28)
6,7,7,Apr 6,@,LAD,"L,2-6",35,35,2,8,0,0,2,2,0,0,16,0,0,0,0,0,0,0,0.251,0.315,0.449,0.763,6,13,R,Z.Greinke(60)
7,8,8,Apr 8,,ARI,"W,7-3",36,33,7,10,2,0,1,7,3,1,12,0,0,0,0,1,1,0,0.257,0.32,0.449,0.769,5,12,R,T.Cahill(29)
8,9,9,Apr 9,,ARI,"L,3-7",38,34,3,9,0,0,2,3,2,0,6,1,1,0,0,1,1,0,0.258,0.321,0.448,0.769,8,16,R,B.Arroyo(44)
9,10,10,Apr 10,,ARI,"L,5-6",45,37,5,10,5,0,0,5,7,1,5,0,1,0,0,2,0,0,0.259,0.328,0.444,0.772,10,20,R,R.Delgado(33)
10,11,11,Apr 11,,COL,"W,6-5",35,29,6,6,2,1,1,6,2,0,11,2,1,1,0,0,0,0,0.255,0.325,0.444,0.77,5,15,L,J.De La Rosa(35)
11,12,12,Apr 12,,COL,"L,0-1",33,29,0,3,2,0,0,0,4,0,8,0,0,0,0,1,0,0,0.244,0.317,0.425,0.742,6,12,L,B.Anderson(58)
12,13,13,Apr 13,,COL,"W,5-4",34,31,5,9,0,1,2,5,1,0,9,1,0,1,0,2,0,1,0.248,0.318,0.433,0.751,2,13,R,T.Chatwood(49)
13,14,14,Apr 15,,LAD,"W,3-2",54,41,3,12,1,0,0,3,9,1,9,1,2,1,1,2,1,1,0.252,0.328,0.423,0.751,16,21,R,J.Beckett(62)
14,15,15,Apr 16,,LAD,"W,2-1",34,28,2,7,0,0,0,2,5,1,4,0,1,0,1,3,0,0,0.251,0.33,0.414,0.744,8,15,L,P.Maholm(57)
15,16,16,Apr 17,,LAD,"L,1-2",37,34,1,6,1,0,0,1,3,0,6,0,0,0,0,0,1,0,0.247,0.325,0.401,0.725,9,15,L,H.Ryu(71)
16,17,17,Apr 18,@,SDP,"L,1-2",33,31,1,5,1,0,1,1,2,0,12,0,0,0,0,1,3,0,0.242,0.319,0.395,0.713,5,13,R,T.Ross(82)
17,18,18,Apr 19,@,SDP,"L,1-3",30,30,1,4,0,0,1,1,0,0,7,0,0,0,0,1,0,0,0.237,0.31,0.387,0.697,2,14,L,E.Stults(64)
18,19,19,Apr 20,@,SDP,"W,4-3",34,29,4,3,0,0,1,4,4,0,5,0,1,0,0,0,0,0,0.231,0.306,0.378,0.684,3,14,L,R.Erlin(50)
19,20,20,Apr 21,@,COL,"L,2-8",37,33,2,6,1,0,0,0,4,0,11,0,0,0,2,2,0,0,0.228,0.304,0.37,0.674,8,15,L,J.De La Rosa(55)
20,21,21,Apr 22,@,COL,"L,1-2",37,34,1,8,2,0,1,1,3,0,8,0,0,0,0,1,0,0,0.228,0.304,0.371,0.674,9,13,L,F.Morales(68)
21,22,22,Apr 23,@,COL,"W,12-10",53,44,12,14,2,0,6,12,8,2,9,0,1,0,0,1,0,1,0.234,0.311,0.395,0.706,8,18,R,T.Chatwood(39)
22,23,23,Apr 25,,CLE,"W,5-1",31,29,5,7,0,2,1,5,1,0,8,0,0,1,0,0,1,1,0.234,0.309,0.398,0.707,2,13,R,C.Carrasco(51)
23,24,24,Apr 26,,CLE,"W,5-3",32,29,5,6,1,0,1,5,1,0,10,1,0,1,0,0,1,0,0.233,0.307,0.396,0.703,3,16,R,Z.McAllister(46)
24,25,25,Apr 27,,CLE,"W,4-1",35,32,4,8,3,0,1,4,2,1,10,0,1,0,0,1,0,0,0.234,0.307,0.398,0.704,5,15,R,D.Salazar(70)
25,26,26,Apr 28,,SDP,"L,4-6",36,33,4,9,1,1,1,4,3,0,8,0,0,0,0,3,0,0,0.235,0.308,0.4,0.707,5,17,R,T.Ross(38)
26,27,27,Apr 29,,SDP,"W,6-0",36,32,6,9,1,0,2,6,2,1,3,1,0,1,1,1,0,0,0.237,0.309,0.403,0.712,6,15,L,E.Stults(23)
27,28,28,Apr 30,,SDP,"W,3-2",34,32,3,10,2,1,1,3,1,0,8,0,1,0,0,1,1,0,0.239,0.309,0.408,0.717,7,11,L,R.Erlin(50)
28,29,29,May 2,@,ATL,"W,2-1",36,32,2,8,0,0,2,2,2,0,9,0,2,0,0,1,0,0,0.24,0.309,0.409,0.718,7,15,L,M.Minor(54)
29,30,30,May 3,@,ATL,"W,3-1",32,31,3,4,0,0,3,3,1,0,8,0,0,0,0,0,0,0,0.236,0.304,0.409,0.714,2,14,R,J.Teheran(64)
30,31,31,May 4,@,ATL,"W,4-1",41,36,4,10,1,0,2,4,4,1,10,1,0,0,0,1,1,0,0.238,0.307,0.411,0.718,10,15,L,A.Wood(51)
31,32,32,May 5,@,PIT,"W,11-10",61,54,11,20,3,0,0,10,4,2,11,1,1,1,1,1,2,2,0.244,0.312,0.412,0.724,11,21,L,J.Locke(33)
32,33,33,May 6,@,PIT,"L,1-2",35,30,1,5,0,0,0,1,2,0,4,2,0,1,0,0,2,0,0.242,0.311,0.405,0.716,7,9,R,C.Morton(75)
33,34,34,May 7,@,PIT,"L,3-4",34,33,3,7,2,0,1,3,1,0,7,0,0,0,0,0,0,0,0.241,0.309,0.404,0.713,4,13,R,G.Cole(62)
34,35,35,May 8,@,LAD,"W,3-1",42,34,3,6,3,0,1,3,7,0,8,0,0,1,0,0,0,1,0.24,0.309,0.403,0.711,9,15,R,J.Beckett(61)
35,36,36,May 9,@,LAD,"W,3-1",36,31,3,6,0,0,1,3,4,1,3,1,0,0,0,2,1,0,0.238,0.309,0.4,0.708,6,13,L,P.Maholm(49)
36,37,37,May 10,@,LAD,"L,2-6",41,35,2,9,1,0,0,2,4,0,11,1,0,1,1,1,0,0,0.239,0.31,0.397,0.706,12,13,R,Z.Greinke(60)
37,38,38,May 11,@,LAD,"W,7-4",44,38,7,11,2,0,1,6,4,1,12,1,1,0,0,2,0,0,0.24,0.311,0.397,0.709,7,18,L,C.Kershaw(60)
38,39,39,May 12,,ATL,"W,4-2",33,33,4,9,0,1,1,4,0,0,9,0,0,0,1,0,2,1,0.241,0.311,0.398,0.709,5,13,R,G.Floyd(53)
39,40,40,May 13,,ATL,"L,0-5",35,32,0,5,4,0,0,0,3,0,9,0,0,0,0,0,0,0,0.239,0.309,0.395,0.704,8,14,L,M.Minor(72)
40,41,41,May 14,,ATL,"W,10-4",45,39,10,15,2,0,3,9,6,0,10,0,0,0,0,0,3,0,0.243,0.313,0.403,0.716,11,14,R,J.Teheran(27)
41,42,42,May 15,,MIA,"W,6-4",39,36,6,12,4,0,1,6,3,1,6,0,0,0,0,0,1,0,0.246,0.315,0.406,0.721,9,12,R,N.Eovaldi(21)
42,43,43,May 16,,MIA,"L,5-7",39,35,5,11,6,0,0,5,2,0,5,0,0,2,1,2,0,0,0.247,0.315,0.408,0.723,7,17,R,H.Alvarez(38)
43,44,44,May 17,,MIA,"L,0-5",36,33,0,6,1,1,0,0,3,0,9,0,0,0,0,0,0,0,0.246,0.314,0.405,0.719,9,13,R,T.Koehler(74)
44,45,45,May 18,,MIA,"W,4-1",34,30,4,7,0,0,1,4,2,0,10,1,0,1,0,0,1,0,0.246,0.314,0.404,0.717,6,14,R,J.Turner(50)
45,46,46,May 20,@,COL,"L,4-5",36,34,4,8,2,1,0,4,1,0,6,1,0,0,0,1,0,0,0.245,0.313,0.402,0.715,5,13,L,F.Morales(55)
