,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 6,@,BAL,"L,5-10",43,34,5,11,2,1,2,5,6,0,4,1,1,1,0,1,0,0,0.324,0.429,0.618,1.046,11,11,R,J.Guthrie(46)
1,2,2,Apr 8,@,BAL,"L,5-7",40,37,5,9,4,0,1,5,3,0,1,0,0,0,1,0,3,0,0.282,0.366,0.521,0.887,8,10,R,K.Uehara(52)
2,3,3,Apr 9,@,BAL,"W,11-2",43,40,11,13,3,0,3,9,3,0,5,0,0,0,1,1,1,0,0.297,0.368,0.559,0.927,5,11,R,A.Simon(44)
3,4,4,Apr 10,@,KCR,"W,4-1",37,33,4,7,2,0,0,4,3,0,11,0,1,0,0,0,0,0,0.278,0.348,0.493,0.841,6,10,R,S.Ponson(46)
4,5,5,Apr 11,@,KCR,"W,6-1",41,35,6,9,3,1,1,6,6,0,9,0,0,0,0,1,1,0,0.274,0.351,0.492,0.843,8,11,L,H.Ramirez(23)
5,6,6,Apr 12,@,KCR,"L,4-6",33,31,4,6,1,0,0,2,2,0,9,0,0,0,1,3,1,0,0.262,0.336,0.452,0.789,2,9,R,G.Meche(53)
6,7,7,Apr 13,@,TBR,"L,5-15",36,34,5,9,2,0,1,5,2,0,6,0,0,0,0,2,0,0,0.262,0.332,0.447,0.779,4,12,L,S.Kazmir(56)
7,8,8,Apr 14,@,TBR,"W,7-2",39,35,7,11,3,0,2,7,2,0,10,0,0,2,0,0,0,0,0.269,0.332,0.462,0.795,5,10,R,M.Garza(66)
8,9,9,Apr 15,@,TBR,"W,4-3",38,35,4,8,4,0,1,4,3,1,8,0,0,0,1,0,0,1,0.264,0.328,0.459,0.786,7,12,R,A.Sonnanstine(53)
9,10,10,Apr 16,,CLE,"L,2-10",44,34,2,9,1,0,1,2,8,0,6,2,0,0,0,2,0,0,0.264,0.339,0.451,0.79,15,11,L,C.Lee(55)
10,11,11,Apr 17,,CLE,"W,6-5",39,33,6,8,0,0,5,5,6,0,5,0,0,0,1,0,2,0,0.262,0.341,0.472,0.814,9,12,R,A.Reyes(43)
11,12,12,Apr 18,,CLE,"L,4-22",39,33,4,7,1,1,2,4,5,0,1,1,0,0,0,1,0,0,0.258,0.34,0.473,0.814,8,12,R,R.Hernandez(41)
12,13,13,Apr 19,,CLE,"W,7-3",36,32,7,9,4,0,1,7,3,1,7,1,0,0,0,1,1,0,0.26,0.342,0.475,0.817,5,11,R,C.Pavano(63)
13,14,14,Apr 21,,OAK,"W,5-3",39,35,5,12,1,0,1,5,4,0,8,0,0,0,0,0,1,0,0.266,0.347,0.474,0.821,10,10,L,D.Eveland(27)
14,15,15,Apr 22,,OAK,"W,9-7",62,55,9,17,3,0,4,9,7,1,7,0,0,0,1,1,0,1,0.271,0.351,0.485,0.836,13,11,L,B.Anderson(31)
15,16,16,Apr 24,@,BOS,"L,4-5",52,41,4,13,3,0,0,4,8,0,9,1,1,1,0,3,2,0,0.274,0.357,0.478,0.835,15,11,L,J.Lester(54)
16,17,17,Apr 25,@,BOS,"L,11-16",50,42,11,15,3,0,3,9,8,1,7,0,0,0,1,0,2,0,0.279,0.364,0.489,0.854,12,11,R,J.Beckett(14)
17,18,18,Apr 26,@,BOS,"L,1-4",36,33,1,7,0,0,0,1,1,0,7,0,1,1,1,0,0,0,0.276,0.358,0.475,0.833,8,10,R,J.Masterson(55)
18,19,19,Apr 27,@,DET,"L,2-4",36,36,2,10,1,0,0,1,0,0,10,0,0,0,0,1,0,0,0.276,0.354,0.467,0.821,7,10,R,J.Verlander(72)
19,20,20,Apr 28,@,DET,"W,11-0",45,37,11,12,0,1,2,10,6,0,4,0,1,1,1,1,1,0,0.279,0.357,0.47,0.828,7,12,R,E.Jackson(67)
20,21,21,Apr 29,@,DET,"W,8-6",44,36,8,9,2,0,2,8,8,1,2,0,0,0,0,0,1,0,0.277,0.359,0.47,0.829,9,11,R,R.Porcello(23)
21,22,22,Apr 30,,LAA,"W,7-4",39,34,7,12,3,0,1,6,5,1,3,0,0,0,0,2,1,0,0.281,0.362,0.473,0.835,8,10,R,A.Ortega(43)
22,23,23,May 1,,LAA,"W,10-9",42,35,10,12,1,0,1,10,5,0,3,1,0,1,0,0,1,0,0.283,0.365,0.472,0.837,8,11,R,J.Weaver(47)
23,24,24,May 2,,LAA,"L,4-8",38,32,4,4,1,0,1,3,5,0,5,1,0,0,1,0,1,0,0.277,0.361,0.464,0.825,7,11,R,M.Palmer(63)
24,25,25,May 4,,BOS,"L,4-6",41,36,4,9,0,0,3,4,4,0,13,1,0,0,0,0,2,0,0.276,0.36,0.465,0.826,10,11,L,J.Lester(61)
25,26,26,May 5,,BOS,"L,3-7",37,36,3,10,2,0,1,3,1,0,8,0,0,0,1,1,0,0,0.276,0.358,0.464,0.822,7,10,R,J.Beckett(44)
26,27,27,May 6,,TBR,"L,3-4",40,37,3,9,5,0,0,3,2,0,6,0,1,0,0,1,0,0,0.275,0.355,0.46,0.816,7,10,R,A.Sonnanstine(62)
