,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 4,,CLE,"W,1-0",29,28,1,4,1,0,0,1,1,0,3,0,0,0,1,1,1,0,0.143,0.172,0.179,0.351,4,10,R,J.Westbrook(72)
1,2,2,Apr 6,,CLE,"W,4-3",36,31,4,9,3,0,2,4,3,1,3,0,1,1,1,2,1,0,0.22,0.266,0.39,0.655,7,10,R,K.Millwood(63)
2,3,3,Apr 7,,CLE,"L,5-11",45,43,5,11,2,0,1,5,1,0,10,0,0,1,1,0,1,1,0.235,0.266,0.382,0.648,7,12,L,C.Lee(27)
3,4,4,Apr 8,@,MIN,"W,5-1",39,36,5,11,2,0,2,5,2,0,3,0,1,0,1,1,2,1,0.254,0.286,0.42,0.706,7,9,R,K.Lohse(39)
4,5,5,Apr 9,@,MIN,"W,8-5",36,35,8,8,1,0,3,7,0,0,2,0,0,1,1,0,0,0,0.249,0.273,0.439,0.713,1,9,R,B.Radke(41)
5,6,6,Apr 10,@,MIN,"L,2-5",37,32,2,8,2,0,0,2,2,0,14,0,1,2,0,0,1,0,0.249,0.274,0.42,0.693,8,11,L,J.Santana(65)
6,7,7,Apr 11,@,CLE,"W,2-1",35,33,2,6,0,0,0,2,1,0,6,1,0,0,1,0,2,1,0.239,0.268,0.387,0.654,6,10,R,K.Millwood(59)
7,8,8,Apr 13,@,CLE,"W,5-4",38,36,5,9,3,0,0,5,0,0,4,0,1,1,0,1,0,1,0.241,0.265,0.38,0.644,3,10,L,C.Lee(48)
8,9,9,Apr 14,@,CLE,"L,6-8",42,38,6,12,2,0,1,5,3,0,4,0,0,1,1,0,1,0,0.25,0.276,0.388,0.664,9,13,R,S.Elarton(28)
9,10,10,Apr 15,,SEA,"W,6-4",36,31,6,9,0,1,2,6,4,0,9,0,0,1,0,1,1,0,0.254,0.285,0.402,0.687,6,9,R,J.Pineiro(36)
10,11,11,Apr 16,,SEA,"W,2-1",28,28,2,4,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0.245,0.275,0.402,0.676,2,9,R,R.Franklin(69)
11,12,12,Apr 17,,SEA,"L,4-5",36,32,4,8,2,0,1,4,2,0,4,0,1,1,0,0,0,1,0.246,0.275,0.402,0.677,5,11,R,G.Meche(54)
12,13,13,Apr 18,,MIN,"W,5-4",30,30,5,7,0,0,3,5,0,0,2,0,0,0,0,0,0,0,0.245,0.273,0.411,0.684,1,9,R,K.Lohse(40)
13,14,14,Apr 19,,MIN,"W,3-1",32,30,3,11,1,0,1,3,0,0,5,0,1,1,0,0,0,1,0.253,0.278,0.417,0.695,5,9,R,B.Radke(53)
14,15,15,Apr 20,@,DET,"W,9-1",40,36,9,12,1,0,2,8,3,0,8,0,0,1,1,0,2,2,0.259,0.285,0.425,0.71,4,12,L,W.Ledezma(28)
15,16,16,Apr 21,@,DET,"W,4-3",38,34,4,9,2,0,0,4,3,0,7,0,1,0,0,1,0,0,0.259,0.288,0.418,0.706,7,9,R,J.Bonderman(45)
16,17,17,Apr 22,@,KCR,"W,8-2",47,38,8,12,3,0,0,6,7,0,5,1,0,1,0,0,4,0,0.263,0.298,0.417,0.715,12,10,R,R.Hernandez(39)
