,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Mar 31,,CLE,"L,0-6",9.0,11,6,6,0,3,9,1,0,6.0,38,151,90,0.0,0.0,0,0,35,1,0,0,0,0,0,2,4,Tim McClelland,"J.Washburn (99-36-L), D.Wall (99), L.Pote (99), M.Lukasiewicz (99)"
1,2,2,Apr 2,,CLE,"W,7-5",9.0,6,5,3,2,5,4,1,1,4.5,37,161,95,0.0,0.0,1,1,30,1,1,0,0,1,1,2,4,Ted Barrett,"K.Appier (99-45), B.Weber (99-W), A.Levine (99-H), T.Percival (99-Sv)"
2,3,3,Apr 3,,CLE,"L,5-6",9.0,11,6,6,0,6,5,1,1,5.0,43,164,92,1.0,0.0,0,0,35,3,0,1,0,1,0,1,4,Brian Runge,"A.Sele (99-34-L), M.Lukasiewicz (2), D.Wall (2), A.Levine (0)"
3,4,4,Apr 5,@,TEX,"W,3-1",9.0,5,1,1,0,1,6,0,0,4.0,32,105,68,1.0,0.0,0,0,30,2,0,0,0,1,1,2,2,Dan Iassogna,"S.Schoeneweis (99-74-W), A.Levine (1-Sv)"
4,5,5,Apr 6,@,TEX,"W,6-3",9.0,5,3,3,0,8,4,2,0,3.8,39,151,84,4.0,1.0,1,0,31,0,0,0,0,0,0,1,4,Gerry Davis,"R.Ortiz (99-59-W), M.Lukasiewicz (2), B.Weber (3-H), A.Levine (0-Sv)"
5,6,6,Apr 8,,SEA,"L,4-5",9.0,15,5,5,0,3,10,2,0,4.0,42,172,106,5.0,1.0,2,1,37,4,0,0,1,1,0,1,5,Mark Hirschbeck,"J.Washburn (7-52), D.Wall (4-H), B.Weber (1-BL), M.Lukasiewicz (1), A.Levine (1)"
6,7,7,Apr 9,,SEA,"L,1-5",9.0,9,5,4,1,3,9,1,0,4.0,36,145,81,2.0,0.0,1,1,33,2,0,0,0,0,0,0,4,Paul Schrieber,"K.Appier (6-63-L), M.Lukasiewicz (0), B.Donnelly (99), L.Pote (8)"
7,8,8,Apr 10,,SEA,"L,1-8",9.0,11,8,8,0,2,3,2,1,4.5,40,146,99,0.0,0.0,0,0,33,2,0,0,0,4,0,1,4,Jim Reynolds,"A.Sele (6-21-L), D.Cook (99), B.Donnelly (0), L.Pote (0)"
8,9,9,Apr 11,,SEA,"L,4-8",9.0,8,8,8,0,4,4,1,2,4.89,40,142,83,3.0,3.0,0,0,34,3,0,1,0,0,0,0,3,Matt Hollowell,"S.Schoeneweis (5-24-L), D.Wall (2), L.Pote (0)"
9,10,10,Apr 12,,OAK,"L,1-5",9.0,10,5,5,0,4,4,1,0,4.9,40,157,104,3.0,1.0,0,0,36,2,0,0,0,0,0,1,4,Tim Timmons,"R.Ortiz (5-47-L), D.Cook (1), B.Weber (3), B.Donnelly (1)"
