,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,1,1,Apr 3,@,ANA,"W,3-2",9.0,10,2,2,0,5,6,1,0,2.0,40,147,86,0.0,0.0,0,1,35,1,0,0,0,0,0,0,3,Tim McClelland,"O.Hernandez (99-58-W), J.Nelson (99-H), M.Rivera (99-Sv)"
1,2,2,Apr 4,@,ANA,"W,5-3",9.0,10,3,0,3,6,9,0,0,1.0,42,151,90,2.0,0.0,1,0,36,0,0,0,0,0,1,2,4,Terry Craft,"R.Clemens (99-54), M.Stanton (99), R.Mendoza (99-W), M.Rivera (0-Sv)"
2,3,3,Apr 5,@,ANA,"L,6-12",8.0,12,12,12,0,8,4,1,1,4.85,44,151,83,5.0,2.0,1,0,33,4,0,0,0,2,0,0,4,Paul Schrieber,"D.Cone (99-14-L), A.Watson (99), T.Erdos (99), J.Grimsley (99)"
3,4,4,Apr 7,@,SEA,"L,5-7",8.0,12,7,7,0,5,9,2,0,5.56,41,165,94,0.0,0.0,3,0,35,2,0,1,0,1,0,0,3,Tony Randazzo,"A.Pettitte (99-35-L), R.Mendoza (2), M.Stanton (2)"
4,5,5,Apr 8,@,SEA,"W,3-2",9.0,5,2,2,0,2,10,1,1,4.81,36,140,89,2.0,0.0,0,0,32,1,0,1,1,0,2,1,5,Ed Montague,"O.Hernandez (4-68), J.Grimsley (2), M.Stanton (0), J.Nelson (4-W), M.Rivera (3-Sv)"
5,6,6,Apr 9,@,SEA,"L,3-9",8.0,9,9,3,6,6,6,1,0,4.59,38,157,82,0.0,0.0,1,1,30,2,0,0,1,1,1,1,3,Jerry Layne,"R.Clemens (4-43-L), T.Erdos (3), A.Watson (3)"
6,7,7,Apr 12,,TEX,"W,8-6",9.0,10,6,5,1,7,8,0,1,4.65,42,168,99,4.0,4.0,0,1,33,2,0,0,1,0,1,3,5,Tim Timmons,"D.Cone (6-34), J.Grimsley (3-BSv), M.Stanton (3), J.Nelson (3-BW), M.Rivera (3-Sv)"
7,8,8,Apr 13,,TEX,"W,5-1",9.0,4,1,0,1,2,5,0,0,4.04,34,131,80,0.0,0.0,1,0,32,1,0,0,0,0,2,1,2,Brian Gorman,"O.Hernandez (4-76-W), M.Stanton (0)"
8,9,9,Apr 14,,KCR,"W,7-5",9.0,9,5,5,0,5,7,1,1,4.15,41,179,103,1.0,0.0,1,1,35,2,0,0,0,0,1,1,3,Charlie Williams,"R.Clemens (4-37-W), J.Nelson (1-H), M.Rivera (1-Sv)"
9,10,10,Apr 15,,KCR,"W,7-1",9.0,2,1,1,0,0,5,0,0,3.83,29,103,77,1.0,0.0,0,0,29,1,0,0,0,0,0,0,3,John Hirschbeck,"R.Mendoza (7-71-W), D.Einertson (99), A.Watson (5)"
10,11,11,Apr 16,,KCR,"W,8-4",9.0,9,4,4,0,4,6,1,0,3.84,39,126,80,1.0,0.0,2,0,35,1,0,0,0,0,0,1,4,Mark Wegner,"J.Grimsley (3-47), D.Einertson (0-H), J.Nelson (1-BW), M.Stanton (2)"
11,12,12,Apr 17,@,TEX,"W,5-4",11.0,11,4,4,0,3,6,1,1,3.79,45,195,118,3.0,0.0,1,1,38,2,0,0,3,0,0,2,6,Jeff Kellogg,"D.Cone (4-59), J.Nelson (0), M.Stanton (0), M.Rivera (2-W), A.Watson (1), T.Erdos (7-Sv)"
12,13,13,Apr 18,@,TEX,"W,6-3",9.0,8,3,3,0,1,5,1,0,3.72,36,119,84,,,0,0,34,2,0,0,0,1,0,0,1,Eric Cooper,O.Hernandez (4-63-W)
13,14,14,Apr 19,@,TEX,"W,5-4",10.0,7,4,4,0,3,6,2,1,3.71,40,129,80,2.0,1.0,1,0,35,3,0,0,1,0,0,1,3,Laz Diaz,"R.Clemens (4-64), J.Nelson (1-H), M.Rivera (1-BW)"
14,15,15,Apr 21,@,TOR,"L,3-8",8.0,12,8,8,0,2,2,1,3,4.03,40,128,87,2.0,0.0,0,0,34,4,1,0,0,1,0,1,5,Bill Miller,"R.Mendoza (5-25-L), T.Erdos (3), M.Stanton (3), D.Einertson (4), A.Watson (3)"
15,16,16,Apr 22,@,TOR,"L,2-8",8.0,10,8,7,1,0,7,3,1,4.25,35,131,83,0.0,0.0,0,0,34,2,0,0,0,0,1,1,4,Brian Runge,"D.Cone (4-15-L), J.Grimsley (5), A.Watson (0), D.Einertson (0)"
16,17,17,Apr 23,@,TOR,"W,10-7",9.0,8,7,7,0,2,12,4,0,4.41,39,129,89,2.0,0.0,0,0,37,1,0,0,0,0,2,0,4,Richard Shulock,"O.Hernandez (4-37-W), M.Stanton (1-H), J.Nelson (3-H), M.Rivera (3-Sv)"
17,18,18,Apr 24,,MIN,"L,3-7",9.0,6,7,6,1,5,12,0,0,4.5,37,145,89,1.0,0.0,0,2,30,3,0,0,0,2,1,0,3,Andy Fletcher,"R.Clemens (4-49-L), M.Stanton (0), J.Nelson (0)"
18,19,19,Apr 25,,MIN,"L,1-6",9.0,10,6,6,0,3,5,2,0,4.58,39,148,89,2.0,1.0,0,0,36,1,0,0,0,0,0,0,3,Dan Morrison,"R.Mendoza (3-33-L), J.Grimsley (2), E.Yarnall (99)"
19,20,20,Apr 26,,MIN,"W,2-0",9.0,5,0,0,0,2,9,0,0,4.35,32,141,91,1.0,0.0,0,1,30,0,0,0,0,0,1,2,4,Jim McKean,"A.Pettitte (18-64), J.Nelson (1-W), M.Stanton (1-H), M.Rivera (2-Sv)"
20,21,21,Apr 28,,TOR,"W,6-0",9.0,3,0,0,0,2,8,0,1,4.14,33,118,76,0.0,0.0,1,0,30,0,0,0,0,0,1,1,3,Jim Joyce,"D.Cone (5-74-W), J.Nelson (1), M.Stanton (1)"
21,22,22,Apr 29,,TOR,"L,2-6",9.0,14,6,5,1,2,7,0,0,4.18,42,168,103,3.0,1.0,1,0,37,3,0,0,1,2,0,0,4,Rich Rieker,"O.Hernandez (5-42-L), M.Stanton (0), J.Grimsley (3), T.Erdos (7)"
22,23,23,Apr 30,,TOR,"W,7-1",9.0,9,1,1,0,2,8,0,1,4.04,38,149,88,0.0,0.0,0,0,35,1,0,0,0,0,0,1,3,Paul Emmel,"R.Clemens (5-65-W), J.Nelson (1), M.Stanton (0)"
23,24,24,May 1,@,CLE,"W,2-1",9.0,7,1,1,0,3,6,1,0,3.91,35,150,94,1.0,0.0,1,1,31,1,0,0,1,0,0,0,4,Phil Cuzzi,"R.Mendoza (5-61-W), M.Stanton (0-H), J.Nelson (0-H), M.Rivera (4-Sv)"
24,25,25,May 2,@,CLE,"W,4-2",9.0,6,2,1,1,2,6,0,0,3.79,36,165,102,1.0,0.0,0,0,34,0,0,0,0,0,1,0,3,Terry Craft,"A.Pettitte (5-63-W), J.Nelson (0-H), M.Rivera (0-Sv)"
