,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Mar 31,,WSN,"L,6-11",9.0,12,11,10,1,4,4,1,2,10.0,46,162,105,1.0,1.0,0,0,39,6,0,0,0,1,1,0,6,Jerry Crawford,"B.Myers (99-43), R.Madson (99), C.Durbin (99), J.Romero (99), T.Gordon (99-L), C.Condrey (99)"
1,1,2,2,Apr 2,,WSN,"L,0-1",9.0,6,1,1,0,2,7,1,0,5.5,36,114,79,1.0,0.0,0,0,34,0,0,0,0,0,1,0,3,Tom Hallion,"C.Hamels (99-72-L), C.Durbin (1), J.Romero (1)"
2,2,3,3,Apr 3,,WSN,"W,8-7",10.0,14,7,4,3,4,7,0,0,4.82,48,181,112,3.0,1.0,0,1,44,5,0,0,0,0,3,2,7,Brian O'Nora,"J.Moyer (99-27), C.Durbin (0), R.Seanez (99), R.Madson (2-H), J.Romero (0-BSv), T.Gordon (2), C.Condrey (2-W)"
3,3,4,4,Apr 4,@,CIN,"W,8-4",9.0,9,4,4,0,2,4,0,0,4.62,37,151,96,1.0,0.0,0,0,34,3,0,0,0,1,0,1,4,Marvin Hudson,"K.Kendrick (99-34-W), R.Madson (0-H), R.Seanez (0-H), J.Romero (0)"
4,4,5,5,Apr 5,@,CIN,"L,3-4",8.1,7,4,4,0,6,3,1,0,4.57,35,120,76,2.0,0.0,1,1,27,1,0,1,1,1,0,2,3,Randy Marsh,"A.Eaton (99-53), T.Gordon (1), C.Durbin (1-L)"
5,5,6,6,Apr 6,@,CIN,"L,2-8",8.0,12,8,8,0,5,5,2,0,5.23,40,154,91,0.0,0.0,0,0,34,3,0,1,1,0,0,1,3,Mike Winters,"B.Myers (5-36-L), C.Condrey (2), B.Lidge (99)"
6,6,7,7,Apr 7,@,CIN,"W,5-3",9.0,5,3,1,2,5,6,0,0,4.62,38,133,84,0.0,0.0,2,0,33,2,0,1,0,0,1,0,3,Hunter Wendelstedt,"C.Hamels (4-62-W), T.Gordon (1-H), B.Lidge (0-Sv)"
7,7,8,8,Apr 8,@,NYM,"W,5-2",9.0,7,2,2,0,4,3,1,1,4.29,37,135,85,0.0,0.0,0,0,32,2,0,1,0,0,0,2,4,Doug Eddings,"J.Moyer (4-54-W), C.Durbin (2-H), J.Romero (3-H), T.Gordon (0-Sv)"
8,8,9,9,Apr 9,@,NYM,"L,2-8",8.0,5,8,2,6,9,4,0,0,4.08,41,151,82,2.0,2.0,0,0,31,2,0,0,1,0,4,1,4,Lance Barksdale,"K.Kendrick (4-27-L), C.Durbin (0), C.Condrey (2), R.Seanez (4)"
9,9,10,10,Apr 10,@,NYM,"L,3-4",11.2,9,4,4,0,5,11,0,0,3.96,47,184,112,0.0,0.0,3,1,41,3,0,1,1,0,0,1,6,Ted Barrett,"A.Eaton (4-53), R.Madson (5), J.Romero (1), B.Lidge (2), R.Seanez (0), T.Gordon (1-L)"
10,10,11,11,Apr 11,,CHC,"W,5-3",9.0,6,3,3,0,0,6,3,0,3.87,33,127,86,0.0,0.0,0,0,33,1,0,0,0,0,0,0,2,Chuck Meriwether,"B.Myers (4-65-W), B.Lidge (0-Sv)"
11,11,12,12,Apr 12,,CHC,"W,7-1",9.0,3,1,1,0,3,6,0,0,3.63,33,146,95,0.0,0.0,0,0,29,1,0,0,1,0,0,0,3,Adrian Johnson,"C.Hamels (4-78-W), R.Madson (1), C.Condrey (2)"
12,12,13,13,Apr 13,,CHC,"L,5-6",10.0,12,6,5,1,5,6,1,0,3.71,46,171,98,3.0,1.0,1,1,40,1,0,1,1,0,0,0,6,Bill Welke,"J.Moyer (4-34), C.Durbin (3), T.Gordon (2-H), J.Romero (2-BSv), B.Lidge (1), R.Seanez (2-L)"
13,13,14,14,Apr 15,,HOU,"W,4-3",9.0,9,3,3,0,4,4,0,0,3.66,39,147,94,0.0,0.0,1,0,34,0,0,0,0,1,0,1,3,Bill Miller,"A.Eaton (4-47), C.Durbin (1), R.Seanez (1-W)"
14,14,15,15,Apr 16,,HOU,"L,1-2",9.0,4,2,2,0,2,8,1,0,3.55,33,126,86,0.0,0.0,1,0,31,1,0,0,0,0,0,0,3,Paul Emmel,"K.Kendrick (6-65-L), J.Romero (2), R.Madson (3)"
15,15,16,16,Apr 17,,HOU,"W,10-2",9.0,8,2,2,0,1,10,2,0,3.45,35,142,95,0.0,0.0,1,0,34,1,0,0,0,0,0,0,3,Gary Darling,"B.Myers (5-70-W), T.Gordon (3), C.Condrey (4)"
16,16,17,17,Apr 18,,NYM,"L,4-6",9.0,11,6,4,2,4,5,0,0,3.48,42,138,90,3.0,3.0,1,0,37,3,1,1,0,1,1,0,3,Brian Runge,"C.Hamels (5-44-L), J.Romero (1), B.Lidge (4)"
17,17,18,18,Apr 19,,NYM,"L,2-4",9.0,9,4,4,0,3,1,1,0,3.51,36,125,78,0.0,0.0,1,1,33,2,0,0,0,0,0,2,3,Charlie Reliford,"J.Moyer (5-50-L), R.Madson (2), C.Durbin (3)"
18,18,19,19,Apr 20,,NYM,"W,5-4",9.0,9,4,4,0,4,7,0,0,3.54,40,166,98,1.0,1.0,2,0,36,2,1,0,0,0,0,0,4,Greg Gibson,"A.Eaton (4-42), C.Durbin (0-BSv), J.Romero (1-W), B.Lidge (1-Sv)"
19,19,20,20,Apr 21,@,COL,"W,9-5",9.0,9,5,5,0,5,7,2,0,3.61,40,151,95,0.0,0.0,3,1,34,3,0,0,1,0,3,3,5,CB Bucknor,"K.Kendrick (4-31), C.Condrey (3), R.Seanez (5-W), T.Gordon (3-H), B.Lidge (0)"
20,20,21,21,Apr 22,@,COL,"W,8-6",9.0,12,6,6,0,2,5,2,0,3.72,40,139,91,0.0,0.0,0,1,37,3,1,0,1,0,0,0,3,Joe West,"B.Myers (4-32), R.Madson (2-W), B.Lidge (0-Sv)"
21,21,22,22,Apr 23,@,MIL,"L,4-5",8.0,9,5,5,0,3,11,2,0,3.8,36,141,93,0.0,0.0,0,0,33,2,0,1,0,0,0,0,2,Rick Reed,"C.Hamels (4-50-L), C.Durbin (2)"
22,22,23,23,Apr 24,@,MIL,"W,3-1",9.0,9,1,1,0,4,6,0,0,3.68,36,140,84,2.0,0.0,1,2,32,3,0,0,0,0,0,1,5,Jeff Kellogg,"J.Moyer (4-53), T.Gordon (2-W), J.Romero (3-H), R.Madson (1-H), B.Lidge (1-Sv)"
