,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 1,@,NYY,"W,8-2",9.0,6,2,2,0,4,10,0,0,2.0,37,148,99,2.0,0.0,0,0,33,1,0,0,0,0,0,1,6,Ted Barrett,"J.Lester (99-54-W), K.Uehara (99-H), A.Miller (99-H), A.Bailey (99-H), J.Tazawa (99-H), J.Hanrahan (99)"
1,1,2,2,Apr 3,@,NYY,"W,7-4",9.0,9,4,4,0,2,5,2,1,3.0,38,135,89,1.0,1.0,1,0,35,0,0,0,0,0,0,1,4,Alfonso Marquez,"C.Buchholz (99-63-W), A.Miller (1), A.Aceves (99), J.Hanrahan (1-Sv)"
2,2,3,3,Apr 4,@,NYY,"L,2-4",8.0,8,4,4,0,4,9,2,0,3.46,33,138,83,0.0,0.0,0,2,29,2,0,0,0,0,0,0,3,Mike DiMuro,"R.Dempster (99-49-L), J.Tazawa (2), C.Mortensen (99)"
3,3,4,4,Apr 5,@,TOR,"W,6-4",9.0,12,4,4,0,2,11,2,0,3.6,40,150,96,1.0,0.0,0,0,37,5,1,0,0,1,0,1,5,James Hoye,"F.Doubront (99-43), K.Uehara (3-H), J.Tazawa (0-BW), A.Bailey (3-H), J.Hanrahan (1-Sv)"
4,4,5,5,Apr 6,@,TOR,"L,0-5",8.0,8,5,5,0,3,13,2,0,3.98,35,132,85,1.0,0.0,2,0,32,1,0,0,0,0,0,0,2,John Hirschbeck,"J.Lackey (99-52-L), A.Aceves (2)"
5,5,6,6,Apr 7,@,TOR,"W,13-0",9.0,7,0,0,0,0,10,0,1,3.29,35,135,89,0.0,0.0,0,0,34,0,0,0,0,0,0,0,2,Bob Davidson,"J.Lester (5-73-W), C.Mortensen (2)"
6,6,7,7,Apr 8,,BAL,"W,3-1",9.0,5,1,1,0,4,11,1,0,2.95,35,143,86,0.0,0.0,0,0,31,1,0,0,0,0,0,1,3,Ed Hickox,"C.Buchholz (4-75-W), A.Bailey (2-H), J.Hanrahan (2-Sv)"
7,7,8,8,Apr 10,,BAL,"L,5-8",9.0,6,8,6,2,5,14,3,0,3.34,39,175,107,0.0,0.0,1,0,34,0,0,0,0,0,1,0,6,Cory Blaser,"R.Dempster (5-58), K.Uehara (4), J.Tazawa (4-H), A.Bailey (1-H), J.Hanrahan (1-BL), A.Miller (6)"
8,8,9,9,Apr 11,,BAL,"L,2-3",9.0,9,3,3,0,6,7,1,0,3.3,40,147,88,3.0,1.0,0,0,34,2,0,1,0,0,0,1,6,Jim Joyce,"A.Aceves (4-48), C.Mortensen (3-L), A.Miller (0), K.Uehara (0), J.Tazawa (0), A.Wilson (99)"
9,9,10,10,Apr 13,,TBR,"W,2-1",10.0,6,1,1,0,3,7,0,0,3.03,38,144,89,2.0,0.0,1,0,35,2,0,0,0,0,0,1,5,Doug Eddings,"J.Lester (5-67), A.Bailey (2), J.Hanrahan (2), K.Uehara (1), J.Tazawa (1-W)"
10,10,11,11,Apr 14,,TBR,"W,5-0",9.0,3,0,0,0,4,12,0,0,2.76,32,124,78,0.0,0.0,2,0,28,1,0,0,0,0,0,2,2,John Tumpane,"C.Buchholz (5-85-W), A.Miller (2)"
11,11,12,12,Apr 15,,TBR,"W,3-2",9.0,4,2,2,0,2,13,1,0,2.69,32,139,88,0.0,0.0,2,0,30,0,0,0,0,0,0,1,3,Dana DeMuth,"R.Dempster (4-77), K.Uehara (1-H), A.Bailey (1-BW)"
12,12,13,13,Apr 16,@,CLE,"W,7-2",9.0,6,2,2,0,6,9,0,0,2.64,38,158,87,0.0,0.0,0,0,31,0,0,0,0,1,0,1,3,Laz Diaz,"F.Doubront (10-54-W), C.Mortensen (4), A.Wilson (4)"
13,13,14,14,Apr 17,@,CLE,"W,6-3",9.0,7,3,3,0,3,10,2,0,2.66,36,161,105,1.0,0.0,1,0,33,2,0,0,0,0,0,0,4,Tim Timmons,"A.Aceves (5-40-W), J.Tazawa (3-H), K.Uehara (1-H), A.Bailey (1-Sv)"
14,14,15,15,Apr 18,@,CLE,"W,6-3",9.0,6,3,3,0,2,8,0,0,2.69,34,162,101,2.0,1.0,0,0,32,3,0,0,0,0,0,1,4,Mike Winters,"J.Lester (4-65-W), A.Miller (3), K.Uehara (0-H), A.Bailey (0-Sv)"
15,15,16,16,Apr 20,,KCR,"W,4-3",9.0,10,3,3,0,2,7,1,0,2.71,37,126,82,0.0,0.0,2,0,34,3,1,0,1,0,0,2,2,Wally Bell,"C.Buchholz (5-63-W), A.Bailey (1-Sv)"
16,16,17,17,Apr 21(1),,KCR,"L,2-4",9.0,8,4,4,0,3,10,1,0,2.78,36,136,90,0.0,0.0,1,0,33,1,0,0,0,0,0,2,3,Larry Vanover,"R.Dempster (5-54-L), C.Mortensen (4), A.Wilson (4)"
17,17,18,18,Apr 21(2),,KCR,"L,4-5",10.0,9,5,4,1,3,12,3,1,2.83,42,162,105,0.0,0.0,0,1,38,1,0,0,0,0,0,0,5,Tony Randazzo,"A.Webster (99-56), J.Tazawa (3-H), K.Uehara (2-BSv), A.Bailey (0), A.Miller (2-L)"
18,18,19,19,Apr 22,,OAK,"W,9-6",9.0,5,6,6,0,8,11,0,1,3.0,41,170,97,3.0,0.0,1,0,31,3,0,0,0,1,0,0,5,Mike Estabrook,"F.Doubront (5-59-W), C.Mortensen (0), A.Wilson (0), J.Tazawa (0-H), A.Bailey (0-Sv)"
19,19,20,20,Apr 23,,OAK,"L,0-13",7.0,13,13,12,1,8,7,1,0,3.49,42,162,97,1.0,0.0,0,0,33,3,0,0,0,1,1,1,2,Hunter Wendelstedt,"A.Aceves (5-15-L), S.Wright (99)"
20,20,21,21,Apr 24,,OAK,"W,6-5",9.0,9,5,5,0,6,11,2,0,3.56,40,190,121,4.0,0.0,2,0,34,2,0,0,0,0,0,2,5,Jerry Layne,"J.Lester (5-44-W), J.Tazawa (1-H), A.Miller (2-H), K.Uehara (2-H), A.Bailey (1-Sv)"
21,21,22,22,Apr 25,,HOU,"W,7-2",9.0,7,2,2,0,2,11,0,0,3.49,34,131,77,1.0,0.0,1,0,32,2,0,0,0,0,0,2,3,Tim McClelland,"C.Buchholz (4-67-W), A.Miller (0), D.Bard (99)"
22,22,23,23,Apr 26,,HOU,"W,7-3",9.0,7,3,3,0,3,14,0,1,3.47,38,149,98,2.0,1.0,0,0,32,5,0,0,0,2,0,0,5,Jerry Meals,"R.Dempster (4-63-W), C.Mortensen (3), J.Tazawa (1-H), K.Uehara (1-H), A.Wilson (3)"
23,23,24,24,Apr 27,,HOU,"W,8-4",9.0,5,4,4,0,7,12,0,1,3.49,41,152,88,3.0,1.0,1,0,32,1,0,0,0,1,1,0,5,Marvin Hudson,"F.Doubront (4-58-W), J.Tazawa (0-H), D.Bard (1), A.Wilson (0), A.Miller (1)"
24,24,25,25,Apr 28,,HOU,"W,6-1",9.0,7,1,1,0,2,4,0,0,3.39,37,121,85,0.0,0.0,0,0,35,1,0,0,0,0,1,0,4,Jordan Baker,"J.Lackey (21-60-W), C.Mortensen (1), K.Uehara (1), A.Bailey (3)"
25,25,26,26,Apr 30,@,TOR,"L,7-9",8.0,9,9,8,1,3,7,2,1,3.58,37,141,81,0.0,0.0,1,0,32,2,0,0,1,0,0,0,3,Clint Fagan,"J.Lester (5-41), J.Tazawa (2-BL), J.Hanrahan (16)"
26,27,27,27,May 1,@,TOR,"W,10-1",9.0,4,1,1,0,5,11,0,0,3.49,34,149,91,2.0,0.0,0,0,29,0,1,0,0,0,0,1,3,Bruce Dreckman,"C.Buchholz (5-78-W), A.Wilson (3), C.Mortensen (2)"
27,28,28,28,May 2,@,TOR,"W,3-1",9.0,7,1,1,0,5,8,1,0,3.4,36,164,98,2.0,0.0,1,0,31,0,0,0,0,0,0,3,5,Gary Darling,"R.Dempster (5-61-W), A.Miller (4-H), J.Tazawa (1-H), K.Uehara (3-H), J.Hanrahan (1-Sv)"
28,29,29,29,May 3,@,TEX,"L,0-7",8.0,18,7,7,0,3,4,0,0,3.54,43,173,110,2.0,1.0,0,0,40,3,0,0,0,0,1,2,3,Mark Carlson,"F.Doubront (5-14-L), A.Wilson (1), C.Mortensen (1)"
29,30,30,30,May 4,@,TEX,"L,1-5",8.0,10,5,5,0,3,9,2,0,3.6,37,150,99,0.0,0.0,1,1,34,0,0,0,0,0,1,0,4,Gerry Davis,"J.Lackey (5-44-L), A.Miller (1), J.Tazawa (1), K.Uehara (1)"
