,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
0,0,1,1,Apr 4,,CLE,"W,1-0",9.0,2,0,0,0,1,6,0,0,0.0,28,115,75,0.0,0.0,0,0,27,0,0,0,0,0,0,2,2,Rick Reed,"M.Buehrle (99-82-W), S.Takatsu (99-Sv)"
1,1,2,2,Apr 6,,CLE,"W,4-3",9.0,8,3,3,0,5,10,0,0,1.5,41,161,90,1.0,1.0,3,0,36,4,0,2,0,0,1,0,4,Terry Craft,"F.Garcia (99-57), N.Cotts (99), L.Vizcaino (99), D.Marte (99-W)"
2,2,3,3,Apr 7,,CLE,"L,5-11",11.0,14,11,11,0,7,7,3,0,4.34,55,224,134,5.0,1.0,0,1,47,2,0,2,0,1,2,0,7,Ted Barrett,"J.Contreras (99-62), N.Cotts (0), C.Politte (99-H), D.Marte (0-H), D.Hermanson (99-H), S.Takatsu (2-BSv), L.Vizcaino (0-L)"
3,3,4,4,Apr 8,@,MIN,"W,5-1",9.0,8,1,1,0,0,8,0,1,3.55,35,133,89,0.0,0.0,0,0,34,3,0,0,0,0,0,1,2,Jim Wolf,"O.Hernandez (99-66-W), D.Hermanson (0)"
4,4,5,5,Apr 9,@,MIN,"W,8-5",9.0,14,5,5,0,1,5,2,0,3.83,40,141,95,1.0,0.0,0,0,39,5,0,0,0,0,0,1,4,Randy Marsh,"J.Garland (99-41-W), D.Marte (1), C.Politte (1), S.Takatsu (1-Sv)"
5,5,6,6,Apr 10,@,MIN,"L,2-5",8.0,7,5,5,0,3,4,1,0,4.09,35,110,75,0.0,0.0,2,0,31,1,0,0,1,0,2,1,2,Larry Vanover,"M.Buehrle (5-42-L), C.Politte (0)"
6,6,7,7,Apr 11,@,CLE,"W,2-1",9.0,4,1,1,0,3,5,0,0,3.66,32,130,74,1.0,0.0,0,0,29,0,0,0,0,0,0,1,3,Jeff Nelson,"F.Garcia (4-72-W), D.Marte (1-H), S.Takatsu (1-Sv)"
7,7,8,8,Apr 13,@,CLE,"W,5-4",10.0,6,4,4,0,5,6,1,0,3.65,40,142,79,0.0,0.0,2,1,34,2,0,0,1,0,0,0,4,Bill Miller,"J.Contreras (5-46), D.Marte (1), L.Vizcaino (5-W), D.Hermanson (4-Sv)"
8,8,9,9,Apr 14,@,CLE,"L,6-8",8.0,10,8,6,2,7,6,1,1,3.95,42,159,91,1.0,1.0,1,0,33,4,1,1,0,1,1,1,3,Joe Brinkman,"O.Hernandez (5-28-L), N.Cotts (6), C.Politte (3)"
9,9,10,10,Apr 15,,SEA,"W,6-4",9.0,5,4,4,0,3,7,0,1,3.96,35,136,87,8.0,2.0,0,0,31,0,0,0,0,0,0,1,5,Chuck Meriwether,"J.Garland (5-66-W), L.Vizcaino (1-H), D.Marte (1), S.Takatsu (3), D.Hermanson (1-Sv)"
10,10,11,11,Apr 16,,SEA,"W,2-1",9.0,3,1,1,0,1,12,0,0,3.69,31,106,73,,,0,0,29,0,1,0,1,0,0,0,1,Mike Everitt,M.Buehrle (5-88-W)
11,11,12,12,Apr 17,,SEA,"L,4-5",9.0,10,5,5,0,2,6,2,0,3.8,36,140,87,0.0,0.0,3,1,34,0,0,1,0,0,0,1,2,Tim Timmons,"F.Garcia (5-39-L), C.Politte (2)"
12,12,13,13,Apr 18,,MIN,"W,5-4",9.0,9,4,3,1,7,6,1,1,3.74,41,168,101,2.0,0.0,2,1,33,1,0,0,0,0,0,3,5,Tim Welke,"J.Contreras (4-40), N.Cotts (3), L.Vizcaino (2-W), D.Hermanson (2-H), S.Takatsu (2-Sv)"
13,13,14,14,Apr 19,,MIN,"W,3-1",9.0,14,1,1,0,1,3,0,1,3.54,40,140,95,1.0,0.0,2,0,38,2,0,0,0,0,0,3,5,Brian O'Nora,"O.Hernandez (4-54-W), L.Vizcaino (0-H), D.Hermanson (0-H), S.Takatsu (0-H), D.Marte (3-Sv)"
14,14,15,15,Apr 20,@,DET,"W,9-1",9.0,5,1,1,0,2,5,0,0,3.38,33,106,72,0.0,0.0,0,0,30,2,0,0,1,0,1,2,2,Charlie Reliford,"J.Garland (4-70-W), N.Cotts (1)"
15,15,16,16,Apr 21,@,DET,"W,4-3",9.0,7,3,3,0,2,4,1,0,3.35,34,120,79,0.0,0.0,0,0,32,1,1,0,0,0,0,2,3,Angel Hernandez,"M.Buehrle (4-56-W), D.Hermanson (1-H), S.Takatsu (1-Sv)"
16,16,17,17,Apr 22,@,KCR,"W,8-2",9.0,4,2,2,0,1,4,0,0,3.27,32,129,80,0.0,0.0,0,0,30,1,0,0,0,1,0,0,3,Kerwin Danley,"F.Garcia (4-64-W), C.Politte (4), D.Marte (2)"
17,17,18,18,Apr 23,@,KCR,"W,3-2",10.0,7,2,2,0,4,11,1,1,3.18,40,175,108,2.0,0.0,0,1,34,2,0,1,1,0,0,0,5,Jim Reynolds,"J.Contreras (4-59), C.Politte (0), N.Cotts (2-H), L.Vizcaino (3-BSv), D.Marte (0-W)"
18,18,19,19,Apr 24,@,KCR,"W,4-3",9.0,5,3,2,1,6,8,1,0,3.12,40,158,92,0.0,0.0,2,0,34,2,0,0,0,0,2,0,5,John Hirschbeck,"O.Hernandez (4-52), C.Politte (0), N.Cotts (0-W), L.Vizcaino (0-H), S.Takatsu (2-Sv)"
19,19,20,20,Apr 25,@,OAK,"W,6-0",9.0,4,0,0,0,1,3,0,0,2.97,31,116,79,,,0,0,30,1,0,0,0,0,0,1,1,Jerry Meals,J.Garland (4-81-W)
20,20,21,21,Apr 26,@,OAK,"L,7-9",8.0,13,9,8,1,4,4,0,0,3.22,41,139,91,4.0,4.0,0,0,37,1,0,0,0,0,3,3,3,Bruce Froemming,"M.Buehrle (4-21), D.Marte (2-BL), L.Vizcaino (1)"
