,index,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,0,1,1,Mar 31,,TEX,"W,8-2",35,32,8,9,0,2,1,7,3,0,13,0,0,0,0,0,0,0,0.281,0.343,0.5,0.843,3,10,L,M.Harrison(41)
1,1,2,2,Apr 2,,TEX,"L,0-7",29,29,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0.18,0.219,0.295,0.514,2,10,R,Y.Darvish(96)
2,2,3,3,Apr 3,,TEX,"L,0-4",33,32,0,5,1,0,0,0,1,0,15,0,0,0,0,0,0,0,0.172,0.206,0.258,0.464,6,10,R,A.Ogando(74)
3,3,4,4,Apr 5,,OAK,"L,3-8",37,36,3,9,4,0,0,3,1,0,13,0,0,0,0,0,0,0,0.194,0.224,0.287,0.511,7,10,R,D.Straily(67)
4,4,5,5,Apr 6,,OAK,"L,3-6",34,34,3,8,0,0,1,3,0,0,4,0,0,0,0,1,0,0,0.202,0.226,0.294,0.521,4,9,R,B.Colon(46)
5,5,6,6,Apr 7,,OAK,"L,3-9",37,33,3,6,0,1,0,1,4,0,14,0,0,0,1,0,0,0,0.199,0.234,0.286,0.52,7,12,L,B.Anderson(66)
6,6,7,7,Apr 8,@,SEA,"L,0-3",34,33,0,7,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0.201,0.234,0.275,0.509,7,10,L,J.Saunders(65)
7,7,8,8,Apr 9,@,SEA,"W,16-9",53,47,16,22,3,0,5,15,6,0,10,0,0,0,0,2,1,0,0.246,0.288,0.373,0.661,10,12,R,B.Maurer(15)
8,8,9,9,Apr 10,@,SEA,"W,8-3",42,40,8,16,6,0,3,8,1,0,9,0,0,1,0,0,0,1,0.266,0.302,0.424,0.726,7,10,R,B.Beavan(32)
9,9,10,10,Apr 12,@,LAA,"W,5-0",41,35,5,10,3,0,1,5,6,0,7,0,0,0,0,0,0,1,0.268,0.312,0.427,0.739,9,10,R,T.Hanson(31)
10,10,11,11,Apr 13,@,LAA,"L,4-5",34,30,4,4,1,0,1,4,3,0,5,0,1,0,0,0,0,0,0.257,0.304,0.415,0.719,3,11,R,G.Richards(49)
11,11,12,12,Apr 14,@,LAA,"L,1-4",38,33,1,7,2,0,0,1,5,0,8,0,0,0,0,0,0,0,0.254,0.305,0.403,0.708,10,12,L,C.Wilson(57)
12,12,13,13,Apr 15,@,OAK,"L,2-11",36,35,2,8,1,0,0,2,1,0,8,0,0,0,0,0,0,0,0.252,0.301,0.392,0.693,7,9,L,T.Milone(56)
13,13,14,14,Apr 16,@,OAK,"L,3-4",36,32,3,6,2,0,1,3,4,0,11,0,0,0,0,0,0,1,0.247,0.299,0.389,0.688,6,9,R,A.Griffin(60)
14,14,15,15,Apr 17,@,OAK,"L,5-7",37,36,5,11,2,0,2,5,1,0,7,0,0,0,0,1,3,0,0.251,0.301,0.398,0.699,5,10,R,B.Colon(63)
15,15,16,16,Apr 19,,CLE,"W,3-2",33,29,3,6,0,0,2,3,3,0,9,0,1,0,0,0,3,0,0.249,0.3,0.399,0.699,6,10,R,B.Myers(47)
16,16,17,17,Apr 20,,CLE,"L,6-19",41,37,6,11,3,0,2,6,3,0,10,1,0,0,0,0,0,0,0.252,0.304,0.408,0.712,8,10,L,S.Kazmir(21)
17,17,18,18,Apr 21,,CLE,"L,4-5",39,32,4,8,1,1,1,4,4,1,7,1,1,1,0,0,0,0,0.252,0.306,0.41,0.716,8,11,R,U.Jimenez(46)
18,18,19,19,Apr 22,,SEA,"L,1-7",34,33,1,7,3,0,1,1,1,0,12,0,0,0,0,0,0,0,0.25,0.303,0.409,0.712,6,9,R,F.Hernandez(70)
19,19,20,20,Apr 23,,SEA,"W,3-2",38,32,3,9,1,0,1,2,4,1,15,1,1,0,0,0,1,0,0.251,0.307,0.409,0.715,11,11,R,H.Iwakuma(53)
20,20,21,21,Apr 24,,SEA,"W,10-3",38,35,10,14,5,0,3,10,2,0,7,1,0,0,0,2,1,1,0.259,0.314,0.428,0.742,4,9,L,J.Saunders(13)
21,21,22,22,Apr 25,@,BOS,"L,2-7",34,32,2,7,2,0,0,1,2,0,11,0,0,0,0,2,1,0,0.257,0.311,0.422,0.733,5,9,R,C.Buchholz(67)
22,22,23,23,Apr 26,@,BOS,"L,3-7",38,32,3,7,5,0,0,3,3,0,14,1,0,2,0,0,0,0,0.255,0.311,0.42,0.73,8,9,R,R.Dempster(63)
