,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 2,@,BOS,"W,3-0",36,34,3,9,2,0,0,3,2,0,7,0,0,0,0,2,0,0,0.265,0.306,0.324,0.629,6,10,R,N.Eovaldi(59)
1,2,2,Apr 3,@,BOS,"W,4-2",36,34,4,8,1,0,0,4,1,0,11,0,0,1,0,0,0,0,0.25,0.278,0.294,0.572,5,10,R,T.Houck(52)
2,3,3,Apr 4,@,BOS,"W,11-3",52,44,11,17,6,0,0,10,8,0,15,0,0,0,0,0,0,0,0.304,0.363,0.384,0.747,14,10,R,G.Richards(18)
3,4,4,Apr 5,@,NYY,"L,0-7",33,31,0,4,0,0,0,0,2,0,13,0,0,0,0,0,1,0,0.266,0.325,0.329,0.654,6,9,L,J.Montgomery(71)
4,5,5,Apr 6,@,NYY,"L,2-7",34,34,2,7,2,0,1,2,0,0,14,0,0,0,0,0,1,0,0.254,0.304,0.333,0.637,5,9,R,G.Cole(82)
5,6,6,Apr 7,@,NYY,"W,4-3",40,37,4,4,0,0,2,3,2,0,17,0,1,0,1,0,0,0,0.229,0.278,0.322,0.601,5,12,R,J.Taillon(57)
6,7,7,Apr 8,,BOS,"L,3-7",34,33,3,5,0,0,2,3,1,0,14,0,0,0,1,0,0,0,0.219,0.265,0.324,0.589,4,9,L,E.Rodriguez(54)
7,8,8,Apr 10,,BOS,"L,4-6",44,39,4,8,2,0,2,4,5,0,10,0,0,0,0,0,2,0,0.217,0.269,0.336,0.605,11,11,R,G.Richards(54)
8,9,9,Apr 11,,BOS,"L,9-14",43,34,9,10,2,1,2,8,8,0,10,0,1,0,0,1,0,0,0.225,0.289,0.363,0.651,7,11,R,N.Pivetta(46)
9,10,10,Apr 13 (1),,SEA,"L,3-4",30,27,3,5,1,0,1,3,3,0,6,0,0,0,0,2,0,0,0.222,0.287,0.36,0.647,4,11,L,J.Sheffield(61)
10,11,11,Apr 13 (2),,SEA,"W,7-6",34,28,7,8,3,0,0,7,4,0,6,1,0,1,2,0,1,1,0.227,0.295,0.363,0.657,7,11,L,N.Margevicius(34)
11,12,12,Apr 15 (1),,SEA,"L,2-4",26,24,2,4,0,0,1,2,2,0,6,0,0,0,0,1,0,0,0.223,0.291,0.358,0.649,3,10,L,M.Gonzales(56)
12,13,13,Apr 15 (2),,SEA,"L,1-2",26,23,1,3,0,0,1,1,2,0,6,1,0,0,0,0,0,0,0.218,0.288,0.353,0.641,4,10,R,J.Dunn(63)
13,14,14,Apr 16,@,TEX,"W,5-2",35,33,5,7,3,1,2,5,1,0,11,0,0,1,0,0,0,0,0.218,0.283,0.367,0.65,3,10,R,M.Foltynewicz(38)
14,15,15,Apr 17,@,TEX,"W,6-1",41,40,6,13,3,0,1,6,0,0,9,0,0,1,1,0,0,0,0.226,0.286,0.376,0.662,8,10,R,D.Dunning(67)
15,16,16,Apr 18,@,TEX,"L,0-1",34,34,0,5,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0.221,0.278,0.365,0.643,5,11,R,K.Gibson(80)
16,17,17,Apr 20,@,MIA,"W,7-5",41,36,7,9,3,0,2,7,4,1,6,1,0,0,0,0,1,0,0.223,0.282,0.373,0.655,7,17,R,N.Neidert(29)
17,18,18,Apr 21,@,MIA,"L,0-3",31,30,0,4,1,0,0,0,1,0,9,0,0,0,0,0,1,0,0.218,0.276,0.363,0.639,4,14,L,T.Rogers(76)
18,19,19,Apr 23,,OAK,"L,1-3",38,37,1,10,1,0,0,1,1,0,10,0,0,0,0,0,0,0,0.222,0.277,0.359,0.636,10,9,L,C.Irvin(53)
19,20,20,Apr 24,,OAK,"L,2-7",37,36,2,10,3,0,0,2,1,0,9,0,0,0,0,0,0,0,0.225,0.278,0.359,0.637,8,9,R,C.Bassitt(55)
20,21,21,Apr 25,,OAK,"W,8-1",40,33,8,9,1,0,3,7,7,0,9,0,0,0,0,0,1,1,0.227,0.284,0.369,0.654,8,9,L,J.Luzardo(54)
21,22,22,Apr 26,,NYY,"W,4-2",35,31,4,8,4,0,2,3,3,0,7,1,0,0,0,1,0,0,0.228,0.287,0.378,0.665,7,11,R,D.Garcia(49)
22,23,23,Apr 27,,NYY,"L,1-5",37,33,1,7,1,0,0,1,3,0,8,1,0,0,0,1,0,0,0.227,0.287,0.373,0.66,9,10,R,C.Kluber(61)
23,24,24,Apr 28,,NYY,"L,0-7",31,30,0,4,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0.224,0.283,0.364,0.646,4,10,R,D.German(76)
24,25,25,Apr 29,,NYY,"W,4-3",37,32,4,7,1,0,1,4,2,0,8,0,2,1,0,1,0,0,0.224,0.282,0.363,0.645,5,9,L,J.Montgomery(47)
25,26,26,Apr 30,@,OAK,"W,3-2",35,33,3,8,1,0,2,3,2,0,8,0,0,0,0,1,0,0,0.224,0.282,0.366,0.648,5,9,R,M.Fiers(49)
26,27,27,May 1,@,OAK,"W,8-4",40,35,8,10,0,0,1,6,4,0,3,0,0,1,1,2,0,0,0.227,0.285,0.366,0.651,5,10,L,J.Luzardo(30)
27,28,28,May 2,@,OAK,"L,5-7",40,38,5,10,3,0,1,5,2,0,7,0,0,0,0,0,0,0,0.228,0.285,0.369,0.654,8,10,L,S.Manaea(42)
28,29,29,May 3,@,SEA,"W,5-3",38,35,5,8,4,0,2,5,3,0,9,0,0,0,0,0,0,0,0.228,0.286,0.374,0.66,6,9,R,E.Swanson(59)
29,30,30,May 4,@,SEA,"L,2-5",41,34,2,7,0,0,1,2,6,0,9,1,0,0,0,0,1,0,0.228,0.288,0.371,0.659,12,10,R,J.Dunn(60)
30,31,31,May 5,@,SEA,"W,6-0",35,34,6,8,0,0,2,6,1,0,9,0,0,0,0,0,0,0,0.228,0.287,0.373,0.659,2,10,L,Y.Kikuchi(61)
31,32,32,May 7,,BOS,"L,2-6",39,36,2,11,3,0,1,2,3,0,5,0,0,0,1,1,0,1,0.23,0.289,0.376,0.665,10,11,L,E.Rodriguez(48)
32,33,33,May 8,,BOS,"L,6-11",39,34,6,9,2,0,1,6,2,0,8,3,0,0,0,2,1,0,0.231,0.291,0.377,0.668,6,10,R,G.Richards(49)
33,34,34,May 9,,BOS,"L,3-4",36,30,3,4,1,0,1,3,5,0,4,1,0,0,0,0,0,0,0.229,0.291,0.374,0.665,6,10,R,N.Pivetta(57)
34,35,35,May 10,,BOS,"W,4-1",34,31,4,9,0,1,2,4,2,0,7,0,0,1,0,1,0,0,0.231,0.292,0.379,0.671,6,10,L,M.Perez(58)
35,36,36,May 11,@,NYM,"L,2-3",38,33,2,8,0,1,0,2,3,1,8,0,1,1,0,0,0,0,0.231,0.292,0.377,0.669,9,16,R,M.Stroman(62)
36,37,37,May 12,@,NYM,"L,1-7",36,31,1,5,1,0,0,1,5,0,5,0,0,0,0,1,0,0,0.229,0.292,0.372,0.664,8,14,R,T.Walker(66)
37,38,38,May 14,,NYY,"L,4-5",35,33,4,9,3,0,1,4,2,0,7,0,0,0,0,1,1,1,0.23,0.292,0.374,0.666,4,10,R,C.Kluber(46)
38,39,39,May 15,,NYY,"L,2-8",33,31,2,7,1,0,0,2,2,0,7,0,0,0,0,3,0,0,0.23,0.292,0.371,0.663,4,12,R,D.German(64)
39,40,40,May 16,,NYY,"W,10-6",41,34,10,11,5,0,1,10,6,0,5,0,0,1,0,0,1,0,0.233,0.295,0.376,0.671,7,9,L,J.Montgomery(29)
40,41,41,May 18,,TBR,"L,6-13",43,36,6,9,1,0,0,6,6,0,13,1,0,0,0,0,0,0,0.233,0.297,0.374,0.671,10,11,R,L.Patino(36)
41,42,42,May 19,,TBR,"L,7-9",41,38,7,11,1,1,3,7,3,0,7,0,0,0,1,0,0,1,0.234,0.299,0.38,0.678,7,11,L,R.Yarbrough(40)
42,43,43,May 20,,TBR,"L,1-10",35,28,1,2,0,0,1,1,6,0,7,1,0,0,1,1,0,0,0.231,0.298,0.376,0.674,7,11,L,R.Hill(64)
