,Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
0,1,1,Apr 4,@,CHW,"W,6-3",39,32,6,6,1,0,3,6,6,0,5,1,0,0,1,0,1,0,0.188,0.333,0.5,0.833,6,10,L,J.Quintana(33)
1,2,2,Apr 6,@,CHW,"L,2-11",36,30,2,4,2,0,1,2,6,0,9,0,0,0,1,2,1,0,0.161,0.307,0.403,0.71,7,13,R,J.Shields(60)
2,3,3,Apr 7,,BOS,"W,6-5",36,27,6,8,1,1,1,6,7,1,7,1,0,1,0,3,0,1,0.202,0.351,0.438,0.79,6,11,R,S.Wright(45)
3,4,4,Apr 8,,BOS,"W,4-1",31,26,4,5,2,0,2,4,5,0,9,0,0,0,0,1,0,1,0.2,0.345,0.452,0.797,3,9,L,E.Rodriguez(43)
4,5,5,Apr 9,,BOS,"L,5-7",42,39,5,13,2,0,1,5,3,0,14,0,0,0,0,0,0,1,0.234,0.353,0.455,0.808,10,10,R,R.Porcello(43)
5,6,6,Apr 10,,BOS,"W,2-1",30,29,2,5,2,0,1,2,1,0,10,0,0,0,0,0,0,0,0.224,0.332,0.437,0.769,4,9,L,C.Sale(70)
6,7,7,Apr 11,,MIN,"W,2-1",31,28,2,4,0,0,1,2,2,0,2,1,0,0,1,1,0,0,0.213,0.318,0.412,0.731,5,9,L,H.Santiago(59)
7,8,8,Apr 12,,MIN,"W,5-3",33,29,5,6,2,0,1,5,2,0,4,1,1,0,0,0,0,0,0.213,0.314,0.408,0.722,4,9,R,K.Gibson(35)
8,9,9,Apr 13,,MIN,"L,5-11",38,35,5,9,1,1,2,5,3,0,11,0,0,0,0,0,0,1,0.218,0.314,0.422,0.736,6,12,R,P.Hughes(45)
9,10,10,Apr 14,@,CLE,"W,7-6",40,37,7,11,2,0,2,7,3,0,8,0,0,0,1,2,0,0,0.228,0.318,0.433,0.751,6,9,R,T.Bauer(31)
10,11,11,Apr 15,@,CLE,"L,6-13",40,38,6,11,3,0,1,6,2,0,12,0,0,0,0,0,0,0,0.234,0.319,0.434,0.753,7,12,R,C.Kluber(39)
11,12,12,Apr 16,@,CLE,"W,4-1",36,30,4,7,2,0,1,3,6,0,8,0,0,0,0,2,1,2,0.234,0.323,0.432,0.754,5,10,R,C.Carrasco(58)
12,13,13,Apr 18,@,TBR,"L,1-5",32,31,1,4,0,0,1,1,1,0,8,0,0,0,0,0,1,0,0.226,0.311,0.416,0.727,4,10,R,M.Andriese(64)
13,14,14,Apr 19,@,TBR,"L,7-8",40,33,7,9,2,2,0,7,6,1,14,1,0,0,0,3,1,0,0.23,0.318,0.419,0.737,6,9,R,C.Archer(44)
14,15,15,Apr 20,@,TBR,"L,1-8",34,32,1,5,0,0,1,1,2,0,8,0,0,0,0,0,0,0,0.225,0.311,0.408,0.719,6,9,R,E.Ramirez(64)
